Distrito,Municipio,Numero,Sección,Casilla,PAN,PRI,PRD,PFCRN,PT,NoReg,Nulos
1,MORELIA,54,983,B,142,112,96,7,22,0,10
1,MORELIA,54,984,B,151,120,74,5,9,0,6
1,MORELIA,54,985,B,152,98,76,2,15,0,10
1,MORELIA,54,986,B,77,53,49,,7,0,5
1,MORELIA,54,987,B,111,63,75,2,12,0,3
1,MORELIA,54,988,B,93,74,58,3,8,0,7
1,MORELIA,54,988,C,100,69,60,,10,0,2
1,MORELIA,54,989,B,75,85,66,7,2,0,0
1,MORELIA,54,989,C,65,67,69,3,7,0,9
1,MORELIA,54,990,B,141,70,65,1,11,0,2
1,MORELIA,54,991,B,159,101,89,4,7,0,7
1,MORELIA,54,992,B,115,72,47,4,22,0,4
1,MORELIA,54,992,C,134,77,38,11,11,0,0
1,MORELIA,54,993,B,101,93,66,4,5,0,5
1,MORELIA,54,994,B,122,75,53,3,18,0,7
1,MORELIA,54,994,C,128,81,49,2,10,0,6
1,MORELIA,54,995,B,139,73,42,2,2,0,4
1,MORELIA,54,995,C,133,56,50,4,2,0,3
1,MORELIA,54,996,B,,,,,,0,0
1,MORELIA,54,997,B,172,88,58,,14,0,3
1,MORELIA,54,997,C,,,,,,0,0
1,MORELIA,54,998,B,133,102,95,6,18,0,5
1,MORELIA,54,998,C,149,88,105,4,18,0,0
1,MORELIA,54,999,B,139,84,53,5,8,0,1
1,MORELIA,54,999,C,126,94,56,3,9,0,7
1,MORELIA,54,1000,B,107,91,45,5,5,0,4
1,MORELIA,54,1000,C,106,95,2,9,,0,3
1,MORELIA,54,1001,B,97,65,49,5,8,0,12
1,MORELIA,54,1001,C,94,59,62,1,7,0,10
1,MORELIA,54,1002,B,,,,,,,
1,MORELIA,54,1002,C,,,,,,,
1,MORELIA,54,1003,B,93,60,53,1,10,0,7
1,MORELIA,54,1003,C,109,78,43,2,7,0,3
1,MORELIA,54,1004,B,151,104,71,,8,0,7
1,MORELIA,54,1004,C,171,100,72,2,11,2,7
1,MORELIA,54,1005,B,130,96,88,9,13,0,0
1,MORELIA,54,1005,C,152,82,73,2,22,0,4
1,MORELIA,54,1006,B,121,85,41,1,9,0,1
1,MORELIA,54,1006,C,128,100,25,1,5,0,1
1,MORELIA,54,1007,B,,,,,,0,0
1,MORELIA,54,1007,C,155,107,76,2,6,0,6
1,MORELIA,54,1008,B,152,140,61,3,14,0,4
1,MORELIA,54,1008,C,211,104,62,4,21,0,5
1,MORELIA,54,1009,B,113,65,50,1,8,0,0
1,MORELIA,54,1009,C,102,90,47,1,7,0,3
1,MORELIA,54,1010,B,139,80,53,0,16,3,0
1,MORELIA,54,1010,C,142,99,36,2,9,0,8
1,MORELIA,54,1011,B,143,71,61,3,7,0,0
1,MORELIA,54,1011,C,116,76,56,4,14,0,2
1,MORELIA,54,1012,B,105,73,56,4,10,0,9
1,MORELIA,54,1012,C,120,62,88,1,5,0,4
1,MORELIA,54,1013,B,120,66,62,2,16,0,3
1,MORELIA,54,1013,C,99,67,88,4,8,0,5
1,MORELIA,54,1014,B,101,84,49,1,1,0,5
1,MORELIA,54,1014,C,100,72,62,5,8,0,4
1,MORELIA,54,1015,B,99,79,96,0,9,0,7
1,MORELIA,54,1015,C,82,61,112,2,14,0,2
1,MORELIA,54,1016,B,126,96,41,2,6,0,3
1,MORELIA,54,1016,C,118,71,53,1,7,0,2
1,MORELIA,54,1017,B,120,114,108,6,16,0,10
1,MORELIA,54,1018,B,167,145,92,1,15,0,8
1,MORELIA,54,1019,B,103,80,54,3,9,0,8
1,MORELIA,54,1019,C,87,85,58,1,8,0,6
1,MORELIA,54,1020,B,157,143,55,4,11,0,10
1,MORELIA,54,1020,C,119,142,87,8,22,0,8
1,MORELIA,54,1021,B,246,120,61,2,14,0,7
1,MORELIA,54,1022,B,122,101,53,5,4,0,3
1,MORELIA,54,1023,B,177,110,58,3,11,0,2
1,MORELIA,54,1023,ESP,0,0,0,0,0,0,0
1,MORELIA,54,1024,B,144,80,54,2,6,0,4
1,MORELIA,54,1025,B,212,98,44,1,6,0,1
1,MORELIA,54,1026,B,245,109,51,4,4,0,9
1,MORELIA,54,1027,B,180,64,34,0,5,0,2
1,MORELIA,54,1028,B,179,72,17,8,6,0,3
1,MORELIA,54,1029,B,274,118,63,1,5,1,3
1,MORELIA,54,1030,B,125,80,37,1,6,0,5
1,MORELIA,54,1030,C,120,72,50,1,5,0,6
1,MORELIA,54,1031,B,146,76,48,0,15,0,3
1,MORELIA,54,1031,C,133,85,52,3,8,0,7
1,MORELIA,54,1032,B,,,,,,,
1,MORELIA,54,1032,C,153,82,73,3,10,0,5
1,MORELIA,54,1033,B,126,93,90,4,9,0,5
1,MORELIA,54,1033,C,134,89,77,2,9,1,5
1,MORELIA,54,1034,B,146,142,59,6,15,1,11
1,MORELIA,54,1034,C,144,125,58,3,10,0,4
1,MORELIA,54,1035,B,129,81,91,7,4,0,11
1,MORELIA,54,1036,B,62,49,57,4,16,0,4
1,MORELIA,54,1037,B,118,71,77,3,13,0,7
1,MORELIA,54,1037,C,126,70,69,2,14,0,3
1,MORELIA,54,1038,B,,,,,,,
1,MORELIA,54,1038,C,135,69,86,2,9,0,9
1,MORELIA,54,1039,B,145,84,62,10,7,0,6
1,MORELIA,54,1039,C,137,75,67,9,5,0,5
1,MORELIA,54,1040,B,139,77,64,2,10,0,7
1,MORELIA,54,1040,C,,,,,,,
1,MORELIA,54,1041,B,141,77,39,3,8,,
1,MORELIA,54,1041,C,116,74,35,2,10,0,5
1,MORELIA,54,1042,B,198,108,53,4,3,0,9
1,MORELIA,54,1075,B,258,96,41,1,5,0,6
1,MORELIA,54,1076,B,238,100,69,3,6,1,6
1,MORELIA,54,1076,C,219,99,66,2,12,0,4
1,MORELIA,54,1077,B,,,,,,,
1,MORELIA,54,1077,C,257,145,74,1,15,0,9
1,MORELIA,54,1078,B,246,105,47,4,12,0,15
1,MORELIA,54,1078,C,185,110,88,3,11,0,3
1,MORELIA,54,1081,B,,,,,,,
1,MORELIA,54,1081,C,177,81,41,2,6,0,7
1,MORELIA,54,1082,B,162,72,72,3,7,0,9
1,MORELIA,54,1082,C,173,68,70, ,9,0,2
1,MORELIA,54,1083,B,107,108,34,1,8,1,4
1,MORELIA,54,1083,C,102,109,45,5,8,0,6
1,MORELIA,54,1084,B,,,,,,,
1,MORELIA,54,1084,C,144,57,43,4,12,0,8
1,MORELIA,54,1085,B,178,70,72,8,10,0,208
1,MORELIA,54,1085,C,152,109,58,5,4,0,8
1,MORELIA,54,1086,B,158,78,53,2,7,0,2
1,MORELIA,54,1086,C,161,62,60,1,5,0,7
1,MORELIA,54,1087,B,169,110,83,3,7,0,4
1,MORELIA,54,1087,C,179,101,68,0,7,0,5
1,MORELIA,54,1088,B,225,121,60,0,3,0,4
1,MORELIA,54,1089,B,130,73,81,6,4,0,8
1,MORELIA,54,1089,C,133,94,57,1,2,0,2
1,MORELIA,54,1090,B,154,175,72,1,16,0,7
1,MORELIA,54,1091,B,165,106,74,2,9,0,5
1,MORELIA,54,1092,B,139,88,59,3,13,0,2
1,MORELIA,54,1092,C,147,78,61,1,7,0,4
1,MORELIA,54,1093,B,132,86,71,2,11,0,7
1,MORELIA,54,1093,C,131,76,52,2,13,0,6
1,MORELIA,54,1094,B,126,61,52,4,8,0,9
1,MORELIA,54,1094,C,104,62,54,3,10,0,10
1,MORELIA,54,1095,B,171,94,114,3,8,0,9
1,MORELIA,54,1096,B,,,,,,,
1,MORELIA,54,1096,C,136,71,56,3,14,0,6
1,MORELIA,54,1097,B,135,70,41,3,12,0,6
1,MORELIA,54,1097,C,120,61,48,4,11,0,1
1,MORELIA,54,1098,B,211,109,86,6,9,0,11
1,MORELIA,54,1099,B,78,62,73,1,5,0,0
1,MORELIA,54,1099,C,79,54,53,1,15,0,0
1,MORELIA,54,1100,B,160,102,92,4,25,0,8
1,MORELIA,54,1101,B,139,77,70,6,7,0,2
1,MORELIA,54,1101,C,,,,,,,
1,MORELIA,54,1102,B,134,74,69,4,15,0,0
1,MORELIA,54,1102,C,154,60,63,2,8,0,7
1,MORELIA,54,1103,B,98,57,59,2,18,1,12
1,MORELIA,54,1103,C,104,58,56,3,9,1,7
1,MORELIA,54,1104,B,73,91,49,5,6,0,9
1,MORELIA,54,1104,C,93,75,54,2,7,0,7
1,MORELIA,54,1105,B,,,,,,,
1,MORELIA,54,1106,B,,,,,,,
1,MORELIA,54,1106,C,70,121,35,4,11,1,3
1,MORELIA,54,1191,B,90,131,82,8,11,0,11
1,MORELIA,54,1191,C,89,124,81,8,7,0,12
1,MORELIA,54,1192,B,87,68,61,6,14,0,10
1,MORELIA,54,1192,C,41,43,42,1,8,0,49
1,MORELIA,54,1192,EXT,,,,,,,
1,MORELIA,54,1193,B,,,,,,,
1,MORELIA,54,1193,C,78,109,41,2,9,0,8
1,MORELIA,54,1194,B,,,,,,,
1,MORELIA,54,1194,C,113,96,71,42,24,0,15
1,MORELIA,54,1195,B,128,80,70,49,16,0,7
1,MORELIA,54,1195,C,148,83,57,40,11,0,6
1,MORELIA,54,1196,B,122,78,117,17,18,0,5
1,MORELIA,54,1196,C,129,92,97,9,15,1,8
1,MORELIA,54,1196,C2,97,111,95,12,18,0,0
1,MORELIA,54,1197,B,70,50,100,3,6,0,1
1,MORELIA,54,1197,C,63,42,96,8,7,0,7
1,MORELIA,54,1198,B,84,95,62,3,8,0,7
1,MORELIA,54,1198,C,95,89,69,4,9,0,236
1,MORELIA,54,1199,B,125,109,69,1,14,1,10
1,MORELIA,54,1199,C,147,104,80,4,14,0,1
1,MORELIA,54,1200,B,96,66,75,13,13,0,5
1,MORELIA,54,1201,B,76,41,53,6,9,0,9
1,MORELIA,54,1201,C,74,62,53,4,4,0,0
1,MORELIA,54,1202,B,151,95,79,1,15,0,7
1,MORELIA,54,1202,C,133,119,70,5,22,0,10
1,MORELIA,54,1203,B,117,91,57,7,7,0,1
1,MORELIA,54,1203,C,126,85,52,4,7,0,2
1,MORELIA,54,1204,B,87,78,121,16,8,0,7
1,MORELIA,54,1204,C,108,69,105,6,9,0,5
1,MORELIA,54,1205,B,178,146,75,4,13,0,3
1,MORELIA,54,1205,C,227,132,96,2,3,0,8
1,MORELIA,54,1206,B,178,137,109,9,10,0,7
1,MORELIA,54,1206,C,,,,,,,
1,MORELIA,54,1207,B,169,53,82,17,10,1,5
1,MORELIA,54,1207,C,145,94,83,8,8,0,3
1,MORELIA,54,1208,B,153,78,78,8,9,0,6
1,MORELIA,54,1208,C,168,88,79,3,17,0,8
1,MORELIA,54,1209,B,119,65,86,10,13,0,8
1,MORELIA,54,1209,C,128,78,92,11,17,0,13
1,MORELIA,54,1210,B,147,111,76,3,14,0,2
1,MORELIA,54,1211,B,,,,,,,
1,MORELIA,54,1211,C,134,77,52,4,8,0,3
1,MORELIA,54,1212,B,,,,,,,
1,MORELIA,54,1212,C,127,87,67,2,10,0,212
1,MORELIA,54,1213,B,185,116,75,13,20,0,11
1,MORELIA,54,1214,B,111,82,56,2,6,0,4
1,MORELIA,54,1214,C,102,86,63,2,10,0,2
1,MORELIA,54,1216,B,163,111,69,3,16,0,4
1,MORELIA,54,1216,C,130,112,82,12,2,0,5
1,MORELIA,54,1217,B,110,70,52,3,7,0,2
1,MORELIA,54,1217,C,101,89,52,1,1,0,1
1,MORELIA,54,1218,B,118,67,71,6,10,0,4
1,MORELIA,54,1218,C,126,69,76,3,8,0,6
1,MORELIA,54,1219,B,101,65,91,3,8,0,6
1,MORELIA,54,1219,C,119,67,73,3,16,0,2
1,MORELIA,54,1220,B,169,92,99,14,22,0,11
1,MORELIA,54,1220,C,151,120,115,8,18,0,12
1,MORELIA,54,1237,B,101,251,42,3,10,0,14
1,MORELIA,54,1238,B,,,,,,,
1,MORELIA,54,1239,B,110,125,71,1,4,0,0
1,MORELIA,54,1239,C,,,,,,,
1,MORELIA,54,1240,B,79,92,35,0,3,0,20
1,MORELIA,54,1240,C,99,97,46,0,3,0,
1,MORELIA,54,1252,B,10,50,146,0,1,0,8
1,MORELIA,54,1252,C,,,,,,,
1,MORELIA,54,1252,EXT,16,88,32,0,2,0,3
1,MORELIA,54,1253,B,9,49,68,3,2,0,354
1,MORELIA,54,1253,EXT,1,87,42,3,2,0,3
1,MORELIA,54,1254,B,,,,,,,
1,MORELIA,54,1255,B,20,123,43,0,0,0,8
1,MORELIA,54,1255,EXT,11,97,18,0,0,0,7
1,MORELIA,54,1256,B,48,89,40,0,5,0,11
1,MORELIA,54,1256,C,,,,,,,
1,MORELIA,54,1256,EXT,34,67,67,4,3,0,4
1,MORELIA,54,1257,B,53,214,51,5,1,0,15
1,MORELIA,54,1258,B,11,37,63,1,1,0,8
1,MORELIA,54,1259,B,8,77,72,2,2,0,2
1,MORELIA,54,1260,B,38,60,19,1,1,0,3
1,MORELIA,54,1260,EXT,82,64,70,7,10,0,10
1,MORELIA,54,1261,B,84,249,62,3,6,0,12
1,MORELIA,54,1262,B,27,131,104,2,4,0,0
1,MORELIA,54,1262,C,27,142,97,0,7,0,0
1,MORELIA,54,1263,B,54,44,49,0,7,0,4
1,MORELIA,54,1263,C,51,47,47,0,6,0,5
1,MORELIA,54,1263,EXT1,10,32,4,1,1,0,2
1,MORELIA,54,1263,EXT2,,,,,,,
1,MORELIA,54,1264,B,18,52,3,0,1,0,1
1,MORELIA,54,1264,C,,,,,,,
1,MORELIA,54,1264,EXT1,57,84,55,0,11,0,2
1,MORELIA,54,1264,EXT2,30,43,22,1,4,0,8
1,MORELIA,54,1265,B,135,149,56,7,6,0,10
1,MORELIA,54,1266,B,163,147,53,6,12,0,15
1,MORELIA,54,1283,B,337,424,271,16,51,0,29
1,MORELIA,54,1283,C,107,122,83,3,7,0,10
1,MORELIA,54,1284,B,63,145,57,3,26,0,11
1,MORELIA,54,1284,C,83,129,42,4,12,0,4
1,MORELIA,54,1285,B,80,76,49,53,18,0,7
1,MORELIA,54,1285,C,68,75,62,59,15,0,8
1,CUITZEO,20,324,B,25,79,49,2,251,,
1,CUITZEO,20,324,C,41,86,60,4,239,,
1,CUITZEO,20,325,B,54,76,52,0,204,,
1,CUITZEO,20,326,B,27,99,27,2,101,,
1,CUITZEO,20,326,C,37,70,33,5,113,,
1,CUITZEO,20,327,B,43,110,70,3,257,,
1,CUITZEO,20,328,B,26,45,98,3,283, ,
1,CUITZEO,20,329,B,65,100,76,3,230,,
1,CUITZEO,20,330,B,56,84,71,0,30,,
1,CUITZEO,20,331,B,28,57,87,0,37,,
1,CUITZEO,20,331,C,25,41,73,0,47,,
1,CUITZEO,20,332,B,24,208,25,2,91,,
1,CUITZEO,20,333,B,13,81,80,0,18,,
1,CUITZEO,20,333,C,10,69,58,15,15,,
1,CUITZEO,20,333,EXT,35,49,30,2,40,,
1,CUITZEO,20,334,B,6,30,11,0,22,,
1,CUITZEO,20,335,B,58,73,33,3,166,,
1,CUITZEO,20,336,B,32,71,45,9,173,,
1,CUITZEO,20,337,B,29,88,83,10,37,,
1,CUITZEO,20,337,C,70,65,68,4,71,,
1,CUITZEO,20,338,B,37,121,39,0,65,,
1,CUITZEO,20,338,C,24,89,32,6,77,,
1,CUITZEO,20,339,B,22,61,110,1,65,,
1,CUITZEO,20,339,C,18,75,117,0,46,,
1,STA. ANA M.,79,1788,B,,,,,,,
1,STA. ANA M.,79,1789,B,,,,,,,
1,STA. ANA M.,79,1789,C,,,,,,,
1,STA. ANA M.,79,1790,B,,,,,,,
1,STA. ANA M.,79,1790,C,,,,,,,
1,STA. ANA M.,79,1791,B,,,,,,,
1,STA. ANA M.,79,1791,C,,,,,,,
1,STA. ANA M.,79,1792,B,,,,,,,
1,STA. ANA M.,79,1792,C,,,,,,,
1,STA. ANA M.,79,1793,B,,,,,,,
1,STA. ANA M.,79,1794,B,,,,,,,
1,STA. ANA M.,79,1795,B,,,,,,,
1,STA. ANA M.,79,1795,C,,,,,,,
1,STA. ANA M.,79,1796,B,,,,,,,
1,STA. ANA M.,79,1797,B,,,,,,,
1,STA. ANA M.,79,1798,B,,,,,,,
1,TARIMBARO,89,1959,B,,,,,,,
1,TARIMBARO,89,1959,C,,,,,,,
1,TARIMBARO,89,1960,B,,,,,,,
1,TARIMBARO,89,1960,C,,,,,,,
1,TARIMBARO,89,1961,B,,,,,,,
1,TARIMBARO,89,1961,C,,,,,,,
1,TARIMBARO,89,1962,B,,,,,,,
1,TARIMBARO,89,1962,C,,,,,,,
1,TARIMBARO,89,1963,B,,,,,,,
1,TARIMBARO,89,1963,C,,,,,,,
1,TARIMBARO,89,1964,B,,,,, ,,
1,TARIMBARO,89,1965,B,,,,,,,
1,TARIMBARO,89,1965,C,,,,,,,
1,TARIMBARO,89,1966,B,,,,,,,
1,TARIMBARO,89,1966,C,,,,,,,
1,TARIMBARO,89,1966,EXT,,,,,,,
1,TARIMBARO,89,1967,B,,,,,,,
1,TARIMBARO,89,1967,C,,,,,,,
1,TARIMBARO,89,1968,B,,,,,,,
1,TARIMBARO,89,1969,B,,,,,,,
1,TARIMBARO,89,1969,EXT,,,,,,,
1,TARIMBARO,89,1970,B,,,,,,,
1,TARIMBARO,89,1970,C,,,,,,,
1,TARIMBARO,89,1971,B,,,,,,,
1,TARIMBARO,89,1971,C,,,,,,,
1,TARIMBARO,89,1971,EXT1,,,,,,,
1,TARIMBARO,89,1971,EXT2,,,,,,,
1,TARIMBARO,89,1972,B,,,,,,,
1,TARIMBARO,89,1973,B,,,,,,,
1,TARIMBARO,89,1973,EXT,,,,,,,
1,TARIMBARO,89,1974,B,,,,,,,
1,TARIMBARO,89,1974,C,,,,,,,
1,TARIMBARO,89,1975,B,,,,,,,
1,TARIMBARO,89,1975,C,,,,,,,
1,TARIMBARO,89,1975,EXT,,,,,,,
1,TARIMBARO,89,1976,B,,,,,,,
1,TARIMBARO,89,1976,C,,,,,,,
1,TARIMBARO,89,1976,EXT,,,,,,,
1,TARIMBARO,89,1977,B,,,,,,,
1,TARIMBARO,89,1977,C,,,,,,,
1,TARIMBARO,89,1977,EXT,,,,,,,
1,TARIMBARO,89,1978,B,,,,,,,
2,MORELIA,54,1043,B,195,126,38,3,7,0,5
2,MORELIA,54,1044,B,130,63,52,1,13,0,2
2,MORELIA,54,1044,C,133,78,34,3,7,0,6
2,MORELIA,54,1045,B,172,114,48,4,6,0,4
2,MORELIA,54,1045,C,157,106,61,5,7,1,8
2,MORELIA,54,1046,B,,,,,,,
2,MORELIA,54,1047,B,,,,,,,
2,MORELIA,54,1047,C,122,88,42,1,6,0,0
2,MORELIA,54,1048,B,,,,,,,
2,MORELIA,54,1049,B,,,,,,,
2,MORELIA,54,1050,B,111,95,64,2,3,1,4
2,MORELIA,54,1050,C,125,68,64,1,5,0,6
2,MORELIA,54,1051,B,,,,,,,
2,MORELIA,54,1051,C,,,,,,,
2,MORELIA,54,1052,B,,,,,,,
2,MORELIA,54,1052,C,145,110,64,6,4,0,0
2,MORELIA,54,1053,B,113,92,81,1,13,0,7
2,MORELIA,54,1054,B,127,91,97,4,8,0,0
2,MORELIA,54,1055,B,153,118,80,2,11,0,12
2,MORELIA,54,1056,B,115,95,91,3,14,0,14
2,MORELIA,54,1057,B,114,50,69,4,11,0,7
2,MORELIA,54,1057,C,,,,,,,
2,MORELIA,54,1058,B,88,72,51,2,4,0,6
2,MORELIA,54,1058,C,94,66,73,1,9,0,0
2,MORELIA,54,1059,B,114,81,80,1,14,0,5
2,MORELIA,54,1059,C,86,74,111,2,12,0,3
2,MORELIA,54,1060,B,195,124,98,3,14,0,4
2,MORELIA,54,1061,B,74,90,47,3,3,0,3
2,MORELIA,54,1062,B,115,97,59,1,14,0,4
2,MORELIA,54,1062,C,,,,,,,
2,MORELIA,54,1063,B,98,71,75,3,24,0,7
2,MORELIA,54,1063,C,81,54,86,5,30,0,5
2,MORELIA,54,1064,B,142,72,49,3,10,0,8
2,MORELIA,54,1064,C,147,89,45,5,10,0,1
2,MORELIA,54,1065,B,,,,,,,
2,MORELIA,54,1066,B,122,121,49,1,7,0,5
2,MORELIA,54,1066,C,107,94,65,5,4,0,7
2,MORELIA,54,1067,B,277,131,77,7,6,0,2
2,MORELIA,54,1068,B,190,142,64,2,11,1,6
2,MORELIA,54,1069,B,177,137,84,4,8,0,4
2,MORELIA,54,1070,B,,,,,,,
2,MORELIA,54,1070,C,,,,,,,
2,MORELIA,54,1071,B,193,157,63,3,15,0,13
2,MORELIA,54,1072,B,395,104,47,2,9,1,4
2,MORELIA,54,1073,B,253,131,47,4,3,0,2
2,MORELIA,54,1074,B,,,,,,,
2,MORELIA,54,1074,C,,,,,,,
2,MORELIA,54,1079,B,282,165,47,0,2,0,9
2,MORELIA,54,1080,B,319,122,48,1,5,0,1
2,MORELIA,54,1107,B,147,144,110,4,8,0,12
2,MORELIA,54,1108,B,124,105,98,7,5,0,10
2,MORELIA,54,1108,C,,,,,,,
2,MORELIA,54,1109,B,119,73,63,1,10,0,7
2,MORELIA,54,1109,C,,,,,,,
2,MORELIA,54,1110,B,145,106,51,1,5,0,6
2,MORELIA,54,1110,C,155,100,41,1,3,1,7
2,MORELIA,54,1111,B,186,91,19,3,5,0,1
2,MORELIA,54,1111,C,,,,,,,
2,MORELIA,54,1111,ESP,0,0,0,0,0,0,0
2,MORELIA,54,1112,B,291,147,72,3,10,0,4
2,MORELIA,54,1113,B,284,138,88,5,10,0,0
2,MORELIA,54,1114,B,284,157,54,2,4,0,6
2,MORELIA,54,1115,B,179,67,40,3,4,0,2
2,MORELIA,54,1115,C,178,72,42,6,3,0,1
2,MORELIA,54,1116,B,,,,,,,
2,MORELIA,54,1116,C,,,,,,,
2,MORELIA,54,1117,B,,,,,,,
2,MORELIA,54,1117,C,,,,,,,
2,MORELIA,54,1118,B,191,85,25,1,1,0,3
2,MORELIA,54,1118,C,206,97,28,2,3,0,0
2,MORELIA,54,1119,B,170,73,36,1,3,0,5
2,MORELIA,54,1119,C,182,71,25,2,2,0,1
2,MORELIA,54,1120,B,,,,,,,
2,MORELIA,54,1120,C,197,86,30,2,3,0,1
2,MORELIA,54,1121,B,207,96,46,2,4,0,2
2,MORELIA,54,1121,C,210,114,36,1,5,0,10
2,MORELIA,54,1122,B,132,85,61,7,12,2,3
2,MORELIA,54,1122,C,117,97,54,5,6,0,8
2,MORELIA,54,1123,B,184,151,93,6,13,0,9
2,MORELIA,54,1124,B,196,127,80,8,21,0,4
2,MORELIA,54,1125,B,,,,,,,
2,MORELIA,54,1125,C,,,,,,,
2,MORELIA,54,1126,B,,,,,,,
2,MORELIA,54,1126,C,,,,,,,
2,MORELIA,54,1127,B,110,81,51,4,7,0,2
2,MORELIA,54,1127,C,138,73,42,2,6,0,9
2,MORELIA,54,1128,B,153,121,73,6,10,0,11
2,MORELIA,54,1128,C,139,105,74,9,11,0,18
2,MORELIA,54,1129,B,,,,,,,
2,MORELIA,54,1129,C,,,,,,,
2,MORELIA,54,1130,B,168,128,81,4,14,0,13
2,MORELIA,54,1131,B,118,70,92,5,13,0,19
2,MORELIA,54,1131,C,,,,,,,
2,MORELIA,54,1132,B,165,157,65,7,18,0,12
2,MORELIA,54,1133,B,,,,,,,
2,MORELIA,54,1133,C,106,122,47,5,8,0,9
2,MORELIA,54,1134,B,110,65,43,1,5,0,3
2,MORELIA,54,1134,C,,,,,,,
2,MORELIA,54,1135,B,142,81,79,1,16,0,8
2,MORELIA,54,1135,C,137,83,78,2,4,0,3
2,MORELIA,54,1136,B,,,,,,,
2,MORELIA,54,1136,C,123,92,86,2,5,0,7
2,MORELIA,54,1137,B,136,68,55,0,7,0,9
2,MORELIA,54,1137,C,125,75,63,1,9,0,0
2,MORELIA,54,1138,B,,,,,,,
2,MORELIA,54,1138,C,,,,,,,
2,MORELIA,54,1139,B,89,63,60,1,16,0,5
2,MORELIA,54,1139,C,100,51,74,5,18,0,10
2,MORELIA,54,1140,B,,,,,,,
2,MORELIA,54,1141,B,160,74,73,4,8,0,0
