CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0195,C02,40,66,9,3,,,,,54,7,8,35,20,11,15,0,268,23,291,597,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0195,C03,68,47,11,3,,,,,55,1,6,37,23,14,10,2,275,18,295,597,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0196,B,51,61,24,9,,,,,56,11,13,26,39,14,16,0,320,27,347,721,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0196,C01,65,75,20,10,,,,,56,3,10,29,38,18,14,0,338,21,359,721,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0196,C02,51,83,27,9,,,,,53,4,12,29,16,21,11,0,316,24,340,720,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0196,C03,67,52,17,5,,,,,81,4,12,30,30,13,10,0,321,29,350,720,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,B,66,43,21,4,,,,,79,1,9,42,37,15,7,0,324,24,348,669,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,C01,53,46,19,5,,,,,78,10,7,24,24,12,12,0,290,30,320,669,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,C02,50,46,16,7,,,,,78,2,6,29,28,13,16,0,291,19,310,668,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,C03,45,54,12,6,,,,,84,5,16,32,22,20,7,0,303,19,322,668,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,C04,53,53,14,4,,,,,68,4,16,49,19,11,10,1,301,24,326,668,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0197,C05,49,47,24,8,,,,,67,5,13,33,30,9,14,0,299,25,324,668,ACTA CASILLA,,,
,17,MORELOS,2,CUERNAVACA ORIENTE ,7,CUERNAVACA,0198,B,45,48,17,7,,,,,80,4,14,46,39,22,14,0,336,23,359,688,ACTA CASILLA,,,
