CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,138,B,139,72,,36,11,4,19,9,38,11,,,,,,2,7,0,1,0,349,15,364,654,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,139,B,89,62,,39,10,2,34,5,31,4,,,,,,2,7,0,0,0,285,16,301,555,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,140,B,81,36,,34,7,5,13,9,21,2,,,,,,1,6,0,0,1,216,11,227,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,B,69,26,,24,14,3,19,3,6,8,,,,,,5,5,1,0,0,183,8,191,385,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,C01,74,26,,22,14,4,9,6,8,7,,,,,,0,1,0,0,0,171,8,179,384,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,B,67,53,,41,18,2,14,3,12,3,,,,,,14,11,2,1,0,241,12,253,512,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,C01,76,63,,25,18,6,18,4,6,4,,,,,,9,4,0,0,0,233,12,245,511,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,B,100,44,,33,23,4,10,3,8,6,,,,,,3,5,0,0,0,239,12,251,572,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C01,119,42,,24,23,3,12,4,17,2,,,,,,5,8,2,0,1,262,8,270,572,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C02,95,63,,38,18,5,15,2,7,8,,,,,,4,3,0,0,1,259,9,268,571,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,B,122,72,,33,41,2,20,6,18,1,,,,,,9,7,0,0,0,331,12,343,704,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,C01,111,56,,46,22,4,24,9,18,3,,,,,,2,10,0,0,1,306,12,318,703,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,B,49,33,,15,8,2,9,5,39,8,,,,,,0,7,0,0,0,175,7,182,376,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,C01,40,28,,14,7,3,15,4,37,4,,,,,,1,1,0,0,0,154,15,169,376,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,146,B,97,46,,33,11,3,23,11,51,5,,,,,,2,4,1,0,0,287,5,292,637,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,147,B,103,59,,38,18,4,23,8,80,5,,,,,,4,8,1,0,0,351,18,369,688,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,148,B,117,67,,39,12,3,15,9,30,4,,,,,,6,4,0,0,0,306,16,322,541,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,149,B,101,64,,40,17,5,29,8,29,6,,,,,,4,9,0,0,1,313,13,326,597,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,150,B,63,57,,44,12,2,25,8,47,6,,,,,,4,8,0,0,0,276,14,290,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,151,B,94,60,,36,13,4,17,8,28,5,,,,,,7,9,0,0,0,281,12,293,636,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,B,57,37,,26,22,0,10,11,17,2,,,,,,1,0,0,0,0,183,6,189,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,C01,57,45,,19,16,5,15,3,17,5,,,,,,6,7,1,0,0,196,6,202,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,B,78,75,,68,18,3,25,3,27,5,,,,,,11,9,0,0,0,322,18,340,658,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,C01,73,63,,61,14,2,20,9,20,3,,,,,,5,17,0,0,0,287,13,300,658,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,B,76,59,,47,14,7,25,6,26,10,,,,,,7,1,0,0,1,279,11,290,570,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,C01,97,52,,33,13,2,22,7,26,0,,,,,,4,6,1,0,8,271,15,286,569,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,B,81,51,,20,19,9,17,7,26,17,,,,,,3,6,0,0,0,256,10,266,490,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,C01,98,66,,26,17,5,25,3,27,12,,,,,,8,4,0,0,0,291,5,296,490,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,B,90,44,,20,12,2,14,4,21,5,,,,,,3,0,0,0,0,215,9,224,458,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,C01,82,49,,31,15,1,17,3,21,7,,,,,,7,2,0,0,0,235,7,242,458,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01,136,80,,43,16,3,11,1,17,9,,,,,,0,8,2,0,0,326,13,339,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01C01,131,69,,32,20,1,14,6,14,22,,,,,,2,0,8,0,2,321,9,330,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01C02,131,65,,49,12,4,18,2,20,16,,,,,,3,6,1,0,1,328,19,347,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,B,95,46,,23,11,4,10,7,9,6,,,,,,3,2,0,0,0,216,6,222,410,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,C01,87,39,,16,14,4,12,2,17,7,,,,,,1,7,0,0,0,206,7,213,409,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,B,73,49,,16,13,5,10,7,16,5,,,,,,1,4,0,0,0,199,13,212,398,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,C01,78,33,,8,8,5,14,3,25,8,,,,,,4,7,1,0,2,196,7,203,397,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,159,B,126,69,,7,12,1,38,11,6,,,,,,,3,1,0,0,4,278,5,283,502,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,160,B,137,76,,7,8,9,33,11,15,,,,,,,3,2,0,0,2,303,10,313,488,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,161,B,184,93,,7,9,4,43,40,16,,,,,,,12,3,0,0,1,412,19,431,667,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,B,114,67,,16,6,2,21,10,14,,,,,,,6,2,1,0,4,263,8,271,427,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,C01,108,84,,8,4,1,28,19,11,,,,,,,6,6,1,0,1,277,11,288,427,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,163,B,201,100,,17,9,8,34,25,18,,,,,,,4,3,0,0,0,419,15,434,662,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,B,108,75,,10,9,5,17,14,4,,,,,,,2,3,0,0,1,248,17,265,432,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,C01,104,87,,6,8,0,21,9,11,,,,,,,7,1,0,0,1,255,11,266,432,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,B,115,67,,19,3,8,29,16,10,,,,,,,3,1,1,0,0,272,10,282,450,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,C01,124,76,,17,3,2,23,21,13,,,,,,,7,3,0,0,2,291,12,303,449,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,166,B,191,138,,15,11,2,42,22,14,,,,,,,4,2,0,0,0,441,30,471,686,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,B,146,88,,8,7,5,24,15,9,,,,,,,2,5,0,0,1,310,10,320,537,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,C01,138,94,,13,5,3,23,18,15,,,,,,,4,2,0,0,2,317,19,336,536,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,B,155,58,,15,6,3,24,8,8,,,,,,,3,2,0,0,0,282,6,288,496,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,C01,154,65,,13,6,4,23,11,10,,,,,,,4,3,1,0,3,297,12,309,495,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,B,70,37,,19,3,2,12,11,8,,,,,,,2,0,0,0,0,164,10,174,382,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,C01,87,30,,4,3,1,7,7,4,,,,,,,1,2,1,0,0,147,6,153,381,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,170,B,158,73,,20,2,5,16,20,7,,,,,,,1,5,0,0,0,307,10,317,528,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,171,B,187,68,,21,5,6,32,14,13,,,,,,,3,3,0,0,1,353,12,365,598,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,172,B,188,97,,24,7,11,25,15,13,,,,,,,5,7,0,0,0,392,24,416,694,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,B,121,73,,16,7,5,26,21,12,,,,,,,1,3,2,0,1,288,17,305,505,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,C01,132,73,,16,0,0,33,11,15,,,,,,,0,0,0,0,1,281,9,290,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,B,142,62,,15,5,5,24,16,17,,,,,,,2,3,0,0,1,292,8,300,491,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,C01,136,51,,20,9,3,10,8,14,,,,,,,2,2,1,0,2,258,13,271,491,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,B,151,84,,26,6,4,25,13,20,,,,,,,3,6,0,0,0,338,12,350,652,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,C01,134,86,,19,5,8,29,20,29,,,,,,,4,3,1,0,0,338,14,352,652,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,176,B,167,57,,21,11,5,28,7,13,,,,,,,2,3,0,0,1,315,19,334,552,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,177,B,197,51,,17,2,5,15,13,6,,,,,,,4,3,0,0,0,313,10,323,532,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,178,B,122,48,,39,7,5,14,19,14,,,,,,,4,5,1,0,2,280,9,289,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,B,100,53,,12,9,2,24,9,10,,,,,,,4,4,0,1,0,228,14,242,430,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,C01,132,42,,11,6,2,20,4,7,,,,,,,1,0,0,0,1,226,3,229,430,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,B,127,38,,11,11,2,11,7,14,,,,,,,3,2,0,0,1,227,4,231,455,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,C01,113,52,,11,7,4,18,14,10,,,,,,,1,3,0,0,0,233,10,243,455,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,B,159,54,,33,9,1,22,8,8,,,,,,,2,6,0,0,0,302,11,313,596,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,C01,148,79,,27,5,2,26,19,8,,,,,,,3,2,0,0,1,320,13,333,595,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,B,128,59,,18,1,1,9,8,6,,,,,,,0,3,0,0,0,233,16,249,416,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,C01,111,55,,21,2,4,5,6,5,,,,,,,5,2,0,0,0,216,7,223,415,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,183,B,196,81,,22,9,4,28,20,14,,,,,,,5,3,0,0,0,382,7,389,663,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,184,B,102,48,,10,3,3,12,4,6,,2,13,,,,3,1,0,0,0,207,6,213,327,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,185,B,129,65,,22,4,8,23,6,10,,8,88,,,,4,6,0,1,3,377,8,385,681,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,B,82,86,,16,5,4,14,3,15,,22,23,,,,3,1,0,0,0,274,5,279,435,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,C01,101,70,,16,5,5,32,5,19,,12,4,,,,2,3,0,0,0,274,9,283,435,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,B,114,64,,23,3,2,13,11,10,,12,10,,,,3,7,0,0,0,272,9,281,412,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,C01,97,74,,14,5,3,17,7,14,,13,16,,,,3,3,0,0,1,267,6,273,412,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,B,90,76,,14,6,3,19,8,21,,6,6,,,,2,2,0,0,0,253,10,263,378,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,C01,93,64,,15,3,2,14,6,25,,5,6,,,,3,1,1,0,0,238,11,249,378,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,B,121,85,,18,3,2,21,8,25,,11,4,,,,2,2,0,0,0,302,17,319,487,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,C01,105,77,,30,7,2,21,13,19,,10,8,,,,3,3,0,0,1,299,7,306,486,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,B,146,76,,17,2,6,25,6,21,,18,5,,,,3,1,0,0,0,326,12,338,567,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,C01,132,73,,30,4,5,35,9,27,,18,5,,,,3,0,0,0,0,341,11,352,567,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,B,111,65,,19,8,3,23,5,19,,18,8,,,,2,1,0,0,2,284,6,290,472,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,C01,125,90,,14,1,2,19,9,10,,20,6,,,,2,6,1,0,0,305,9,314,471,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,192,B,168,81,,44,9,6,39,9,64,,14,11,,,,3,4,1,0,0,453,20,473,735,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,B,94,86,,21,3,4,21,4,13,,3,20,,,,14,4,0,0,0,287,17,304,448,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,C01,108,91,,31,6,5,24,5,20,,13,2,,,,1,6,1,0,1,314,15,329,448,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,194,B,116,96,,17,6,7,34,11,32,,14,5,,,,4,8,0,0,0,350,8,358,552,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,195,B,113,91,,35,6,5,36,12,26,,13,13,,,,1,7,0,0,1,359,16,375,651,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,196,B,119,57,,19,3,3,16,4,16,,7,7,,,,1,2,0,0,1,255,7,262,454,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,196,C01,122,75,,14,5,4,14,10,15,,7,2,,,,5,0,0,0,1,274,10,284,454,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,B,118,85,,21,10,3,38,7,21,,8,9,,,,1,7,0,0,2,330,9,339,522,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,C01,117,59,,24,4,8,20,9,23,,19,7,,,,9,0,0,0,0,299,8,307,522,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,C02,139,66,,22,4,7,22,10,19,,15,6,,,,1,0,1,0,0,312,10,322,521,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,198,B,186,76,,31,11,11,17,9,12,,19,5,,,,4,4,0,0,0,385,19,404,681,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,199,B,156,93,,31,2,2,28,9,23,,15,6,,,,4,4,0,0,0,373,8,381,600,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,200,B,114,103,,29,7,8,30,12,28,,21,10,,,,1,4,1,1,1,370,20,390,633,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,201,B,111,58,,35,4,7,13,8,11,,12,8,,,,4,0,0,0,0,271,8,279,506,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,202,B,197,100,,23,8,7,35,9,24,,17,8,,,,2,1,0,0,0,431,16,447,670,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,202,C01,162,98,,38,4,2,38,10,24,,24,3,,,,3,4,1,0,0,411,18,429,669,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,203,B,93,41,,21,1,2,15,5,21,,7,7,,,,2,1,0,0,0,216,8,224,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,203,C01,117,34,,21,7,8,12,5,13,,7,8,,,,1,0,0,0,1,234,6,240,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,204,B,98,43,,18,1,3,0,10,18,,10,7,,,,1,0,0,0,1,210,16,226,433,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,204,C01,111,44,,17,6,1,18,3,15,,9,6,,,,1,1,0,0,0,232,10,242,432,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,205,B,159,51,,27,7,4,27,6,43,,12,4,,,,5,3,1,0,1,350,17,367,667,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,B,149,66,,36,8,6,32,8,26,,19,7,,,,3,5,0,0,0,365,11,376,666,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01,104,59,,41,2,2,10,3,41,,14,2,,,,0,3,0,0,0,281,9,290,610,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01C01,83,74,,22,0,0,11,3,48,,3,1,,,,0,0,0,0,0,245,0,245,609,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01C02,91,58,,33,5,4,13,5,54,,7,3,,,,1,5,1,0,0,280,15,295,609,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,226,B,171,48,,31,9,6,32,17,12,,,,,,,2,1,0,0,3,332,10,342,530,Acta casilla,,,
