Resultados para Ayuntamientos
Día y hora de captura,Distrito,Municipio,Demarcacion,Número de Casilla,Tipo de Casilla,PAN,PBN,PRD,PT,PRS,PMC,CI,NOREG,NULOS,Incidencia
2014-07-06 20:00:25,17,Tecuala,1,559,B,,157,121,8,3,0,,0,15,,
2014-07-06 20:01:08,18,Acaponeta,6,40,E1,,78,54,4,1,0,,0,1,,
2014-07-06 20:01:31,12,Santiago Ixcuintla,8,533,B,,69,18,0,0,0,,0,1,,
2014-07-06 20:02:01,17,Tecuala,3,556,B,,83,112,2,0,2,,0,1,,
2014-07-06 20:03:42,4,Tepic,11,803,E2,56,63,,25,1,2,,0,2,,
2014-07-06 20:04:28,10,Santiago Ixcuintla,2,454,B,,52,87,10,0,1,,0,2,,
2014-07-06 20:04:33,17,Tecuala,4,565,B,,71,43,4,1,1,,0,2,,
2014-07-06 20:05:28,10,Santiago Ixcuintla,3,503,B,,88,135,7,4,5,,0,0,,
2014-07-06 20:05:54,17,Tecuala,6,590,E1,,28,50,0,0,0,,0,0,,
2014-07-06 20:06:19,16,Rosamorada,2,286,E1,2,80,,38,1,5,5,0,4,,
2014-07-06 20:06:55,1,Tepic,4,672,B,59,16,,0,0,0,,0,0,,
2014-07-06 20:07:38,18,Acaponeta,7,48,B,,72,47,6,1,0,,0,6,,
2014-07-06 20:07:40,11,Santiago Ixcuintla,2,451,C01,,138,136,3,4,4,,0,9,,
2014-07-06 20:08:23,10,Santiago Ixcuintla,2,453,B,,82,89,14,0,0,,0,6,,
2014-07-06 20:08:45,16,Rosamorada,1,279,B,17,64,,52,3,2,1,0,2,,
2014-07-06 20:08:58,3,Santa María del Oro,4,428,B,,32,14,45,1,,,1,0,,
2014-07-06 20:09:35,8,Compostela,7,172,B,49,29,,0,0,1,,0,0,,
2014-07-06 20:09:38,9,San Blas,4,364,B,10,36,,2,0,0,44,0,3,,
2014-07-06 20:09:48,4,Xalisco,6,865,E1,64,72,,6,0,0,,0,0,,
2014-07-06 20:09:55,18,Acaponeta,5,23,B,,164,131,11,9,1,,0,0,,
2014-07-06 20:10:28,12,Santiago Ixcuintla,9,530,B,,158,170,4,0,0,,0,7,,
2014-07-06 20:11:20,7,Ahuacatlán,5,61,E1,59,22,,15,16,,,0,6,,
2014-07-06 20:11:50,10,Santiago Ixcuintla,2,456,B,,132,96,4,1,0,,0,10,,
2014-07-06 20:11:52,16,Rosamorada,2,284,B,4,57,,53,1,0,9,0,0,,
2014-07-06 20:12:32,3,Santa María del Oro,2,411,E1,,21,31,12,0,,,0,8,,
2014-07-06 20:12:58,13,Amatlán de Cañas,5,72,B,32,42,,2,,,,0,0,,
2014-07-06 20:13:05,11,Santiago Ixcuintla,6,487,E2,,26,19,4,0,0,,0,2,,
2014-07-06 20:13:31,18,Acaponeta,5,34,B,,72,66,4,1,1,,0,3,,
2014-07-06 20:15:01,8,Compostela,5,157,E1,35,33,,4,4,2,,0,4,,
2014-07-06 20:15:22,10,Santiago Ixcuintla,3,503,C01,,102,110,13,3,4,,0,9,,
2014-07-06 20:15:55,14,Bahía de Banderas,1,98,E1,,95,115,10,0,71,,0,11,,
2014-07-06 20:16:00,7,Ahuacatlán,5,62,B,59,71,,13,21,,,0,3,,
2014-07-06 20:16:00,11,Santiago Ixcuintla,1,439,B,,116,152,8,0,0,,0,4,,
2014-07-06 20:16:06,13,Ixtlán del Río,7,235,B,26,148,,70,0,,0,0,3,,
2014-07-06 20:17:04,17,Tecuala,2,561,B,,163,134,2,1,0,,0,0,,
2014-07-06 20:17:23,18,Acaponeta,4,15,B,,157,124,5,16,6,,0,5,,
2014-07-06 20:17:24,3,Tepic,7,966,B,98,71,,5,0,3,,1,5,,
2014-07-06 20:17:30,14,Bahía de Banderas,1,98,E2,,54,105,2,0,97,,0,3,,
2014-07-06 20:17:54,17,Tecuala,2,560,B,,137,102,3,0,0,,0,9,,
2014-07-06 20:19:40,12,Santiago Ixcuintla,7,514,E1,,35,10,0,0,0,,0,0,,
2014-07-06 20:20:32,12,Santiago Ixcuintla,7,486,B,,140,34,2,1,1,,0,4,,
2014-07-06 20:21:38,12,Santiago Ixcuintla,7,481,B,,60,50,0,0,0,,0,0,,
2014-07-06 20:21:53,13,Amatlán de Cañas,2,86,B,39,192,,6,,,,0,4,,
2014-07-06 20:21:56,12,Santiago Ixcuintla,7,514,B,,95,59,0,1,0,,0,0,,
2014-07-06 20:22:04,14,Bahía de Banderas,9,93,B,,73,60,2,0,2,,0,4,,
2014-07-06 20:22:21,15,Tuxpan,3,829,B,72,105,,14,,29,,0,0,,
2014-07-06 20:23:19,10,Santiago Ixcuintla,4,542,E1,,59,62,1,2,0,,0,0,,
2014-07-06 20:23:36,9,San Blas,5,375,B,12,36,,0,0,0,56,0,0,,
2014-07-06 20:23:36,5,Tepic,1,600,B,164,103,,16,3,5,,0,8,,
2014-07-06 20:23:57,14,Bahía de Banderas,8,107,B,,192,118,4,2,96,,2,18,,
2014-07-06 20:24:03,8,Compostela,3,143,E1,15,63,,2,0,0,,0,0,,
2014-07-06 20:24:28,1,Tepic,4,698,B,162,73,,7,4,5,,0,1,,
2014-07-06 20:24:29,13,Amatlán de Cañas,5,73,B,13,48,,0,,,,0,1,,
2014-07-06 20:24:38,16,Ruíz,1,344,B,154,121,,5,2,0,,0,8,,
2014-07-06 20:25:01,1,Tepic,4,684,B,99,28,,5,4,0,,1,4,,
2014-07-06 20:25:02,6,La Yesca,3,868,B,26,250,,1,,,,0,5,,
2014-07-06 20:25:36,10,Santiago Ixcuintla,3,520,B,,193,152,3,4,4,,0,0,,
2014-07-06 20:25:37,15,Tuxpan,3,817,B,59,159,,3,,43,,0,4,,
2014-07-06 20:25:39,8,Compostela,5,153,B,24,95,,2,0,4,,1,5,,
2014-07-06 20:25:59,3,Santa María del Oro,4,432,B,,54,24,13,0,,,0,6,,
2014-07-06 20:26:11,16,Ruíz,7,346,E2,56,34,,1,0,0,,0,1,,
2014-07-06 20:26:15,1,Tepic,4,682,B,104,30,,8,0,1,,1,2,,
2014-07-06 20:26:26,18,Acaponeta,6,41,B,,137,103,1,2,2,,0,4,,
2014-07-06 20:27:00,1,Tepic,4,689,B,195,79,,7,1,0,,0,7,,
2014-07-06 20:28:16,1,Tepic,4,699,B,106,78,,6,0,1,,0,0,,
2014-07-06 20:28:24,16,Rosamorada,4,307,B,128,193,,17,0,2,5,0,6,,
2014-07-06 20:29:51,8,Compostela,3,143,B,42,87,,1,0,0,,0,2,,
2014-07-06 20:30:00,4,Tepic,11,771,E1,19,63,,0,0,0,,0,0,,
2014-07-06 20:30:12,16,Rosamorada,6,316,B,17,58,,1,0,0,3,0,3,,
2014-07-06 20:30:28,9,San Blas,5,377,B,4,25,,1,2,0,53,0,0,,
2014-07-06 20:30:54,3,Santa María del Oro,4,434,B,,53,15,3,0,,,0,1,,
2014-07-06 20:31:42,18,Acaponeta,2,2,E1,,113,144,10,2,2,,0,0,,
2014-07-06 20:31:51,10,Santiago Ixcuintla,3,500,B,,122,78,12,3,7,,0,0,,
2014-07-06 20:32:38,17,Tecuala,1,550,C01,,,,,,,,,,Votos en blanco,
2014-07-06 20:33:04,16,Rosamorada,6,316,E2,18,31,,5,0,2,2,0,1,,
2014-07-06 20:33:06,5,Tepic,2,603,C01,146,113,,8,7,3,,0,10,,
2014-07-06 20:33:37,10,Santiago Ixcuintla,3,492,B,,104,79,5,1,4,,0,9,,
2014-07-06 20:33:39,9,San Blas,5,381,B,27,30,,7,0,0,38,0,7,,
2014-07-06 20:33:40,18,Acaponeta,3,6,B,,158,125,4,7,1,,0,10,,
2014-07-06 20:33:40,5,Tepic,2,603,B,158,116,,12,1,3,,1,15,,
2014-07-06 20:33:44,16,Ruíz,6,339,B,69,51,,3,0,0,,0,2,,
2014-07-06 20:34:05,8,Compostela,3,142,B,26,51,,1,0,1,,0,0,,
2014-07-06 20:34:18,13,Amatlán de Cañas,1,66,B,153,179,,9,,,,0,7,,
2014-07-06 20:34:25,4,Tepic,11,791,B,33,54,,4,0,1,,0,1,,
2014-07-06 20:34:26,16,Rosamorada,7,293,B,41,121,,15,0,4,4,0,0,,
2014-07-06 20:34:26,10,Santiago Ixcuintla,4,499,B,,120,62,0,2,4,,0,12,,
2014-07-06 20:34:34,3,Santa María del Oro,5,417,B,,25,13,65,2,,,0,0,,
2014-07-06 20:34:56,10,Santiago Ixcuintla,3,501,B,,132,133,8,1,7,,0,12,,
2014-07-06 20:35:15,9,San Blas,4,358,B,25,83,,2,1,7,101,0,14,,
2014-07-06 20:36:02,17,Tecuala,1,550,E1,,,,,,,,,,Votos ilegibles,
2014-07-06 20:36:24,13,Amatlán de Cañas,1,69,B,142,170,,4,,,,0,10,,
2014-07-06 20:36:27,4,Tepic,9,919,B,210,52,,2,2,7,,0,3,,
2014-07-06 20:37:34,1,Tepic,4,690,B,166,72,,5,1,3,,0,7,,
2014-07-06 20:37:46,16,Rosamorada,1,280,B,36,92,,62,1,3,0,0,3,,
2014-07-06 20:37:54,3,Santa María del Oro,5,417,E1,,23,4,78,1,,,0,2,,
2014-07-06 20:38:09,12,Santiago Ixcuintla,8,519,B,,145,92,6,1,2,,0,2,,
2014-07-06 20:38:13,18,Acaponeta,3,11,B,,126,73,3,15,6,,0,3,,
2014-07-06 20:38:38,1,Tepic,6,939,B,176,109,,8,1,11,,0,0,,
2014-07-06 20:38:49,2,Tepic,3,887,B,141,104,,20,2,4,,0,9,,
2014-07-06 20:38:50,9,San Blas,5,379,B,4,9,,0,0,0,44,0,3,,
2014-07-06 20:38:59,3,Santa María del Oro,6,419,B,,147,42,159,3,,,0,0,,
2014-07-06 20:39:52,2,Tepic,3,898,B,133,110,,8,2,5,,0,5,,
2014-07-06 20:39:58,16,Ruíz,3,325,B,138,175,,2,0,2,,1,8,,
2014-07-06 20:40:00,10,Santiago Ixcuintla,3,504,B,,158,148,9,4,6,,0,18,,
2014-07-06 20:40:03,15,Tuxpan,3,818,B,50,125,,4,,26,,0,7,,
2014-07-06 20:40:26,17,Tecuala,1,551,B,,143,138,89,20,1,,0,0,,
2014-07-06 20:40:47,2,Tepic,11,772,E1,51,58,,17,0,0,,0,0,,
2014-07-06 20:41:03,13,Amatlán de Cañas,5,74,E1,22,52,,10,,,,0,3,,
2014-07-06 20:41:08,16,Rosamorada,3,299,B,86,158,,76,0,12,21,0,0,,
2014-07-06 20:41:09,3,Tepic,7,971,B,95,77,,4,1,0,,0,5,,
2014-07-06 20:41:10,16,Rosamorada,1,278,B,11,96,,56,0,2,5,0,6,,
2014-07-06 20:41:40,13,Ixtlán del Río,7,237,B,5,61,,50,1,,2,0,5,,
2014-07-06 20:42:00,17,Tecuala,6,595,B,,231,34,0,1,0,,0,6,,
2014-07-06 20:42:18,1,Tepic,4,675,B,130,51,,11,0,5,,0,3,,
2014-07-06 20:42:55,18,Acaponeta,7,25,B,,45,25,1,1,0,,0,0,,
2014-07-06 20:43:01,17,Tecuala,5,577,B,,239,98,1,1,2,,0,0,,
2014-07-06 20:43:02,11,Santiago Ixcuintla,6,471,B,,163,151,4,3,0,,0,10,,
2014-07-06 20:43:12,1,Tepic,4,673,B,157,103,,6,1,4,,0,8,,
2014-07-06 20:43:23,16,Ruíz,6,342,B,115,110,,4,2,0,,0,2,,
2014-07-06 20:43:36,15,Tuxpan,4,820,B,70,122,,12,,39,,0,3,,
2014-07-06 20:43:41,2,Tepic,4,905,C01,163,101,,14,4,0,,0,7,,
2014-07-06 20:43:46,18,Acaponeta,7,31,B,,185,55,0,0,4,,0,5,,
2014-07-06 20:43:51,4,Tepic,11,790,B,45,143,,4,0,2,,0,1,,
2014-07-06 20:43:53,18,Huajicori,5,209,B,,29,37,0,0,,,0,1,,
2014-07-06 20:44:26,4,Xalisco,7,864,E1,43,44,,8,1,5,,0,2,,
2014-07-06 20:44:43,10,Santiago Ixcuintla,3,532,B,,193,99,6,3,1,,0,11,,
2014-07-06 20:45:18,17,Tecuala,4,580,B,,254,179,7,3,0,,0,0,,
2014-07-06 20:45:30,18,Acaponeta,1,8,B,,262,245,5,3,6,,0,6,,
2014-07-06 20:45:33,2,Tepic,4,908,B,209,134,,12,5,5,,0,15,,
2014-07-06 20:45:47,1,Tepic,6,942,C01,186,85,,5,0,7,,0,5,,
2014-07-06 20:46:17,16,Rosamorada,7,285,B,117,98,,26,9,13,21,0,12,,
2014-07-06 20:46:27,1,Tepic,6,938,B,137,78,,9,4,2,,1,3,,
2014-07-06 20:46:37,16,Rosamorada,5,311,E1,86,79,,11,0,0,1,0,5,,
2014-07-06 20:46:48,9,San Blas,4,372,B,39,44,,5,1,2,50,0,20,,
2014-07-06 20:47:23,16,Rosamorada,7,294,B,18,55,,33,0,1,6,0,8,,
2014-07-06 20:48:00,3,Tepic,7,969,B,132,98,,2,1,2,,1,2,,
2014-07-06 20:48:05,3,Tepic,7,764,C02,214,145,,13,2,6,,0,10,,
2014-07-06 20:49:12,5,Tepic,1,600,C01,135,123,,15,1,4,,0,0,,
2014-07-06 20:49:22,8,Compostela,5,154,B,173,82,,5,1,0,,0,7,,
2014-07-06 20:49:52,12,Santiago Ixcuintla,8,510,B,,118,103,1,1,1,,0,0,,
2014-07-06 20:49:54,3,Santa María del Oro,3,424,E1,,60,13,33,1,,,0,4,,
2014-07-06 20:49:56,1,Tepic,4,697,B,189,93,,7,2,5,,0,3,,
2014-07-06 20:50:23,17,Tecuala,7,576,B,,201,252,18,5,0,,0,8,,
2014-07-06 20:50:31,2,Tepic,4,902,B,185,101,,8,2,5,,0,9,,
2014-07-06 20:51:00,10,Santiago Ixcuintla,6,469,B,,178,98,4,2,6,,0,31,,
2014-07-06 20:51:15,16,Rosamorada,3,301,C01,105,156,,66,0,9,0,0,0,,
2014-07-06 20:51:46,18,Huajicori,1,196,C01,,218,227,18,0,,,0,4,,
2014-07-06 20:52:09,2,Tepic,3,649,B,211,117,,11,1,3,,0,7,,
2014-07-06 20:52:13,18,Acaponeta,7,30,B,,39,111,5,2,0,,0,0,,
2014-07-06 20:52:27,2,Tepic,3,880,B,223,136,,16,2,2,,0,20,,
2014-07-06 20:52:45,8,Compostela,3,140,B,109,198,,2,0,3,,0,6,,
2014-07-06 20:52:46,16,Rosamorada,6,319,B,54,107,,9,0,0,0,0,9,,
2014-07-06 20:52:51,15,Tuxpan,6,838,B,142,143,,7,,33,,0,0,,
2014-07-06 20:52:58,18,Acaponeta,7,26,B,,62,53,0,5,0,,0,1,,
2014-07-06 20:53:19,5,Tepic,1,912,B,105,82,,9,4,2,,0,5,,
2014-07-06 20:53:30,13,Ixtlán del Río,1,236,B,25,166,,118,2,,4,0,8,,
2014-07-06 20:53:34,13,Ixtlán del Río,1,236,C01,24,197,,95,2,,6,0,18,,
2014-07-06 20:53:42,10,Santiago Ixcuintla,3,532,C01,,165,113,9,1,2,,0,11,,
2014-07-06 20:54:14,17,Tecuala,7,571,B,,186,342,4,6,0,,0,0,,
2014-07-06 20:54:25,16,Rosamorada,3,301,B,114,180,,60,0,16,6,0,11,,
2014-07-06 20:54:27,1,Tepic,4,686,B,98,69,,7,0,3,,0,6,,
2014-07-06 20:54:32,1,Tepic,6,939,C01,194,127,,5,1,10,,0,1,,
2014-07-06 20:54:50,18,Acaponeta,5,22,B,,83,84,1,1,0,,0,4,,
2014-07-06 20:54:52,8,Compostela,5,157,B,114,131,,10,1,31,,0,12,,
2014-07-06 20:55:08,16,Rosamorada,2,287,B,28,166,,128,1,8,8,0,0,,
2014-07-06 20:55:29,3,Santa María del Oro,6,426,B,,45,16,75,4,,,0,7,,
2014-07-06 20:55:34,18,Huajicori,5,210,E1,,18,45,2,0,,,0,0,,
2014-07-06 20:55:51,17,Tecuala,6,592,B,,83,73,4,3,0,,0,0,,
2014-07-06 20:55:52,18,Huajicori,1,197,B,,206,195,8,3,,,0,6,,
2014-07-06 20:55:55,5,Tepic,2,638,B,179,132,,13,3,4,,0,0,,
2014-07-06 20:56:19,16,Ruíz,6,340,B,118,117,,6,2,1,,0,0,,
2014-07-06 20:56:27,4,Tepic,9,717,B,50,29,,0,1,1,,0,1,,
2014-07-06 20:56:28,4,Tepic,11,771,B,55,105,,0,1,0,,0,0,,
2014-07-06 20:56:31,13,Amatlán de Cañas,5,74,B,34,186,,14,,,,0,5,,
2014-07-06 20:56:55,12,Santiago Ixcuintla,7,478,E1,,45,59,0,2,0,,0,0,,
2014-07-06 20:57:04,15,Tuxpan,6,838,C01,131,161,,4,,28,,0,0,,
2014-07-06 20:57:27,17,Tecuala,4,582,B,,,,,,,,,,Cifras no coincidentes,
2014-07-06 20:57:48,14,Bahía de Banderas,9,103,C01,,109,269,3,0,19,,0,5,,
2014-07-06 20:58:03,10,Santiago Ixcuintla,6,475,B,,135,94,6,1,7,,0,0,,
2014-07-06 20:58:07,13,Amatlán de Cañas,3,81,B,52,99,,7,,,,2,10,,
2014-07-06 20:58:18,10,Santiago Ixcuintla,2,444,B,,94,135,6,0,0,,0,3,,
2014-07-06 20:58:55,3,Tepic,7,970,B,93,82,,9,3,2,,1,5,,
2014-07-06 20:59:32,13,Ixtlán del Río,5,228,B,51,148,,146,2,,0,0,0,,
2014-07-06 20:59:32,10,Santiago Ixcuintla,2,446,B,,150,165,9,0,2,,1,5,,
2014-07-06 20:59:32,17,Tecuala,5,586,B,,228,203,1,0,1,,0,0,,
2014-07-06 20:59:48,3,Santa María del Oro,5,414,E1,,100,38,58,4,,,0,10,,
2014-07-06 20:59:57,1,Tepic,6,943,B,174,124,,10,1,2,,1,8,,
2014-07-06 21:00:02,11,Santiago Ixcuintla,8,508,C01,,191,112,0,0,0,,0,0,,
2014-07-06 21:00:35,7,Ahuacatlán,4,64,B,20,78,,47,10,,,0,6,,
2014-07-06 21:00:52,14,Bahía de Banderas,8,106,B,,208,164,5,5,90,,1,17,,
2014-07-06 21:01:26,2,Tepic,3,881,B,216,111,,16,5,2,,0,0,,
2014-07-06 21:01:45,17,Tecuala,4,579,B,,220,186,5,1,5,,0,16,,
2014-07-06 21:02:00,14,Bahía de Banderas,8,106,C01,,245,153,4,2,78,,0,16,,
2014-07-06 21:02:20,11,Santiago Ixcuintla,2,452,B,,138,99,5,0,1,,0,0,,
2014-07-06 21:02:22,17,Tecuala,6,594,B,,136,100,3,4,1,,0,5,,
2014-07-06 21:02:38,5,Tepic,1,659,B,164,127,,6,2,7,,0,12,,
2014-07-06 21:03:12,1,Tepic,5,715,B,173,140,,6,5,5,,1,5,,
2014-07-06 21:03:47,3,Tepic,7,961,B,113,117,,5,3,5,,1,3,,
2014-07-06 21:03:58,16,Rosamorada,7,291,E1,22,32,,25,1,1,17,0,13,,
2014-07-06 21:04:08,3,Santa María del Oro,3,424,B,,66,77,13,1,,,1,9,,
2014-07-06 21:04:21,15,Tuxpan,4,826,B,91,155,,5,,41,,0,6,,
2014-07-06 21:04:48,14,Bahía de Banderas,2,113,C01,,130,69,8,0,53,,2,13,,
2014-07-06 21:05:07,13,Amatlán de Cañas,5,71,B,43,93,,4,,,,1,2,,
2014-07-06 21:05:19,1,Tepic,5,704,B,127,69,,6,3,3,,2,4,,
2014-07-06 21:05:23,18,Acaponeta,5,20,B,,49,64,4,0,0,,0,0,,
2014-07-06 21:05:25,18,Acaponeta,5,19,B,,64,26,1,0,0,,1,2,,
2014-07-06 21:05:37,17,Tecuala,2,552,B,,219,172,13,0,0,,0,19,,
2014-07-06 21:05:48,16,Rosamorada,6,316,E1,23,48,,15,0,20,0,0,5,,
2014-07-06 21:05:54,16,Rosamorada,6,292,E1,27,45,,10,0,0,3,0,13,,
2014-07-06 21:06:06,17,Tecuala,2,558,B,,159,97,3,2,1,,0,0,,
2014-07-06 21:06:13,18,Acaponeta,5,23,E1,,70,38,2,0,0,,0,1,,
2014-07-06 21:06:17,6,El Nayar,2,264,E1,50,50,,2,,4,,0,0,,
2014-07-06 21:06:33,4,Tepic,11,793,B,82,136,,6,0,0,,0,5,,
2014-07-06 21:06:35,15,Tuxpan,4,834,B,89,161,,7,,49,,0,0,,
2014-07-06 21:06:47,17,Tecuala,2,562,B,,209,166,3,2,0,,2,9,,
2014-07-06 21:06:56,3,Tepic,7,964,B,102,92,,7,1,5,,0,3,,
2014-07-06 21:06:59,14,Bahía de Banderas,9,95,B,,90,132,1,0,3,,1,1,,
2014-07-06 21:07:09,13,Amatlán de Cañas,2,89,B,86,196,,2,,,,1,3,,
2014-07-06 21:07:24,8,San Pedro Lagunillas,3,404,B,54,105,,2,,14,,0,2,,
2014-07-06 21:07:36,3,Tepic,7,764,B,249,153,,7,1,3,,0,10,,
2014-07-06 21:07:38,12,Santiago Ixcuintla,7,516,B,,197,156,0,0,1,,0,8,,
2014-07-06 21:07:43,17,Tecuala,4,582,C01,,200,115,12,1,2,,0,0,,
2014-07-06 21:07:48,18,Acaponeta,6,40,B,,225,158,2,3,2,,0,7,,
2014-07-06 21:07:50,18,Acaponeta,5,21,B,,205,122,3,1,1,,0,10,,
2014-07-06 21:08:07,12,Santiago Ixcuintla,9,524,B,,124,217,4,0,0,,1,9,,
2014-07-06 21:08:18,17,Tecuala,6,589,B,,117,36,1,0,0,,0,0,,
2014-07-06 21:08:27,14,Bahía de Banderas,2,113,B,,112,102,6,1,41,,0,9,,
2014-07-06 21:08:45,2,Tepic,3,621,B,150,82,,6,1,2,,0,10,,
2014-07-06 21:08:56,4,Tepic,8,744,B,254,154,,14,8,7,,4,6,,
2014-07-06 21:09:26,11,Santiago Ixcuintla,8,506,B,,131,93,1,0,0,,0,0,,
2014-07-06 21:09:30,16,Rosamorada,4,303,B,32,234,,12,0,45,6,0,0,,
2014-07-06 21:09:37,4,Xalisco,7,861,B,333,233,,0,1,2,,1,7,,
2014-07-06 21:09:48,7,Jala,5,245,B,41,83,,1,,,,0,0,,
2014-07-06 21:09:51,16,Ruíz,6,345,B,187,87,,3,0,1,,1,8,,
2014-07-06 21:10:01,15,Tuxpan,3,832,B,120,197,,20,,84,,0,17,,
2014-07-06 21:10:28,16,Rosamorada,3,298,B,71,153,,88,0,6,12,0,48,,
2014-07-06 21:10:45,4,Tepic,9,718,B,197,174,,7,6,0,,0,5,,
2014-07-06 21:11:13,14,Bahía de Banderas,6,120,B,,131,126,3,3,167,,2,16,,
2014-07-06 21:11:37,3,Santa María del Oro,3,423,B,,144,91,38,5,,,1,10,,
2014-07-06 21:11:45,17,Tecuala,1,550,B,,206,166,6,1,5,,0,0,,
2014-07-06 21:11:45,3,Tepic,7,956,B,148,87,,16,0,2,,0,4,,
2014-07-06 21:11:51,8,San Pedro Lagunillas,3,404,E1,35,31,,1,,13,,0,0,,
2014-07-06 21:12:03,13,Ixtlán del Río,5,229,B,48,196,,177,10,,6,0,18,,
2014-07-06 21:12:13,2,Tepic,4,905,B,145,104,,15,0,11,,0,12,,
2014-07-06 21:12:39,13,Ixtlán del Río,7,238,B,27,104,,57,3,,4,0,11,,
2014-07-06 21:12:42,13,Ixtlán del Río,7,234,B,23,63,,63,1,,0,0,6,,
2014-07-06 21:12:43,10,Santiago Ixcuintla,2,443,B,,182,185,8,1,1,,1,0,,
2014-07-06 21:12:54,8,Compostela,3,176,B,163,193,,11,3,3,,1,4,,
2014-07-06 21:13:17,7,Ahuacatlán,5,63,B,60,100,,10,38,,,0,5,,
2014-07-06 21:13:20,16,Rosamorada,4,308,B,48,224,,5,0,6,75,1,7,,
2014-07-06 21:13:21,13,Amatlán de Cañas,4,77,B,153,146,,8,,,,2,7,,
2014-07-06 21:13:27,5,Tepic,1,915,B,125,113,,5,2,3,,0,4,,
2014-07-06 21:13:49,3,Tepic,8,753,C01,221,133,,23,2,11,,0,12,,
2014-07-06 21:13:53,14,Bahía de Banderas,7,116,C05,,131,79,6,1,96,,0,6,,
2014-07-06 21:13:55,17,Tecuala,4,568,B,,271,168,3,2,0,,0,0,,
2014-07-06 21:14:09,11,Santiago Ixcuintla,6,487,E1,,128,65,3,2,1,,0,0,,
2014-07-06 21:14:18,1,Tepic,4,669,B,206,140,,8,1,0,,0,12,,
