ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,114,VILLA GUERRERO,25,67,2100,,11464,,0,2647,,408,257,86,27,7148,0,0,0,0,0,0,0,0,0,452,20,24589,676,25285,39324,0.643
15,MEXICO,115,VILLA VICTORIA,43,106,,,293,,,160,,324,730,190,71,26098,12856,0,0,0,0,0,0,0,0,0,9,40722,1031,41762,58251,0.7169
15,MEXICO,116,XONACATLAN,14,57,,,378,,,7216,,553,248,0,163,6549,7459,0,0,0,0,0,0,0,0,0,16,22566,689,23271,37396,0.6223
15,MEXICO,117,ZACAZONAPAN,2,6,295,,1467,,4,0,,0,0,0,0,963,0,0,0,0,0,0,0,0,0,0,2,2729,52,2783,3328,0.8362
15,MEXICO,118,ZACUALPAN,15,25,479,,306,,209,2106,,1011,103,0,0,3249,0,0,0,0,0,0,0,0,0,0,0,7463,220,7683,10217,0.752
15,MEXICO,119,ZINACANTEPEC,47,176,15878,19573,2635,1034,5255,3517,3278,2461,1154,1930,1973,0,0,0,0,0,0,0,0,0,0,0,37,58688,2578,61303,111733,0.5487
15,MEXICO,120,ZUMPAHUACAN,11,22,,,792,,,0,,59,88,18,0,4502,2888,0,0,0,0,0,0,0,0,0,0,8347,260,8607,11361,0.7576
15,MEXICO,121,ZUMPANGO,44,186,10996,21460,6165,787,2174,2302,4923,4246,1313,2050,210,0,0,0,0,0,0,0,0,0,0,0,32,56626,1675,58333,121398,0.4805
15,MEXICO,122,VALLE DE CHALCO SOLIDARIDAD,115,391,,,28813,,,18874,,24966,2295,4144,0,28676,4348,0,0,0,0,0,0,0,0,0,73,112116,4478,116667,247881,0.4707
15,MEXICO,123,LUVIANOS,27,47,,,5635,,,49,,50,0,10,0,4014,5216,0,0,0,0,0,0,0,0,0,0,14974,451,15425,21466,0.7186
15,MEXICO,124,SAN JOSE DEL RINCON,43,105,12493,12858,1827,356,459,434,753,436,0,253,330,0,0,0,0,0,0,0,0,0,0,0,5,30199,1784,31988,59089,0.5414
15,MEXICO,125,TONANITLA,3,11,748,,155,,1090,315,,412,23,797,0,999,0,0,0,0,0,0,0,0,0,0,1,4539,88,4628,7194,0.6433
