MUNICIPIO,Dtto,SECCION,PAN,PRI,PRD,PT,PVEM,PUDC,PCC,CCM1,CCM2,VALIDOS,NULOS,TOTAL
Arteaga,6,59,220,382,90,14,0,0,0,0,0,706,11,717
Arteaga,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Arteaga,6,61,8,81,8,2,0,0,0,0,0,99,0,99
Arteaga,6,62,8,105,15,3,0,0,0,0,0,131,7,138
Arteaga,6,63,63,254,25,12,0,0,0,0,0,354,6,360
Arteaga,6,64,24,321,2,8,0,0,0,0,0,355,12,367
Arteaga,6,65,3,13,0,0,0,0,0,0,0,16,0,16
Arteaga,6,66,26,159,0,3,0,0,0,0,0,188,9,197
Arteaga,6,67,22,68,3,0,0,0,0,0,0,93,1,94
Arteaga,6,68,10,98,2,21,0,0,0,0,0,131,3,134
Arteaga,6,69,73,382,10,5,0,0,0,0,0,470,24,494
Arteaga,6,70,22,201,6,3,0,0,0,0,0,232,6,238
Arteaga,6,71,3,51,1,18,0,0,0,0,0,73,0,73
Arteaga,6,72,12,55,1,1,0,0,0,0,0,69,4,73
Arteaga,6,73,15,104,1,4,0,0,0,0,0,124,4,128
Arteaga,6,74,30,229,1,3,0,0,0,0,0,263,7,270
Arteaga,6,75,290,585,2,18,0,0,0,0,0,895,42,937
Arteaga,6,76,19,70,0,1,0,0,0,0,0,90,7,97
Arteaga,6,77,18,85,0,0,0,0,0,0,0,103,0,103
Arteaga,6,78,31,271,4,11,0,0,0,0,0,317,10,327
Arteaga,6,79,50,494,13,12,0,0,0,0,0,569,19,588
Arteaga,6,80,34,155,2,0,0,0,0,0,0,191,1,192
Candela,16,81,85,216,17,0,0,1,0,0,0,319,4,323
Candela,16,82,191,386,29,0,0,1,0,0,0,607,14,621
Candela,16,83,61,129,0,0,0,0,0,0,0,190,2,192
Castaños,15,84,104,242,306,62,0,2,0,0,0,716,14,730
Castaños,15,85,92,132,134,15,0,1,0,1,0,375,5,380
Castaños,15,86,92,125,90,8,0,0,0,0,0,315,8,323
Castaños,15,87,225,267,264,28,0,11,0,0,0,795,16,811
Castaños,15,88,125,216,305,42,0,2,0,1,0,691,5,696
Castaños,15,89,89,312,355,47,0,0,0,0,0,803,12,815
Castaños,15,90,90,258,171,68,0,3,0,0,0,590,7,597
Castaños,15,91,50,261,201,87,0,0,0,0,0,599,8,607
Castaños,15,92,65,200,199,41,0,1,0,0,0,506,8,514
Castaños,15,93,75,219,155,20,0,2,0,0,0,471,11,482
Castaños,15,94,277,211,269,21,0,2,0,0,0,780,8,788
Castaños,15,95,195,256,225,63,0,0,0,0,0,739,9,748
Castaños,15,96,195,227,200,55,0,1,0,0,0,678,9,687
Castaños,15,97,9,147,31,12,0,0,0,0,0,199,5,204
Castaños,15,98,4,49,22,8,0,0,0,0,0,83,1,84
Castaños,15,99,4,44,8,2,0,0,0,0,0,58,1,59
Castaños,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Castaños,15,101,4,20,10,5,0,1,0,0,0,40,2,42
Castaños,15,102,2,53,8,1,0,0,0,0,0,64,6,70
Castaños,15,103,8,19,12,2,0,1,0,0,0,42,0,42
Castaños,15,104,10,92,32,10,0,0,0,0,0,144,7,151
Castaños,15,105,1,56,24,6,0,0,0,0,0,87,21,108
Castaños,15,106,5,58,32,9,0,0,0,0,0,104,4,108
Castaños,15,107,6,36,7,5,0,0,0,0,0,54,2,56
Castaños,15,108,1,122,6,0,0,0,0,0,0,129,1,130
Castaños,15,109,4,53,31,0,0,0,0,0,0,88,0,88
Cuatrociénegas,14,110,67,183,57,1,0,58,0,0,0,366,5,371
Cuatrociénegas,14,111,110,329,112,1,0,50,3,1,0,606,7,613
Cuatrociénegas,14,112,89,230,55,0,0,34,1,0,0,409,6,415
Cuatrociénegas,14,113,110,374,166,3,0,48,4,0,0,705,14,719
Cuatrociénegas,14,114,107,248,70,1,0,55,2,0,0,483,11,494
Cuatrociénegas,14,115,116,248,106,4,0,40,8,3,0,525,11,536
Cuatrociénegas,14,116,168,372,137,2,0,90,8,0,0,777,15,792
Cuatrociénegas,14,117,2,16,22,0,0,2,0,0,0,42,3,45
Cuatrociénegas,14,118,4,29,30,0,0,1,1,0,0,65,0,65
Cuatrociénegas,14,119,0,31,28,0,0,15,0,0,0,74,1,75
Cuatrociénegas,0,120,0,0,0,0,0,0,0,0,0,0,0,0
Cuatrociénegas,14,121,7,59,17,1,0,0,0,0,0,84,1,85
Cuatrociénegas,14,122,7,104,71,0,0,5,1,0,0,188,4,192
Cuatrociénegas,14,123,28,148,58,0,0,28,0,0,0,262,7,269
Cuatrociénegas,14,124,1,75,41,1,0,1,0,0,0,119,2,121
Cuatrociénegas,14,125,8,60,28,0,0,2,0,0,0,98,0,98
Cuatrociénegas,14,126,15,125,13,0,0,28,0,0,0,181,3,184
Escobedo,16,127,95,59,0,0,0,2,0,2,0,158,2,160
Escobedo,16,128,75,64,0,0,0,0,0,1,0,140,4,144
Escobedo,16,129,100,85,0,0,0,1,0,5,0,191,3,194
Escobedo,16,130,441,500,0,0,0,0,0,9,0,950,9,959
Francisco I. Madero,13,131,33,396,217,16,0,105,0,0,0,767,42,809
Francisco I. Madero,13,132,24,194,119,11,0,176,0,0,0,524,28,552
Francisco I. Madero,13,133,24,124,200,4,0,25,0,0,0,377,14,391
Francisco I. Madero,13,134,24,353,344,2,0,38,0,0,0,761,20,781
Francisco I. Madero,13,135,36,327,516,23,0,11,0,0,0,913,17,930
Francisco I. Madero,13,136,40,285,296,4,0,19,0,0,0,644,20,664
Francisco I. Madero,13,137,15,164,138,8,0,52,0,0,0,377,10,387
Francisco I. Madero,13,138,15,191,328,16,0,45,0,0,0,595,10,605
Francisco I. Madero,13,139,20,170,305,9,0,39,0,0,0,543,13,556
Francisco I. Madero,13,140,17,101,213,5,0,8,0,0,0,344,7,351
Francisco I. Madero,13,141,32,191,250,6,0,26,0,0,0,505,18,523
Francisco I. Madero,13,142,18,145,298,8,0,21,0,0,0,490,10,500
Francisco I. Madero,13,143,32,227,415,8,0,43,0,0,0,725,18,743
Francisco I. Madero,13,144,42,243,377,25,0,53,0,0,0,740,30,770
Francisco I. Madero,13,145,25,197,299,13,0,90,0,0,0,624,27,651
Francisco I. Madero,13,146,22,246,308,3,0,306,0,0,0,885,46,931
Francisco I. Madero,13,147,17,204,340,23,0,68,0,0,0,652,313,965
Francisco I. Madero,13,148,22,137,93,8,0,210,0,0,0,470,13,483
Francisco I. Madero,13,149,0,66,27,0,0,8,0,0,0,101,3,104
Francisco I. Madero,13,150,15,60,96,15,0,29,0,0,0,215,14,229
Francisco I. Madero,13,151,4,36,33,0,0,3,0,0,0,76,1,77
Francisco I. Madero,13,152,12,92,43,16,0,148,0,0,0,311,22,333
Francisco I. Madero,13,153,18,134,34,6,0,49,0,0,0,241,8,249
Francisco I. Madero,13,154,31,191,27,0,0,76,0,0,0,325,19,344
Francisco I. Madero,13,155,4,103,62,0,0,20,0,0,0,189,9,198
Francisco I. Madero,13,156,6,83,51,19,0,179,0,0,0,338,14,352
Francisco I. Madero,13,157,15,213,86,49,0,87,0,0,0,450,17,467
Francisco I. Madero,13,158,2,110,29,10,0,196,0,0,0,347,9,356
Francisco I. Madero,13,159,32,286,105,19,0,52,0,0,0,494,209,703
Francisco I. Madero,13,160,7,88,85,50,0,63,0,0,0,293,15,308
Francisco I. Madero,13,161,6,124,69,111,0,115,0,0,0,425,18,443
Francisco I. Madero,13,162,41,272,229,27,0,152,0,0,0,721,28,749
Francisco I. Madero,13,163,7,100,88,3,0,12,0,0,0,210,48,258
Francisco I. Madero,13,164,5,98,83,11,0,64,0,0,0,261,17,278
Francisco I. Madero,13,165,8,171,28,6,0,91,0,0,0,304,13,317
Francisco I. Madero,13,166,13,288,29,0,0,29,0,0,0,359,13,372
Francisco I. Madero,13,167,2,57,64,8,0,2,0,0,0,133,4,137
Francisco I. Madero,13,168,17,468,181,4,0,12,0,0,0,682,27,709
Francisco I. Madero,13,169,38,379,127,9,0,187,0,0,0,740,30,770
Francisco I. Madero,13,170,3,126,22,6,0,115,0,0,0,272,5,277
Francisco I. Madero,13,171,8,139,84,0,0,301,0,0,0,532,16,548
Francisco I. Madero,13,172,8,107,40,13,0,132,0,0,0,300,18,318
Frontera,14,173,234,450,19,6,6,0,26,0,0,741,7,748
Frontera,14,174,403,616,10,19,48,2,13,0,0,1111,7,1118
Frontera,14,175,217,472,14,6,6,0,15,0,0,730,2,732
Frontera,14,176,180,383,14,5,15,1,14,0,0,612,9,621
Frontera,14,177,230,426,11,8,4,1,37,0,0,717,12,729
Frontera,14,178,206,340,9,14,3,0,34,0,0,606,17,623
Frontera,14,179,216,358,7,48,8,0,34,2,0,673,13,686
Frontera,14,180,209,384,7,5,21,1,5,1,0,633,3,636
Frontera,14,181,123,281,4,1,8,0,3,0,0,420,14,434
Frontera,14,182,172,304,10,2,9,0,0,0,0,497,1,498
Frontera,14,183,122,436,6,0,5,1,0,0,0,570,5,575
Frontera,14,184,152,321,3,3,3,0,1,0,0,483,2,485
Frontera,14,185,288,460,6,2,4,1,2,0,0,763,15,778
Frontera,14,186,278,291,2,3,4,1,1,1,0,581,5,586
Frontera,14,187,266,379,13,5,6,1,2,0,0,672,4,676
Frontera,14,188,305,312,14,1,0,0,3,0,0,635,5,640
Frontera,14,189,118,206,5,2,1,0,1,1,0,334,4,338
Frontera,14,190,224,324,9,5,1,0,1,0,0,564,5,569
Frontera,14,191,161,225,9,1,2,0,0,0,0,398,1,399
Frontera,14,192,311,413,46,7,1,0,4,0,0,782,12,794
Frontera,14,193,342,402,43,2,3,0,2,0,0,794,14,808
Frontera,14,194,178,184,3,3,1,1,2,1,0,373,10,383
Frontera,14,195,326,297,5,5,2,0,8,2,0,645,3,648
Frontera,14,196,189,245,3,5,4,0,8,0,0,454,1,455
Frontera,14,197,275,353,7,3,2,0,8,0,0,648,17,665
Frontera,14,198,164,426,7,3,0,0,3,0,0,603,12,615
Frontera,14,199,254,354,11,3,5,0,20,0,0,647,11,658
Frontera,14,200,259,340,6,5,8,0,14,0,0,632,13,645
Frontera,14,201,174,177,5,0,12,0,4,0,0,372,223,595
Frontera,14,202,200,275,5,3,2,0,20,0,0,505,7,512
Frontera,14,203,243,305,5,1,3,0,6,0,0,563,6,569
Frontera,14,204,138,336,3,2,0,1,4,0,0,484,6,490
Frontera,14,205,112,184,1,4,4,0,4,0,0,309,6,315
Frontera,14,206,168,317,4,2,1,0,15,0,0,507,17,524
Frontera,14,207,191,409,7,1,1,0,17,1,0,627,4,631
Frontera,14,208,159,396,25,2,1,0,23,0,0,606,5,611
Frontera,14,209,306,312,4,3,1,0,0,0,0,626,4,630
Frontera,14,210,185,324,2,5,2,0,11,0,0,529,20,549
Frontera,14,211,206,468,9,2,1,0,0,0,0,686,4,690
Frontera,14,212,205,371,9,2,2,1,1,0,0,591,9,600
Frontera,14,213,26,83,0,0,0,0,0,0,0,109,1,110
General Cepeda,6,214,186,239,10,157,0,1,0,0,0,593,22,615
General Cepeda,6,215,159,218,6,134,0,0,0,0,0,517,13,530
General Cepeda,6,216,254,246,17,166,0,1,0,3,0,687,31,718
General Cepeda,6,217,70,149,25,12,0,0,0,0,0,256,9,265
General Cepeda,6,218,34,171,3,3,0,1,0,0,0,212,2,214
General Cepeda,6,219,9,47,4,4,0,0,0,0,0,64,1,65
General Cepeda,6,220,29,48,85,8,0,0,0,0,0,170,7,177
General Cepeda,6,221,1,29,6,5,0,0,0,0,0,41,1,42
General Cepeda,6,222,22,187,6,10,0,0,0,1,0,226,12,238
General Cepeda,6,223,35,126,2,19,0,0,0,0,0,182,0,182
General Cepeda,6,224,12,17,2,8,0,0,0,0,0,39,2,41
General Cepeda,6,225,59,118,17,8,0,0,0,0,0,202,4,206
General Cepeda,6,226,70,92,1,15,0,0,0,0,0,178,2,180
General Cepeda,6,227,50,81,0,5,0,0,0,0,0,136,6,142
General Cepeda,6,228,33,84,1,11,0,0,0,0,0,129,9,138
General Cepeda,6,229,72,82,5,14,0,0,0,0,0,173,6,179
General Cepeda,6,230,22,63,4,32,0,0,0,0,0,121,8,129
General Cepeda,6,231,89,180,5,23,0,0,0,0,0,297,16,313
General Cepeda,0,232,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,17,233,182,196,0,0,0,0,0,0,0,378,2,380
Guerrero,17,234,128,135,0,0,0,0,0,0,0,263,1,264
Guerrero,17,235,56,83,0,0,0,0,0,0,0,139,4,143
Guerrero,17,236,95,129,0,0,0,0,0,0,0,224,3,227
Guerrero,17,237,74,72,0,0,0,0,0,0,0,146,1,147
Hidalgo,17,238,85,164,0,0,0,0,0,0,0,249,5,254
Hidalgo,17,239,176,259,0,0,0,0,0,0,0,435,2,437
Jiménez,19,240,2,119,122,0,0,0,0,0,0,243,3,246
Jiménez,19,241,5,96,144,6,0,3,0,0,0,254,3,257
Jiménez,19,242,13,275,319,39,0,11,0,0,20,677,11,688
Jiménez,19,243,8,170,206,72,0,5,0,2,23,486,10,496
Jiménez,19,244,1,137,168,32,0,2,0,0,11,351,9,360
Jiménez,19,245,18,253,434,38,0,7,0,0,31,781,22,803
Jiménez,19,246,10,263,401,29,0,10,0,0,27,740,24,764
Jiménez,19,247,1,11,21,4,0,0,0,0,0,37,0,37
Jiménez,19,248,0,58,62,0,0,2,0,0,0,122,1,123
Jiménez,19,249,1,116,233,0,0,1,0,0,0,351,7,358
Juárez,18,250,126,116,0,0,0,28,0,0,0,270,9,279
Juárez,18,251,92,43,0,0,0,25,0,0,0,160,5,165
Juárez,18,252,83,72,0,0,0,52,0,0,0,207,2,209
Juárez,18,253,27,25,0,0,0,6,0,0,0,58,0,58
Juárez,18,254,27,47,0,0,0,23,0,0,0,97,3,100
Lamadrid,14,255,113,176,132,8,0,0,0,0,0,429,7,436
Lamadrid,14,256,155,250,139,13,0,0,0,0,0,557,10,567
Matamoros,7,257,278,169,29,13,0,146,2,0,0,637,16,653
Matamoros,7,258,215,376,12,7,0,262,2,0,0,874,31,905
Matamoros,7,259,250,201,21,12,0,293,9,1,0,787,30,817
Matamoros,7,260,294,348,19,31,0,320,7,2,0,1021,41,1062
Matamoros,7,261,371,184,33,49,0,275,3,3,0,918,35,953
Matamoros,7,262,431,284,21,9,0,250,1,1,0,997,34,1031
Matamoros,7,263,292,228,16,9,0,329,6,1,0,881,15,896
Matamoros,7,264,276,178,11,9,0,224,6,0,0,704,8,712
Matamoros,7,265,392,358,17,18,0,327,7,4,0,1123,14,1137
Matamoros,7,266,214,275,17,10,0,346,4,0,0,866,9,875
Matamoros,7,267,283,204,13,8,0,219,6,2,0,735,23,758
Matamoros,7,268,302,166,8,17,0,130,4,0,0,627,17,644
Matamoros,7,269,675,374,31,5,0,293,7,0,0,1385,61,1446
Matamoros,7,270,213,126,18,10,0,251,2,0,0,620,23,643
Matamoros,7,271,473,256,15,16,0,362,2,0,0,1124,26,1150
Matamoros,7,272,358,287,11,27,0,384,9,16,0,1092,40,1132
Matamoros,7,273,278,211,23,19,0,185,5,3,0,724,31,755
Matamoros,7,274,346,232,15,23,0,193,18,0,0,827,49,876
Matamoros,7,275,206,156,7,46,0,133,1,2,0,551,31,582
Matamoros,7,276,221,181,14,35,0,174,3,0,0,628,30,658
Matamoros,7,277,151,154,8,9,0,128,9,0,0,459,17,476
Matamoros,7,278,13,168,7,3,0,207,0,0,0,398,13,411
Matamoros,7,279,44,230,9,6,0,200,0,0,0,489,20,509
Matamoros,7,280,111,433,18,5,0,411,4,7,0,989,44,1033
Matamoros,7,281,13,163,3,6,0,109,0,0,0,294,10,304
Matamoros,7,282,50,260,35,2,0,143,1,0,0,491,20,511
Matamoros,7,283,35,258,51,2,0,303,0,0,0,649,4,653
Matamoros,7,284,17,279,27,1,0,491,0,0,0,815,35,850
Matamoros,7,285,23,240,17,3,0,419,2,12,0,716,47,763
Matamoros,7,286,13,357,1,1,0,430,0,0,0,802,20,822
Matamoros,7,287,14,459,5,1,0,488,2,0,0,969,48,1017
Matamoros,7,288,20,611,5,2,0,389,3,7,0,1037,48,1085
Matamoros,7,289,95,232,70,2,0,84,1,0,0,484,19,503
Matamoros,7,290,62,548,45,5,0,269,3,0,0,932,25,957
Matamoros,7,291,45,472,53,3,0,220,5,0,0,798,17,815
Matamoros,7,292,100,199,1,8,0,45,2,0,0,355,11,366
Matamoros,7,293,78,245,3,2,0,364,2,0,0,694,21,715
Matamoros,7,294,87,205,9,2,0,185,0,0,0,488,16,504
Matamoros,7,295,17,150,1,0,0,164,0,0,0,332,10,342
Matamoros,7,296,31,240,6,3,0,238,1,0,0,519,18,537
Matamoros,7,297,108,360,44,2,0,212,152,1,0,879,18,897
Matamoros,7,298,48,201,28,4,0,215,1,0,0,497,11,508
Matamoros,7,299,28,148,0,1,0,84,1,0,0,262,11,273
Matamoros,7,300,36,182,18,1,0,37,0,0,0,274,1,275
Matamoros,7,301,55,156,14,6,0,73,0,0,0,304,10,314
Matamoros,7,302,120,137,9,5,0,83,5,0,0,359,42,401
Matamoros,7,303,159,169,10,4,0,120,0,0,0,462,0,462
Matamoros,7,304,229,191,5,2,0,33,9,0,0,469,13,482
Matamoros,7,305,285,384,66,44,0,219,8,2,0,1008,35,1043
Matamoros,7,306,148,385,5,8,0,351,16,0,0,913,46,959
Matamoros,7,307,137,329,3,10,0,231,27,0,0,737,42,779
Matamoros,7,308,171,59,1,2,0,216,1,0,0,450,21,471
Matamoros,7,309,52,165,0,3,0,66,1,0,0,287,11,298
Matamoros,7,310,91,241,12,5,0,170,10,0,0,529,32,561
Matamoros,7,311,95,136,1,4,0,83,0,0,0,319,16,335
Matamoros,7,312,152,302,8,5,0,321,12,0,0,800,34,834
Matamoros,7,313,98,46,0,6,0,155,3,0,0,308,8,316
Matamoros,7,314,97,205,0,3,0,71,7,4,0,387,19,406
Matamoros,7,315,22,88,0,0,0,93,1,0,0,204,11,215
Matamoros,7,316,2,79,0,1,0,55,0,0,0,137,3,140
Matamoros,7,317,41,65,2,1,0,30,3,0,0,142,5,147
Matamoros,7,318,76,196,14,6,0,84,58,0,0,434,9,443
Monclova,16,319,156,270,10,2,0,0,2,0,0,440,6,446
Monclova,16,320,170,199,21,7,1,0,3,0,0,401,2,403
Monclova,16,321,135,363,18,2,1,0,4,0,0,523,8,531
Monclova,16,322,185,197,23,5,1,0,1,0,0,412,184,596
Monclova,16,323,206,258,19,4,0,0,1,0,0,488,7,495
Monclova,16,324,91,167,22,4,7,0,1,0,0,292,1,293
Monclova,16,325,178,308,50,3,1,0,2,0,0,542,2,544
Monclova,16,326,458,608,81,8,3,0,4,0,0,1162,4,1166
Monclova,16,327,148,179,16,5,3,0,1,0,0,352,5,357
Monclova,16,328,91,205,15,3,1,0,1,0,0,316,0,316
Monclova,16,329,90,152,12,1,1,0,1,0,0,257,2,259
Monclova,16,330,147,199,13,2,1,0,8,0,0,370,8,378
Monclova,16,331,165,301,31,1,2,0,6,0,0,506,7,513
Monclova,16,332,477,377,39,1,9,0,3,0,0,906,2,908
Monclova,16,333,421,511,60,3,3,0,5,0,0,1003,12,1015
Monclova,16,334,493,332,65,4,3,0,1,0,0,898,2,900
Monclova,16,335,305,407,47,6,8,0,1,0,0,774,6,780
Monclova,16,336,249,183,40,4,2,0,15,0,0,493,11,504
Monclova,16,337,237,530,50,8,4,0,2,0,0,831,9,840
Monclova,16,338,148,232,25,9,1,0,0,0,0,415,9,424
Monclova,16,339,179,372,29,4,3,0,1,0,0,588,8,596
Monclova,16,340,342,217,49,1,2,0,3,0,0,614,2,616
Monclova,16,341,312,266,74,0,0,0,3,0,0,655,7,662
Monclova,16,342,355,298,43,0,2,0,1,0,0,699,7,706
Monclova,16,343,314,234,58,1,5,0,6,0,0,618,1,619
Monclova,16,344,221,326,41,3,4,0,0,0,0,595,8,603
Monclova,16,345,291,254,60,3,4,0,4,0,0,616,3,619
Monclova,16,346,156,282,32,11,0,0,2,0,0,483,3,486
Monclova,16,347,184,435,25,6,5,0,1,0,0,656,1,657
Monclova,16,348,90,380,9,4,1,0,3,0,0,487,8,495
Monclova,16,349,140,316,11,2,1,0,4,0,0,474,10,484
Monclova,16,350,143,410,24,2,3,0,2,0,0,584,4,588
Monclova,16,351,269,437,41,4,0,0,1,0,0,752,12,764
Monclova,16,352,197,257,34,6,1,0,6,0,0,501,1,502
Monclova,16,353,237,251,39,3,4,0,4,0,0,538,4,542
Monclova,16,354,171,111,17,0,5,0,8,0,0,312,0,312
Monclova,16,355,452,217,33,4,6,0,2,0,0,714,0,714
Monclova,16,356,244,411,31,5,2,0,0,0,0,693,8,701
Monclova,16,357,614,411,57,6,4,0,4,0,0,1096,5,1101
Monclova,16,358,202,160,20,4,4,0,1,0,0,391,6,397
Monclova,16,359,179,315,35,2,1,0,2,0,0,534,5,539
Monclova,16,360,135,337,40,0,2,0,1,0,0,515,11,526
Monclova,16,361,147,375,26,6,1,0,3,0,0,558,7,565
Monclova,16,362,83,388,15,4,2,0,4,0,0,496,9,505
Monclova,16,363,80,165,12,0,2,0,2,0,0,261,10,271
Monclova,16,364,202,330,32,3,3,0,1,0,0,571,6,577
Monclova,16,365,126,200,16,1,4,0,1,0,0,348,3,351
Monclova,16,366,85,116,17,0,1,0,0,0,0,219,0,219
Monclova,16,367,194,243,18,7,7,0,2,0,0,471,6,477
Monclova,16,368,335,241,46,1,1,0,3,0,0,627,3,630
Monclova,16,369,496,339,23,1,7,0,2,0,0,868,2,870
Monclova,16,370,230,500,30,5,0,0,0,0,0,765,7,772
Monclova,16,371,183,418,28,19,2,0,1,0,0,651,0,651
Monclova,16,372,379,319,40,12,11,0,1,0,0,762,0,762
Monclova,16,373,400,271,41,4,2,0,5,0,0,723,1,724
Monclova,16,374,178,151,16,0,10,0,1,0,0,356,1,357
Monclova,16,375,135,164,38,2,3,0,1,0,0,343,5,348
Monclova,16,376,105,357,37,9,2,0,1,0,0,511,11,522
Monclova,16,377,123,450,25,4,4,0,0,0,0,606,9,615
Monclova,16,378,126,293,23,2,3,0,1,0,0,448,6,454
Monclova,16,379,222,323,25,3,2,0,0,0,0,575,13,588
Monclova,16,380,168,165,16,4,6,0,0,0,0,359,0,359
Monclova,16,381,272,219,34,5,4,0,0,0,0,534,2,536
Monclova,15,382,278,259,28,7,3,0,0,0,0,575,4,579
Monclova,16,383,356,292,54,11,3,0,3,0,0,719,2,721
Monclova,16,384,122,424,20,4,2,0,0,0,0,572,10,582
Monclova,15,385,172,364,44,4,2,0,0,0,0,586,5,591
Monclova,15,386,160,377,47,6,1,0,0,0,0,591,6,597
Monclova,15,387,219,402,46,10,5,0,2,0,0,684,5,689
Monclova,15,388,151,201,11,3,0,0,0,0,0,366,6,372
Monclova,15,389,140,220,30,3,6,0,0,0,0,399,8,407
Monclova,15,390,290,265,42,1,8,0,1,0,0,607,5,612
Monclova,16,391,216,198,23,3,2,0,0,0,0,442,3,445
Monclova,16,392,213,268,42,4,9,0,0,0,0,536,5,541
Monclova,15,393,207,182,17,4,2,0,1,0,0,413,5,418
Monclova,15,394,105,120,13,5,0,0,0,0,0,243,0,243
Monclova,15,395,168,175,45,2,4,0,1,0,0,395,2,397
Monclova,15,396,194,248,45,3,3,0,1,0,0,494,0,494
Monclova,15,397,88,210,13,3,1,0,0,0,0,315,3,318
Monclova,15,398,199,221,40,3,6,0,5,0,0,474,3,477
Monclova,15,399,251,280,49,3,1,0,2,0,0,586,9,595
Monclova,15,400,184,143,19,3,3,0,0,0,0,352,1,353
Monclova,15,401,157,183,23,0,3,0,2,0,0,368,3,371
Monclova,15,402,256,274,28,3,1,0,4,0,0,566,7,573
Monclova,15,403,203,228,30,2,1,0,1,0,0,465,10,475
Monclova,15,404,258,324,31,5,0,0,0,0,0,618,3,621
