ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,17,CIENEGA DE ZIMATLAN,2,4,67,881,639,5,3,4,,,89,14,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1718,28,1746,2416,0.7227
20,OAXACA,67,OCOTLAN DE MORELOS,15,30,349,1353,1341,71,179,795,,2334,247,3793,,72,56,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10608,363,10975,15804,0.6944
20,OAXACA,100,SAN ANTONINO CASTILLO VELASCO,4,8,45,140,267,6,15,550,,27,,524,,731,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2332,133,2465,4067,0.6061
20,OAXACA,293,SAN PABLO HUIXTEPEC,6,12,356,1686,64,73,1210,18,,148,350,976,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4895,162,5057,7083,0.7140
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,73,891,791,13,35,9,,,,104,,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1950,66,2016,2916,0.6914
20,OAXACA,388,SANTA GERTRUDIS,3,5,134,568,512,17,,,,,,369,,,33,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1651,57,1708,2455,0.6957
20,OAXACA,555,TRINIDAD ZAACHILA,2,4,30,117,624,15,,,,,148,558,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1508,63,1571,2274,0.6909
20,OAXACA,570,ZIMATLAN DE ALVAREZ,13,26,1998,1985,648,872,437,681,64,553,53,967,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,732,,,,,,,,,,,,,,,1,9594,411,10006,14752,0.6783
20,OAXACA,109,SAN BALTAZAR CHICHICAPAM,2,4,22,533,1151,8,3,3,,,,16,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1771,81,1852,2285,0.8105
20,OAXACA,296,SAN PABLO VILLA DE MITLA,8,16,2173,1695,171,631,256,,,44,34,379,,,88,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5705,176,5882,8798,0.6686
20,OAXACA,550,TLACOLULA DE MATAMOROS,10,30,1673,2163,1101,195,114,2673,,99,67,760,,,164,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9104,222,9332,17259,0.5407
20,OAXACA,51,MAGDALENA TEQUISISTLAN,6,10,600,693,610,13,276,659,508,9,5,613,,8,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4008,136,4144,5274,0.7857
20,OAXACA,52,MAGDALENA TLACOTEPEC,1,2,1,29,16,2,111,382,,,,322,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,863,7,870,1016,0.8563
20,OAXACA,305,SAN PEDRO HUAMELULA,7,14,222,913,1216,15,117,4,75,19,49,486,,1659,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4781,187,4968,7072,0.7025
20,OAXACA,419,SANTA MARIA JALAPA DEL MARQUES,7,16,71,1568,666,49,131,4,49,22,17,2989,,54,39,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,2,6407,112,6521,9018,0.7231
20,OAXACA,422,SANTA MARIA MIXTEQUILLA,3,6,2,218,22,88,1623,15,22,,13,607,,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2623,39,2662,3423,0.7777
20,OAXACA,473,SANTIAGO LAOLLAGA,3,5,2,632,10,120,244,40,,550,,239,,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1858,33,1892,2657,0.7121
20,OAXACA,507,SANTO DOMINGO CHIHUITAN,1,2,1,384,7,0,512,,,,,86,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,990,16,1006,1248,0.8061
20,OAXACA,513,SANTO DOMINGO PETAPA,9,13,9,1666,406,10,52,1,,1171,44,1018,,63,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4445,33,4479,6059,0.7392
