CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,B,143,139,39,0,54,4,,2,3,47,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,12,453,573,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,C01,153,128,11,3,31,2,,3,1,72,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,404,15,419,572,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,B,297,75,14,4,4,1,,2,1,2,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,419,9,428,515,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,B,293,140,3,1,3,1,,2,3,3,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,454,11,465,639,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,B,194,121,3,42,3,2,,1,3,4,,,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,387,12,399,553,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,C01,201,116,4,37,4,2,,0,4,4,,,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,375,10,385,552,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,B,202,50,0,19,2,0,,3,1,1,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,285,6,291,402,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,C01,187,49,4,10,3,0,,0,2,14,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,274,6,280,401,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,B,217,92,1,1,1,1,,1,0,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,319,4,323,436,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,C01,198,92,2,0,2,0,,0,0,5,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,303,4,307,435,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,27,B,234,225,8,2,17,5,,4,2,27,,,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,536,2,538,699,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,B,162,87,2,3,6,1,,3,1,12,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,280,8,288,377,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,C01,159,100,4,2,6,1,,1,0,22,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305,4,309,376,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,B,214,152,16,1,2,0,,1,0,8,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,407,6,413,546,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,C01,247,162,3,1,0,2,,1,0,3,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431,6,437,546,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,B,160,109,14,2,2,0,,0,0,5,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,4,308,393,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,C01,140,104,15,5,3,1,,2,0,9,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,295,7,302,393,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,B,237,198,9,3,1,4,,0,3,8,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,464,6,470,592,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,C01,238,167,5,3,3,0,,1,1,11,,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,444,7,451,591,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,C02,248,154,5,3,1,0,,2,0,8,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,9,444,591,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,32,B,168,131,4,2,3,1,,2,2,4,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,319,5,324,385,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,B,118,171,3,11,7,0,,1,1,8,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,326,6,332,407,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,C01,100,198,7,5,3,0,,0,0,8,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,327,7,334,406,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,E01,146,208,4,0,1,0,,0,1,2,,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,377,4,381,456,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,B,148,178,19,6,15,1,,3,1,27,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,400,16,416,494,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,E01,254,173,20,1,7,4,,5,0,53,,,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,548,9,557,701,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,B,40,122,1,5,0,109,,1,0,2,,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,287,12,299,405,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,C01,39,133,4,7,1,90,,0,0,3,,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,287,15,302,405,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,B,68,179,3,6,1,142,,1,2,1,,0,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,415,16,431,579,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,C01,72,166,5,8,1,139,,1,1,6,,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,410,19,429,579,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,C02,73,182,5,8,0,125,,1,1,1,,2,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,416,15,431,578,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,B,50,147,5,7,6,183,,1,1,4,,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,409,9,418,575,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,C01,65,126,3,5,3,167,,2,2,6,,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,391,12,403,574,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,C02,43,138,5,8,4,152,,3,0,6,,2,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,374,19,393,574,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,137,B,29,300,4,14,1,72,,0,0,9,,2,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,459,13,472,612,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,138,B,50,326,6,10,2,56,,1,3,11,,3,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,491,16,507,658,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,B,16,257,4,13,4,117,,0,2,5,,4,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,11,452,633,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,C01,24,272,2,13,3,116,,2,2,5,,2,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,455,14,469,632,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,140,B,13,217,3,27,1,74,,4,5,4,,2,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,361,8,369,474,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,141,B,43,299,2,12,3,140,,4,3,7,,5,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,537,13,550,732,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,142,B,15,84,1,29,4,107,,0,11,0,,0,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,265,37,302,468,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,B,54,153,4,5,1,111,,1,2,2,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,345,16,361,536,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,C01,55,158,3,6,5,127,,1,1,8,,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,376,10,386,536,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,B,11,253,229,1,0,,,,,0,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,502,4,506,651,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,C01,4,270,190,2,0,,,,,3,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,479,5,484,650,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,E01,0,176,134,0,0,,,,,0,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,317,2,319,391,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,E01C01,5,183,124,0,1,,,,,0,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,316,1,317,390,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,953,B,28,190,228,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,451,0,451,576,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,954,B,33,292,232,0,0,,,,,0,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,561,7,568,730,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,B,3,46,4,2,195,169,,,2,3,,75,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,529,23,552,687,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,C01,0,40,4,1,200,182,,,6,5,,66,0,0,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,528,21,549,687,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,C02,0,62,6,3,180,162,,,2,6,,66,0,2,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,514,21,535,686,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,963,B,1,124,5,1,41,39,,,6,5,,117,0,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,348,10,358,478,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,964,B,1,38,5,1,10,136,,,2,0,,52,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,9,255,325,,,,
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,965,B,0,59,3,0,110,71,,,4,0,,95,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,343,4,347,493,,,,
