CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,30,2,80,44,4,39,122,0,19,255,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,14,597,921
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,31,2,104,96,4,9,202,0,11,294,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726,16,742,1095
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,32,2,38,31,2,18,236,0,36,271,3,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,18,667,923
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,33,2,34,13,2,27,282,0,24,148,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,10,551,802
2,7,CHIAPAS,16,HUIXTLA,3,ACAPETAHUA,34,4,309,27,4,86,416,0,23,662,4,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,26,1579,2092
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,489,3,7,309,137,64,200,0,3,211,35,2,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,36,1044,1599
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,490,3,4,458,126,41,281,0,7,267,38,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,15,1252,1809
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,491,5,16,719,270,61,498,0,12,324,173,8,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,41,2154,3321
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,492,2,3,177,47,258,88,0,1,38,24,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,32,698,1034
2,7,CHIAPAS,16,HUIXTLA,32,ESCUINTLA,493,2,1,295,19,76,172,0,4,34,21,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,22,657,1023
