CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,607,2,93,120,93,12,108,9,1,8,157,11,16,0,3,0,0,1,631,14,646,1314
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,608,2,125,164,50,8,44,13,3,5,100,12,12,1,4,1,0,0,542,23,565,924
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,609,4,216,347,167,16,152,20,8,22,299,41,21,6,11,0,0,1,1326,47,1374,2998
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,610,2,111,170,41,1,28,12,5,5,122,11,10,5,3,2,0,0,526,17,543,890
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,611,2,95,153,47,1,88,18,7,3,178,15,3,2,3,0,0,0,613,19,632,1140
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,612,2,93,148,81,10,74,13,4,5,178,13,9,0,4,1,0,1,633,12,646,1148
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,613,2,48,184,49,4,66,8,9,2,131,10,4,0,2,0,0,0,517,11,528,982
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,614,2,26,70,35,3,38,9,2,2,99,9,2,1,0,0,0,0,296,4,300,1082
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,66,OAXACA DE JUAREZ,615,2,77,135,44,6,111,6,2,4,133,22,7,0,5,0,0,1,552,14,567,1143
3,20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,154,SAN JACINTO AMILPAS,917,4,122,443,392,28,389,31,9,39,313,25,15,0,2,0,0,3,1808,24,1835,2911
