MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PRD-PC,PT,PVEM,VALIDOS,NULOS,TOTAL
CD. MADERO,179,,CONT,90,161,91,71,,413,5,418
CD. MADERO,180,,BAS,64,166,65,64,,359,4,363
CD. MADERO,180,,CONT,82,142,59,55,,338,4,342
CD. MADERO,181,,BAS,66,112,67,37,,282,1,283
CD. MADERO,181,,CONT,74,131,56,34,,295,4,299
CD. MADERO,182,,BAS,45,142,59,48,,294,2,296
CD. MADERO,182,,CONT,43,150,61,45,,299,8,307
CD. MADERO,183,,BAS,72,117,40,31,,260,2,262
CD. MADERO,183,,CONT,62,120,50,41,,273,1,274
CD. MADERO,184,,BAS,82,119,76,67,,344,10,354
CD. MADERO,184,,CONT,96,142,69,63,,370,3,373
CD. MADERO,185,,BAS,89,126,55,44,,314,7,321
CD. MADERO,185,,CONT,78,148,61,39,,326,4,330
CD. MADERO,186,,BAS,97,127,64,70,,358,2,360
CD. MADERO,186,,CONT,91,145,72,51,,359,7,366
CD. MADERO,187,,BAS,62,113,77,63,,315,2,317
CD. MADERO,187,,CONT1,50,133,64,66,,313,6,319
CD. MADERO,187,,CONT2,61,133,62,45,,301,3,304
CD. MADERO,188,,BAS,44,135,76,62,,317,7,324
CD. MADERO,188,,CONT1,35,130,79,51,,295,7,302
CD. MADERO,188,,CONT2,59,106,83,55,,303,6,309
CD. MADERO,189,,BAS,55,128,120,67,,370,8,378
CD. MADERO,189,,CONT1,59,130,107,68,,364,9,373
CD. MADERO,189,,CONT2,68,166,126,66,,426,3,429
CD. MADERO,189,,CONT3,65,123,121,55,,364,8,372
CD. MADERO,190,,BAS,51,130,63,21,,265,1,266
CD. MADERO,190,,CONT1,40,129,57,38,,264,11,275
CD. MADERO,190,,CONT2,42,109,61,31,,243,6,249
CD. MADERO,191,,BAS,52,101,50,43,,246,8,254
CD. MADERO,191,,CONT1,38,112,45,57,,252,7,259
CD. MADERO,191,,CONT2,68,98,48,46,,260,4,264
CD. MADERO,192,,BAS,45,197,85,37,,364,10,374
CD. MADERO,192,,CONT,49,223,90,34,,396,9,405
CD. MADERO,193,,BAS,31,133,65,52,,281,4,285
CD. MADERO,193,,CONT1,53,123,63,43,,282,3,285
CD. MADERO,193,,CONT2,38,143,50,53,,284,4,288
