id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,Nulos,No Registrados,PAN-PRD-PT-PC,PRI-PVEM-PANAL,Total
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,712,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,449,2,1,313,150,466
25,4/7/2010,12,Ayuntamientos,25,3,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,712,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,449,10,2,331,152,495
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,391,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,450,6,0,160,109,275
25,4/7/2010,12,Ayuntamientos,25,3,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,392,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,450,3,0,189,97,289
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,451,7,0,278,132,417
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,155,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,452,0,0,65,43,108
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,565,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,453,9,0,288,93,390
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,436,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,454,7,1,228,76,312
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,338,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,455,4,0,137,72,213
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,386,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,456,3,0,200,80,283
25,4/7/2010,12,Ayuntamientos,25,8,1,C,Contigua,0,ANGOSTURA,,2,ANGOSTURA,386,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,456,5,0,213,91,309
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,322,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,457,2,0,155,87,244
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,222,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,458,2,0,98,57,157
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,303,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,459,1,1,149,86,237
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,711,5,2,67,161,235
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,377,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,712,4,0,38,102,144
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,377,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,712,6,1,40,123,170
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,522,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,713,9,0,46,150,205
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,523,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,713,6,2,41,173,222
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,415,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,714,5,0,66,95,166
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,416,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,714,2,5,43,132,182
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,611,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,715,8,2,87,172,269
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,611,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,715,9,4,104,184,301
25,4/7/2010,12,Ayuntamientos,25,24,2,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,715,11,0,90,179,280
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,543,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,716,10,0,106,148,264
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,543,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,716,4,0,119,137,260
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,651,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,717,11,0,135,180,326
25,4/7/2010,12,Ayuntamientos,25,24,1,C,Contigua,0,CULIACAN ROSALES,,6,CULIACAN,651,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,717,3,2,110,180,295
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,704,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,718,8,0,86,210,304
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,603,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,719,11,5,94,198,308
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,417,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,720,8,0,66,161,235
25,4/7/2010,12,Ayuntamientos,25,24,1,B,Basica,0,CULIACAN ROSALES,,6,CULIACAN,465,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,721,4,0,53,160,217
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,375,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,17,3,1,169,49,222
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,300,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,18,3,0,136,45,184
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,19,2,0,235,70,307
25,4/7/2010,12,Ayuntamientos,25,3,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,472,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,19,2,0,243,78,323
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,584,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,20,1,0,286,79,366
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,301,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,21,1,0,180,36,217
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,595,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,1,0,331,79,411
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,375,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,23,4,0,221,48,273
25,4/7/2010,12,Ayuntamientos,25,3,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,376,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,23,4,0,239,41,284
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,676,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,4,0,345,92,441
25,4/7/2010,12,Ayuntamientos,25,3,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,676,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,0,0,344,76,420
25,4/7/2010,12,Ayuntamientos,25,3,2,C,Contigua,0,LOS MOCHIS,,1,AHOME,676,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,6,0,354,73,433
25,4/7/2010,12,Ayuntamientos,25,3,3,C,Contigua,0,LOS MOCHIS,,1,AHOME,676,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,24,3,0,362,91,456
25,4/7/2010,12,Ayuntamientos,25,3,1,B,Basica,0,LOS MOCHIS,,1,AHOME,576,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,5,0,289,71,365
25,4/7/2010,12,Ayuntamientos,25,3,1,E,Extraordinaria,0,LOS MOCHIS,,1,AHOME,611,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,2,1,331,85,419
25,4/7/2010,12,Ayuntamientos,25,3,1,E,Extraordinaria,1,LOS MOCHIS,,1,AHOME,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,1,1,327,63,392
25,4/7/2010,12,Ayuntamientos,25,3,1,E,Extraordinaria,2,LOS MOCHIS,,1,AHOME,612,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,1,1,297,83,382
25,4/7/2010,12,Ayuntamientos,25,3,2,E,Extraordinaria,0,LOS MOCHIS,,1,AHOME,607,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,25,0,1,269,85,355
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,417,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,229,1,1,162,44,208
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,398,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,230,6,0,178,53,237
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,333,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,231,3,0,137,51,191
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,402,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,232,3,0,180,62,245
25,4/7/2010,12,Ayuntamientos,25,4,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,403,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,232,3,0,198,46,247
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,634,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,233,2,0,284,89,375
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,404,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,234,3,0,201,75,279
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,296,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,235,1,0,146,50,197
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,644,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,236,6,0,292,79,377
25,4/7/2010,12,Ayuntamientos,25,4,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,644,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,236,3,0,285,85,373
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,545,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,237,8,0,212,62,282
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,254,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,238,1,0,71,33,105
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,338,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,239,4,1,119,51,175
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,681,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,240,5,0,327,85,417
25,4/7/2010,12,Ayuntamientos,25,4,1,C,Contigua,0,LOS MOCHIS,,1,AHOME,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,240,2,0,320,105,427
25,4/7/2010,12,Ayuntamientos,25,4,2,C,Contigua,0,LOS MOCHIS,,1,AHOME,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,240,4,0,310,76,390
25,4/7/2010,12,Ayuntamientos,25,4,3,C,Contigua,0,LOS MOCHIS,,1,AHOME,682,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,240,1,1,320,78,400
25,4/7/2010,12,Ayuntamientos,25,4,1,B,Basica,0,LOS MOCHIS,,1,AHOME,389,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,241,0,0,188,51,239
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,214,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,460,4,1,116,39,160
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,455,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,461,2,0,219,125,346
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,445,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,462,3,0,242,94,339
25,4/7/2010,12,Ayuntamientos,25,8,1,B,Basica,0,ANGOSTURA,,2,ANGOSTURA,283,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,463,3,1,135,81,220
