CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,416,B,101,80,56,7,14,1,5,6,0,30,3,1,0,0,,,,0,304,18,322,427,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3229-A3230.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,255,C01,151,164,2,7,0,4,12,33,3,15,2,4,0,0,,,,0,397,7,404,631,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0129-A0130.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,416,C01,110,89,40,13,7,0,6,10,0,30,3,1,1,0,,,,0,310,13,323,426,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3231-A3232.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,417,B,68,123,26,18,9,1,6,52,0,16,1,3,0,0,,,,0,323,9,332,586,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3233-A3234.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,255,C02,194,144,3,18,2,5,7,29,0,12,2,7,0,0,,,,0,423,2,425,631,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0131-A0132.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,417,C01,86,130,30,18,5,1,6,35,5,15,1,4,0,0,,,,0,336,20,356,586,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3235-A3236.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,418,B,118,143,50,7,10,1,4,42,2,51,1,5,0,0,,,,0,434,18,452,704,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3237-A3238.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,256,B,142,173,5,14,0,1,8,12,1,8,1,1,0,0,,,,0,366,6,372,595,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0133-A0134.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,418,C01,122,178,38,6,9,1,2,36,1,40,1,8,10,0,,,,0,452,12,464,703,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3239-A3240.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,256,C01,115,145,5,12,2,4,4,22,4,9,0,4,0,0,,,,0,326,6,332,594,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0135-A0136.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,419,B,100,135,53,9,12,0,3,24,2,42,4,4,4,0,,,,0,392,0,392,587,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3241-A3242.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,215,B,54,210,75,6,12,2,4,39,34,29,0,9,0,0,,,,0,474,9,483,722,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2857-A2858.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,257,C01,192,183,4,6,1,4,4,23,1,19,5,8,0,0,,,,0,450,9,459,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0139-A0140.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,215,C01,58,183,77,10,8,4,3,36,43,38,4,10,0,0,,,,0,474,13,487,721,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2859-A2860.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,258,B,195,215,6,11,1,1,1,30,1,13,0,6,0,0,,,,0,480,12,492,697,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0141-A0142.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,215,C02,64,215,67,3,10,4,4,43,29,13,0,8,1,0,,,,2,461,13,476,721,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2861-A2862.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,216,B,47,144,49,4,8,2,7,31,20,20,0,2,0,0,,,,0,334,12,346,502,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2863-A2864.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,216,C01,47,139,37,6,8,5,4,9,26,9,2,4,0,0,,,,0,296,8,304,501,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2865-A2866.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,217,B,46,209,63,4,11,7,9,30,22,20,0,9,0,0,,,,0,430,14,444,670,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2867-A2868.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,258,C01,206,199,5,10,1,3,0,22,3,15,1,5,0,0,,,,0,470,6,476,697,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0143-A0144.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,217,C01,39,141,62,5,3,5,9,31,23,21,4,3,2,0,,,,0,348,18,366,578,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2869-A2870.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,258,C02,187,171,5,15,2,2,8,32,1,18,1,5,0,0,,,,0,447,7,454,697,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0145-A0146.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,217,C02,53,145,52,3,4,4,5,42,28,20,6,0,0,0,,,,0,362,14,376,578,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2871-A2872.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,218,B,56,172,75,3,8,2,9,35,32,33,2,9,0,0,,,,0,436,11,447,634,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2873-A2874.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,218,C01,56,178,57,2,8,3,4,19,25,44,5,4,0,0,,,,0,405,9,414,633,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2875-A2876.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,B,67,155,35,38,21,97,4,31,0,23,1,10,0,0,,0,,0,482,27,509,709,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0079-A0080.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,259,B,178,161,5,8,2,4,2,28,3,16,0,1,0,0,,,,0,408,7,415,640,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0151-A0152.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,219,B,44,174,54,8,7,9,11,38,35,28,1,5,1,0,,,,0,415,3,418,613,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2877-A2878.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,219,C01,56,171,44,5,0,5,14,35,32,18,3,4,2,0,,,,0,389,8,397,612,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2879-A2880.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,259,C01,182,148,5,12,4,1,0,38,0,10,3,5,0,0,,,,0,408,6,414,639,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0153-A0154.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,220,B,41,139,58,5,3,8,9,27,44,22,0,3,0,0,,,,0,359,8,367,503,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2881-A2882.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,220,C01,40,163,47,2,4,4,6,35,28,18,1,0,0,0,,,,0,348,8,356,502,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2883-A2884.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,419,C01,85,137,44,4,9,1,3,26,2,40,1,10,0,0,,,,0,362,9,371,587,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3243-A3244.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,221,B,35,103,53,2,5,3,3,15,19,28,0,5,0,0,,,,0,271,6,277,427,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2885-A2886.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,221,C01,37,105,40,1,8,6,2,21,23,28,2,5,0,0,,,,0,278,12,290,427,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2887-A2888.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,419,C02,99,159,33,7,9,0,5,16,2,36,3,4,1,0,,,,0,374,12,386,586,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3245-A3246.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,260,B,39,66,3,7,4,4,0,5,1,2,0,4,0,0,,,,0,135,3,138,224,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0155-A0156.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,222,B,50,121,61,2,5,5,4,20,35,28,3,5,1,0,,,,0,340,8,348,503,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2889-A2890.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,420,B,112,130,24,23,14,1,6,16,1,19,5,8,0,0,,,,0,359,15,374,600,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3247-A3248.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C01,63,150,29,32,21,85,1,37,4,15,3,6,0,0,,4,,1,450,18,469,709,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0081-A0082.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,222,C01,47,125,47,4,2,11,2,31,36,31,3,7,0,0,,,,0,346,12,358,502,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2891-A2892.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,261,B,130,160,16,16,7,1,3,22,15,16,4,8,0,0,,,,0,398,9,407,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0157-A0158.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,222,C02,49,129,45,2,1,11,4,22,46,26,1,1,1,0,,,,0,338,10,348,502,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2893-A2894.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,420,E01,75,175,17,9,22,3,13,36,7,3,13,13,0,1,,,,0,387,31,418,619,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3249-A3250.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,223,B,50,185,66,20,7,6,4,29,32,30,1,6,1,0,,,,0,437,24,461,720,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2895-A2896.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,420,E02,73,109,59,3,14,0,1,6,1,27,0,4,1,0,,,,0,298,21,319,515,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3251-A3252.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,223,C01,51,190,63,11,7,6,5,46,30,26,2,3,1,0,,,,0,441,21,462,720,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2897-A2898.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,223,C02,62,184,60,19,4,5,7,37,31,24,3,7,1,0,,,,0,444,20,464,720,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A2899-A2900.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,430,B,113,140,77,12,4,13,7,18,0,21,3,4,1,1,,,,0,414,19,433,696,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3253-A3254.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,385,C01,37,84,19,3,88,2,12,21,1,14,6,6,3,0,,,,0,296,20,316,428,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3123-A3124.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,B,44,55,22,82,1,9,4,30,66,6,1,12,0,0,5,,,3,337,15,355,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0755-A0756.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,385,E01,7,67,10,0,68,1,16,19,3,3,2,5,1,0,,,,0,202,15,217,305,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3125-A3126.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,386,B,41,119,28,7,44,11,32,8,2,8,1,5,1,1,,,,0,308,17,325,429,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3127-A3128.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C01,33,65,26,59,4,8,3,37,62,8,2,15,0,0,3,,,0,325,22,347,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0757-A0758.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C02,25,56,24,78,2,4,0,40,72,7,1,10,0,0,2,,,2,321,8,331,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0759-A0760.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,431,B,0,0,0,0,16,6,0,11,1,126,146,0,0,0,,,,0,306,18,324,494,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3255-A3256.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,387,B,51,146,21,7,98,26,40,41,5,6,6,8,2,0,,,,0,457,21,478,632,GRUPO DE RECUENTO,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3129-A3130.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,261,C01,122,154,8,18,7,3,7,19,12,15,3,10,0,0,,,,0,378,10,388,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0159-A0160.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C03,33,48,21,51,5,3,4,37,61,9,2,8,1,0,6,,,0,289,13,302,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0761-A0762.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,431,C01,62,124,46,7,15,7,5,11,3,13,2,1,0,0,,,,0,296,16,312,494,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3257-A3258.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C04,26,66,22,79,8,8,6,46,54,14,0,5,0,0,3,,,0,337,21,358,735,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0763-A0764.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,389,C01,60,92,17,4,51,2,40,28,2,6,3,0,4,0,,,,0,309,18,327,448,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3135-A3136.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,432,B,105,190,48,7,7,3,2,46,1,15,1,3,0,0,,,,4,428,25,457,660,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3259-A3260.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,390,B,41,142,21,14,76,2,76,69,4,0,7,1,3,1,,,,0,457,25,482,699,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3137-A3138.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,261,C02,142,121,12,23,10,1,4,17,9,27,3,7,0,0,,,,0,376,13,389,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0161-A0162.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,5,JOSÉ MARÍA MORELOS,265,B,8,122,52,8,5,4,4,1,154,10,1,4,0,1,,,67,0,441,13,454,586,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3037-A3038.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C05,32,55,13,64,4,5,2,41,89,8,0,12,0,0,2,,,0,327,15,342,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0765-A0766.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,433,B,68,111,58,6,3,1,4,30,2,20,0,4,0,0,,,,2,307,13,322,504,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3261-A3262.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,391,B,60,90,71,35,36,2,17,16,2,25,3,3,1,0,,,,0,361,26,387,681,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3139-A3140.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C06,26,59,23,79,2,6,2,38,70,7,13,0,3,0,0,,,0,328,14,342,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0767-A0768.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,388,B,72,106,46,11,56,21,40,26,3,9,2,3,1,0,,,,0,396,0,396,608,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3131-A3132.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,433,C01,71,101,58,7,6,0,5,26,3,24,0,1,0,0,,,,0,302,13,315,504,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3263-A3264.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,4,ISLA MUJERES,261,C04,131,149,7,15,5,4,4,26,10,10,0,6,0,0,,,,0,367,13,380,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0165-A0166.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C07,33,52,30,71,1,3,7,35,75,9,1,6,0,0,6,,,0,329,15,344,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0769-A0770.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,6,LÁZARO CÁRDENAS,284,B,109,175,9,11,1,0,25,11,54,3,3,4,1,0,,,,0,406,10,416,509,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0171-A0172.JPG
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,C08,31,59,24,69,8,3,2,30,70,7,0,9,0,0,4,,,1,316,10,327,734,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A0771-A0772.JPG
1,23,QUINTANA ROO,13,BACALAR,7,OTHÓN P. BLANCO,433,C02,72,120,65,8,6,1,2,21,1,13,3,0,0,0,,,,0,312,13,325,504,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3265-A3266.JPG
1,23,QUINTANA ROO,13,BACALAR,10,BACALAR,392,B,22,133,23,2,59,3,21,59,0,2,5,4,2,0,,,,2,335,13,350,598,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/A3141-A3142.JPG
