CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,3,364,577,14,16,11,0,,1,2,18,,,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1030,17,1047,1269
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,2,402,351,39,7,22,5,,8,1,80,,,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,948,25,973,1195
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,2,79,255,5,12,1,199,,1,0,5,,3,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,574,27,601,810
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,3,213,527,13,22,2,406,,3,4,8,,3,7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1241,50,1291,1736
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,3,158,411,13,20,13,502,,6,3,16,,7,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1174,40,1214,1723
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,137,1,29,300,4,14,1,72,,0,0,9,,2,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,459,13,472,612
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,138,1,50,326,6,10,2,56,,1,3,11,,3,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,491,16,507,658
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,2,40,529,6,26,7,233,,2,4,10,,6,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,896,25,921,1265
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,140,1,13,217,3,27,1,74,,4,5,4,,2,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,361,8,369,474
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,141,1,43,299,2,12,3,140,,4,3,7,,5,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,537,13,550,732
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,142,1,15,84,1,29,4,107,,0,11,0,,0,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,265,37,302,468
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,2,109,311,7,11,6,238,,2,3,10,,7,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,721,26,747,1072
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,952,4,20,882,677,3,1,,,,,3,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1614,12,1626,2082
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,953,1,28,190,228,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,451,0,451,576
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,167,SAN JOSE INDEPENDENCIA,954,1,33,292,232,0,0,,,,,0,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,561,7,568,730
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,962,3,3,148,14,6,575,513,,,10,14,,207,0,2,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1571,65,1636,2060
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,963,1,1,124,5,1,41,39,,,6,5,,117,0,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,348,10,358,478
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,964,1,1,38,5,1,10,136,,,2,0,,52,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,9,255,325
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,965,1,0,59,3,0,110,71,,,4,0,,95,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,343,4,347,493
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,966,2,2,137,8,3,229,168,,,2,3,,70,0,2,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,643,10,653,847
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,967,1,0,36,2,1,170,100,,,2,3,,123,0,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,442,17,459,602
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,968,1,0,27,1,0,57,63,,,0,0,,51,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0,200,274
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,969,1,0,58,0,2,201,98,,,2,4,,116,0,0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500,25,525,639
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,970,2,1,170,4,3,151,236,,,5,0,,239,1,2,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,833,30,863,1126
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,971,1,0,24,4,2,56,49,,,1,1,,33,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,173,5,178,214
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,972,3,3,105,13,2,266,396,,,5,3,,419,0,1,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1242,33,1275,1632
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,973,1,0,13,1,1,72,38,,,7,0,,80,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,212,5,217,279
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,974,2,0,12,3,2,115,174,,,4,0,,62,1,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,413,19,432,527
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,975,2,1,100,5,0,202,108,,,1,1,,67,0,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,496,12,508,578
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,976,2,2,183,8,1,84,48,,,6,5,,241,0,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,585,16,601,781
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,170,SAN JOSE TENANGO,977,1,1,90,3,0,156,75,,,9,2,,76,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,415,11,426,584
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1372,3,276,699,92,2,38,4,10,7,,41,,,34,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1222,32,1254,1634
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1373,2,173,364,126,1,8,1,2,1,,32,,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,739,16,755,943
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1374,2,273,491,105,2,32,2,6,1,,46,,,19,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,989,17,1006,1266
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1375,3,183,416,87,2,12,5,2,3,,25,,,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,763,8,771,930
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1376,2,218,355,83,0,6,1,3,4,,28,,,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,725,10,735,934
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1377,3,397,641,113,1,1,0,0,2,,6,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1164,13,1177,1381
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1378,2,31,289,16,0,3,3,0,1,,13,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,357,6,363,434
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1379,2,323,659,87,3,37,1,29,2,,11,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1170,17,1187,1380
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1380,1,119,325,57,1,4,4,8,1,,14,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,551,4,555,727
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1381,2,75,500,13,2,74,1,4,1,,20,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,695,15,710,872
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1382,2,220,357,45,3,35,5,6,2,,34,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,722,9,731,974
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1383,2,267,645,146,1,72,1,5,1,,19,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1166,19,1185,1496
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1384,2,168,464,42,4,20,4,1,1,,29,,,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,765,25,790,974
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1385,2,351,499,79,3,6,2,7,0,,36,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,996,13,1009,1238
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1386,2,137,633,96,7,9,3,64,1,,109,,,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1078,21,1099,1469
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1387,2,74,383,56,4,6,2,53,2,,15,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,604,7,611,765
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1388,3,109,564,207,6,13,1,28,1,,15,,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,966,9,975,1253
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1389,2,281,431,30,1,1,3,0,3,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,757,9,766,905
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1390,2,224,504,27,0,1,0,0,1,,9,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,772,3,775,929
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1391,3,99,532,99,4,10,0,2,2,,10,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,766,12,778,936
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1392,3,153,804,181,3,7,4,10,4,,20,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1193,32,1225,1615
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1393,2,138,413,401,4,10,0,17,0,,3,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,995,4,999,1185
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1394,1,70,321,126,0,3,1,11,2,,3,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,545,7,552,680
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,276,SAN MIGUEL SOYALTEPEC,1395,2,149,619,177,1,9,1,14,1,,3,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,978,2,980,1169
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1473,2,13,307,12,2,9,228,,14,,565,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1152,23,1175,1419
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1474,3,14,499,11,6,13,462,,8,,401,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1416,25,1341,1612
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1475,1,19,76,3,0,2,118,,3,,96,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,320,8,328,418
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1476,2,110,134,10,2,5,95,,9,,264,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,629,21,650,795
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1477,1,17,86,4,0,5,67,,5,,108,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,292,5,297,348
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1478,2,22,253,8,2,17,103,,2,,385,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,796,14,810,1031
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,307,SAN PEDRO IXCATLAN,1479,1,4,183,0,0,3,139,,7,,145,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,481,85,566,623
