ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PAN_PRD,PRI,PRI_PVEM,PRD,PVEM,C_COMUN_NVA_ALIANZA_PSD,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,457,SANTIAGO CACALOXTEPEC,3,3,,692,,467,,,,4,,,,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1198,21,1219,1563,0.7799
20,OAXACA,485,SANTIAGO SUCHILQUITONGO,5,12,,1654,,1632,,,,703,,284,,27,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4613,89,4702,7099,0.6623
20,OAXACA,539,VILLA DE TAMAZULAPAM DEL PROGRESO,6,11,,47,,903,,,,1589,276,58,261,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3481,92,3576,5382,0.6644
20,OAXACA,543,VILLA TEJUPAM DE LA UNION,3,3,,409,,395,,,,8,,,,148,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1257,37,1294,1774,0.7294
20,OAXACA,5,ASUNCION CUYOTEPEJI,1,2,,279,,321,,,,0,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,648,9,657,861,0.7631
20,OAXACA,31,FRESNILLO DE TRUJANO,2,2,,173,,148,,,,7,2,,2,10,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,510,14,524,798,0.6566
20,OAXACA,32,GUADALUPE DE RAMIREZ,3,3,,,,236,,,,356,2,,38,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,754,19,773,1156,0.6687
20,OAXACA,37,HEROICA CIUDAD DE HUAJUAPAN DE LEON,34,95,,6843,,6854,,,,469,631,201,437,132,6694,,67,,,,,,,,586,138,688,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,24238,637,24882,54142,0.4596
20,OAXACA,55,MARISCALA DE JUAREZ,7,8,,326,,460,,,,301,6,,345,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,1608,61,1780,2717,0.6551
20,OAXACA,157,SAN JERONIMO SILACAYOAPILLA,2,2,,283,,420,,,,2,2,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,728,13,741,1176,0.6301
20,OAXACA,179,SAN JUAN BAUTISTA SUCHITEPEC,2,2,,133,,140,,,,2,0,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,6,310,404,0.7673
20,OAXACA,200,SAN JUAN IHUALTEPEC,2,2,,175,,89,,,,0,77,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,348,22,370,625,0.5920
20,OAXACA,237,SAN MARCOS ARTEAGA,3,3,,408,,364,,,,0,2,,,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,814,11,825,1266,0.6517
20,OAXACA,245,SAN MARTIN ZACATEPEC,2,3,,439,,398,,,,1,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,866,15,881,1223,0.7204
20,OAXACA,258,SAN MIGUEL AHUEHUETITLAN,2,4,,549,,484,,,,200,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1292,30,1322,1883,0.7021
20,OAXACA,260,SAN MIGUEL AMATITLAN,9,13,,1773,,906,,,,642,3,,14,2,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3409,83,3492,4901,0.7125
20,OAXACA,288,SAN NICOLAS HIDALGO,1,2,,228,,122,,,,2,129,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,551,9,561,786,0.7137
20,OAXACA,382,SANTA CRUZ TACACHE DE MINA,3,5,,671,,612,,,,0,1,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1346,30,1376,2051,0.6709
20,OAXACA,456,SANTIAGO AYUQUILILLA,2,3,,526,,486,,,,5,0,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1040,35,1075,1822,0.5900
20,OAXACA,459,VILLA DE SANTIAGO CHAZUMBA,9,10,,786,,990,,,,15,8,,,25,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2292,42,2334,3313,0.7045
20,OAXACA,463,SANTIAGO HUAJOLOTITLAN,4,6,,1074,703,,,118,,7,35,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2073,60,2135,3327,0.6417
20,OAXACA,486,SANTIAGO TAMAZOLA,6,8,,843,,1100,,,,8,4,,,17,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2001,41,2042,3083,0.6623
20,OAXACA,520,SANTO DOMINGO TONALA,7,11,,1166,,854,,,,789,3,,,,37,,,,,,,,,,,,,,228,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3130,113,3250,5908,0.5501
20,OAXACA,534,SILACAYOAPAM,15,17,,1377,,1320,,,,100,9,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3018,110,3128,5508,0.5679
20,OAXACA,568,ZAPOTITLAN LAGUNAS,3,4,,148,,455,,,,667,51,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1372,54,1426,2309,0.6176
20,OAXACA,71,PUTLA VILLA DE GUERRERO,18,43,,633,,861,,,,1346,1983,193,54,272,2324,,1207,,,,,,,,,,,,,,3379,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13384,662,14047,22965,0.6117
20,OAXACA,85,SAN ANDRES CABECERA NUEVA,3,4,,31,,634,,,,664,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1409,47,1456,1987,0.7328
20,OAXACA,298,SAN PEDRO AMUZGOS,3,7,,1323,,1550,,,,11,,14,,69,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3248,61,3309,4511,0.7335
20,OAXACA,378,SANTA CRUZ ITUNDUJIA,8,16,,2265,,3084,,,,28,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5578,119,5697,7529,0.7567
20,OAXACA,416,SANTA MARIA IPALAPA,3,8,,1139,,93,,,,17,,1161,,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2466,127,2593,3575,0.7253
20,OAXACA,448,SANTA MARIA ZACATEPEC,10,21,,2249,,3524,,,,86,,300,,,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7326,248,7579,11642,0.6510
20,OAXACA,470,SANTIAGO JUXTLAHUACA,18,43,242,,,5450,499,,,275,94,,,355,6376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13291,534,13825,21915,0.6308
20,OAXACA,16,CHALCATONGO DE HIDALGO,7,14,,1026,578,,,513,,405,32,108,693,112,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3848,294,4142,6349,0.6524
20,OAXACA,78,SAN AGUSTIN ATENANGO,2,3,,232,,432,,,,5,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,869,41,910,1578,0.5767
20,OAXACA,549,"HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA, CUNA DE LA INDEPENDENCIA DE OAXACA",13,19,511,,,1341,1106,,,1135,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4436,218,4656,9283,0.5016
20,OAXACA,553,HEROICA CIUDAD DE TLAXIACO,20,51,,2254,,2566,,,,1566,521,4970,871,676,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15925,461,16387,28358,0.5779
20,OAXACA,183,SAN JUAN BAUTISTA VALLE NACIONAL,15,30,,1641,,1437,,,,568,522,2492,300,1978,1591,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11117,451,11574,16954,0.6827
20,OAXACA,560,VILLA DE ETLA,4,15,,1128,,970,,,,131,1397,,153,241,476,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4654,149,4808,7733,0.6218
20,OAXACA,12,EL BARRIO DE LA SOLEDAD,10,19,,1491,,2765,,,,30,858,,26,108,475,,380,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6317,180,6497,10045,0.6468
20,OAXACA,15,CHAHUITES,7,14,,526,,1474,,,,667,2799,,,17,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5538,136,5674,7941,0.7145
20,OAXACA,57,MATIAS ROMERO AVENDAÑO,25,54,,3414,,4213,,,,160,299,,1267,190,2574,,89,,,,,,,,,,,,,,,,,,2533,,,,,,,,,,,,,,,,,,,,,,,,,,0,14739,615,15354,29038,0.5288
20,OAXACA,72,REFORMA DE PINEDA,2,4,,22,,637,,,,20,9,,,8,128,,,,,,,,,,,,,,,,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,1,1463,60,1524,2054,0.7420
20,OAXACA,199,SAN JUAN GUICHICOVI,23,43,,8268,4948,,,230,,324,23,34,,85,271,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14808,903,15720,21929,0.7169
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,18,,3115,,3450,,,,68,,,,12,346,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6997,110,7107,9737,0.7299
20,OAXACA,427,SANTA MARIA PETAPA,10,18,,911,,2547,,,,2469,31,,62,31,567,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6646,213,6866,11006,0.6238
20,OAXACA,481,SANTIAGO NILTEPEC,7,8,,943,,903,,,,888,1,,,8,267,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3012,67,3080,4033,0.7637
20,OAXACA,509,SANTO DOMINGO INGENIO,5,12,,1035,,1735,,,,51,,,1492,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4537,167,4704,6365,0.7390
20,OAXACA,525,SANTO DOMINGO ZANATEPEC,9,17,,467,865,,,591,,,829,17,2536,164,147,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5674,173,5847,8202,0.7129
20,OAXACA,376,SANTA CRUZ AMILPAS,4,13,560,,,619,91,,,,1406,1152,206,48,462,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5004,165,5171,8120,0.6368
20,OAXACA,392,SANTA LUCIA DEL CAMINO,23,64,,3174,,3772,,,,1028,793,1807,593,400,3646,,2435,,,,,,,,,,,,,,,,,,,,3444,,,,,,,,,,,,,,,,,,,,,,,,16,21092,748,21856,38380,0.5695
20,OAXACA,537,SOLEDAD ETLA,3,7,,187,720,,,124,,590,156,20,6,834,101,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2745,66,2811,4022,0.6989
20,OAXACA,154,SAN JACINTO AMILPAS,3,14,,1702,,772,,,,1049,233,262,143,193,1203,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5656,165,5824,10083,0.5776
20,OAXACA,66,OAXACA DE JUAREZ,147,372,,26173,,31152,,,2781,7827,1045,1943,,,26856,,2060,,,,,,,,,,,,,,,,,,,,,4793,1361,1363,1212,4368,,,,,,,,,,,,,,,,,,,115,112934,3864,116913,219629,0.5323
20,OAXACA,26,CUILAPAM DE GUERRERO,6,22,,3767,,1342,,,,365,1001,82,624,325,922,112,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8748,336,9090,14054,0.6468
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,20,90,,9686,,7231,,,,4175,182,608,658,1207,6501,,931,,,,,,,,,,,,,,,,,,,,,,,,,,417,1699,,,,,,,,,,,,,,,,,50,33295,1026,34371,61222,0.5614
20,OAXACA,566,VILLA DE ZAACHILA,7,38,,3177,3349,,,711,,216,62,,1148,785,3425,588,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13669,523,14195,25813,0.5499
20,OAXACA,8,ASUNCION OCOTLAN,3,5,,225,,678,,,,8,,,587,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1512,68,1580,2626,0.6017
20,OAXACA,17,CIENEGA DE ZIMATLAN,2,4,,722,881,,,5,,3,4,,,89,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1718,28,1746,2416,0.7227
20,OAXACA,67,OCOTLAN DE MORELOS,15,30,,1746,,1442,,,,179,795,,2334,247,3793,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10608,363,10975,15804,0.6944
20,OAXACA,100,SAN ANTONINO CASTILLO VELASCO,4,8,,331,,154,,,,15,550,,27,,524,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2332,133,2465,4067,0.6061
20,OAXACA,293,SAN PABLO HUIXTEPEC,6,12,,434,1686,,,73,,1210,18,,148,350,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4895,162,5057,7083,0.7140
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,,881,,921,,,,35,9,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1950,66,2016,2916,0.6914
20,OAXACA,388,SANTA GERTRUDIS,3,5,,679,,603,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1651,57,1708,2455,0.6957
20,OAXACA,555,TRINIDAD ZAACHILA,2,4,,670,117,,,15,,,,,,148,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1508,63,1571,2274,0.6909
20,OAXACA,570,ZIMATLAN DE ALVAREZ,13,26,,2895,1985,,,872,,437,681,64,553,53,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,732,,,,,,,,,,,,,,,1,9594,411,10006,14752,0.6783
20,OAXACA,109,SAN BALTAZAR CHICHICAPAM,2,4,,1192,,557,,,,3,3,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1771,81,1852,2285,0.8105
20,OAXACA,296,SAN PABLO VILLA DE MITLA,8,16,,2432,,2560,,,,256,,,44,34,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5705,176,5882,8798,0.6686
20,OAXACA,550,TLACOLULA DE MATAMOROS,10,30,,2938,,2453,,,,114,2673,,99,67,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9104,222,9332,17259,0.5407
20,OAXACA,51,MAGDALENA TEQUISISTLAN,6,10,600,,,720,610,,,276,659,508,9,5,613,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4008,136,4144,5274,0.7857
20,OAXACA,52,MAGDALENA TLACOTEPEC,1,2,,17,,31,,,,111,382,,,,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,863,7,870,1016,0.8563
20,OAXACA,305,SAN PEDRO HUAMELULA,7,14,222,,,934,1216,,,117,4,75,19,49,486,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4781,187,4968,7072,0.7025
20,OAXACA,419,SANTA MARIA JALAPA DEL MARQUES,7,16,,776,,1816,,,,131,4,49,22,17,2989,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,2,6407,112,6521,9018,0.7231
20,OAXACA,422,SANTA MARIA MIXTEQUILLA,3,6,,28,,315,,,,1623,15,22,,13,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2623,39,2662,3423,0.7777
20,OAXACA,473,SANTIAGO LAOLLAGA,3,5,,12,,773,,,,244,40,,550,,239,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1858,33,1892,2657,0.7121
20,OAXACA,507,SANTO DOMINGO CHIHUITAN,1,2,,8,,384,,,,512,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,990,16,1006,1248,0.8061
20,OAXACA,513,SANTO DOMINGO PETAPA,9,13,,419,,1677,,,,52,1,,1171,44,1018,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4445,33,4479,6059,0.7392
20,OAXACA,515,SANTO DOMINGO TEHUANTEPEC,30,84,,8375,,5362,,,,6033,65,966,99,343,6452,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,,,,,,,,,4,28181,846,29031,46588,0.6231
20,OAXACA,6,ASUNCION IXTALTEPEC,14,25,,2671,,4863,,,,15,,,1012,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8751,192,8943,11756,0.7607
20,OAXACA,41,CIUDAD IXTEPEC,17,37,,930,,2619,,,,3750,39,60,77,,5471,82,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,5,13230,335,13570,19987,0.6789
