MUNICIPIO,SECCION,TCAS,ID MPIO,PAN,PRI,PRD,PC,PT,PVEM,PPS,PDM
Campeche,57,,1,133,82,87,0,12,2,1,0
Campeche,58,C,1,157,111,107,0,17,1,0,0
Campeche,58,,1,173,110,95,1,20,3,0,0
Campeche,59,C,1,173,99,68,0,0,0,0,0
Campeche,59,,1,185,98,79,3,11,0,0,0
Campeche,60,C,1,90,103,91,0,28,2,0,0
Campeche,60,,1,106,80,102,1,27,10,2,1
Campeche,61,C,1,104,87,88,0,8,4,1,0
Campeche,61,,1,92,94,99,1,10,1,1,0
Campeche,62,C,1,48,118,70,0,21,2,0,1
Campeche,62,,1,61,112,69,1,33,3,1,1
Campeche,63,C,1,74,152,84,1,26,4,1,1
Campeche,63,,1,64,127,91,2,23,5,0,1
Campeche,64,C,1,108,107,83,1,11,2,1,2
Campeche,64,,1,107,98,100,0,6,2,4,1
Campeche,65,C,1,62,189,90,0,20,1,1,3
Campeche,65,,1,57,173,117,4,27,6,0,2
Campeche,66,C,1,81,93,79,0,16,6,5,0
Campeche,66,,1,91,116,94,1,26,3,7,0
Campeche,67,C,1,108,95,110,0,14,4,0,0
Campeche,67,,1,100,99,102,0,23,3,1,0
Campeche,68,C,1,61,101,60,0,33,3,0,2
Campeche,68,,1,81,89,62,0,25,6,1,0
Campeche,69,C,1,118,96,67,2,19,2,0,0
Campeche,69,,1,92,112,79,0,12,0,0,3
Campeche,70,C,1,165,85,105,1,15,4,0,1
Campeche,70,,1,163,90,103,0,14,0,1,0
Campeche,71,C,1,156,121,84,0,11,4,0,1
Campeche,71,,1,148,107,68,4,12,8,0,3
Campeche,72,C,1,224,163,61,0,7,3,1,0
Campeche,72,,1,216,160,71,1,6,6,1,1
Campeche,73,C,1,165,186,44,0,12,6,0,1
Campeche,73,E,1,49,60,45,2,2,2,0,0
Campeche,73,,1,129,180,44,1,8,3,0,1
Campeche,74,C,1,292,124,62,4,11,2,0,0
Campeche,74,,1,282,138,85,0,10,5,0,0
Campeche,75,C,1,134,115,98,1,23,5,1,0
Campeche,75,,1,128,133,83,0,15,4,2,1
Campeche,76,C,1,171,69,87,0,19,3,0,1
Campeche,76,,1,103,152,80,0,16,4,3,0
Campeche,77,C,1,139,83,71,0,11,3,3,0
Campeche,77,,1,114,96,74,0,6,5,3,0
Campeche,78,C,1,98,103,102,0,16,0,0,0
Campeche,78,,1,84,111,90,2,11,3,0,0
Campeche,79,C,1,86,127,77,2,14,1,2,2
Campeche,79,,1,98,106,81,1,26,5,2,0
Campeche,80,,1,213,160,154,1,21,6,2,2
Campeche,81,C,1,183,132,134,0,25,6,2,0
Campeche,81,C,1,192,126,134,4,15,5,2,0
Campeche,81,,1,163,147,142,1,16,6,1,0
Campeche,82,C,1,116,86,72,0,13,4,0,0
Campeche,82,,1,84,117,65,0,10,8,1,1
Campeche,83,C,1,150,196,110,1,30,6,2,0
Campeche,83,,1,145,207,117,0,22,2,2,1
Campeche,84,,1,80,147,130,0,38,2,1,1
Campeche,85,C,1,90,95,76,0,23,5,0,1
Campeche,85,,1,67,113,88,1,19,0,0,1
Campeche,86,C,1,283,105,76,0,3,2,0,1
Campeche,86,,1,155,122,73,1,7,2,0,2
Campeche,87,C,1,143,94,69,0,11,2,0,0
Campeche,87,,1,60,121,90,0,28,5,1,2
Campeche,88,,1,279,145,51,0,6,4,0,6
Campeche,89,C,1,208,135,25,0,2,3,0,0
Campeche,89,,1,193,140,39,0,12,2,0,0
Campeche,90,C,1,186,129,69,1,17,4,0,1
Campeche,90,,1,193,116,62,0,20,3,0,0
Campeche,91,C,1,107,96,82,4,24,3,1,0
Campeche,91,,1,114,122,112,0,15,3,0,0
Campeche,92,,1,247,193,58,0,4,0,1,0
Campeche,93,,1,270,157,51,0,2,5,0,0
Campeche,94,C,1,109,71,71,1,16,7,0,0
Campeche,94,,1,124,98,78,0,20,2,0,0
Campeche,95,,1,87,108,137,2,31,5,0,1
Campeche,96,C,1,59,120,90,3,15,5,0,1
Campeche,96,,1,60,144,74,1,14,3,0,0
Campeche,97,C,1,39,63,129,97,49,0,0,0
Campeche,97,,1,48,129,137,0,0,0,0,0
Campeche,98,,1,232,158,107,1,8,9,1,0
Campeche,99,C,1,0,0,0,0,0,0,0,0
Campeche,99,,1,79,94,99,2,23,4,1,2
Campeche,100,C,1,252,195,52,2,9,0,0,1
Campeche,100,,1,230,177,58,1,12,0,0,0
Campeche,101,C,1,215,168,61,1,12,10,0,1
Campeche,101,,1,197,152,67,0,16,2,1,0
Campeche,102,C,1,88,129,60,0,20,5,1,0
Campeche,102,,1,80,97,53,0,17,2,0,0
Campeche,103,C,1,64,128,92,0,23,4,1,0
Campeche,103,,1,68,116,83,1,21,2,2,0
Campeche,104,,1,228,147,124,0,13,8,1,0
Campeche,105,C,1,107,168,140,4,21,4,2,1
Campeche,105,,1,93,155,169,1,11,1,2,0
Campeche,106,C,1,153,73,55,0,6,3,0,0
Campeche,106,,1,145,70,73,1,4,1,0,2
Campeche,107,C,1,65,80,89,0,28,1,2,3
Campeche,107,,1,64,80,104,0,29,2,1,1
Campeche,108,C,1,97,150,65,2,45,4,1,0
Campeche,108,,1,73,177,81,0,49,0,4,2
Campeche,109,C,1,180,204,61,1,7,7,0,0
Campeche,109,,1,72,101,24,1,7,3,0,2
Campeche,110,C,1,77,125,119,1,25,6,0,0
Campeche,110,,1,77,94,107,0,24,4,2,1
Campeche,111,C,1,143,133,38,1,15,3,1,1
Campeche,111,,1,137,135,37,0,14,2,0,0
Campeche,112,C,1,45,124,60,1,49,1,0,3
Campeche,112,,1,74,177,78,2,55,3,0,3
Campeche,113,C,1,140,101,61,0,10,1,0,0
Campeche,113,,1,103,82,79,2,30,1,0,1
Campeche,114,C,1,106,71,85,2,10,4,0,0
Campeche,114,,1,135,80,64,1,21,0,0,0
Campeche,115,,1,137,185,69,1,77,5,0,0
Campeche,116,,1,122,245,104,0,58,4,1,0
Campeche,117,,1,88,185,84,1,91,5,0,2
Campeche,118,,1,22,285,103,0,5,20,0,1
Campeche,119,,1,11,113,28,0,3,0,0,0
Campeche,120,,1,7,238,49,0,2,0,0,0
Campeche,121,,1,22,133,81,0,5,3,0,0
Campeche,122,,1,42,230,85,2,18,3,2,0
Campeche,123,,1,20,144,127,0,6,0,0,0
Campeche,124,,1,31,273,171,1,8,2,1,1
Campeche,125,C,1,50,132,75,0,29,2,1,0
Campeche,125,,1,53,144,58,0,19,0,0,0
Campeche,126,C,1,52,164,77,0,43,1,2,0
Campeche,126,,1,61,184,86,2,41,2,2,1
Campeche,127,,1,39,188,80,1,37,3,0,0
Campeche,128,,1,6,49,18,0,0,0,0,0
Campeche,129,C,1,11,204,80,1,8,1,0,0
Campeche,129,,1,17,200,88,0,12,2,0,0
Campeche,130,,1,27,48,99,0,7,0,0,2
Campeche,131,,1,11,55,24,0,2,0,0,0
Campeche,132,,1,5,44,32,0,1,0,0,0
Campeche,133,,1,5,176,34,0,7,1,0,0
Campeche,134,,1,7,98,25,0,0,0,0,0
Campeche,135,,1,23,197,98,0,0,0,0,0
Campeche,136,,1,1,34,28,0,26,0,0,0
Campeche,137,,1,8,50,9,0,0,0,0,0
Campeche,138,,1,4,100,101,0,4,0,0,0
Campeche,139,,1,9,158,56,2,8,1,0,0
Campeche,140,,1,17,243,159,0,47,1,0,0
Campeche,141,,1,15,234,141,1,44,1,0,0
Campeche,142,C,1,25,168,155,0,16,0,0,0
Campeche,142,,1,13,190,150,0,14,0,0,0
Campeche,143,,1,4,83,61,0,8,0,0,0
Campeche,144,,1,7,50,26,0,3,3,0,0
Campeche,145,,1,12,165,145,0,11,0,0,0
Campeche,146,,1,5,55,77,0,32,0,0,0
Calkiní,147,C,2,15,155,85,2,16,1,0,0
Calkiní,147,,2,9,186,57,0,13,1,1,0
Calkiní,148,,2,35,224,147,0,41,0,0,0
Calkiní,149,C,2,24,152,104,1,17,3,0,0
Calkiní,149,,2,12,137,129,0,22,2,0,0
Calkiní,150,,2,7,282,175,0,41,1,0,0
Calkiní,151,E,2,2,17,13,0,7,1,0,0
Calkiní,151,,2,14,234,133,0,34,3,2,0
Calkiní,152,C,2,4,188,66,0,41,0,0,0
Calkiní,152,,2,4,179,78,1,37,1,0,0
Calkiní,153,C,2,4,181,73,0,23,0,0,0
Calkiní,153,,2,8,182,99,0,19,1,0,0
Calkiní,154,C,2,9,150,108,1,53,2,1,0
Calkiní,154,,2,7,161,119,0,45,3,0,0
Calkiní,155,C,2,2,178,112,0,42,1,0,0
Calkiní,155,,2,4,141,152,1,35,4,0,0
Calkiní,156,,2,7,149,113,1,61,0,0,0
Calkiní,157,,2,1,204,57,0,27,0,2,1
Calkiní,158,,2,0,267,127,0,23,0,0,0
Calkiní,159,,2,0,225,126,0,50,0,0,0
Calkiní,160,,2,2,168,160,2,59,2,0,0
Calkiní,161,,2,2,225,198,4,28,1,0,0
Calkiní,162,,2,1,218,102,0,96,0,0,0
Calkiní,163,,2,1,176,106,3,118,2,0,0
Calkiní,164,,2,0,235,176,0,71,3,0,0
Calkiní,165,,2,0,105,7,0,24,0,0,0
Calkiní,166,C,2,2,318,87,1,104,0,0,0
Calkiní,166,,2,0,339,58,0,110,0,0,0
Calkiní,167,C,2,0,165,53,0,63,0,0,0
Calkiní,167,,2,0,156,68,0,60,0,0,0
Calkiní,168,C,2,1,179,39,0,94,0,0,0
Calkiní,168,,2,1,161,61,0,78,0,0,0
Calkiní,169,C,2,2,232,74,0,29,1,0,0
Calkiní,169,,2,3,190,117,0,25,0,0,0
Calkiní,170,,2,7,276,177,0,3,0,0,0
Calkiní,171,,2,0,194,85,0,19,3,1,0
Calkiní,172,,2,1,306,204,2,2,0,0,0
Calkiní,173,C,2,6,197,96,0,17,0,0,0
Calkiní,173,,2,4,178,114,0,40,1,0,0
Calkiní,174,C,2,3,156,90,1,9,0,0,0
Calkiní,174,,2,3,164,82,1,6,0,0,0
Calkiní,175,C,2,0,193,140,0,41,2,0,0
Calkiní,175,,2,3,190,130,0,48,1,0,0
Calkiní,176,C,2,2,142,136,3,27,1,1,1
Calkiní,176,,2,5,156,176,1,22,3,0,0
Calkiní,177,C,2,8,157,103,8,41,0,0,0
Calkiní,177,,2,21,161,100,3,43,0,0,0
Calkiní,178,,2,1,73,94,0,6,1,0,0
Calkiní,179,C,2,15,179,113,0,14,0,0,0
Calkiní,179,,2,17,194,76,0,15,1,0,0
Calkiní,180,C,2,1,194,131,1,40,1,1,1
Calkiní,180,,2,0,262,87,0,31,0,0,0
Calkiní,181,X,2,0,43,5,0,1,0,0,0
Calkiní,181,,2,1,125,20,0,5,0,0,0
Calkiní,182,,2,0,64,30,0,2,0,0,0
Carmen,183,,3,30,90,77,0,3,0,0,1
Carmen,184,C,3,54,169,141,2,4,2,0,0
Carmen,184,,3,63,139,157,0,7,0,0,0
Carmen,185,C,3,19,126,111,0,0,0,1,0
Carmen,185,,3,16,123,112,0,4,0,0,0
Carmen,186,,3,23,150,192,2,3,0,0,1
Carmen,187,C,3,19,124,148,1,5,0,1,0
Carmen,187,,3,24,112,152,1,2,0,3,0
Carmen,188,C,3,27,121,52,0,0,0,0,0
Carmen,188,,3,32,188,95,2,3,3,0,0
Carmen,189,C,3,12,142,162,0,5,0,0,0
Carmen,189,,3,11,117,122,0,7,0,1,0
Carmen,190,C,3,15,118,106,1,2,0,0,1
Carmen,190,,3,13,120,98,2,2,0,1,0
Carmen,191,,3,18,217,177,2,7,2,0,0
Carmen,192,,3,22,163,173,0,15,1,1,0
Carmen,193,,3,17,118,105,2,3,0,1,0
Carmen,194,C,3,9,77,111,0,7,0,0,1
Carmen,194,,3,9,77,111,0,7,0,0,1
Carmen,195,C,3,7,96,126,0,4,0,1,0
Carmen,195,,3,15,111,117,1,6,2,0,0
Carmen,196,C,3,15,151,116,0,10,0,0,1
Carmen,196,,3,14,133,122,1,5,0,4,0
Carmen,197,C,3,26,117,84,0,6,0,0,0
Carmen,197,,3,22,124,74,1,1,0,0,0
Carmen,198,E,3,1,7,2,0,0,0,0,0
Carmen,198,,3,6,31,18,0,5,0,0,1
Carmen,199,C,3,30,174,199,3,7,0,1,2
Carmen,199,,3,21,217,160,0,6,0,0,0
Carmen,200,C,3,14,140,81,0,11,1,1,1
Carmen,200,,3,11,127,116,1,6,2,1,0
Carmen,201,,3,18,157,192,0,5,0,0,1
Carmen,202,C,3,35,186,147,0,19,1,5,1
Carmen,202,,3,34,197,141,0,5,0,5,2
Carmen,203,C,3,25,127,119,0,5,0,1,1
Carmen,203,,3,15,106,101,0,6,0,2,1
Carmen,204,,3,33,147,113,0,7,2,0,0
Carmen,205,C,3,13,125,128,0,5,0,0,1
Carmen,205,C,3,16,117,128,1,8,2,0,1
Carmen,205,,3,13,128,124,1,4,0,0,1
Carmen,206,C,3,38,115,101,1,2,0,1,1
Carmen,206,,3,31,116,75,2,2,0,0,0
Carmen,207,,3,9,174,177,1,13,0,3,0
Carmen,208,C,3,30,153,133,2,4,1,1,1
Carmen,208,,3,20,127,149,1,7,0,1,2
Carmen,209,C,3,33,165,157,3,8,2,0,1
Carmen,209,,3,40,179,134,1,7,0,1,0
Carmen,210,C,3,33,170,118,0,8,1,1,0
Carmen,210,,3,32,126,163,2,12,0,0,3
Carmen,211,C,3,32,157,151,1,5,0,1,0
Carmen,211,,3,30,176,162,1,9,0,0,0
Carmen,212,,3,29,224,177,1,21,0,2,0
Carmen,213,C,3,17,112,106,2,6,0,0,2
Carmen,213,,3,22,126,99,0,4,0,3,1
Carmen,214,C,3,34,168,122,0,13,0,2,0
Carmen,214,,3,27,183,119,0,5,0,1,1
Carmen,215,,3,13,116,91,0,7,0,1,0
Carmen,216,C,3,17,145,96,0,8,0,0,0
Carmen,216,,3,27,151,75,1,7,2,0,0
Carmen,217,C,3,27,137,104,2,7,0,4,0
Carmen,217,,3,28,148,124,0,9,0,0,0
Carmen,218,C,3,37,163,150,2,6,0,0,1
Carmen,218,,3,49,153,136,1,3,0,1,1
Carmen,219,,3,21,138,83,3,6,0,0,1
Carmen,220,,3,27,203,147,0,8,0,1,0
Carmen,221,,3,37,212,177,1,3,3,2,0
Carmen,222,,3,43,170,118,0,3,0,1,0
Carmen,223,E,3,7,38,39,0,0,0,1,0
Carmen,223,,3,55,216,116,0,10,0,0,1
Carmen,224,C,3,22,169,121,0,3,0,3,0
Carmen,224,,3,17,164,126,1,8,4,2,1
Carmen,225,C,3,21,115,126,0,0,0,0,0
Carmen,225,,3,33,159,99,0,1,2,0,0
Carmen,226,C,3,19,122,115,1,7,0,0,0
Carmen,226,,3,32,108,116,4,6,0,1,0
Carmen,227,C,3,17,125,148,0,0,0,0,0
Carmen,227,,3,19,123,126,0,8,0,0,0
Carmen,228,C,3,10,83,84,0,5,0,0,0
Carmen,228,,3,16,88,89,0,9,0,0,0
Carmen,229,C,3,12,169,206,0,12,1,0,0
Carmen,229,,3,9,185,209,2,8,0,1,0
Carmen,230,C,3,17,170,177,1,7,2,0,1
Carmen,230,C,3,17,158,168,1,4,3,1,1
Carmen,230,C,3,15,206,169,2,6,0,2,0
Carmen,230,,3,10,182,162,1,4,1,1,0
Carmen,231,,3,10,132,212,1,1,0,2,0
Carmen,232,C,3,10,126,144,1,7,0,1,0
Carmen,232,,3,24,152,139,2,7,2,2,0
Carmen,233,C,3,7,153,155,0,3,1,1,1
Carmen,233,E,3,1,29,27,1,2,0,0,0
Carmen,233,,3,7,157,156,0,3,1,1,1
Carmen,234,C,3,9,188,149,234,4,0,0,0
Carmen,234,,3,18,165,150,0,0,2,0,0
Carmen,235,C,3,7,117,109,0,3,0,0,0
Carmen,235,,3,13,109,123,0,6,0,0,0
Carmen,236,,3,16,189,205,0,10,1,1,0
Carmen,237,C,3,16,118,104,1,10,0,1,0
Carmen,237,,3,18,145,101,1,5,0,0,0
Carmen,238,,3,16,57,49,3,4,0,0,1
Carmen,239,,3,41,218,199,0,6,0,0,0
Carmen,240,C,3,11,87,111,0,5,0,0,0
Carmen,240,,3,12,81,96,2,3,0,1,0
Carmen,241,C,3,12,146,104,0,2,2,0,0
Carmen,241,,3,10,77,77,1,0,0,0,0
Carmen,242,C,3,5,74,97,2,4,1,0,0
Carmen,242,,3,13,115,140,4,67,0,0,0
Carmen,243,C,3,12,121,107,5,0,1,0,1
Carmen,243,,3,14,123,120,3,11,0,1,2
Carmen,244,C,3,6,118,146,0,12,0,1,0
Carmen,244,C,3,0,100,133,0,7,0,0,0
Carmen,244,C,3,4,99,134,1,7,1,0,2
Carmen,244,,3,6,117,133,1,10,0,0,0
Carmen,245,C,3,4,105,112,2,1,0,1,2
Carmen,245,,3,8,88,122,1,2,0,1,0
Carmen,246,C,3,7,99,99,1,1,0,0,0
Carmen,246,,3,14,104,106,0,3,0,0,0
Carmen,247,,3,7,154,187,1,2,1,0,0
Carmen,248,C,3,3,65,123,3,2,1,1,0
Carmen,248,,3,3,80,123,3,2,1,0,0
Carmen,249,C,3,12,95,132,1,3,0,0,0
Carmen,249,,3,9,92,115,0,8,0,0,0
Carmen,250,C,3,2,148,85,0,11,0,1,0
Carmen,250,,3,1,145,91,0,10,1,0,0
Carmen,251,,3,1,266,121,0,32,0,0,0
Carmen,252,,3,8,288,107,1,13,0,1,0
Carmen,253,C,3,5,189,88,0,3,0,1,0
Carmen,253,,3,7,177,81,1,8,0,0,0
Carmen,254,,3,1,183,62,1,5,2,4,1
Carmen,255,,3,0,193,38,0,2,0,0,0
Carmen,256,,3,6,272,104,2,28,0,0,0
Carmen,257,C,3,4,139,94,0,6,0,0,2
Carmen,257,,3,6,162,75,1,7,1,0,0
Carmen,258,C,3,4,159,77,0,4,0,0,1
Carmen,258,,3,0,160,191,0,1,0,0,0
Carmen,259,C,3,1,137,98,0,11,0,0,0
Carmen,259,,3,2,146,119,0,8,0,1,0
Carmen,260,,3,0,90,92,2,4,0,0,0
Carmen,261,,3,2,362,59,2,4,0,0,0
Carmen,262,X,3,1,138,51,1,40,0,0,0
Carmen,262,,3,3,180,84,0,6,0,0,0
Carmen,263,,3,5,143,216,0,0,1,0,0
Carmen,264,X,3,0,44,0,0,0,0,0,0
Carmen,264,,3,7,66,53,2,4,0,0,0
Carmen,265,C,3,1,114,137,0,0,0,0,0
Carmen,265,,3,0,153,187,0,1,0,0,0
Carmen,266,C,3,1,159,127,0,0,0,0,0
Carmen,266,,3,1,163,163,1,3,0,0,0
Carmen,267,C,3,3,218,277,1,3,0,1,0
Carmen,267,,3,2,192,310,1,2,1,0,0
Carmen,268,C,3,1,174,149,1,4,0,0,0
Carmen,268,,3,2,183,129,0,1,1,0,0
Carmen,269,,3,0,86,73,0,0,0,0,0
Carmen,270,,3,3,14,16,0,0,1,0,0
Carmen,271,,3,0,1,1,0,0,0,0,0
Carmen,272,,3,0,29,26,0,0,0,0,0
Carmen,273,X,3,0,104,9,0,0,0,0,0
Carmen,273,X,3,3,80,38,0,5,0,2,0
Carmen,273,X,3,0,142,109,9,2,1,1,0
Carmen,273,,3,1,59,38,0,2,0,0,0
Carmen,274,C,3,3,105,151,1,5,1,1,0
Carmen,274,,3,4,84,123,1,2,1,0,0
Carmen,275,X,3,1,82,22,0,3,0,0,0
Carmen,275,,3,2,78,16,0,8,1,0,0
Carmen,276,,3,1,68,42,0,1,0,0,1
Carmen,277,X,3,0,149,90,0,0,0,0,0
Carmen,277,,3,3,263,135,0,5,0,0,0
Carmen,278,X,3,0,49,63,0,0,0,0,0
Carmen,278,X,3,0,71,42,1,3,0,0,0
Carmen,278,X,3,1,79,8,0,9,0,0,0
Carmen,278,,3,0,153,61,1,28,0,0,0
Carmen,279,C,3,12,79,82,0,3,0,0,0
Carmen,279,,3,9,94,83,2,7,0,0,0
Carmen,280,,3,15,225,130,0,8,2,0,0
Carmen,281,C,3,13,214,118,1,0,0,0,4
Carmen,281,,3,1,129,76,1,8,0,0,0
Carmen,282,,3,8,169,96,0,12,0,0,0
Carmen,283,,3,5,222,130,3,15,3,0,0
Carmen,284,,3,0,35,18,2,0,0,0,0
Carmen,285,X,3,0,83,17,0,2,0,0,1
Carmen,285,,3,0,51,102,0,48,0,0,0
Carmen,286,,3,38,24,60,0,0,0,0,0
Carmen,287,,3,0,93,44,0,4,0,0,0
Carmen,288,,3,5,127,30,1,1,0,1,0
Carmen,289,X,3,0,59,36,0,0,0,0,0
Carmen,289,,3,9,117,100,0,5,0,0,1
Carmen,290,,3,0,29,9,0,0,0,0,1
Carmen,291,C,3,0,117,57,0,0,0,0,0
Carmen,291,,3,2,106,61,0,0,0,0,0
Carmen,292,X,3,2,29,78,0,3,0,0,0
Carmen,292,,3,1,54,42,1,0,0,0,0
Carmen,293,X,3,0,80,55,2,1,0,1,0
Carmen,293,X,3,2,81,47,0,35,0,1,0
Carmen,293,,3,11,95,47,0,4,6,0,0
Carmen,294,,3,0,58,0,0,2,0,0,0
Carmen,295,,3,0,65,48,2,2,0,0,0
Carmen,296,X,3,0,115,23,0,3,0,0,1
Carmen,296,,3,0,81,62,0,23,0,0,0
Carmen,297,X,3,0,68,52,0,10,0,0,0
Carmen,297,,3,0,64,48,0,9,0,0,0
Carmen,298,,3,9,182,119,3,32,3,0,2
Carmen,299,X,3,0,84,143,4,0,0,0,0
Carmen,299,,3,0,84,143,4,12,1,0,1
Carmen,300,,3,0,37,25,0,115,0,0,0
Carmen,301,,3,2,47,85,1,21,0,2,0
Carmen,302,,3,0,69,37,0,12,0,0,0
Champotón,303,,4,3,122,213,0,6,0,1,0
Champotón,304,C,4,11,82,164,0,0,0,0,0
Champotón,304,,4,6,83,182,0,4,0,0,2
Champotón,305,C,4,2,77,179,0,0,0,0,0
Champotón,305,,4,4,78,173,0,4,0,0,0
Champotón,306,,4,11,198,274,4,1,0,0,0
Champotón,307,,4,13,197,296,2,0,2,0,0
Champotón,308,E,4,1,41,111,1,1,0,0,0
Champotón,308,,4,19,141,126,0,3,0,0,0
Champotón,309,C,4,5,144,151,0,2,0,0,0
Champotón,309,,4,7,127,135,0,0,0,0,0
Champotón,310,,4,13,206,230,0,3,0,0,0
Champotón,311,,4,8,195,242,2,2,0,0,0
Champotón,312,,4,8,126,301,1,2,0,0,0
Champotón,313,,4,5,168,284,1,8,1,0,0
Champotón,314,C,4,11,134,159,0,1,0,0,0
Champotón,314,,4,7,160,128,0,0,0,1,0
Champotón,315,C,4,0,114,164,1,0,0,0,0
Champotón,315,,4,3,136,121,1,1,0,0,0
Champotón,316,,4,6,206,284,2,3,1,0,0
Champotón,317,,4,9,200,266,2,7,0,0,0
Champotón,318,C,4,3,138,134,0,1,0,0,0
Champotón,318,,4,1,154,110,1,1,0,0,0
Champotón,319,C,4,2,106,205,0,1,0,0,0
Champotón,319,,4,10,125,203,2,4,0,0,1
Champotón,320,,4,13,225,222,2,9,0,0,0
