CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,101,NAUPAN,0834,3,145,250,21,10,36,7,4,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,5,30,3,1,4,1,535,33,568,1331
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0883,3,312,292,11,3,15,20,14,2,44,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,11,0,0,8,0,742,27,769,1146
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0884,2,258,306,7,2,12,2,8,13,23,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,10,0,0,5,0,657,22,679,1097
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0885,1,198,178,8,0,9,5,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,9,1,0,1,0,442,21,463,742
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0886,2,147,56,9,1,3,6,0,2,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,246,4,250,366
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0887,2,376,222,6,2,5,9,12,1,18,4,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,3,7,0,0,1,2,683,42,725,1055
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0888,1,156,154,9,3,4,3,1,2,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,1,1,366,12,378,638
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0889,3,322,171,18,2,6,6,3,1,65,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,6,1,626,23,649,1171
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0890,4,321,364,39,74,10,13,178,10,26,24,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,6,0,0,10,0,1084,49,1133,2302
4,21,PUEBLA,01,XICOTEPEC DE JUAREZ,110,PAHUATLAN,0891,1,125,101,8,4,2,1,19,1,17,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,304,0,304,524
