ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,PCPP,PSI,MORENA,ES,PAN_PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA_PCPP,PAN_PT_NVA_ALIANZA_PSI,PAN_PT_PCPP_PSI,PAN_NVA_ALIANZA_PCPP_PSI,PT_NVA_ALIANZA_PCPP_PSI,PAN_PT_NVA_ALIANZA,PAN_PT_PCPP,PAN_PT_PSI,PAN_NVA_ALIANZA_PCPP,PAN_NVA_ALIANZA_PSI,PAN_PCPP_PSI,PT_NVA_ALIANZA_PCPP,PT_NVA_ALIANZA_PSI,PT_PCPP_PSI,NVA_ALIANZA_PCPP_PSI,PAN_PT,PAN_NVA_ALIANZA,PAN_PCPP,PAN_PSI,PT_NVA_ALIANZA,PT_PCPP,PT_PSI,NVA_ALIANZA_PCPP,NVA_ALIANZA_PSI,PCPP_PSI,PRI_PVEM_ES,PRI_PVEM,PRI_ES,PVEM_ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,251,24851,16590,3089,612,495,980,622,462,8469,377,392,84,48,39,51,6,72,21,5,125,28,13,7,5,0,1,69,595,300,25,12,4,8,5,6,4,361,918,54,6,3581,45,63437,2433,65870,167703,0.3928
21,PUEBLA,12,AMOZOC DE MOTA,69,251,19789,19131,2440,1400,1329,1271,1990,3510,6442,376,289,29,40,20,27,6,22,11,17,52,24,24,1,8,0,2,83,238,179,188,12,2,47,8,9,17,255,791,61,54,1369,44,61607,2003,63610,157651,0.4035
21,PUEBLA,13,TEPEACA,78,247,19132,21856,1978,925,1284,1649,1599,1321,4720,363,126,21,29,5,20,8,21,7,11,35,22,12,1,4,2,2,91,269,148,86,7,2,22,7,3,6,234,1143,68,12,1097,26,58374,1865,60239,152120,0.3960
21,PUEBLA,14,CIUDAD SERDAN,108,270,25100,23014,2288,2113,726,3034,2061,2696,4115,312,114,19,38,32,10,4,29,9,23,46,25,10,2,8,2,1,101,465,136,115,18,3,42,5,17,13,173,767,29,7,1246,34,69002,2622,71624,149996,0.4775
21,PUEBLA,15,TECAMACHALCO,74,234,14431,12919,1260,903,1086,1544,4848,6609,5018,712,118,13,22,33,24,8,18,7,34,38,29,18,1,10,2,4,68,208,194,232,15,7,97,16,23,58,154,546,43,9,1903,22,53304,2042,55346,145704,0.3799
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,128,319,28947,19860,3616,585,594,1352,652,170,12737,495,457,57,55,37,51,8,42,20,21,102,15,14,6,5,0,3,74,544,2586,15,9,7,11,19,5,4,365,853,56,10,7307,148,81914,3541,85455,192599,0.4437
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,224,408,41421,19490,3752,615,635,1282,727,490,13221,484,494,72,59,27,53,9,40,24,10,96,16,21,5,3,0,2,80,325,241,27,5,4,5,13,4,5,389,522,73,51,10158,589,95539,3710,99249,213954,0.4639
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,285,22319,13529,6835,529,863,1624,364,261,8892,529,239,54,33,27,26,3,31,14,6,76,12,11,5,3,0,2,51,242,4083,18,10,4,1,6,3,3,254,423,53,9,6563,84,68094,2854,70948,180186,0.3937
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,300,27677,18302,3754,672,540,1138,541,199,12863,451,326,55,48,23,46,2,39,16,20,84,18,15,0,3,2,0,83,351,225,17,5,1,12,6,2,2,356,751,61,9,7208,100,76023,3212,79235,184029,0.4306
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,247,18548,17571,2843,705,643,1092,443,159,7258,375,241,48,36,31,34,16,40,19,11,80,16,20,163,59,21,5,95,446,4567,25,26,7,10,2,2,3,306,1127,61,6,3056,61,60277,2582,62859,160668,0.3912
21,PUEBLA,21,ATLIXCO,119,292,22780,19073,3740,906,994,1284,1139,198,7777,352,124,28,21,8,17,3,20,8,5,42,6,7,1,3,2,1,48,208,147,12,6,1,12,7,3,4,204,864,57,14,2479,83,62688,2738,65426,169778,0.3854
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,19800,33351,2159,2556,1168,2243,4382,1068,6573,434,132,32,25,24,23,4,23,15,70,36,11,13,12,20,5,0,139,216,179,47,17,11,14,14,15,15,321,1323,82,15,1155,54,77796,2581,80377,181851,0.4420
21,PUEBLA,23,ACATLAN DE OSORIO,150,327,23497,36387,3420,1199,1060,1821,2285,445,5805,227,114,23,26,21,17,2,28,7,6,36,14,9,1,8,1,0,77,235,126,13,18,3,14,15,9,7,222,1394,47,8,781,22,79450,2103,81553,170148,0.4793
21,PUEBLA,24,TEHUACAN,80,253,21595,20282,1950,1092,763,2658,981,3741,7038,239,98,17,23,12,16,5,19,3,14,27,13,8,0,9,2,0,50,271,80,91,5,4,51,10,19,6,125,718,29,9,1280,32,63385,2304,65689,154043,0.4264
21,PUEBLA,25,TEHUACAN,81,257,25012,16939,2274,575,682,1526,1184,330,7408,231,152,16,28,13,19,7,21,15,8,40,17,5,0,3,0,1,49,254,108,29,9,0,7,6,4,1,123,553,31,3,2293,47,60023,2306,62329,161012,0.3871
21,PUEBLA,26,AJALPAN,106,272,18591,25564,3277,7583,1319,14044,3789,983,4843,192,58,29,12,3,11,2,26,6,7,33,32,5,25,17,3,3,60,409,1589,9,50,122,78,29,31,10,98,675,14,19,469,16,84135,2891,87026,152613,0.5702
