uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
31014,1998,PRI,EUSEBIO VAZQUEZ SUASTE,PAN,,0.0293255132
31014,2001,PRI,VICTOR SALAZAR SALAZAR,PAN,,0.0388349515
31014,2004,PRI,LIBORIO CEN LOPEZ,PAN,,0.0672371638
31014,2007,PRI,MOISES NOVELO MOO,PAN,,0.0850850851
31014,2010,PAN,ELIAS NOVELO MOO,PRI,,0.0563947633
31014,2012,PAN,REYES MELCHOR SUASTE GUTIERREZ,PRI_PVEM,,0.0103806228
31014,2015,PRI_PVEM_PNA_PH_PES,EUSEBIO VAZQUEZ SALAZAR,PAN,,0.2294440094
31014,2018,PRI,EUSEBIO VAZQUEZ SALAZAR,PAN_MC,ELIZABETH NAHUAT CHAN,0.284522003
31014,2021,PRI,TILA ROSADO CHALAS,PAN_PNA,,0.3512915129
31015,1990,PRI,GAUDENCIO PECH XEGUEB,PAN,,0.94973070020000006
31015,1993,PRI,MANUEL JESUS ARJONA KU,PAN,,0.520119225
31015,1995,PRI,JOSE LEONIDES CASTRO PUC,PRD,,0.2659507265
31015,1998,PRI,WILLIAM ALBERTO PECH SOBERANIS,PAN,,0.6561264822
31015,2001,PRI,EMA NOHEMI PECH CANCHE,PAN,,0.0369989723
31015,2004,PAN,JOSE RAMON PECH COUOH,PRI,,0.1448403517
31015,2007,PRI,JUAN BAUTISTA KUK PECH,PAN,,0.2492940702
31015,2010,PRI,WILIAM ALBERTO PECH SOBERANIS,PAN,,0.1361502347
31015,2012,PRI_PVEM,WILBERT ORLANDO SOBERANIS VILLANUEVA,PAN,,0.2457592056
31015,2015,PRI_PVEM_PNA,JOSE CARLOS AKE KU,PAN,,0.109380179
31015,2018,PRI_PVEM,MARIA ANTONIA ZAPATA MAAS,MC,VICTOR MANUEL SOBERANIS VILLANUEVA,0.0720074813
31015,2021,PAN,VICTOR MANUEL SOBERANIS VILLANUEVA ,MORENA,,0.0217975515
