CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,18,3,88,150,48,279,10,14,14,107,62,17,7,39,0,0,0,835,38,873,1556
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,19,3,120,130,63,233,14,13,20,119,79,13,15,21,0,0,2,840,28,870,1562
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,20,2,104,97,28,122,12,19,11,112,70,15,2,11,0,0,0,603,34,637,1220
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,2,119,109,32,68,14,18,15,73,26,11,1,13,0,0,4,499,24,527,1067
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,2,97,91,28,81,11,8,9,88,39,13,3,14,0,0,0,482,15,497,1038
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,2,65,61,26,77,6,9,12,85,42,9,7,0,0,0,1,399,20,420,811
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,24,2,121,132,45,84,9,19,8,105,35,13,2,11,0,0,0,584,19,603,1128
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,25,1,64,51,35,61,5,4,7,51,33,6,2,13,0,0,1,332,17,350,718
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,26,1,44,69,28,93,6,9,11,52,42,8,0,11,0,0,0,373,17,390,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,27,2,49,83,40,107,9,16,8,79,55,10,4,18,0,0,0,478,23,501,1024
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,28,2,70,109,47,154,12,12,10,72,39,17,7,32,0,1,1,582,19,602,1200
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,29,2,69,62,42,130,4,9,9,66,37,17,0,12,0,0,0,457,15,472,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,30,1,42,49,26,118,4,2,3,37,26,9,1,5,0,0,0,322,12,334,644
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,31,2,54,78,28,109,6,8,9,47,27,8,1,15,0,0,1,390,8,399,753
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,32,2,59,68,23,201,13,8,4,66,32,11,0,3,0,0,0,488,18,506,1077
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,33,1,24,51,22,100,3,5,4,36,26,6,0,12,0,0,0,289,19,308,670
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,34,2,54,55,33,171,5,15,4,38,24,15,1,26,0,0,0,441,11,452,846
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,35,2,57,61,33,133,7,5,3,71,39,15,5,13,0,0,1,442,13,456,973
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,36,2,57,138,42,143,5,11,8,75,34,14,1,9,0,0,0,537,20,557,1150
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,37,2,55,85,19,93,4,6,5,47,34,0,0,4,0,0,0,352,6,358,828
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,38,2,46,48,27,109,9,9,2,59,37,9,0,9,0,1,0,365,30,395,884
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,39,1,26,45,21,78,5,7,7,5,38,25,4,3,5,0,0,269,13,282,632
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,40,2,53,67,38,142,10,7,2,57,29,8,2,20,0,1,0,436,16,452,1152
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,41,1,15,31,15,71,7,4,5,39,25,4,1,5,0,0,0,222,9,231,628
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,42,1,48,37,32,83,6,9,5,54,34,9,2,17,0,0,0,336,20,356,708
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,43,2,74,98,33,73,7,7,10,55,46,13,1,21,1,0,0,439,20,459,860
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,44,2,83,100,37,113,13,17,11,72,59,9,3,10,10,1,0,538,15,553,1260
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,45,2,118,168,47,125,5,11,17,119,41,14,5,16,0,2,2,688,26,716,1344
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,46,3,84,157,29,293,15,25,15,91,63,17,6,54,0,0,0,849,44,893,1510
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,47,2,83,135,49,158,13,18,14,110,74,8,0,5,0,0,0,667,44,711,1362
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,48,2,93,157,40,102,26,23,11,143,71,10,11,7,0,0,0,694,28,722,1480
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,49,3,87,142,49,135,12,19,18,197,45,13,5,16,0,0,0,738,37,775,1525
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,50,3,150,188,53,190,24,20,36,305,103,17,3,30,1,0,0,1120,48,1168,2144
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,51,2,95,152,61,103,12,22,21,107,73,5,5,10,0,1,0,667,29,696,1226
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,52,2,98,89,54,195,17,22,13,113,101,5,0,20,0,1,1,728,39,768,1414
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,53,4,180,255,104,253,36,44,30,204,150,28,5,21,0,0,1,1310,45,1356,2650
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,54,4,205,219,90,149,25,43,39,226,131,30,14,25,1,2,2,1199,49,1250,2579
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,55,2,97,116,24,192,8,19,16,91,46,19,2,53,0,0,1,683,33,717,1271
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,56,2,75,132,30,194,6,17,5,66,39,12,1,30,0,0,0,607,24,631,1072
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,3,192,140,50,78,17,20,16,123,51,19,1,16,1,1,3,725,27,755,1556
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,58,1,80,61,29,39,6,15,9,91,27,7,2,2,0,0,4,368,15,387,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,59,2,115,82,39,50,10,27,13,108,44,13,0,6,0,0,1,507,20,528,1144
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,3,98,137,63,129,8,27,18,154,78,21,4,14,0,0,0,751,25,776,1577
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,61,2,97,75,40,104,10,20,10,101,45,20,2,16,0,1,1,541,20,562,974
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,62,2,78,91,41,90,9,16,12,109,45,8,9,5,0,0,0,513,16,529,1012
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,63,2,58,81,20,82,6,4,8,67,32,8,0,7,1,0,0,374,21,395,821
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,64,2,60,78,28,109,17,9,14,63,45,17,0,18,0,0,0,458,11,469,929
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,65,2,43,73,41,112,7,17,2,60,50,15,0,10,0,0,4,430,18,452,1092
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,66,1,38,43,32,88,7,5,5,38,29,9,5,8,0,0,0,307,7,314,737
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,67,2,36,52,14,66,7,3,1,42,22,5,1,7,0,0,0,256,23,279,759
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,68,2,42,70,17,89,9,6,8,49,22,11,0,11,0,0,0,334,11,345,936
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,69,1,36,36,23,62,4,3,4,30,27,4,2,3,0,0,0,234,14,248,578
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,70,2,75,114,44,197,7,16,10,94,51,7,16,12,0,0,4,643,20,667,1064
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,71,2,125,129,50,130,26,23,14,139,57,28,20,11,0,0,0,752,35,787,1437
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,72,3,165,244,81,278,30,19,19,145,94,20,1,38,0,0,0,1134,52,1186,2218
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,73,3,169,223,65,259,16,28,14,157,75,13,0,33,0,0,3,1052,46,1101,2172
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,74,3,154,152,62,226,26,31,21,119,47,37,4,21,0,0,0,900,30,930,1584
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,75,2,68,80,20,203,6,27,7,91,41,8,7,43,0,0,1,601,24,626,1087
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,76,3,238,144,46,165,17,37,19,180,70,23,2,17,0,0,2,958,53,1013,1866
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,77,2,135,56,21,32,7,9,6,90,34,20,0,7,0,0,1,417,14,432,977
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,78,2,94,78,24,163,14,15,13,88,29,11,0,7,7,0,1,543,19,563,1113
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,79,2,79,72,53,70,6,7,10,84,46,16,0,12,0,0,2,455,28,485,1109
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,80,2,61,52,25,122,8,5,10,66,23,9,1,12,0,0,0,394,13,407,828
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,81,2,57,77,31,110,6,10,10,54,31,8,0,8,0,0,0,402,18,420,909
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,82,1,48,59,28,83,7,4,4,62,32,13,0,12,0,0,0,352,21,373,746
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,83,2,56,74,30,87,8,9,6,81,29,13,0,10,0,0,0,403,28,431,1103
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,84,2,43,85,31,88,13,8,4,47,19,14,2,17,0,0,0,371,17,388,1254
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,85,2,45,89,16,83,12,4,2,51,18,9,0,8,0,0,1,337,27,365,928
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,86,2,72,80,21,109,7,12,4,65,20,13,5,20,0,0,0,428,17,445,1025
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,87,1,42,47,14,99,4,8,2,41,16,11,1,17,0,0,1,302,7,310,742
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,88,1,21,39,12,118,3,8,1,41,23,8,0,7,0,0,0,281,13,294,654
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,89,1,45,41,14,90,2,7,4,33,20,6,13,0,0,0,0,275,11,286,572
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,90,2,82,90,25,140,8,13,10,117,46,16,0,12,0,0,0,559,26,585,1192
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,91,2,82,102,26,134,16,16,10,124,44,8,4,18,0,2,6,586,24,616,1274
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,92,3,205,179,42,149,9,18,14,105,40,6,4,18,0,0,2,789,68,859,1240
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,93,3,204,125,29,137,7,32,13,114,44,6,6,7,0,0,9,724,22,755,1678
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,94,2,90,118,34,162,7,13,14,110,51,11,0,26,0,0,4,636,28,668,1284
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,95,1,30,54,19,128,2,6,2,26,20,6,0,9,0,0,0,302,9,311,632
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,96,2,44,35,18,103,5,4,10,43,19,10,0,7,0,0,0,298,4,302,833
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,97,1,38,26,14,85,1,5,1,25,12,4,0,5,0,0,0,216,11,227,700
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,98,2,69,56,32,69,8,12,10,58,32,12,1,9,0,0,0,368,30,398,797
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,99,1,32,59,18,56,5,7,6,37,27,4,0,5,0,0,0,256,10,266,603
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,100,2,81,54,32,76,5,7,9,58,20,9,2,9,0,0,2,362,13,377,849
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,101,1,49,62,14,79,5,8,6,57,30,8,5,18,0,0,0,341,20,361,732
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,102,3,243,123,71,89,22,37,17,149,49,16,10,12,0,0,0,838,43,881,1790
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,103,1,99,41,16,16,4,10,10,37,7,2,0,1,0,0,3,243,9,255,457
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,104,2,160,129,28,81,13,23,18,120,29,18,4,14,0,0,4,637,21,662,1169
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,105,2,177,103,52,85,9,27,21,104,39,31,3,4,0,0,2,655,32,689,1162
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,106,2,123,69,25,58,4,16,5,80,30,17,1,4,1,0,0,433,25,458,854
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,107,2,86,112,38,114,10,10,14,127,42,10,3,33,0,1,1,600,28,629,1219
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,108,2,71,70,26,148,12,4,12,71,32,10,1,32,0,0,0,489,10,499,992
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,109,2,104,80,41,148,10,17,18,114,16,11,4,23,0,0,0,586,22,608,1165
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,110,2,86,57,27,78,10,8,10,64,19,17,1,7,0,0,3,384,19,406,926
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,111,1,39,44,14,64,6,7,7,32,15,12,0,3,0,0,0,243,7,250,504
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,112,1,23,55,15,57,4,3,1,40,14,7,0,9,0,0,0,228,9,237,571
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,113,2,61,50,15,51,5,9,4,32,13,10,0,11,0,0,0,261,16,277,981
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,114,2,31,60,14,48,5,4,7,32,11,2,0,5,0,0,0,219,7,226,763
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,115,2,32,60,9,136,6,10,2,33,15,5,8,4,0,0,2,320,9,331,995
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,116,2,101,98,25,69,7,8,5,77,18,16,2,9,0,0,1,435,14,450,995
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,117,2,95,145,26,151,11,18,3,68,34,12,5,14,0,0,0,582,25,607,1190
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,118,1,36,43,13,53,2,0,4,25,14,12,1,7,0,0,0,210,11,221,532
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,119,1,103,29,7,11,2,10,1,26,9,11,0,3,0,0,0,212,10,222,542
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,120,2,75,58,18,49,7,15,6,61,17,8,0,3,0,0,2,317,15,334,804
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,121,1,72,36,13,27,15,15,7,46,19,4,0,1,0,0,2,255,16,273,728
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,122,1,118,35,17,38,8,24,4,68,13,12,2,9,0,0,0,348,12,360,694
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,123,1,149,44,26,17,5,10,7,32,20,18,1,6,0,0,3,335,26,364,729
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,124,2,126,34,18,34,12,19,9,87,28,4,2,6,0,0,6,379,20,405,891
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,125,2,140,56,32,54,17,17,9,58,30,15,3,8,0,0,0,439,16,455,883
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,126,7,891,359,134,213,82,96,51,393,158,51,1,25,1,0,6,2455,119,2580,5241
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,127,3,212,196,86,174,23,38,23,177,88,43,3,37,0,1,1,1101,55,1157,2233
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,128,3,267,105,51,45,9,34,12,120,44,19,2,4,0,0,4,712,38,754,1553
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,129,1,83,14,6,6,3,12,7,28,7,7,0,2,0,0,1,175,12,188,433
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,130,1,100,33,9,10,3,7,5,39,10,0,0,0,0,0,0,216,26,242,566
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,131,2,96,71,28,66,8,9,8,42,17,22,0,9,0,0,0,376,20,396,819
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,132,1,93,61,20,52,9,11,18,46,15,12,2,6,0,0,1,345,18,364,700
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,133,2,151,66,21,42,9,14,9,69,18,14,0,6,0,0,2,419,18,439,920
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,134,2,71,47,31,60,2,14,7,57,7,13,2,4,0,0,1,315,15,331,835
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,135,2,69,37,20,45,8,11,2,37,10,14,0,6,0,0,1,259,17,277,762
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,136,2,303,199,43,44,15,26,13,118,30,14,1,3,0,0,3,809,83,895,507
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,137,2,331,182,36,38,13,27,14,133,31,15,0,2,0,0,0,822,77,899,632
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,138,1,89,41,12,51,7,10,5,45,14,11,0,3,0,0,1,288,13,302,639
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,139,1,91,58,21,41,9,12,8,49,15,17,1,2,0,0,1,324,22,347,748
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,140,1,145,29,9,24,4,9,6,42,14,7,0,1,0,0,1,290,10,301,601
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,141,1,85,20,15,17,5,13,1,35,13,8,0,0,0,0,0,212,16,228,649
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,142,1,105,40,19,30,4,18,5,72,13,20,0,7,0,0,1,333,16,350,729
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,143,1,65,39,16,28,13,13,2,40,17,13,1,9,0,2,5,258,18,281,703
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,144,2,104,50,7,20,2,22,5,33,21,7,0,4,0,0,0,275,17,292,800
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,145,1,108,40,11,16,1,30,6,30,15,12,0,2,0,0,3,271,11,285,669
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,146,8,1090,360,68,111,19,197,39,181,132,64,1,18,0,1,4,2281,90,2375,5278
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,147,10,1214,451,138,189,46,301,67,449,222,69,5,22,1,0,5,3174,152,3331,7409
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,148,2,114,104,21,83,14,31,14,88,47,20,2,18,0,1,2,557,15,574,1210
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,149,3,169,140,45,152,15,59,15,157,59,12,1,12,0,0,1,836,32,869,2019
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,7,642,294,126,202,29,91,60,367,170,56,5,26,0,0,2,2068,124,2194,4684
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,152,3,137,141,52,122,11,19,16,121,54,19,7,10,0,1,1,710,31,742,1515
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,153,2,112,145,60,124,17,22,15,129,56,25,3,29,0,0,3,737,36,776,1445
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,155,2,89,109,40,117,13,10,10,72,76,19,2,16,0,0,17,573,11,601,1221
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,156,2,116,86,37,119,11,35,10,94,46,15,2,11,0,0,2,582,27,611,1362
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,157,2,90,87,13,128,17,41,13,114,48,7,0,11,0,0,1,569,28,598,1258
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,158,2,96,100,21,169,10,28,8,67,89,14,3,13,0,0,0,618,23,641,1166
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,159,2,86,115,26,170,21,38,12,86,50,17,0,23,1,0,0,645,25,670,1301
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,161,4,513,199,40,59,12,111,29,125,63,24,4,10,0,1,2,1190,30,1222,2849
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,162,1,66,40,3,4,0,13,5,22,8,10,0,1,0,0,1,172,6,179,491
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,163,3,118,167,60,268,21,57,18,152,89,15,6,19,0,0,2,990,35,1027,2177
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,164,7,538,385,137,249,52,82,69,410,205,56,3,31,0,1,7,2218,106,2331,4838
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,165,2,79,107,49,106,10,15,16,75,33,19,2,17,0,0,0,528,14,542,1046
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,166,5,354,309,111,210,28,35,40,316,147,59,15,36,0,0,4,1660,68,1732,3232
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,167,2,98,107,28,227,7,35,14,78,54,13,0,20,0,2,1,683,34,718,1440
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,168,13,1424,706,271,289,69,178,125,769,242,145,13,69,0,3,12,4303,193,4508,9294
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,169,2,359,104,25,31,1,26,3,28,11,35,1,7,0,0,0,631,11,642,1468
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,170,4,427,110,28,55,9,24,7,52,38,21,4,11,0,0,1,786,30,817,2552
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,172,2,70,95,20,140,4,2,4,51,5,13,7,31,0,1,1,443,27,471,988
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,173,5,200,338,94,521,15,41,16,121,51,43,3,59,1,0,1,1503,39,1543,3155
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,174,4,226,276,66,387,12,68,14,107,64,44,10,43,0,1,0,1318,58,1376,2757
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,175,12,1202,708,189,1007,31,251,69,354,190,87,9,97,0,1,6,4195,133,4334,8984
1,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,4,273,607,139,159,79,331,15,155,17,60,7,33,0,0,0,1875,103,1978,2835
