NOMBRE,SECCION,CASILLAS,LISTADONOMINAL,PAN,PRI,PRD,PT,PV,PC,PSD,Alianza,PRI-Alianza,PRD-PT,VALIDOS,NULOSNOREGISTRADOS,TOTAL
ACTOPAN,62,0062C2,617,13,,86,3,2,19,5,,149,,277,3,280
ACTOPAN,63,0063B,357,11,,37,6,1,18,5,,98,,176,4,180
ACTOPAN,64,0064B,577,2,,78,2,0,3,13,,244,,342,5,347
ACTOPAN,65,0065B,593,4,,79,4,2,1,7,,152,,249,6,255
ACTOPAN,65,0065C1,593,3,,74,2,2,0,12,,128,,221,2,223
ACTOPAN,65,0065C2,593,2,,92,0,2,3,6,,134,,239,2,241
ACTOPAN,66,0066B,569,2,,85,3,0,0,4,,183,,277,3,280
ACTOPAN,66,0066C1,570,4,,84,0,1,1,1,,168,,259,4,263
ACTOPAN,67,0067B,671,7,,130,0,0,8,5,,186,,336,6,342
ACTOPAN,67,0067C1,672,7,,109,1,2,6,10,,179,,314,0,314
ACTOPAN,68,0068B,629,12,,97,2,0,6,5,,163,,285,14,299
ACTOPAN,68,0068C1,630,15,,114,0,0,4,11,,151,,295,8,303
AGUA BLANCA DE ITURBIDE,69,0069B,642,211,,69,35,2,2,0,,130,,449,5,454
AGUA BLANCA DE ITURBIDE,69,0069C1,642,200,,83,42,3,0,1,,125,,454,7,461
AGUA BLANCA DE ITURBIDE,69,0069C2,642,231,,65,25,0,0,1,,152,,474,7,481
AGUA BLANCA DE ITURBIDE,70,0070B,289,58,,85,8,0,0,0,,40,,191,5,196
AGUA BLANCA DE ITURBIDE,71,0071B,138,11,,39,7,0,0,0,,23,,80,1,81
AGUA BLANCA DE ITURBIDE,72,0072B,462,85,,54,12,0,0,0,,135,,286,20,306
AGUA BLANCA DE ITURBIDE,73,0073B,289,57,,100,3,2,2,1,,28,,193,9,202
AGUA BLANCA DE ITURBIDE,74,0074B,338,82,,16,19,1,0,1,,132,,251,3,254
AGUA BLANCA DE ITURBIDE,75,0075B,150,43,,15,10,0,0,0,,43,,111,2,113
AGUA BLANCA DE ITURBIDE,76,0076B,152,27,,18,3,0,0,0,,54,,102,1,103
AGUA BLANCA DE ITURBIDE,77,0077B,720,258,,70,19,2,0,0,,163,,512,13,525
AGUA BLANCA DE ITURBIDE,78,0078B,711,256,,79,56,0,0,0,,98,,489,4,493
AGUA BLANCA DE ITURBIDE,79,0079B,602,128,,140,64,0,0,0,,72,,404,9,413
AGUA BLANCA DE ITURBIDE,80,0080B,475,133,,69,54,0,0,14,,52,,322,0,322
AJACUBA,81,0081B,634,9,,219,0,0,0,37,,127,,392,4,396
AJACUBA,81,0081C1,634,15,,215,0,0,0,26,,147,,403,5,408
AJACUBA,82,0082B,503,11,,187,0,0,0,34,,76,,308,4,312
AJACUBA,82,0082C1,503,10,,132,0,0,0,53,,88,,283,9,292
AJACUBA,82,0082C2,503,,,,,,,,,,,,,
AJACUBA,83,0083B,569,16,,192,0,0,0,56,,95,,359,11,370
AJACUBA,83,0083C1,570,5,,177,5,0,0,54,,113,,354,6,360
AJACUBA,84,0084B,605,17,,196,0,0,0,38,,169,,420,8,428
AJACUBA,84,0084C1,606,20,,220,0,0,0,48,,138,,426,7,433
AJACUBA,85,0085B,630,4,,164,0,0,0,13,,136,,317,12,329
AJACUBA,85,0085C1,631,9,,224,0,0,0,10,,120,,363,6,369
AJACUBA,86,0086B,607,21,,108,0,0,0,13,,146,,288,14,302
AJACUBA,86,0086C1,608,15,,127,0,0,0,7,,134,,283,15,298
AJACUBA,86,0086C2,608,24,,124,0,0,0,4,,128,,280,12,292
AJACUBA,87,0087B,190,3,,55,0,0,0,3,,42,,103,2,105
AJACUBA,88,0088B,581,7,,128,0,0,0,4,,247,,386,2,388
AJACUBA,88,0088C1,581,4,,98,0,0,0,6,,270,,378,0,378
AJACUBA,88,0088C2,581,9,,106,3,0,1,6,,239,,364,9,373
AJACUBA,89,0089B,567,2,,96,0,0,0,6,,223,,327,5,332
AJACUBA,89,0089C1,568,2,,96,0,0,0,8,,240,,346,4,350
AJACUBA,90,0090B,314,20,,75,0,1,0,10,,59,,165,3,168
AJACUBA,91,0091B,215,9,,13,0,0,0,7,,95,,124,11,135
ALFAJAYUCAN,92,0092B,749,26,186,34,0,166,23,1,13,,,449,11,460
ALFAJAYUCAN,92,0092C1,750,28,176,36,0,162,23,5,10,,,440,5,445
ALFAJAYUCAN,93,0093B,604,7,102,25,0,187,19,2,10,,,352,7,359
ALFAJAYUCAN,94,0094B,316,6,99,14,0,57,8,1,2,,,187,5,192
ALFAJAYUCAN,95,0095B,443,8,135,38,0,61,3,3,5,,,253,4,257
ALFAJAYUCAN,95,0095C1,444,1,111,59,0,49,2,1,1,,,224,15,239
ALFAJAYUCAN,96,0096B,508,5,189,8,0,117,2,4,2,,,327,2,329
ALFAJAYUCAN,97,0097B,741,25,131,33,0,136,3,1,5,,,334,22,356
ALFAJAYUCAN,98,0098B,356,8,151,8,0,33,1,4,8,,,213,4,217
ALFAJAYUCAN,99,0099B,637,12,173,30,0,28,7,1,2,,,253,13,266
ALFAJAYUCAN,99,0099C1,637,9,141,44,0,56,6,2,3,,,261,5,266
ALFAJAYUCAN,100,0100B,690,5,75,37,0,226,1,2,4,,,350,14,364
ALFAJAYUCAN,101,0101B,459,3,97,97,0,27,1,6,5,,,236,2,238
ALFAJAYUCAN,101,0101C1,459,2,76,134,0,31,2,5,11,,,261,5,266
ALFAJAYUCAN,102,0102B,254,5,96,12,0,38,3,4,2,,,160,2,162
ALFAJAYUCAN,103,0103B,599,39,97,47,0,144,4,0,4,,,335,7,342
ALFAJAYUCAN,103,0103C1,599,52,89,28,0,147,10,1,5,,,332,4,336
ALFAJAYUCAN,104,0104B,690,69,91,17,0,101,23,3,6,,,310,15,325
ALFAJAYUCAN,105,0105B,513,20,84,12,0,158,16,2,6,,,298,6,304
ALFAJAYUCAN,106,0106B,730,38,126,45,0,156,37,0,17,,,419,6,425
ALFAJAYUCAN,107,0107B,527,16,67,23,0,165,15,2,17,,,305,6,311
ALFAJAYUCAN,108,0108B,364,4,109,4,0,112,3,1,4,,,237,8,245
ALFAJAYUCAN,109,0109B,407,15,106,20,0,93,3,1,14,,,252,5,257
ALFAJAYUCAN,110,0110B,263,9,98,8,0,39,3,3,2,,,162,2,164
ALFAJAYUCAN,111,0111B,408,16,78,13,0,103,7,1,3,,,221,6,227
ALFAJAYUCAN,111,0111C1,408,29,105,16,0,75,2,0,1,,,228,5,233
ALFAJAYUCAN,112,0112B,184,2,48,5,0,50,0,0,1,,,106,3,109
ALFAJAYUCAN,113,0113B,276,13,66,13,0,62,2,0,1,,,157,9,166
ALMOLOYA,114,0114B,689,110,,9,35,5,24,38,,164,,385,5,390
ALMOLOYA,114,0114C1,689,114,,10,42,0,35,22,,168,,391,9,400
ALMOLOYA,114,0114C2,690,109,,8,26,0,18,30,,182,,373,12,385
ALMOLOYA,115,0115B,607,103,,3,25,2,20,12,,174,,339,3,342
ALMOLOYA,115,0115C1,607,116,,5,21,0,11,15,,207,,375,6,381
ALMOLOYA,116,0116B,199,17,,6,3,2,10,10,,54,,102,3,105
ALMOLOYA,117,0117B,383,25,,57,6,5,2,4,,113,,212,4,216
ALMOLOYA,118,0118B,288,32,,5,2,0,22,3,,79,,143,13,156
ALMOLOYA,119,0119B,412,85,,14,7,0,16,9,,95,,226,186,412
ALMOLOYA,120,0120B,171,22,,3,9,0,6,3,,49,,92,1,93
ALMOLOYA,121,0121B,377,29,,62,6,0,8,6,,110,,221,11,232
ALMOLOYA,121,0121C1,378,28,,54,8,0,4,10,,105,,209,7,216
ALMOLOYA,122,0122B,612,42,,18,11,0,9,29,,238,,347,3,350
ALMOLOYA,123,0123B,301,15,,7,12,0,41,7,,94,,176,7,183
ALMOLOYA,124,0124B,302,44,,14,24,0,5,12,,67,,166,8,174
ALMOLOYA,125,0125B,361,27,,21,14,0,28,19,,124,,233,2,235
ALMOLOYA,126,0126B,600,76,,10,39,0,30,16,,182,,353,2,355
APAN,127,0127B,730,47,,24,111,36,8,1,,112,,339,8,347
APAN,127,0127C1,731,50,,24,106,47,4,2,,116,,349,10,359
APAN,127,0127C2,731,43,,18,104,43,6,1,,111,,326,4,330
APAN,128,0128B,663,37,,20,60,45,14,0,,119,,295,8,303
APAN,128,0128C1,664,35,,14,77,46,9,2,,102,,285,6,291
APAN,128,0128C2,664,44,,16,74,42,5,4,,88,,273,0,273
APAN,128,0128C3,664,48,,17,81,33,14,1,,98,,292,8,300
APAN,129,0129B,586,52,,22,74,24,5,4,,99,,280,4,284
APAN,129,0129C1,586,48,,27,80,39,6,2,,74,,276,8,284
APAN,129,0129C2,586,51,,14,75,25,5,2,,99,,271,7,278
APAN,129,0129C3,587,56,,19,75,26,11,2,,78,,267,16,283
APAN,130,0130B,674,57,,22,78,39,10,0,,86,,292,26,318
APAN,130,0130C1,675,59,,19,93,29,12,4,,97,,313,0,313
APAN,130,0130C2,675,46,,23,75,42,16,0,,102,,304,12,316
APAN,131,0131B,560,41,,6,80,20,9,5,,120,,281,3,284
APAN,131,0131C1,561,48,,5,85,18,8,1,,93,,258,2,260
APAN,132,0132B,480,38,,9,76,24,8,5,,110,,270,10,280
APAN,132,0132C1,480,35,,8,64,19,1,2,,153,,282,0,282
APAN,133,0133B,504,32,,3,72,29,6,1,,116,,259,8,267
APAN,133,0133C1,504,26,,5,70,13,5,0,,119,,238,6,244
APAN,134,0134B,662,57,,26,131,28,12,2,,120,,376,2,378
APAN,134,0134C1,662,81,,23,103,25,7,1,,116,,356,11,367
APAN,134,0134C2,662,51,,16,99,21,8,3,,129,,327,11,338
APAN,135,0135B,526,64,,8,79,21,7,2,,92,,273,9,282
APAN,135,0135C1,526,72,,16,76,20,9,2,,93,,288,5,293
APAN,135,0135C2,527,54,,13,91,31,4,3,,82,,278,1,279
APAN,136,0136B,522,26,,20,91,21,17,2,,112,,289,3,292
APAN,136,0136C1,522,30,,13,105,16,3,3,,106,,276,2,278
APAN,136,0136C2,522,19,,6,91,31,6,3,,129,,285,3,288
APAN,137,0137B,535,34,,11,130,23,4,1,,60,,263,0,263
APAN,137,0137C1,536,39,,12,122,19,7,1,,70,,270,0,270
APAN,137,0137C2,536,31,,10,124,22,7,0,,57,,251,3,254
APAN,138,0138B,406,20,,14,34,10,6,1,,78,,163,7,170
APAN,138,0138C1,406,36,,12,50,16,5,2,,94,,215,2,217
APAN,139,0139B,526,33,,9,32,17,0,0,,182,,273,9,282
APAN,140,0140B,291,31,,3,31,6,0,0,,92,,163,2,165
APAN,141,0141B,299,12,,9,10,20,2,0,,111,,164,4,168
APAN,142,0142B,484,28,,5,25,31,2,0,,125,,216,3,219
APAN,143,0143B,538,34,,14,65,38,15,0,,96,,262,8,270
APAN,143,0143C1,538,28,,16,57,30,12,0,,83,,226,6,232
APAN,143,0143C2,539,31,,10,56,31,13,2,,100,,243,3,246
APAN,144,0144B,538,9,,34,101,29,2,0,,144,,319,3,322
APAN,145,0145B,748,6,,72,74,113,6,0,,110,,381,4,385
APAN,146,0146B,641,23,,19,79,92,5,1,,84,,303,4,307
APAN,146,0146C1,642,26,,22,86,94,6,0,,108,,342,1,343
APAN,147,0147B,581,18,,8,57,61,3,2,,93,,242,0,242
APAN,147,0147C1,582,17,,14,29,51,7,0,,118,,236,9,245
APAN,148,0148B,520,7,,5,56,37,11,1,,101,,218,3,221
APAN,148,0148C1,520,10,,9,59,40,4,0,,82,,204,2,206
APAN,149,0149B,245,5,,2,19,51,1,1,,85,,164,1,165
APAN,150,0150B,541,18,,16,148,13,0,0,,113,,308,0,308
APAN,151,0151B,677,16,,9,24,28,7,1,,143,,228,7,235
ATITALAQUIA,152,0152B,624,99,,40,15,0,61,5,,118,,338,6,344
ATITALAQUIA,152,0152C1,624,115,,28,13,0,60,4,,141,,361,4,365
ATITALAQUIA,152,0152C2,624,86,,44,13,0,63,3,,129,,338,0,338
ATITALAQUIA,153,0153B,579,121,,47,13,0,49,5,,96,,331,8,339
ATITALAQUIA,153,0153C1,579,112,,29,17,0,57,7,,123,,345,7,352
ATITALAQUIA,153,0153C2,579,106,,34,15,0,67,6,,85,,313,4,317
ATITALAQUIA,153,0153C3,579,92,,35,17,0,70,4,,115,,333,5,338
ATITALAQUIA,154,0154B,525,67,,25,37,0,111,5,,97,,342,11,353
ATITALAQUIA,154,0154C1,526,98,,17,19,0,123,1,,93,,351,9,360
ATITALAQUIA,154,0154C2,526,76,,23,25,0,148,2,,74,,348,5,353
ATITALAQUIA,155,0155B,663,68,,49,60,0,79,2,,146,,404,3,407
ATITALAQUIA,155,0155C1,663,56,,50,47,0,86,3,,154,,396,5,401
ATITALAQUIA,156,0156B,523,55,,55,18,0,56,4,,124,,312,2,314
ATITALAQUIA,156,0156C1,523,90,,59,19,0,68,4,,131,,371,8,379
ATITALAQUIA,156,0156C2,524,47,,58,9,0,58,4,,159,,335,7,342
ATITALAQUIA,157,0157B,603,42,,85,71,0,56,3,,110,,367,6,373
ATITALAQUIA,157,0157C1,604,62,,33,58,0,45,4,,108,,310,7,317
ATITALAQUIA,157,0157C2,604,71,,44,32,3,62,1,,137,,350,8,358
ATITALAQUIA,157,0157C3,604,64,,49,38,0,44,1,,107,,303,3,306
ATITALAQUIA,158,0158B,635,272,,19,13,0,18,0,,88,,410,4,414
ATITALAQUIA,158,0158C1,636,240,,7,30,0,27,5,,111,,420,7,427
ATITALAQUIA,158,0158C2,636,268,,15,20,0,24,2,,101,,430,6,436
ATITALAQUIA,159,0159B,451,15,,26,11,0,17,7,,114,,190,5,195
ATITALAQUIA,159,0159C1,452,10,,19,12,0,18,11,,119,,189,1,190
ATITALAQUIA,160,0160B,391,16,,21,11,0,18,10,,94,,170,5,175
ATITALAQUIA,160,0160C1,391,20,,20,11,0,15,5,,99,,170,0,170
ATITALAQUIA,161,0161B,660,63,,113,50,0,91,1,,81,,399,5,404
ATITALAQUIA,161,0161C1,660,56,,126,42,0,72,1,,86,,383,7,390
ATITALAQUIA,161,0161C2,661,71,,113,32,0,73,0,,128,,417,5,422
ATLAPEXCO,162,0162B,578,27,174,180,20,0,0,2,13,,,416,12,428
ATLAPEXCO,162,0162C1,578,36,199,173,19,0,0,7,18,,,452,8,460
ATLAPEXCO,162,0162C2,579,53,194,169,18,0,0,2,14,,,450,4,454
ATLAPEXCO,163,0163B,433,11,158,141,3,0,0,1,5,,,319,14,333
ATLAPEXCO,163,0163C1,433,6,170,135,3,0,0,1,2,,,317,22,339
ATLAPEXCO,164,0164B,317,22,107,94,3,0,0,2,14,,,242,8,250
ATLAPEXCO,165,0165B,557,6,183,171,14,0,0,6,20,,,400,0,400
ATLAPEXCO,165,0165C1,557,3,175,210,9,0,0,7,22,,,426,12,438
ATLAPEXCO,166,0166B,418,43,119,93,15,0,0,7,7,,,284,6,290
ATLAPEXCO,166,0166C1,418,34,123,77,22,0,0,4,7,,,267,17,284
ATLAPEXCO,167,0167B,413,15,76,149,9,0,0,21,3,,,273,34,307
ATLAPEXCO,168,0168B,471,154,124,73,2,0,0,3,0,,,356,11,367
ATLAPEXCO,169,0169B,531,11,145,151,30,0,0,6,8,,,351,16,367
ATLAPEXCO,169,0169C1,532,16,143,154,22,0,0,5,6,,,346,23,369
ATLAPEXCO,170,0170B,377,42,177,52,2,0,0,3,1,,,277,15,292
ATLAPEXCO,170,0170C1,378,34,168,59,2,0,0,7,1,,,271,21,292
ATLAPEXCO,171,0171B,615,27,141,144,103,0,0,9,10,,,434,25,459
ATLAPEXCO,171,0171C1,616,33,132,181,74,0,0,5,8,,,433,22,455
ATLAPEXCO,172,0172B,454,47,111,106,12,0,0,10,9,,,295,13,308
ATLAPEXCO,173,0173B,439,13,148,117,7,0,0,18,0,,,303,14,317
ATLAPEXCO,174,0174B,498,14,159,74,9,0,0,106,6,,,368,11,379
ATLAPEXCO,175,0175B,590,40,276,126,8,0,0,7,8,,,465,22,487
ATLAPEXCO,176,0176B,447,46,129,107,10,0,0,5,23,,,320,27,347
ATLAPEXCO,176,0176C1,447,44,106,113,22,0,0,2,27,,,314,26,340
ATLAPEXCO,177,0177B,451,11,187,53,55,0,0,1,40,,,347,22,369
ATLAPEXCO,177,0177C1,451,21,132,70,52,0,0,4,62,,,341,32,373
ATOTONILCO DE TULA,206,0206B,528,80,,23,37,94,0,5,,108,,347,2,349
ATOTONILCO DE TULA,206,0206C1,529,65,,41,49,89,0,0,,118,,362,4,366
ATOTONILCO DE TULA,206,0206C2,529,50,,61,24,61,0,2,,157,,355,4,359
ATOTONILCO DE TULA,207,0207B,634,82,,72,21,118,0,11,,96,,400,9,409
ATOTONILCO DE TULA,207,0207C1,635,87,,101,13,115,0,11,,102,,429,3,432
ATOTONILCO DE TULA,208,0208B,530,59,,67,15,134,0,2,,95,,372,158,530
ATOTONILCO DE TULA,208,0208C1,530,56,,50,12,133,0,5,,81,,337,9,346
ATOTONILCO DE TULA,208,0208C2,530,53,,56,17,112,0,4,,86,,328,3,331
