id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,333,1,B,Basica,0,19,EL ARENAL,741,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,333,53,269,7,0,0,1,0,0,0,8,338
13,10/11/2002,12,Ayuntamientos,13,0,334,1,B,Basica,0,19,EL ARENAL,281,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,334,5,131,4,0,0,1,0,0,0,5,146
13,10/11/2002,12,Ayuntamientos,13,0,335,1,B,Basica,0,19,EL ARENAL,615,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,335,57,213,10,0,0,2,0,0,0,9,291
13,10/11/2002,12,Ayuntamientos,13,0,340,1,B,Basica,0,19,EL ARENAL,665,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,340,53,248,3,0,0,4,0,0,0,7,315
13,10/11/2002,12,Ayuntamientos,13,0,340,2,C,Contigua,0,19,EL ARENAL,666,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,340,52,250,5,0,0,4,0,0,0,6,317
13,10/11/2002,12,Ayuntamientos,13,0,353,1,C,Contigua,0,21,EMILIANO ZAPATA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,353,40,81,108,76,0,0,0,0,0,8,313
13,10/11/2002,12,Ayuntamientos,13,0,356,1,C,Contigua,0,21,EMILIANO ZAPATA,391,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,356,11,127,49,15,0,0,0,0,0,0,202
13,10/11/2002,12,Ayuntamientos,13,0,358,1,B,Basica,0,22,EPAZOYUCAN,565,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,358,156,150,17,2,0,0,3,0,0,9,337
13,10/11/2002,12,Ayuntamientos,13,0,366,1,B,Basica,0,22,EPAZOYUCAN,110,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,366,17,34,19,0,0,0,1,0,0,4,75
13,10/11/2002,12,Ayuntamientos,13,0,370,1,B,Basica,0,23,FRANCISCO I. MADERO,653,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,370,0,225,158,0,0,0,12,5,0,3,403
13,10/11/2002,12,Ayuntamientos,13,0,942,1,B,Basica,0,47,PACHUCA DE SOTO,558,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,942,140,108,13,3,0,3,5,1,0,7,280
13,10/11/2002,12,Ayuntamientos,13,0,948,2,C,Contigua,0,47,PACHUCA DE SOTO,505,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,948,95,142,12,3,0,0,6,0,0,3,261
13,10/11/2002,12,Ayuntamientos,13,0,951,1,C,Contigua,0,47,PACHUCA DE SOTO,522,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,951,71,126,8,8,0,1,5,3,0,3,225
13,10/11/2002,12,Ayuntamientos,13,0,951,2,C,Contigua,0,47,PACHUCA DE SOTO,522,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,951,89,109,14,7,0,0,7,0,0,7,233
13,10/11/2002,12,Ayuntamientos,13,0,952,1,C,Contigua,0,47,PACHUCA DE SOTO,706,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,952,106,138,15,4,0,0,8,1,0,5,277
13,10/11/2002,12,Ayuntamientos,13,0,953,2,C,Contigua,0,47,PACHUCA DE SOTO,543,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,953,94,109,19,2,0,1,4,0,0,8,237
13,10/11/2002,12,Ayuntamientos,13,0,956,2,C,Contigua,0,47,PACHUCA DE SOTO,647,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,956,100,173,5,0,0,0,2,0,0,6,286
13,10/11/2002,12,Ayuntamientos,13,0,959,2,C,Contigua,0,47,PACHUCA DE SOTO,511,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,959,117,133,3,0,0,1,5,0,0,7,266
13,10/11/2002,12,Ayuntamientos,13,0,837,1,B,Basica,0,47,PACHUCA DE SOTO,409,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,837,79,91,3,0,0,0,3,1,0,6,183
13,10/11/2002,12,Ayuntamientos,13,0,962,1,C,Contigua,0,48,PISAFLORES,588,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,962,207,116,8,3,0,0,0,0,0,10,344
13,10/11/2002,12,Ayuntamientos,13,0,969,1,B,Basica,0,48,PISAFLORES,231,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,969,52,84,3,1,0,0,0,0,0,91,231
13,10/11/2002,12,Ayuntamientos,13,0,971,1,B,Basica,0,48,PISAFLORES,323,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,971,127,74,3,0,0,0,0,0,0,2,206
13,10/11/2002,12,Ayuntamientos,13,0,982,1,C,Contigua,0,49,PROGRESO DE OBREGON,644,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,982,243,127,0,6,0,0,0,0,0,19,395
13,10/11/2002,12,Ayuntamientos,13,0,990,1,B,Basica,0,49,PROGRESO DE OBREGON,359,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,990,44,141,0,1,0,0,0,0,0,21,207
13,10/11/2002,12,Ayuntamientos,13,0,991,1,B,Basica,0,49,PROGRESO DE OBREGON,696,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,991,116,115,0,6,0,0,0,2,0,100,339
13,10/11/2002,12,Ayuntamientos,13,0,991,1,C,Contigua,0,49,PROGRESO DE OBREGON,697,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,991,103,128,0,2,0,0,0,0,0,122,355
13,10/11/2002,12,Ayuntamientos,13,0,1003,1,B,Basica,0,50,SAN AGUSTIN METZQUITITLAN,127,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1003,33,0,6,1,0,0,0,0,27,0,67
13,10/11/2002,12,Ayuntamientos,13,0,1008,1,C,Contigua,0,51,SAN AGUSTIN TLAXIACA,728,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1008,45,102,230,8,0,0,0,0,0,8,393
13,10/11/2002,12,Ayuntamientos,13,0,1010,1,C,Contigua,0,51,SAN AGUSTIN TLAXIACA,511,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1010,26,70,174,5,0,1,0,0,0,5,281
13,10/11/2002,12,Ayuntamientos,13,0,1011,1,B,Basica,0,51,SAN AGUSTIN TLAXIACA,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1011,54,103,235,3,0,0,0,0,0,7,402
13,10/11/2002,12,Ayuntamientos,13,0,1015,1,B,Basica,0,51,SAN AGUSTIN TLAXIACA,445,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1015,20,111,79,6,0,0,0,0,0,0,216
13,10/11/2002,12,Ayuntamientos,13,0,1022,1,B,Basica,0,51,SAN AGUSTIN TLAXIACA,464,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1022,19,137,143,5,0,0,0,0,0,5,309
13,10/11/2002,12,Ayuntamientos,13,0,1025,1,B,Basica,0,51,SAN AGUSTIN TLAXIACA,437,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1025,6,87,94,1,0,0,0,0,0,6,194
13,10/11/2002,12,Ayuntamientos,13,0,1034,1,B,Basica,0,52,SAN BARTOLO TUTOTEPEC,386,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1034,28,133,0,6,0,0,0,0,0,52,219
13,10/11/2002,12,Ayuntamientos,13,0,1039,1,C,Contigua,0,52,SAN BARTOLO TUTOTEPEC,431,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1039,67,125,0,3,0,0,0,0,0,55,250
13,10/11/2002,12,Ayuntamientos,13,0,1044,1,C,Contigua,0,53,SAN FELIPE ORIZATLAN,546,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1044,262,111,0,1,0,0,0,0,0,19,393
13,10/11/2002,12,Ayuntamientos,13,0,1046,1,B,Basica,0,53,SAN FELIPE ORIZATLAN,672,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1046,294,171,0,19,0,0,0,0,0,7,491
13,10/11/2002,12,Ayuntamientos,13,0,1052,1,B,Basica,0,53,SAN FELIPE ORIZATLAN,394,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1052,166,110,0,0,0,0,0,0,0,22,298
