MUNICIPIO,SECCION,CASILLA,TIPO,PAN,PRI,PPS,PRD,PFCRN,PDM,PRT,PTC,NO REG.,NULOS,TOTAL
COLIMA,19,19,C,130,207,0,68,4,4,0,12,0,9,434
COLIMA,20,20,B,136,151,2,59,4,2,0,1,0,10,365
COLIMA,20,20,C,153,155,2,69,3,3,0,6,0,12,403
COLIMA,21,21,B,130,163,0,43,3,0,0,11,0,17,367
COLIMA,21,21,C,126,177,1,65,2,4,0,10,0,5,390
COLIMA,22,22,B,133,228,2,52,3,10,0,3,0,14,445
COLIMA,23,23,B,28,54,0,39,3,3,0,1,0,2,130
COLIMA,24,24,B,69,127,1,49,10,2,0,3,0,9,270
COLIMA,25,25,B,140,216,1,31,7,5,0,3,0,7,410
COLIMA,25,25,C,123,206,0,32,7,12,0,9,0,0,389
COLIMA,26,26,B,109,231,3,34,4,4,0,9,1,19,414
COLIMA,26,26,C,139,192,6,37,4,7,0,7,0,13,405
COLIMA,27,27,B,199,304,2,85,6,6,0,9,0,14,625
COLIMA,28,28,B,110,251,0,65,5,0,0,8,0,4,443
COLIMA,28,28,S,0,0,0,0,0,0,0,0,0,0,0
COLIMA,29,29,B,116,156,0,35,2,11,0,11,0,16,347
COLIMA,29,29,C,109,163,0,35,7,0,0,13,0,13,340
COLIMA,30,30,B,177,213,3,65,8,5,0,13,2,24,510
COLIMA,31,31,B,134,212,7,48,4,10,0,5,0,20,440
COLIMA,31,31,C,149,217,1,58,3,12,0,9,0,26,475
COLIMA,32,32,B,140,256,2,66,10,11,0,3,0,19,507
COLIMA,32,32,C,153,235,0,69,4,10,0,5,1,14,491
COLIMA,33,33,B,145,236,1,86,12,6,0,8,0,14,508
COLIMA,33,33,C1,144,209,0,67,9,12,0,14,0,10,465
COLIMA,34,34,B,109,154,1,77,6,6,0,7,0,6,366
COLIMA,34,34,C,107,184,4,67,4,4,0,5,1,5,381
COLIMA,35,35,B,76,214,3,49,7,5,0,6,0,20,380
COLIMA,35,35,C,102,185,2,52,4,2,0,0,0,3,350
COLIMA,36,36,B,133,245,1,86,5,2,0,0,1,22,495
COLIMA,37,37,B,93,236,1,101,4,3,0,4,0,14,456
COLIMA,38,38,B,111,185,1,29,7,7,0,5,0,29,374
COLIMA,38,38,C,119,180,1,34,6,8,0,4,1,37,390
COLIMA,39,39,B,148,223,2,57,6,3,0,5,0,10,454
COLIMA,40,40,B,137,260,1,49,2,6,0,3,0,19,477
COLIMA,41,41,B,136,191,0,62,0,6,0,6,11,0,412
COLIMA,42,42,B,165,282,1,71,1,5,0,13,0,20,558
COLIMA,43,43,B,125,228,1,48,4,6,0,6,0,11,429
COLIMA,43,43,C,133,210,2,44,5,14,0,0,1,10,419
COLIMA,44,44,B,91,161,3,15,5,3,0,7,0,11,296
COLIMA,44,44,C,74,160,5,20,7,2,0,4,0,14,286
COLIMA,45,45,B,198,275,4,62,12,7,0,10,0,33,601
COLIMA,45,45,C1,213,271,4,65,7,8,0,8,2,5,583
COLIMA,46,46,B,218,269,2,53,12,12,0,4,1,24,595
COLIMA,47,47,B,138,196,5,83,11,3,0,4,0,0,440
COLIMA,47,47,C,134,191,6,62,7,5,0,8,0,8,421
COLIMA,48,48,B,139,133,1,62,4,2,0,3,0,8,352
COLIMA,48,48,C,124,149,0,52,6,3,0,6,0,8,348
COLIMA,49,49,B,135,146,0,56,2,7,0,4,1,14,365
COLIMA,50,50,B,125,209,0,42,8,4,0,6,0,7,401
COLIMA,50,50,C,134,208,3,34,10,7,0,4,0,13,413
COLIMA,51,51,B,111,183,0,48,5,5,0,7,0,1,360
COLIMA,51,51,C,124,167,2,35,2,2,0,4,0,17,353
COLIMA,52,52,B,165,195,1,36,5,6,0,9,0,13,430
COLIMA,52,52,C1,134,263,2,59,0,5,0,15,0,11,489
COLIMA,52,52,C2,174,217,1,56,10,5,0,4,1,7,475
COLIMA,53,53,B,132,249,3,52,10,6,0,10,0,14,476
COLIMA,53,53,C1,154,221,3,48,6,3,0,5,0,10,450
COLIMA,54,54,B,127,210,0,33,3,2,0,8,3,10,396
COLIMA,54,54,C,100,210,0,38,7,1,0,6,0,13,375
COLIMA,55,55,B,118,232,4,53,9,0,0,8,0,21,445
COLIMA,55,55,C,123,235,3,55,11,2,0,4,1,19,453
COLIMA,56,56,B,113,223,3,58,2,5,0,0,0,8,412
COLIMA,57,57,B,77,162,1,24,4,11,0,3,0,16,298
COLIMA,57,57,C,81,176,0,33,3,6,0,4,0,14,317
COLIMA,58,58,B,117,198,5,30,4,2,0,0,0,12,368
COLIMA,58,58,C,153,155,4,26,8,3,0,6,0,12,367
COLIMA,59,59,B,62,218,4,52,81,4,0,3,0,11,435
COLIMA,59,59,C,103,167,1,50,73,2,0,7,0,16,419
COLIMA,60,60,B,70,125,0,37,8,3,0,3,0,12,258
COLIMA,61,61,B,40,134,4,51,10,2,0,2,0,10,253
COLIMA,62,62,B,81,223,4,48,8,3,0,4,1,17,389
COLIMA,63,63,B,98,151,2,23,10,5,0,4,2,7,302
COLIMA,63,63,C,97,170,2,28,5,2,0,5,0,7,316
COLIMA,64,64,B,152,235,1,52,8,4,0,8,0,16,476
COLIMA,64,64,C,178,226,4,44,12,4,0,5,0,17,490
COLIMA,65,65,B,88,97,0,34,0,3,0,0,0,9,231
COLIMA,66,66,B,158,250,1,61,3,4,0,1,0,17,495
COLIMA,66,66,C,122,245,1,58,2,7,0,6,0,6,447
COLIMA,67,67,B,135,237,2,72,3,5,0,11,0,12,477
COLIMA,67,67,C,125,248,2,66,5,8,0,10,0,12,476
COLIMA,68,68,B,140,238,1,53,3,2,0,3,0,15,455
COLIMA,68,68,C,169,233,0,49,2,1,0,4,0,6,464
COLIMA,69,69,B,99,161,4,43,11,2,0,2,0,12,334
COLIMA,70,70,B,145,176,0,42,4,2,0,7,0,11,387
COLIMA,70,70,C,111,229,1,33,4,2,0,5,2,15,402
COLIMA,71,71,B,95,157,1,36,5,3,0,3,0,15,315
COLIMA,71,71,C,87,132,1,53,5,7,0,2,0,18,305
COLIMA,72,72,B,131,193,3,82,15,10,0,4,0,24,462
COLIMA,73,73,B,70,175,3,22,0,5,0,4,0,14,293
COLIMA,74,74,B,104,153,1,35,0,0,0,0,0,2,295
COLIMA,74,74,C,116,134,2,45,4,2,0,3,0,11,317
COLIMA,75,75,B,147,237,5,63,10,1,0,0,0,30,493
COLIMA,76,76,B,131,326,6,39,7,8,0,3,0,10,530
COLIMA,77,77,B,78,202,2,5,2,1,0,2,0,14,306
COLIMA,78,78,B,31,34,2,1,2,0,0,0,0,4,74
COLIMA,79,79,B,103,242,1,43,1,3,0,18,0,7,418
COLIMA,79,79,C,127,202,1,47,4,11,0,8,0,0,400
COLIMA,80,80,B,111,157,2,29,2,11,0,7,0,13,332
COLIMA,81,81,B,153,270,0,38,5,3,0,0,6,14,489
COLIMA,81,81,C,196,232,3,37,3,7,0,6,0,8,492
COLIMA,82,82,B,100,210,5,33,4,5,0,3,0,12,372
COLIMA,82,82,C,154,201,2,39,6,2,0,0,0,11,415
COLIMA,82,82,E,20,119,0,7,1,1,0,0,0,5,153
COLIMA,83,83,B,48,153,1,31,2,1,0,0,0,15,251
COLIMA,84,84,B,8,176,1,51,0,0,0,1,0,12,249
COLIMA,84,84,C,13,197,0,72,0,0,0,1,0,8,291
COLIMA,84,84,E,6,75,0,6,0,0,0,0,0,6,93
COLIMA,85,85,B,71,301,4,25,1,0,0,3,1,8,414
COLIMA,85,85,E1,58,80,1,35,0,10,0,0,0,8,192
COLIMA,86,86,B,64,115,1,21,7,1,0,0,0,11,220
COLIMA,87,87,B,112,245,0,45,4,2,0,1,0,7,416
COLIMA,88,88,B,120,366,2,57,5,2,0,0,0,26,578
COLIMA,89,89,B,70,259,1,84,2,6,0,2,0,14,438
COLIMA,90,90,B,29,152,2,45,10,2,0,0,0,15,255
COLIMA,91,91,B,24,176,0,8,0,0,0,0,1,4,213
COLIMA,91,91,E,4,59,0,2,0,0,0,0,0,0,65
,,,,,,,,,,,,,,
COMALA,92,92,B,82,153,0,0,88,50,0,0,0,22,395
COMALA,92,92,C,76,135,0,0,117,38,0,0,0,18,384
COMALA,93,93,B,100,202,0,0,55,45,0,0,0,19,421
COMALA,93,93,C,88,234,0,0,54,45,0,0,0,0,421
COMALA,94,94,B,114,206,0,0,20,89,0,0,0,20,449
COMALA,94,94,C,99,238,0,0,20,56,0,0,0,22,435
COMALA,95,95,B,64,214,0,0,50,27,0,0,0,21,376
COMALA,95,95,C,70,178,0,0,46,28,0,0,0,0,322
COMALA,96,96,B,100,231,0,0,32,35,0,0,0,28,426
COMALA,96,96,C,93,209,0,0,28,46,0,0,0,21,397
COMALA,97,97,B,15,145,0,0,6,3,0,0,0,18,187
COMALA,97,97,E,8,59,0,0,2,0,0,0,0,8,77
COMALA,98,98,B,7,52,0,0,2,3,0,0,0,3,67
COMALA,99,99,B,41,248,0,0,17,22,0,0,2,22,352
COMALA,100,100,B,43,177,0,0,20,7,0,0,0,31,278
COMALA,100,100,C,49,137,0,0,21,2,0,0,0,18,227
COMALA,100,100,E,18,34,0,0,1,46,0,0,0,4,103
COMALA,101,101,B,127,450,0,0,18,0,0,0,0,39,634
COMALA,101,101,E1,9,32,0,0,1,1,0,0,0,0,43
COMALA,101,101,E2,0,23,0,0,0,1,0,0,0,1,25
COMALA,102,102,B,54,151,0,0,79,1,0,0,0,17,302
COMALA,103,103,B,30,260,0,0,0,0,0,0,0,0,290
COMALA,103,103,C,59,242,0,0,12,11,0,0,6,20,350
COMALA,104,104,B,43,237,0,0,14,3,0,0,0,35,332
COMALA,104,104,C,75,232,0,0,12,8,0,0,0,18,345
,,,,,,,,,,,,,,
COQUIMATLAN,105,105,B,216,228,0,13,4,5,0,5,0,20,491
COQUIMATLAN,106,106,B,219,146,0,8,4,1,0,0,0,17,395
COQUIMATLAN,106,106,C,258,127,0,15,6,3,0,0,0,14,423
COQUIMATLAN,107,107,B,178,136,0,21,15,0,0,2,0,19,371
COQUIMATLAN,107,107,C,202,139,0,12,2,2,0,1,1,13,372
COQUIMATLAN,108,108,B,317,194,0,8,11,1,0,3,0,13,547
COQUIMATLAN,109,109,B,212,120,0,4,5,0,0,0,0,4,345
COQUIMATLAN,109,109,C,229,103,0,4,5,0,0,1,0,4,346
COQUIMATLAN,110,110,B,385,120,0,37,9,2,0,2,0,0,555
COQUIMATLAN,111,111,B,218,159,0,9,6,2,0,6,1,11,412
COQUIMATLAN,111,111,C,234,150,0,4,5,4,0,1,0,14,412
COQUIMATLAN,112,112,B,13,78,0,0,0,0,0,0,0,3,94
COQUIMATLAN,112,112,E,30,61,0,1,0,5,0,0,0,0,97
COQUIMATLAN,113,113,B,44,188,0,2,0,1,0,1,0,3,239
COQUIMATLAN,114,114,B,65,51,0,13,1,0,0,0,0,0,130
COQUIMATLAN,115,115,B,65,87,0,8,1,0,0,0,0,0,161
COQUIMATLAN,116,116,B,158,162,0,10,6,0,0,0,2,9,347
COQUIMATLAN,116,116,C,147,154,0,14,5,3,0,3,0,1,327
COQUIMATLAN,117,117,B,157,208,0,7,3,1,0,3,0,7,386
COQUIMATLAN,118,118,B,82,145,0,10,0,4,0,0,0,8,249
COQUIMATLAN,118,118,E,13,33,0,10,1,0,0,0,0,1,58
COQUIMATLAN,119,119,B,59,134,0,4,1,0,0,1,0,9,208
COQUIMATLAN,119,119,E,23,44,0,4,0,0,0,0,0,3,3
,,,,,,,,,,,,,,
CUAUHTEMOC,120,120,B,0,218,0,150,5,5,0,0,0,19,397
CUAUHTEMOC,120,120,C1,0,228,0,138,6,5,0,0,1,20,398
CUAUHTEMOC,121,121,B,0,186,0,113,6,1,0,0,0,23,329
CUAUHTEMOC,121,121,C,0,223,0,90,4,1,0,0,0,0,318
CUAUHTEMOC,122,122,B,0,194,0,141,5,2,0,0,0,24,366
CUAUHTEMOC,122,122,C,0,184,0,149,2,0,0,0,0,16,351
CUAUHTEMOC,123,123,B,0,156,0,186,4,1,0,0,0,16,363
CUAUHTEMOC,123,123,C,0,199,0,166,3,4,0,0,0,10,382
CUAUHTEMOC,124,124,B,0,234,0,106,3,3,0,0,0,0,346
CUAUHTEMOC,124,124,C,0,247,0,99,4,3,0,0,0,22,375
CUAUHTEMOC,125,125,B,0,209,0,161,2,4,0,0,0,10,386
CUAUHTEMOC,125,125,E,0,32,0,17,1,21,0,0,0,6,77
CUAUHTEMOC,126,126,B,0,259,0,250,4,6,0,0,5,27,551
CUAUHTEMOC,127,127,B,0,264,0,274,0,3,0,0,0,20,561
CUAUHTEMOC,128,128,B,0,295,0,239,3,14,0,0,0,25,576
CUAUHTEMOC,129,129,B,0,163,0,159,4,0,1,0,4,13,344
CUAUHTEMOC,129,129,C,0,156,0,179,5,5,0,0,0,14,359
CUAUHTEMOC,130,130,B,0,189,0,193,5,4,0,0,0,22,413
CUAUHTEMOC,130,130,C,0,204,0,152,5,11,0,0,0,47,419
CUAUHTEMOC,131,131,B,0,203,0,65,10,5,0,0,0,37,320
CUAUHTEMOC,131,131,E,0,198,0,75,7,0,0,0,0,28,308
CUAUHTEMOC,132,132,B,0,364,0,42,1,2,0,0,0,21,430
CUAUHTEMOC,132,132,C,0,337,0,82,1,1,0,0,0,17,438
CUAUHTEMOC,133,133,B,0,374,0,75,2,10,0,0,0,46,507
CUAUHTEMOC,134,134,B,0,290,0,97,8,6,0,0,0,28,429
CUAUHTEMOC,134,134,C,0,268,0,113,13,8,0,0,0,25,427
CUAUHTEMOC,135,135,B,0,201,0,72,5,5,0,0,0,0,283
CUAUHTEMOC,135,135,C,0,204,0,59,16,6,0,0,0,38,323
CUAUHTEMOC,136,136,B,0,189,0,131,7,5,0,0,0,33,365
CUAUHTEMOC,137,137,B,0,276,0,279,0,1,0,0,0,9,565
,,,,,,,,,,,,,,
IXTLAHUACAN,191,191,B,212,286,0,23,0,0,0,0,0,37,558
IXTLAHUACAN,192,192,B,155,294,0,29,0,0,0,0,0,0,478
IXTLAHUACAN,193,193,B,4,64,0,1,1,1,0,0,0,0,71
IXTLAHUACAN,193,193,E,32,52,0,5,0,0,0,0,0,5,94
IXTLAHUACAN,194,194,B,22,113,0,9,13,0,0,0,0,0,157
IXTLAHUACAN,195,195,B,77,144,0,12,4,1,0,0,0,0,238
IXTLAHUACAN,196,196,B,41,116,0,8,0,1,0,0,0,8,174
IXTLAHUACAN,197,197,B,53,84,0,5,3,0,0,0,0,7,152
IXTLAHUACAN,198,198,B,6,35,0,1,0,0,0,0,0,0,42
IXTLAHUACAN,199,199,B,34,163,0,3,0,0,0,0,0,3,203
IXTLAHUACAN,199,199,C,0,75,0,0,0,,0,0,0,0,75
,,,,,,,,,,,,,,
MANZANILLO,200,200,B,138,206,2,20,2,7,0,3,0,6,384
MANZANILLO,200,200,C,132,183,1,32,5,9,2,4,1,5,374
MANZANILLO,201,201,B,60,67,0,12,1,6,0,2,0,1,149
MANZANILLO,202,202,B,177,282,16,41,7,12,0,6,0,18,559
MANZANILLO,202,202,C1,187,281,7,36,5,22,0,6,0,34,578
MANZANILLO,203,203,B,180,252,5,23,7,5,0,1,0,14,487
MANZANILLO,203,203,C,183,239,1,36,4,6,0,1,0,24,494
MANZANILLO,204,204,B,133,223,0,16,4,8,0,2,0,12,398
MANZANILLO,204,204,C,128,221,5,25,3,5,0,7,0,0,394
MANZANILLO,205,205,B,91,179,4,23,4,4,0,4,1,4,314
MANZANILLO,205,205,C,111,149,3,13,2,10,0,5,0,0,293
MANZANILLO,206,206,B,132,228,5,19,0,20,0,5,0,0,409
MANZANILLO,206,206,C,99,259,3,17,4,19,0,0,0,0,401
MANZANILLO,207,207,B,187,291,1,33,2,18,0,0,7,11,550
MANZANILLO,208,208,B,148,223,0,26,2,2,2,2,0,17,422
MANZANILLO,208,208,C,147,243,6,22,5,12,0,1,0,10,446
MANZANILLO,209,209,B,172,286,1,25,4,10,0,3,0,21,522
MANZANILLO,209,209,C,187,284,1,41,2,6,1,0,0,16,538
MANZANILLO,210,210,B,111,237,6,30,2,4,0,3,0,8,401
MANZANILLO,210,210,C,125,257,4,25,5,2,0,3,0,13,434
MANZANILLO,211,211,B,98,223,7,50,6,10,0,0,0,16,410
MANZANILLO,211,211,C1,100,217,15,40,10,5,5,0,0,14,406
MANZANILLO,212,212,B,109,193,1,22,0,4,0,1,1,9,340
MANZANILLO,212,212,C,114,184,0,24,2,5,0,5,0,15,349
MANZANILLO,213,213,B,158,233,0,22,9,4,0,6,0,0,432
MANZANILLO,213,213,C,141,225,3,34,7,6,0,2,0,14,432
MANZANILLO,214,214,B,139,245,4,52,2,8,5,0,0,13,468
MANZANILLO,214,214,C,174,257,8,33,8,9,0,4,0,11,504
MANZANILLO,215,215,B,105,210,2,43,4,11,0,4,0,20,399
MANZANILLO,215,215,C,96,196,1,46,1,1,0,2,16,0,359
MANZANILLO,216,216,B,130,238,2,51,3,15,0,3,0,26,468
MANZANILLO,217,217,B,174,213,2,34,1,7,1,0,0,7,439
MANZANILLO,217,217,C,169,256,3,25,3,3,0,1,0,16,476
MANZANILLO,218,218,B,120,160,2,29,3,7,0,0,0,4,325
MANZANILLO,218,218,C,122,180,4,17,4,5,0,1,1,3,337
MANZANILLO,219,219,B,134,207,4,21,0,6,0,7,0,12,391
MANZANILLO,219,219,C,111,210,5,19,4,8,0,4,0,11,372
MANZANILLO,220,220,B,222,273,3,39,5,5,0,5,0,12,564
MANZANILLO,221,221,B,117,207,0,24,3,5,0,2,0,13,371
MANZANILLO,221,221,C,89,234,2,14,4,11,0,4,0,8,366
MANZANILLO,222,222,B,7,91,3,31,0,3,0,0,0,10,145
MANZANILLO,222,222,E,15,111,3,21,1,2,0,0,0,3,156
MANZANILLO,223,223,B,31,253,0,50,0,3,0,1,0,11,349
MANZANILLO,224,224,B,26,119,1,25,1,1,0,0,0,23,196
MANZANILLO,225,225,B,149,220,4,56,1,14,0,2,0,0,446
MANZANILLO,226,226,B,71,132,2,29,3,14,3,0,0,15,269
MANZANILLO,226,226,E1,35,115,7,36,2,32,0,2,0,14,243
MANZANILLO,227,227,B,40,188,0,18,2,4,0,0,0,10,262
MANZANILLO,227,227,E1,22,31,1,83,3,2,0,0,0,5,147
MANZANILLO,228,228,B,29,86,2,24,2,2,0,1,0,9,155
MANZANILLO,228,228,C,46,92,1,46,2,4,0,1,6,0,198
MANZANILLO,228,228,E1,10,89,0,3,1,3,0,0,0,7,113
MANZANILLO,228,228,E2,17,109,2,3,2,2,0,0,0,6,141
MANZANILLO,228,228,E3,28,169,0,8,3,3,0,1,0,3,215
MANZANILLO,229,229,B,32,43,1,34,4,2,0,0,0,0,116
MANZANILLO,230,230,B,117,253,5,37,14,10,0,2,0,10,448
MANZANILLO,230,230,C,103,292,0,16,11,8,0,0,0,0,430
MANZANILLO,231,231,B,9,98,2,9,0,2,0,0,0,5,125
MANZANILLO,231,231,E,9,45,0,12,3,2,0,0,0,1,72
MANZANILLO,232,232,B,98,231,4,42,10,12,0,7,0,23,427
MANZANILLO,233,233,B,113,328,10,77,9,11,1,4,0,26,579
MANZANILLO,234,234,B,69,133,2,34,39,3,0,1,0,0,281
MANZANILLO,234,234,C,62,150,2,14,40,0,0,0,0,0,268
MANZANILLO,235,235,B,45,108,1,26,2,5,0,3,0,16,206
MANZANILLO,236,236,B,91,222,4,134,5,8,0,4,0,0,468
MANZANILLO,236,236,C,79,237,1,139,12,6,0,6,0,19,499
MANZANILLO,237,237,B,98,264,2,102,2,9,3,0,0,0,480
MANZANILLO,237,237,C,129,294,2,99,5,9,0,2,0,23,563
MANZANILLO,238,238,B,149,237,3,78,8,4,0,2,0,31,512
MANZANILLO,238,238,C,168,245,1,61,4,10,3,0,0,14,506
MANZANILLO,239,239,B,114,241,5,34,18,5,0,11,0,22,450
MANZANILLO,240,240,B,103,229,1,43,3,10,0,0,0,23,412
MANZANILLO,240,240,C,109,221,2,41,7,4,0,2,0,12,398
MANZANILLO,241,241,B,87,185,2,25,1,6,0,1,0,7,314
MANZANILLO,241,241,C,115,169,1,43,0,5,0,2,0,10,345
MANZANILLO,242,242,B,89,133,1,20,0,4,0,8,1,3,259
MANZANILLO,243,243,B,122,254,4,36,1,6,0,4,0,22,449
MANZANILLO,243,243,C,125,257,3,19,7,6,0,6,0,10,433
MANZANILLO,244,244,B,89,166,0,34,3,8,2,0,0,24,326
MANZANILLO,245,245,B,171,244,1,34,5,13,0,6,0,0,474
MANZANILLO,245,245,C,167,288,3,33,4,16,0,0,0,15,526
MANZANILLO,246,246,B,149,220,0,23,6,22,0,6,2,19,447
MANZANILLO,246,246,C,147,238,2,28,6,7,3,3,0,0,434
MANZANILLO,247,247,B,62,59,0,4,1,1,0,3,0,3,133
MANZANILLO,247,247,E,0,0,0,0,0,0,0,0,0,0,0
MANZANILLO,248,248,B,174,144,3,27,3,5,0,6,0,7,369
MANZANILLO,249,249,B,161,286,1,27,3,3,0,6,0,15,502
MANZANILLO,250,250,B,88,169,1,31,17,4,0,2,1,11,324
MANZANILLO,250,250,C,74,167,2,26,12,6,0,0,1,14,302
MANZANILLO,251,251,B,135,224,2,37,6,7,0,6,0,11,428
MANZANILLO,251,251,C1,156,191,1,34,9,17,0,0,0,7,415
MANZANILLO,251,251,C2,129,226,1,35,6,23,0,3,1,3,427
MANZANILLO,252,252,B,259,247,4,44,6,8,0,8,0,16,592
MANZANILLO,253,253,B,176,170,1,25,13,1,0,3,0,10,399
MANZANILLO,253,253,C,145,185,0,26,14,3,0,2,0,8,383
MANZANILLO,254,254,B,165,177,3,28,1,5,0,0,5,9,393
MANZANILLO,255,255,B,93,98,0,16,1,3,0,3,0,9,223
MANZANILLO,256,256,B,136,176,2,29,2,5,0,5,0,5,360
MANZANILLO,256,256,C,171,164,4,26,7,6,0,0,3,8,389
MANZANILLO,257,257,B,156,259,2,36,5,5,4,4,1,9,481
MANZANILLO,258,258,B,188,304,3,60,7,8,0,8,0,0,578
MANZANILLO,258,258,C,156,335,5,42,6,7,0,3,0,22,576
MANZANILLO,259,259,B,55,181,2,46,2,2,0,1,1,10,300
MANZANILLO,259,259,C,52,173,3,47,4,2,0,0,0,0,281
MANZANILLO,260,260,B,86,310,5,125,6,6,0,7,5,26,576
MANZANILLO,260,260,C1,137,278,2,86,7,9,0,7,0,25,551
MANZANILLO,261,261,B,76,145,1,121,0,6,0,1,0,26,376
MANZANILLO,261,261,C,81,186,2,87,9,6,0,3,0,16,390
MANZANILLO,262,262,B,75,219,2,33,2,2,4,4,0,7,348
MANZANILLO,262,262,C,73,201,4,53,0,2,0,2,0,12,347
MANZANILLO,263,263,B,90,250,3,78,5,11,0,0,0,40,477
MANZANILLO,264,264,B,66,254,6,56,5,8,0,0,0,33,428
MANZANILLO,265,265,B,22,199,1,12,1,3,0,0,0,7,245
MANZANILLO,266,266,B,68,255,3,38,5,4,0,3,0,0,376
MANZANILLO,267,267,B,44,255,5,61,7,1,0,1,0,11,385
MANZANILLO,267,267,C,42,222,3,70,6,7,0,2,0,12,364
MANZANILLO,268,268,B,201,138,0,55,1,24,0,1,0,8,428
MANZANILLO,269,269,B,64,235,1,90,1,2,0,0,0,11,404
MANZANILLO,269,269,C,58,224,2,68,6,4,0,2,0,17,381
,,,,,,,,,,,,,,
MINATITLAN,270,270,B,82,230,0,0,0,0,0,0,0,23,335
MINATITLAN,270,270,C,127,192,0,0,0,0,0,0,0,29,348
MINATITLAN,271,271,B,60,327,0,0,0,0,0,0,0,35,422
MINATITLAN,272,272,B,95,326,0,0,0,0,0,0,0,32,453
MINATITLAN,272,272,E,21,42,0,0,0,0,0,0,0,3,66
MINATITLAN,273,273,B,10,121,0,0,0,0,0,0,0,6,137
MINATITLAN,273,273,E1,9,213,0,0,0,0,0,0,0,1,223
MINATITLAN,274,274,B,13,56,0,0,0,0,0,0,0,18,87
MINATITLAN,274,274,E1,19,46,0,0,0,0,0,0,0,2,67
