mun,state,uniqueid,section,year,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,total,valid,listanominal,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
Campeche,CAMPECHE,4002,7,1997,216,166,107,1,15,9,0,0,514,514,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,8,1997,165,102,126,2,18,2,1,1,417,417,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,9,1997,246,216,185,1,26,7,4,1,686,686,953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,10,1997,239,223,168,2,80,6,0,0,718,718,906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,11,1997,198,154,118,4,54,8,1,0,537,537,721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,12,1997,403,263,210,1,96,5,1,6,985,985,1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,13,1997,123,266,195,5,63,4,0,1,657,657,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,14,1997,83,232,167,5,46,3,1,1,538,538,788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,15,1997,70,231,140,0,43,12,1,0,497,497,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,16,1997,44,152,123,2,27,2,1,1,352,352,602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,17,1997,121,121,127,0,14,5,0,0,388,388,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,18,1997,126,124,96,0,10,1,3,1,361,361,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campeche,CAMPECHE,4002,19,1997,37,181,95,0,50,3,1,1,368,368,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
