state,mun,section,uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,final_incumbent,incumbent_vote,party_component,mutually_exclusive,incumbent_party_JL,incumbent_candidate_JL,runnerup_party_magar,runnerup_candidate_magar,runnerup_vote,runnerup_party_component,margin,listanominal,valid,total,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
CAMPECHE,Calakmul,426,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,747,376,376,4,205,160,1,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calakmul,427,4010,1997,NA,NA,NA,NA,NA,TRUE,CM,JUAN GONZALEZ CHAN,NA,NA,NA,NA,NA,318,152,152,0,137,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,147,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,341,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,142,PRD,0.6048472734,796,541,541,24,341,142,2,29,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,148,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,224,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,147,PRD,0.6048472734,735,447,447,35,224,147,0,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,149,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,289,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,233,PRD,0.6048472734,797,603,603,36,289,233,1,39,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,150,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,282,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,175,PRD,0.6048472734,689,506,506,7,282,175,0,41,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,151,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,251,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,146,PRD,0.6048472734,608,460,460,16,251,146,0,41,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,152,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,367,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,144,PRD,0.6048472734,803,599,599,8,367,144,1,78,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,153,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,363,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,172,PRD,0.6048472734,785,590,590,12,363,172,0,42,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,154,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,311,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,227,PRD,0.6048472734,934,659,659,16,311,227,1,98,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,155,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,319,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,264,PRD,0.6048472734,922,672,672,6,319,264,1,77,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,156,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,149,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,113,PRD,0.6048472734,457,331,331,7,149,113,1,61,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,157,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,204,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,57,PRD,0.6048472734,390,292,292,1,204,57,0,27,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,158,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,267,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,127,PRD,0.6048472734,521,417,417,0,267,127,0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,159,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,225,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,126,PRD,0.6048472734,580,401,401,0,225,126,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,160,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,168,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,160,PRD,0.6048472734,635,393,393,2,168,160,2,59,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,161,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,225,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,198,PRD,0.6048472734,669,458,458,2,225,198,4,28,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,162,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,218,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,102,PRD,0.6048472734,544,417,417,1,218,102,0,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,163,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,176,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,106,PRD,0.6048472734,538,406,406,1,176,106,3,118,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,164,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,235,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,176,PRD,0.6048472734,643,485,485,0,235,176,0,71,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,165,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,105,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,7,PRD,0.6048472734,146,136,136,0,105,7,0,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,166,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,657,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,145,PRD,0.6048472734,1248,1019,1019,2,657,145,1,214,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,167,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,321,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,121,PRD,0.6048472734,758,565,565,0,321,121,0,123,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,168,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,340,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,100,PRD,0.6048472734,752,614,614,2,340,100,0,172,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,169,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,422,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,191,PRD,0.6048472734,903,673,673,5,422,191,0,54,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,170,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,276,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,177,PRD,0.6048472734,554,463,463,7,276,177,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,171,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,194,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,85,PRD,0.6048472734,386,302,302,0,194,85,0,19,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,172,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,306,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,204,PRD,0.6048472734,688,515,515,1,306,204,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,173,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,375,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,210,PRD,0.6048472734,940,653,653,10,375,210,0,57,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,174,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,320,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,172,PRD,0.6048472734,765,515,515,6,320,172,2,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,175,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,383,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,270,PRD,0.6048472734,1096,748,748,3,383,270,0,89,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,176,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,298,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,312,PRD,0.6048472734,1060,676,676,7,298,312,4,49,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,177,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,318,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,203,PRD,0.6048472734,922,645,645,29,318,203,11,84,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,178,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,73,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,94,PRD,0.6048472734,227,175,175,1,73,94,0,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,179,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,373,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,189,PRD,0.6048472734,782,624,624,32,373,189,0,29,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,180,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,456,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,218,PRD,0.6048472734,977,750,750,1,456,218,1,71,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,181,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,168,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,25,PRD,0.6048472734,220,200,200,1,168,25,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Calkiní,182,4001,1997,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,64,PRI,TRUE,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRD,NA,30,PRD,0.6048472734,103,96,96,0,64,30,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,1,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,87,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,166,PAN,0.2456672943,435,331,331,166,87,71,0,4,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,2,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,103,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,171,PAN,0.2456672943,586,412,412,171,103,113,0,22,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,3,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,157,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,166,PAN,0.2456672943,569,420,420,166,157,78,0,13,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,4,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,379,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,114,PAN,0.2456672943,1238,776,776,114,379,212,1,58,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,5,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,149,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,184,PAN,0.2456672943,730,542,542,184,149,183,0,20,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAMPECHE,Campeche,6,4002,1997,PRI,ANTONIO GONZALEZ CURI,PRI,127,PRI,TRUE,PRI,JOSE ANTONIO GONZALEZ CURI,PAN,NA,144,PAN,0.2456672943,535,391,391,144,127,103,0,11,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
