,Municipio,Seccion,Casilla,PAN,PRI,PRD,PT,PVEM,PC,PCD,PSN,PARM,PAS,PDS,Validos,Nulos,Lista Nominal
,CABORCA,293,0293 Básica,596,208,24,7,0,0,0,0,6,0,0,841,13,1282
,CABORCA,294,0294 Básica,608,282,13,3,0,0,0,0,1,0,0,907,12,1441
,CABORCA,295,0295 Básica,504,264,26,14,0,0,0,0,3,0,0,811,17,1512
,CABORCA,296,0296 Básica,675,352,26,12,0,0,0,0,2,0,0,1067,8,1879
,CABORCA,297,0297 Básica,648,320,18,25,0,0,0,0,0,0,0,1011,26,1889
,CABORCA,298,0298 Básica,589,438,8,16,0,0,0,0,1,0,0,1052,12,1657
,CABORCA,299,0299 Básica,521,233,12,13,0,0,0,0,2,0,0,781,16,1350
,CABORCA,300,0300 Básica,353,183,4,4,0,0,0,0,0,0,0,544,6,844
,CABORCA,301,0301 Básica,335,203,8,13,0,0,0,0,1,0,0,560,7,806
,CABORCA,302,0302 Básica,468,258,13,9,0,0,0,0,2,0,0,750,2,1071
,CABORCA,303,0303 Básica,433,238,6,4,0,0,0,0,0,0,0,681,9,980
,CABORCA,304,0304 Básica,736,319,43,11,0,0,0,0,9,0,0,1118,38,1845
,CABORCA,305,0305 Básica,674,326,16,6,0,0,0,0,1,0,0,1023,13,1576
,CABORCA,306,0306 Básica,659,283,6,7,0,0,0,0,5,0,0,960,22,1497
,CABORCA,307,0307 Básica,278,122,5,4,0,0,0,0,2,0,0,411,8,601
,CABORCA,308,0308 Básica,673,273,19,15,0,0,0,0,0,0,0,980,14,1541
,CABORCA,309,0309 Básica,422,167,8,7,0,0,0,0,0,0,0,604,15,959
,CABORCA,310,0310 Básica,573,367,18,8,0,0,0,0,2,0,0,968,6,1384
,CABORCA,311,0311 Básica,458,128,7,1,0,0,0,0,0,0,0,594,9,883
,CABORCA,312,0312 Básica,525,215,7,6,0,0,0,0,0,0,0,753,14,1183
,CABORCA,313,0313 Básica,354,189,13,2,0,0,0,0,0,0,0,558,7,930
,CABORCA,314,0314 Básica,637,305,10,0,0,0,0,0,3,0,0,955,14,1438
,CABORCA,315,0315 Básica,381,155,13,7,0,0,0,0,0,0,0,556,11,800
,CABORCA,316,0316 Básica,480,290,17,8,0,0,0,0,0,0,0,795,17,1268
,CABORCA,317,0317 Básica,499,204,21,5,0,0,0,0,1,0,0,730,4,1034
,CABORCA,318,0318 Básica,7,8,3,5,0,0,0,0,0,0,0,23,1,94
,CABORCA,318,0318 Extraordinaria,16,26,3,8,0,0,0,0,1,0,0,54,2,111
,CABORCA,319,0319 Básica,421,180,35,59,0,0,0,0,3,0,0,698,27,1445
,CABORCA,319,0319 Extraordinaria,100,131,10,2,0,0,0,0,1,0,0,244,8,534
,CABORCA,320,0320 Básica,224,141,16,21,0,0,0,0,1,0,0,403,151,901
,CABORCA,320,0320 Extraordinaria,131,90,10,8,0,0,0,0,0,0,0,239,15,387
,CABORCA,321,0321 Básica,193,74,70,37,0,0,0,0,6,0,0,380,14,653
,CABORCA,322,0322 Básica,121,173,6,15,0,0,0,0,0,0,0,315,11,717
,CABORCA,322,0322 Extraordinaria ,131,137,12,16,0,0,0,0,2,0,0,298,31,419
,CABORCA,323,0323 Básica,99,145,28,27,0,0,0,0,1,0,0,300,12,587
,CABORCA,323,0323 Extraordinaria,40,42,1,3,0,0,0,0,0,0,0,86,5,170
,CABORCA,324,0324 Básica,146,96,3,10,0,0,0,0,2,0,0,257,5,581
,CABORCA,324,0324 Extraordinaria,109,135,22,15,0,0,0,0,2,0,0,283,12,502
,CABORCA,325,0325 Básica,48,83,9,12,0,0,0,0,1,0,0,153,11,468
,CABORCA,325,0325 Extraordinaria,23,18,2,3,0,0,0,0,2,0,0,48,7,79
,CABORCA,326,0326 Básica,151,123,36,31,0,0,0,0,2,0,0,343,17,740
,CABORCA,327,0327 Básica,72,78,17,13,0,0,0,0,0,0,0,180,10,410
,CABORCA,328,0328 Básica,127,76,12,13,0,0,0,0,7,0,0,235,9,488
,CABORCA,328,0328 Extraordinaria,56,88,4,9,0,0,0,0,0,0,0,157,54,400
,,,,,,,,,,,,,,,,,
19,CAJEME,773,0773 Básica,177,397,258,11,0,0,3,0,0,0,0,846,8,1256
,CAJEME,774,0774 Básica,80,199,136,2,0,0,0,0,1,0,1,419,4,572
,CAJEME,775,0775 Básica,60,181,55,1,0,0,0,0,0,0,0,297,1,384
,CAJEME,776,0776 Básica,197,585,112,3,0,0,1,0,0,0,0,898,5,1170
,CAJEME,777,0777 Básica,143,512,152,3,0,0,1,0,0,0,2,813,2,1176
,CAJEME,778,0778 Básica,79,213,187,7,0,0,1,0,0,0,1,488,22,941
,CAJEME,779,0779 Básica,100,195,238,6,0,0,0,0,0,0,3,542,32,1155
,CAJEME,780,0780 Básica,125,321,327,23,0,0,1,0,0,0,3,800,36,1972
,CAJEME,781,0781 Básica,124,320,114,2,0,0,0,0,0,0,0,560,2,770
,CAJEME,782,0782 Básica,94,161,155,6,0,0,0,0,0,0,8,424,16,870
,CAJEME,783,0783 Básica,109,271,264,11,0,0,0,0,0,0,2,657,26,1285
,CAJEME,784,0784 Básica,115,236,188,8,0,0,0,0,2,0,1,550,20,1136
,CAJEME,785,0785 Básica,93,158,210,11,0,0,0,0,0,0,1,473,15,1012
,CAJEME,786,0786 Básica,134,526,340,15,0,0,0,0,1,0,2,1018,26,2009
,CAJEME,787,0787 Básica,99,296,209,9,0,0,0,0,1,0,1,615,9,990
,CAJEME,788,0788 Básica,171,452,107,6,0,0,0,0,0,0,1,737,7,1069
,CAJEME,789,0789 Básica ,103,358,338,8,0,0,0,0,0,0,1,808,26,1465
,CAJEME,790,0790 Básica,80,143,460,7,0,0,2,0,2,0,2,696,18,1299
,CAJEME,791,0791 Básica,57,162,210,3,0,0,0,0,0,0,1,433,14,773
,CAJEME,792,0792 Básica,132,504,227,15,0,0,1,0,0,0,1,880,13,1280
,CAJEME,793,0793 Básica ,149,493,158,7,0,0,0,0,0,0,0,807,7,1237
,CAJEME,794,0794 Básica,142,431,80,1,0,0,0,0,0,0,1,655,6,915
,CAJEME,795,0795 Básica ,248,698,258,18,0,0,3,0,1,0,3,1229,6,1685
,CAJEME,796,0796 Básica,127,355,323,11,0,0,0,0,0,0,0,816,36,1415
,CAJEME,797,0797 Básica,94,263,163,9,0,0,1,0,1,0,1,532,10,819
,CAJEME,798,0798 Básica,53,177,117,2,0,0,0,0,0,0,0,349,17,629
,CAJEME,799,0799 Básica,103,202,162,11,0,0,2,0,0,0,1,481,11,802
,CAJEME,800,0800 Básica,99,233,207,7,0,0,2,0,2,0,2,552,23,962
,CAJEME,801,0801 Básica,95,245,109,4,0,0,1,0,0,0,0,454,8,679
,CAJEME,802,0802 Básica,142,405,101,0,0,0,1,0,0,0,0,649,3,975
,CAJEME,803,0803 Básica,129,409,181,2,0,0,1,0,0,0,1,723,13,1049
,CAJEME,804,0804 Básica,156,388,163,6,0,0,0,0,0,0,1,714,6,1053
,CAJEME,805,0805 Básica,99,260,106,11,0,0,2,0,1,0,2,481,3,763
,CAJEME,806,0806 Básica,88,337,156,11,0,0,1,0,0,0,0,593,0,905
,CAJEME,807,0807 Básica,167,506,288,25,0,0,2,0,0,0,3,991,5,1361
,CAJEME,808,0808 Básica,91,393,200,13,0,0,0,0,0,0,5,702,20,1307
,CAJEME,809,0809 Básica ,96,304,191,12,0,0,0,0,0,0,0,603,9,1038
,CAJEME,810,0810 Básica,161,548,136,9,0,0,0,0,0,0,0,854,4,1222
,CAJEME,811,0811 Básica,121,406,257,17,0,0,0,0,0,0,0,801,9,1140
,CAJEME,812,0812 Básica,132,429,355,15,0,0,1,0,0,0,3,935,12,1468
,CAJEME,813,0813 Básica,125,233,178,10,0,0,0,0,1,0,1,548,11,920
,CAJEME,814,0814 Básica,160,476,335,19,0,0,1,0,2,0,0,993,26,1772
,CAJEME,815,0815 Básica,115,288,161,15,0,0,2,0,0,0,1,582,6,931
,CAJEME,816,0816 Básica,148,276,140,16,0,0,0,0,0,0,4,584,14,939
,CAJEME,817,0817 Básica,84,288,120,11,0,0,0,0,0,0,0,503,11,761
,CAJEME,818,0818 Básica,51,174,72,9,0,0,0,0,1,0,1,308,3,451
,CAJEME,819,0819 Básica,50,117,55,5,0,0,0,0,0,0,5,232,7,340
,CAJEME,820,0820 Básica,100,307,199,11,0,0,0,0,0,0,1,618,10,1088
,CAJEME,773,0773 Básica,177,397,258,11,0,0,3,0,0,0,0,846,8,1256
,CAJEME,774,0774 Básica,80,199,136,2,0,0,0,0,1,0,1,419,4,572
,CAJEME,775,0775 Básica,60,181,55,1,0,0,0,0,0,0,0,297,1,384
,CAJEME,776,0776 Básica,197,585,112,3,0,0,1,0,0,0,0,898,5,1170
,CAJEME,777,0777 Básica,143,512,152,3,0,0,1,0,0,0,2,813,2,1176
,CAJEME,778,0778 Básica,79,213,187,7,0,0,1,0,0,0,1,488,22,941
,CAJEME,779,0779 Básica,100,195,238,6,0,0,0,0,0,0,3,542,32,1155
,CAJEME,780,0780 Básica,125,321,327,23,0,0,1,0,0,0,3,800,36,1972
,CAJEME,781,0781 Básica,124,320,114,2,0,0,0,0,0,0,0,560,2,770
,CAJEME,782,0782 Básica,94,161,155,6,0,0,0,0,0,0,8,424,16,870
,CAJEME,783,0783 Básica,109,271,264,11,0,0,0,0,0,0,2,657,26,1285
,CAJEME,784,0784 Básica,115,236,188,8,0,0,0,0,2,0,1,550,20,1136
,CAJEME,785,0785 Básica,93,158,210,11,0,0,0,0,0,0,1,473,15,1012
,CAJEME,786,0786 Básica,134,526,340,15,0,0,0,0,1,0,2,1018,26,2009
,CAJEME,787,0787 Básica,99,296,209,9,0,0,0,0,1,0,1,615,9,990
,CAJEME,788,0788 Básica,171,452,107,6,0,0,0,0,0,0,1,737,7,1069
,CAJEME,789,0789 Básica ,103,358,338,8,0,0,0,0,0,0,1,808,26,1465
,CAJEME,790,0790 Básica,80,143,460,7,0,0,2,0,2,0,2,696,18,1299
,CAJEME,791,0791 Básica,57,162,210,3,0,0,0,0,0,0,1,433,14,773
,CAJEME,792,0792 Básica,132,504,227,15,0,0,1,0,0,0,1,880,13,1280
,CAJEME,793,0793 Básica ,149,493,158,7,0,0,0,0,0,0,0,807,7,1237
,CAJEME,794,0794 Básica,142,431,80,1,0,0,0,0,0,0,1,655,6,915
,CAJEME,795,0795 Básica ,248,698,258,18,0,0,3,0,1,0,3,1229,6,1685
,CAJEME,796,0796 Básica,127,355,323,11,0,0,0,0,0,0,0,816,36,1415
,CAJEME,797,0797 Básica,94,263,163,9,0,0,1,0,1,0,1,532,10,819
,CAJEME,798,0798 Básica,53,177,117,2,0,0,0,0,0,0,0,349,17,629
,CAJEME,799,0799 Básica,103,202,162,11,0,0,2,0,0,0,1,481,11,802
,CAJEME,800,0800 Básica,99,233,207,7,0,0,2,0,2,0,2,552,23,962
,CAJEME,801,0801 Básica,95,245,109,4,0,0,1,0,0,0,0,454,8,679
,CAJEME,802,0802 Básica,142,405,101,0,0,0,1,0,0,0,0,649,3,975
,CAJEME,803,0803 Básica,129,409,181,2,0,0,1,0,0,0,1,723,13,1049
,CAJEME,804,0804 Básica,156,388,163,6,0,0,0,0,0,0,1,714,6,1053
,CAJEME,805,0805 Básica,99,260,106,11,0,0,2,0,1,0,2,481,3,763
,CAJEME,806,0806 Básica,88,337,156,11,0,0,1,0,0,0,0,593,0,905
,CAJEME,807,0807 Básica,167,506,288,25,0,0,2,0,0,0,3,991,5,1361
,CAJEME,808,0808 Básica,91,393,200,13,0,0,0,0,0,0,5,702,20,1307
,CAJEME,809,0809 Básica ,96,304,191,12,0,0,0,0,0,0,0,603,9,1038
,CAJEME,810,0810 Básica,161,548,136,9,0,0,0,0,0,0,0,854,4,1222
,CAJEME,811,0811 Básica,121,406,257,17,0,0,0,0,0,0,0,801,9,1140
,CAJEME,812,0812 Básica,132,429,355,15,0,0,1,0,0,0,3,935,12,1468
,CAJEME,813,0813 Básica,125,233,178,10,0,0,0,0,1,0,1,548,11,920
,CAJEME,814,0814 Básica,160,476,335,19,0,0,1,0,2,0,0,993,26,1772
,CAJEME,815,0815 Básica,115,288,161,15,0,0,2,0,0,0,1,582,6,931
,CAJEME,816,0816 Básica,148,276,140,16,0,0,0,0,0,0,4,584,14,939
,CAJEME,817,0817 Básica,84,288,120,11,0,0,0,0,0,0,0,503,11,761
,CAJEME,818,0818 Básica,51,174,72,9,0,0,0,0,1,0,1,308,3,451
,CAJEME,819,0819 Básica,50,117,55,5,0,0,0,0,0,0,5,232,7,340
,CAJEME,820,0820 Básica,100,307,199,11,0,0,0,0,0,0,1,618,10,1088
,CAJEME,821,0821 Básica,40,80,61,1,0,0,1,0,1,0,0,184,8,293
,CAJEME,822,0822 Básica,157,428,461,11,0,0,3,0,0,0,1,1061,20,1714
,CAJEME,823,0823 Básica,126,325,121,16,0,0,1,0,1,0,1,591,3,809
,CAJEME,824,0824 Básica,81,203,107,10,0,0,0,0,1,0,1,403,4,705
,CAJEME,825,0825 Básica,75,162,95,12,0,0,0,0,0,0,1,345,8,506
,CAJEME,826,0826 Básica,106,259,140,37,0,0,0,0,0,0,1,543,15,865
,CAJEME,827,0827 Básica,76,294,118,12,0,0,0,0,0,0,0,500,15,817
,CAJEME,828,0828 Básica,71,232,97,14,0,0,4,0,0,0,0,418,6,667
,CAJEME,829,0829 Básica,43,128,46,4,0,0,0,0,1,0,1,223,5,342
,CAJEME,830,0830 Básica,171,440,304,0,0,0,0,0,0,0,5,920,19,1613
,CAJEME,831,0831 Básica,41,139,242,4,0,0,2,0,0,0,1,429,4,574
,CAJEME,832,0832 Básica,109,214,216,13,0,0,0,0,0,0,0,552,18,925
,CAJEME,833,0833 Básica,122,354,242,8,0,0,0,0,1,0,2,729,14,1179
,CAJEME,834,0834 Básica,55,173,130,7,0,0,1,0,0,0,0,366,7,620
,CAJEME,835,0835 Básica,76,180,93,22,0,0,0,0,0,0,0,371,16,621
,CAJEME,836,0836 Básica,80,144,81,8,0,0,0,0,0,0,0,313,11,564
,CAJEME,837,0837 Básica,134,312,188,8,0,0,0,0,1,0,1,644,17,1132
,CAJEME,838,0838 Básica,101,232,192,12,0,0,0,0,2,0,1,540,22,1002
,CAJEME,839,0839 Básica,75,236,71,9,0,0,2,0,0,0,2,395,12,627
,CAJEME,840,0840 Básica,47,146,96,8,0,0,0,0,0,0,0,297,4,480
,CAJEME,841,0841 Básica,50,292,206,15,0,0,0,0,0,0,2,565,10,784
,CAJEME,842,0842 Básica,70,447,304,5,0,0,0,0,0,0,2,828,3,1186
,CAJEME,843,0843 Básica,52,280,198,6,0,0,2,0,2,0,1,541,3,743
,CAJEME,844,0844 Básica,111,300,223,11,0,0,1,0,0,0,0,646,7,955
,CAJEME,845,0845 Básica,73,339,173,15,0,0,0,0,0,0,2,602,3,875
,CAJEME,846,0846 Básica,122,366,238,34,0,0,0,0,2,0,1,763,8,1103
,CAJEME,847,0847 Básica,144,207,108,7,0,0,0,0,1,0,1,468,13,663
,CAJEME,848,0848 Básica,81,247,130,5,0,0,2,0,0,0,1,466,12,791
