ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,30, HUALAHUISES,9,12,1313,1617,6,6,8,5,67,2,2,2,8,4,1013,0,1,0,0,0,5,4,0,1,0,0,,4064,88,4152,5874,0.707
19,NUEVO LEON,31, ITURBIDE,4,6,589,870,1,1,4,2,19,0,1,0,6,2,919,0,0,0,0,0,4,1,0,0,0,0,,2419,96,2515,2915,0.863
19,NUEVO LEON,32, JUAREZ,150,300,14813,23752,218,283,575,264,286,49,48,257,210,2176,40771,134,59,6,7,4,175,32,7,6,1,6,,84139,2176,86315,170059,0.508
19,NUEVO LEON,33, LAMPAZOS DE NARANJO,5,9,2044,977,3,2,10,4,2,0,1,0,4,1,327,0,0,0,0,0,2,0,0,0,0,0,,3377,43,3420,4470,0.765
19,NUEVO LEON,34, LINARES,47,105,10359,7967,88,75,194,61,2173,23,18,31,55,23,12289,77,148,4,7,3,62,495,6,30,1,5,,34194,1369,35563,60403,0.589
19,NUEVO LEON,35, MARIN,3,7,856,1086,7,3,5,7,24,2,91,4,5,2,803,0,1,0,0,0,1,0,0,0,0,0,,2897,50,2947,4393,0.671
19,NUEVO LEON,36, MELCHOR OCAMPO,2,3,250,396,1,8,3,0,163,0,2,0,1,1,244,0,2,0,0,0,0,1,0,0,0,0,,1072,35,1107,1355,0.817
19,NUEVO LEON,37, MIER Y NORIEGA,11,13,1476,2114,11,9,127,2,37,0,0,8,9,2,226,0,0,0,0,0,5,0,0,0,0,0,,4026,128,4154,5740,0.724
19,NUEVO LEON,38, MINA,7,11,312,1349,22,74,364,6,14,5,0,5,10,6,1182,20,0,0,0,0,9,2,0,6,0,0,,3386,113,3499,4473,0.782
19,NUEVO LEON,39, MONTEMORELOS,43,85,4582,8597,105,189,188,70,522,18,32,132,77,62,12124,127,7,0,1,0,26,15,2,5,0,0,,26881,762,27643,48142,0.574
19,NUEVO LEON,40, MONTERREY,736,1557,115708,114564,1621,6563,2274,3302,1540,251,419,1765,1590,1385,278901,239,304,17,17,10,906,137,40,29,2,12,,531596,12269,543865,904720,0.601
19,NUEVO LEON,41, PARAS,3,4,754,446,1,4,0,1,1,2,0,1,0,0,238,0,1,0,0,0,0,1,0,0,0,0,,1450,16,1466,1785,0.821
19,NUEVO LEON,42, PESQUERIA,9,40,2272,5474,51,41,1531,61,37,9,9,26,17,204,4670,4,2,0,0,1,44,4,0,7,2,0,,14466,355,14821,25840,0.574
19,NUEVO LEON,43, LOS RAMONES,12,13,974,1245,1,3,423,2,4,0,2,8,49,1,401,0,0,0,0,0,20,2,1,1,0,0,,3137,63,3200,5221,0.613
19,NUEVO LEON,44, RAYONES,5,6,1192,1182,5,1,3,1,1,1,1,3,2,1,375,2,0,0,0,0,2,2,0,0,0,0,,2774,39,2813,3143,0.895
19,NUEVO LEON,45, SABINAS HIDALGO,25,48,6694,5182,58,38,165,23,74,8,7,64,38,3,5389,2,4,0,0,0,25,2,1,0,0,0,,17777,287,18064,26724,0.676
19,NUEVO LEON,46, SALINAS VICTORIA,9,48,4484,5643,1396,86,65,28,84,23,6,23,19,8,4743,3,10,1,1,0,23,18,0,1,0,0,,16665,512,17177,29618,0.58
19,NUEVO LEON,47, SAN NICOLAS DE LOS GARZA,238,614,67768,31185,668,1131,1214,1446,814,112,158,763,590,611,113889,31,45,6,5,8,198,39,12,8,2,5,,220708,4212,224920,360641,0.624
19,NUEVO LEON,48, SANTA CATARINA,87,301,26052,17353,376,422,530,552,431,58,87,279,387,174,60578,14,38,1,3,0,91,32,6,14,0,3,,107481,2152,109633,194766,0.563
19,NUEVO LEON,49, SANTIAGO,25,60,5694,5720,31,686,88,117,60,8,13,53,96,14,8468,10,3,0,1,0,28,13,2,0,0,0,,21105,436,21541,34474,0.625
19,NUEVO LEON,50, VALLECILLO,7,6,249,633,4,270,10,0,6,1,2,1,6,1,359,0,0,0,0,0,0,0,0,0,0,0,,1542,34,1576,2111,0.747
19,NUEVO LEON,51, VILLALDAMA,6,7,770,590,395,18,7,2,85,2,0,3,2,0,865,3,10,0,1,0,1,40,0,0,0,0,,2794,107,2901,3630,0.799
