CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1157,1,77,113,8,0,5,1,0,0,1,0,0,0,0,0,205,2,207,320
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1158,3,304,259,58,0,5,3,5,1,4,0,0,0,0,0,639,25,664,1078
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1159,2,229,402,100,1,12,3,6,0,1,9,6,1,0,0,770,14,784,1309
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1160,2,307,259,45,4,4,4,1,0,1,2,7,0,0,0,634,18,652,896
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1161,2,245,363,49,3,8,5,1,2,11,9,7,1,1,0,705,25,730,1074
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1162,2,249,225,90,6,20,4,6,0,9,0,4,1,0,0,614,15,629,947
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1163,2,270,220,77,3,8,21,8,0,0,12,5,2,0,1,626,22,649,973
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1164,1,130,130,53,4,1,17,3,2,2,5,1,1,0,0,349,10,359,546
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1165,2,278,265,47,4,6,27,7,1,0,10,8,8,0,0,661,22,683,1141
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1166,2,291,254,89,5,16,6,17,0,1,7,3,3,0,0,692,30,722,1119
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1167,2,218,224,68,0,5,2,5,0,0,0,3,2,0,0,527,20,547,923
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1168,2,371,310,81,1,50,21,18,0,0,2,1,0,0,1,855,20,876,1384
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1169,1,138,201,47,0,3,6,1,1,0,2,0,0,0,0,399,11,410,572
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1170,2,315,348,35,7,2,9,5,5,3,2,0,0,0,0,731,9,740,1115
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1171,2,314,374,39,6,4,25,4,1,0,2,2,2,1,0,774,12,786,1213
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1172,1,138,171,34,2,4,5,3,1,1,0,4,0,0,0,363,2,365,565
1,26,SONORA,20,ETCHOJOA,63,ETCHOJOA,1173,1,63,89,14,1,1,10,2,0,0,1,1,0,0,0,182,7,189,281
