ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,11,BANAMICHI,2,3,561,556,9,2,2,11,5,0,2,57,5,10,0,0,1220,15,1235,1459,0.8465
26,SONORA,12,BAVIACORA,6,9,1558,986,17,4,4,36,5,1,5,33,15,15,0,0,2679,46,2725,3247,0.8392
26,SONORA,13,BAVISPE,2,3,505,499,3,3,1,7,4,1,0,19,3,26,0,0,1071,11,1082,1339,0.8081
26,SONORA,71,BENITO JUAREZ,12,25,3028,5158,724,58,62,85,147,14,62,26,39,12,1,5,9416,135,9556,15196,0.6288
26,SONORA,14,BENJAMIN HILL,4,8,1175,1008,17,15,56,35,50,13,59,11,13,6,1,0,2459,56,2515,3815,0.6592
26,SONORA,46,CABORCA,36,99,10281,12343,509,221,704,558,1769,150,343,77,64,35,1,3,27055,640,27698,57916,0.4782
26,SONORA,59,CAJEME,219,523,43665,73998,4149,1354,2106,2225,7480,1613,1905,1131,1010,212,24,120,140872,3366,144358,304116,0.4747
26,SONORA,15,CANANEA,19,45,5538,6188,506,68,195,237,221,73,62,137,42,61,8,6,13336,273,13615,26498,0.5138
26,SONORA,47,CARBO,2,6,1099,545,23,16,245,221,7,10,5,18,5,6,0,0,2200,51,2251,3373,0.6674
26,SONORA,16,CUCURPE,3,2,376,382,0,0,0,6,2,0,6,14,4,9,0,0,799,3,802,990,0.8101
26,SONORA,17,CUMPAS,8,12,1311,1406,170,24,9,905,9,3,4,109,6,42,5,1,4003,58,4062,5192,0.7824
26,SONORA,18,DIVISADEROS,1,2,469,480,0,0,2,3,4,1,0,0,0,0,0,0,959,0,959,1164,0.8239
26,SONORA,60,EMPALME,30,69,8327,8329,1341,981,397,410,478,166,168,37,99,25,6,2,20764,495,21261,39169,0.5428
26,SONORA,63,ETCHOJOA,40,79,9837,12580,2522,134,278,508,232,29,73,232,186,69,8,6,26688,719,27413,41937,0.6537
26,SONORA,19,FRONTERAS,5,12,1225,1868,38,216,456,109,53,25,19,30,24,34,2,6,4099,48,4153,6165,0.6736
26,SONORA,70,GRAL. PLUTARCO ELIAS CALLES,8,17,1840,2303,917,79,99,79,75,40,17,5,10,2,0,3,5466,213,5682,10243,0.5547
26,SONORA,20,GRANADOS,1,2,477,514,2,0,0,13,0,2,1,0,3,0,0,0,1012,7,1019,1218,0.8366
26,SONORA,61,GUAYMAS,91,193,24349,20721,1595,405,1444,649,2542,369,514,191,208,62,18,40,53067,1364,54471,108383,0.5026
26,SONORA,49,HERMOSILLO,417,951,120695,118099,7784,3025,4113,3010,6538,2193,3246,2207,2692,341,49,260,273992,7083,281335,552671,0.5090
26,SONORA,21,HUACHINERA,2,2,467,394,1,1,2,1,3,0,1,1,1,3,0,0,875,11,886,1010,0.8772
26,SONORA,22,HUASABAS,1,3,451,784,6,3,2,12,7,3,5,6,7,3,0,0,1289,6,1295,1571,0.8243
26,SONORA,64,HUATABAMPO,41,99,16237,16703,2025,193,230,385,347,50,43,277,405,61,14,8,36970,685,37663,56837,0.6626
26,SONORA,23,HUEPAC,2,3,551,417,2,6,1,31,3,0,1,11,11,13,0,1,1047,15,1063,1307,0.8133
26,SONORA,24,IMURIS,9,17,2434,2253,99,76,41,88,70,16,16,25,32,9,1,2,5160,141,5303,9169,0.5784
26,SONORA,48,LA COLORADA,5,6,733,837,185,133,6,6,16,2,0,1,26,0,0,0,1945,32,1977,2479,0.7975
26,SONORA,25,MAGDALENA,15,39,3399,7285,334,80,63,248,99,36,26,295,92,243,5,16,12205,250,12471,22662,0.5503
26,SONORA,50,MAZATAN,1,3,577,559,26,12,8,11,8,3,3,11,5,2,0,0,1225,33,1258,1508,0.8342
26,SONORA,26,MOCTEZUMA,4,9,1555,1296,10,9,5,55,23,4,5,108,30,26,1,1,3127,39,3167,4022,0.7874
26,SONORA,27,NACO,4,7,1460,1353,12,8,31,30,8,4,5,38,14,17,1,0,2981,51,3032,4441,0.6827
26,SONORA,28,NACORI CHICO,3,4,611,534,0,1,0,1,0,0,1,34,11,4,0,0,1197,10,1207,1498,0.8057
26,SONORA,29,NACOZARI DE GARCIA,10,18,2285,2234,444,72,83,65,122,21,15,199,23,54,5,3,5622,98,5723,9446,0.6059
26,SONORA,65,NAVOJOA,76,193,27117,28264,1406,521,607,673,1153,189,332,205,410,85,17,27,60979,1305,62311,113338,0.5498
26,SONORA,30,NOGALES,133,294,31329,29969,2217,1036,2062,997,2450,1177,1252,359,412,168,17,122,73445,1809,75376,175374,0.4298
26,SONORA,66,ONAVAS,1,2,295,375,6,51,6,4,2,4,4,1,2,2,0,0,752,5,757,908,0.8337
26,SONORA,51,OPODEPE,5,6,735,707,0,7,17,15,3,5,82,17,11,3,0,0,1602,64,1666,2177,0.7653
26,SONORA,31,OQUITOA,1,1,167,269,1,0,0,8,0,1,0,0,1,0,0,0,447,5,452,532,0.8496
26,SONORA,52,PITIQUITO,6,13,1508,1949,304,20,54,81,34,18,33,9,20,3,0,1,4033,83,4117,5921,0.6953
26,SONORA,53,PUERTO PEÑASCO,18,67,12233,8955,228,120,204,235,353,134,226,60,114,21,0,13,22883,365,23261,42190,0.5513
26,SONORA,67,QUIRIEGO,3,6,1176,1172,25,7,10,13,12,0,2,12,19,4,0,0,2452,32,2484,3414,0.7276
26,SONORA,54,RAYON,3,4,754,766,3,8,3,20,13,2,1,54,14,20,15,1,1673,20,1694,2188,0.7742
26,SONORA,68,ROSARIO,6,9,1280,1875,3,8,2,7,13,5,2,9,18,1,1,0,3224,58,3282,4641,0.7072
26,SONORA,32,SAHUARIPA,12,12,1310,1561,9,26,1,91,6,1,2,51,26,22,0,0,3106,51,3157,4581,0.6892
26,SONORA,33,SAN FELIPE DE JESUS,1,1,211,203,3,3,0,4,3,1,3,5,2,1,0,0,439,3,442,508,0.8701
26,SONORA,72,SAN IGNACIO RIO MUERTO,8,21,1956,3459,588,330,34,79,121,63,27,11,21,12,1,2,6702,166,6870,10092,0.6807
26,SONORA,34,SAN JAVIER,1,2,221,273,161,1,3,2,0,0,0,0,5,0,0,0,666,13,679,776,0.8750
26,SONORA,55,SAN LUIS RIO COLORADO,91,237,23146,19671,1186,1605,560,828,3096,686,1723,351,374,101,20,49,53347,1409,54805,139009,0.3943
26,SONORA,56,SAN MIGUEL DE HORCASITAS,4,8,1234,1010,140,38,47,51,125,19,17,40,23,13,1,3,2758,203,2964,4722,0.6277
26,SONORA,35,SAN PEDRO DE LA CUEVA,3,5,786,890,9,2,1,1,3,2,2,0,8,1,0,0,1705,23,1728,2101,0.8225
26,SONORA,36,SANTA ANA,12,23,3321,3640,48,29,110,76,63,41,12,49,56,6,0,3,7451,122,7576,12040,0.6292
26,SONORA,37,SANTA CRUZ,1,3,279,473,137,3,4,9,12,1,0,4,1,0,0,0,923,14,937,1347,0.6956
26,SONORA,38,SARIC,2,4,305,715,5,283,2,6,2,3,1,1,24,0,0,0,1347,33,1380,1799,0.7671
26,SONORA,39,SOYOPA,6,5,903,618,8,140,1,14,6,2,1,0,5,0,0,0,1698,37,1735,2083,0.8329
26,SONORA,40,SUAQUI GRANDE,1,2,535,636,6,3,0,0,4,0,0,0,0,0,0,0,1184,7,1191,1395,0.8538
26,SONORA,41,TEPACHE,3,2,587,462,6,4,0,3,3,0,0,0,3,0,0,0,1068,28,1096,1445,0.7585
26,SONORA,42,TRINCHERAS,3,3,631,675,1,1,0,8,8,1,0,10,4,0,0,0,1339,14,1353,1677,0.8068
26,SONORA,43,TUBUTAMA,5,5,407,566,7,4,7,7,64,2,1,2,7,3,0,0,1077,13,1090,1454,0.7497
26,SONORA,57,URES,13,17,2738,1766,540,33,61,508,53,13,36,139,41,68,5,0,6001,203,6204,8849,0.7011
26,SONORA,44,VILLA HIDALGO,3,4,541,464,172,15,3,7,13,2,0,4,4,7,0,0,1232,33,1265,1636,0.7732
26,SONORA,45,VILLA PESQUEIRA,3,4,717,581,5,9,4,85,10,5,1,15,3,4,0,0,1439,12,1451,1600,0.9069
26,SONORA,69,YECORA,7,11,1278,1970,49,7,5,7,1,2,1,9,45,1,0,0,3375,67,3442,4323,0.7962
