"source_file","district","municipality","# iddistritolocal","nombredistrito","idmunicipio","nombremunicipio","seccion","numcasilla","tipocasilla","ex_contigua","PAN","PRI","PRD","PT","PVEM","MC","MORENA","PNAH","PAN_PRI_PRD","MORENA_PNAH","CI_01","CI_02","CNR","VN","TOTAL"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","312","1","B","0","7","77","48","7",NA,"8",NA,NA,NA,"110",NA,NA,"0","7","264"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","312","1","C","0","3","82","38","4",NA,"4",NA,NA,NA,"109",NA,NA,"1","18","259"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","312","1","E","0","2","39","21","2",NA,"0",NA,NA,NA,"81",NA,NA,"0","2","147"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","313","1","B","0","7","63","8","4",NA,"3",NA,NA,NA,"47",NA,NA,"0","11","143"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","315","1","B","0","6","143","48","8",NA,"2",NA,NA,NA,"116",NA,NA,"11","14","348"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","314","1","B","0","10","106","13","11",NA,"1",NA,NA,NA,"77",NA,NA,"0","11","229"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","315","1","E","0","2","116","7","3",NA,"0",NA,NA,NA,"62",NA,NA,"0","7","197"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","300","1","B","0","8","70","16","6",NA,"7",NA,NA,NA,"85",NA,NA,"0","12","204"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","298","1","B","0","6","65","39","2",NA,"1",NA,NA,NA,"81",NA,NA,"1","6","201"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","291","1","B","0","21","162","34","26",NA,"4",NA,NA,NA,"156",NA,NA,"5","7","415"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","291","2","C","0","14","142","58","32",NA,"0",NA,NA,NA,"163",NA,NA,"3","25","437"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","296","1","B","0","30","80","24","5",NA,"3",NA,NA,NA,"91",NA,NA,"0","20","253"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","296","1","C","0","43","83","30","7",NA,"4",NA,NA,NA,"76",NA,NA,"0","21","264"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","298","1","C","0","7","76","43","8",NA,"3",NA,NA,NA,"79",NA,NA,"1","7","224"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","301","1","B","0","8","85","57","5",NA,"5",NA,NA,NA,"95",NA,NA,"0","15","270"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","304","1","B","0","28","108","26","7",NA,"3",NA,NA,NA,"92",NA,NA,"5","16","285"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","310","1","B","0","11","181","67","12",NA,"13",NA,NA,NA,"193",NA,NA,"2","28","507"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN","1","ZIMAPAN","17","CHAPULHUACAN","311","1","B","0","13","173","73","10",NA,"7",NA,NA,NA,"154",NA,NA,"0","25","455"
"17 Chapulhuac†n.xlsx","Distrito 01","CHAPULHUACÁN",NA,NA,NA,NA,NA,NA,NA,NA,"539","3771","1239","385","0","143","0","0","0","3967","0","0","61","506","10611"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","0","VPPP","MEC","0",NA,NA,NA,"3",NA,NA,NA,NA,"3","14",NA,NA,"0","1","21"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","616","1","B","0",NA,NA,NA,"19",NA,NA,NA,NA,"39","51",NA,NA,"0","13","122"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","609","1","S","0",NA,NA,NA,"10",NA,NA,NA,NA,"22","18",NA,NA,"0","2","52"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","608","1","B","0",NA,NA,NA,"88",NA,NA,NA,NA,"232","135",NA,NA,"0","16","471"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","620","1","B","0",NA,NA,NA,"56",NA,NA,NA,NA,"62","127",NA,NA,"0","20","265"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","609","1","B","0",NA,NA,NA,"112",NA,NA,NA,NA,"211","141",NA,NA,"0","14","478"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","609","1","C","0",NA,NA,NA,"97",NA,NA,NA,NA,"230","146",NA,NA,"0","23","496"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","622","1","B","0",NA,NA,NA,"105",NA,NA,NA,NA,"65","53",NA,NA,"0","18","241"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","620","1","C","0",NA,NA,NA,"54",NA,NA,NA,NA,"73","116",NA,NA,"0","13","256"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","610","1","B","0",NA,NA,NA,"31",NA,NA,NA,NA,"75","143",NA,NA,"0","14","263"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","608","1","C","0",NA,NA,NA,"72",NA,NA,NA,NA,"178","184",NA,NA,"0","20","454"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","611","1","B","0",NA,NA,NA,"69",NA,NA,NA,NA,"96","117",NA,NA,"2","11","295"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","625","1","B","0",NA,NA,NA,"10",NA,NA,NA,NA,"18","61",NA,NA,"0","4","93"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","626","1","B","0",NA,NA,NA,"17",NA,NA,NA,NA,"39","45",NA,NA,"0","3","104"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","628","1","B","0",NA,NA,NA,"27",NA,NA,NA,NA,"49","69",NA,NA,"0","8","153"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","613","1","B","0",NA,NA,NA,"85",NA,NA,NA,NA,"98","186",NA,NA,"0","22","391"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","627","1","B","0",NA,NA,NA,"60",NA,NA,NA,NA,"150","86",NA,NA,"0","10","306"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","629","1","B","0",NA,NA,NA,"33",NA,NA,NA,NA,"112","142",NA,NA,"0","27","314"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","617","1","B","0",NA,NA,NA,"9",NA,NA,NA,NA,"30","24",NA,NA,"0","2","65"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","618","1","B","0",NA,NA,NA,"46",NA,NA,NA,NA,"50","75",NA,NA,"0","19","190"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","621","1","B","0",NA,NA,NA,"32",NA,NA,NA,NA,"48","62",NA,NA,"0","5","147"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","614","1","B","0",NA,NA,NA,"131",NA,NA,NA,NA,"182","126",NA,NA,"0","27","466"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","612","1","B","0",NA,NA,NA,"62",NA,NA,NA,NA,"77","98",NA,NA,"0","33","270"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","615","1","B","0",NA,NA,NA,"43",NA,NA,NA,NA,"39","33",NA,NA,"0","13","128"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA","1","ZIMAPAN","31","JACALA DE LEDEZMA","608","2","C","0",NA,NA,NA,"91",NA,NA,NA,NA,"200","172",NA,NA,"0","19","482"
"31 Jacala De Ledezma.xlsx","Distrito 01","JACALA DE LEDEZMA",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1362","0","0","0","0","2378","2424","0","0","2","357","6523"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","646","1","B","0","1","3","173","151",NA,NA,NA,NA,NA,"36",NA,NA,"0","8","372"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","646","1","C","0","2","6","175","142",NA,NA,NA,NA,NA,"44",NA,NA,"0","14","383"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","647","1","B","0","0","6","94","116",NA,NA,NA,NA,NA,"30",NA,NA,"0","15","261"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","648","1","B","0","2","9","166","56",NA,NA,NA,NA,NA,"71",NA,NA,"0","18","322"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","650","1","C","0","2","7","222","170",NA,NA,NA,NA,NA,"22",NA,NA,"0","26","449"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","652","1","B","0","0","0","134","53",NA,NA,NA,NA,NA,"45",NA,NA,"0","18","250"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","653","1","B","0","1","2","144","118",NA,NA,NA,NA,NA,"44",NA,NA,"0","15","324"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","654","1","B","0","4","4","131","153",NA,NA,NA,NA,NA,"19",NA,NA,"0","17","328"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","655","1","B","0","0","3","155","14",NA,NA,NA,NA,NA,"42",NA,NA,"0","13","227"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","655","1","E","0","0","5","157","44",NA,NA,NA,NA,NA,"37",NA,NA,"0","8","251"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","655","2","E","0","1","5","260","62",NA,NA,NA,NA,NA,"30",NA,NA,"0","17","375"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","656","1","B","0","2","3","139","54",NA,NA,NA,NA,NA,"41",NA,NA,"0","19","258"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","649","1","B","0","4","12","165","167",NA,NA,NA,NA,NA,"89",NA,NA,"0","27","464"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","650","1","B","0","0","1","214","200",NA,NA,NA,NA,NA,"21",NA,NA,"0","19","455"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","647","1","C","0","0","5","117","110",NA,NA,NA,NA,NA,"31",NA,NA,"0","19","282"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","651","1","B","0","0","5","126","132",NA,NA,NA,NA,NA,"11",NA,NA,"0","7","281"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN","1","ZIMAPAN","34","LA MISION","654","1","C","0","2","11","143","148",NA,NA,NA,NA,NA,"12",NA,NA,"0","14","330"
"34 La Misi¢n.xlsx","Distrito 01","LA MISIÓN",NA,NA,NA,NA,NA,NA,NA,NA,"21","87","2715","1890","0","0","0","0","0","625","0","0","0","274","5612"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","780","1","B","0","142","7",NA,NA,NA,NA,NA,NA,NA,"221",NA,NA,"0","3","373"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","780","1","C","0","148","7",NA,NA,NA,NA,NA,NA,NA,"195",NA,NA,"1","4","355"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","781","1","B","0","102","6",NA,NA,NA,NA,NA,NA,NA,"80",NA,NA,"0","4","192"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","782","1","B","0","88","3",NA,NA,NA,NA,NA,NA,NA,"115",NA,NA,"0","1","207"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","783","1","B","0","67","0",NA,NA,NA,NA,NA,NA,NA,"43",NA,NA,"0","1","111"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","784","1","B","0","203","3",NA,NA,NA,NA,NA,NA,NA,"52",NA,NA,"0","11","269"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","785","1","B","0","58","2",NA,NA,NA,NA,NA,NA,NA,"49",NA,NA,"1","3","113"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","786","1","B","0","72","5",NA,NA,NA,NA,NA,NA,NA,"52",NA,NA,"0","7","136"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","788","1","B","0","92","0",NA,NA,NA,NA,NA,NA,NA,"142",NA,NA,"0","8","242"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","789","1","B","0","76","0",NA,NA,NA,NA,NA,NA,NA,"78",NA,NA,"0","1","155"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","790","1","B","0","99","1",NA,NA,NA,NA,NA,NA,NA,"76",NA,NA,"0","6","182"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","791","1","B","0","80","0",NA,NA,NA,NA,NA,NA,NA,"102",NA,NA,"0","6","188"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","793","1","B","0","96","6",NA,NA,NA,NA,NA,NA,NA,"29",NA,NA,"0","3","134"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","795","1","B","0","109","4",NA,NA,NA,NA,NA,NA,NA,"161",NA,NA,"0","10","284"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","796","1","B","0","101","0",NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,"0","4","197"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","797","1","B","0","53","4",NA,NA,NA,NA,NA,NA,NA,"87",NA,NA,"0","2","146"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","798","1","B","0","64","2",NA,NA,NA,NA,NA,NA,NA,"47",NA,NA,"0","1","114"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","799","1","B","0","101","9",NA,NA,NA,NA,NA,NA,NA,"129",NA,NA,"0","9","248"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","800","1","B","0","91","5",NA,NA,NA,NA,NA,NA,NA,"69",NA,NA,"1","9","175"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES","1","ZIMAPAN","43","NICOLAS FLORES","801","1","B","0","58","1",NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,"0","2","81"
"43 Nicol†s Flores.xlsx","Distrito 01","NICOLÁS FLORES",NA,NA,NA,NA,NA,NA,NA,NA,"1900","65","0","0","0","0","0","0","0","1839","0","0","3","95","3902"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","822","1","B","0","177","3",NA,"20",NA,NA,NA,NA,NA,"164",NA,NA,"0","13","377"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","824","1","C","0","116","1",NA,"31",NA,NA,NA,NA,NA,"182",NA,NA,"0","11","341"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","824","1","B","0","79","1",NA,"28",NA,NA,NA,NA,NA,"190",NA,NA,"0","13","311"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","825","1","B","0","134","0",NA,"10",NA,NA,NA,NA,NA,"117",NA,NA,"0","14","275"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","826","1","B","0","56","3",NA,"15",NA,NA,NA,NA,NA,"96",NA,NA,"0","4","174"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","827","1","B","0","60","0",NA,"12",NA,NA,NA,NA,NA,"81",NA,NA,"0","2","155"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","828","1","B","0","84","3",NA,"21",NA,NA,NA,NA,NA,"175",NA,NA,"0","1","284"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","829","1","B","0","121","4",NA,"22",NA,NA,NA,NA,NA,"142",NA,NA,"0","9","298"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","830","1","B","0","63","0",NA,"2",NA,NA,NA,NA,NA,"57",NA,NA,"0","1","123"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","831","1","B","0","125","3",NA,"26",NA,NA,NA,NA,NA,"88",NA,NA,"0","9","251"
"46 Pacula.xlsx","Distrito 01","PACULA","1","ZIMAPAN","46","PACULA","823","1","B","0","158","2",NA,"31",NA,NA,NA,NA,NA,"147",NA,NA,"0","10","348"
"46 Pacula.xlsx","Distrito 01","PACULA",NA,NA,NA,NA,NA,NA,NA,NA,"1173","20","0","218","0","0","0","0","0","1439","0","0","0","87","2937"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","964","1","B","0",NA,"98","0","4","119","4",NA,NA,NA,"10",NA,NA,"0","14","249"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","966","1","B","0",NA,"135","1","8","75","3",NA,NA,NA,"56",NA,NA,"0","24","302"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","967","1","C","0",NA,"107","1","4","93","2",NA,NA,NA,"20",NA,NA,"0","7","234"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","972","1","C","0",NA,"135","0","28","99","3",NA,NA,NA,"28",NA,NA,"0","18","311"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","968","1","B","0",NA,"25","0","4","53","2",NA,NA,NA,"7",NA,NA,"0","3","94"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","970","1","B","0",NA,"139","0","4","228","1",NA,NA,NA,"12",NA,NA,"0","26","410"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","974","1","B","0",NA,"147","0","17","109","1",NA,NA,NA,"16",NA,NA,"0","20","310"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","970","1","C","0",NA,"185","0","5","161","1",NA,NA,NA,"9",NA,NA,"0","18","379"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","973","1","B","0",NA,"74","0","17","142","1",NA,NA,NA,"36",NA,NA,"0","21","291"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","971","1","B","0",NA,"136","1","4","124","1",NA,NA,NA,"3",NA,NA,"0","10","279"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","972","1","E","0",NA,"146","1","24","161","2",NA,NA,NA,"36",NA,NA,"0","11","381"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","975","1","B","0",NA,"91","1","39","128","2",NA,NA,NA,"13",NA,NA,"0","14","288"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","977","1","B","0",NA,"61","1","0","107","1",NA,NA,NA,"8",NA,NA,"0","14","192"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","981","1","B","0",NA,"75","1","7","180","1",NA,NA,NA,"9",NA,NA,"0","17","290"
"48 Pisaflores.xlsx","Distrito 01","PISAFLORES","1","ZIMAPAN","48","PISAFLORES","976","1","B","0",NA,"115","0","6","143","2",NA,NA,NA,"10",NA,NA,"0","19","295"
