ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PT_MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,,,,,,,,,,,,,,959,,,,,,455,1693,,,,,,,,,,,,,3107,0,180,3287,4802,
24,SAN LUIS POTOSI,20,MATEHUALA,64,129,,6029,,,,364,,,,,,,,,,,,,17456,9032,3758,,,,,,,,,,,1364,,38003,7,1338,39348,70638,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,75,,,2550,,1349,,,231,,,8914,,,,,10122,,,,,3333,,,,,,,1607,,,,,,28106,11,1218,29335,41669,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,4807,,,,316,,26,23,,,,,,,,3934,,,,,204,,,,,,,,,,,,,9310,2,442,9754,14246,
24,SAN LUIS POTOSI,23,RAYON,18,26,,,,,,2405,,,,,,,,982,,,,,,921,2162,,,,,,,,390,,,,,6860,0,356,7216,12312,
24,SAN LUIS POTOSI,24,RIOVERDE,87,150,,,,,1779,,,,,,,,13500,,,,,,,16682,7665,,,,,,,,,,,,,39626,17,2328,41971,75639,
24,SAN LUIS POTOSI,25,SALINAS,23,41,254,5481,226,,3182,31,1937,,,,,,,,,,,,,,1912,,,,,,,,,,,,,13023,4,435,13462,21523,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,13,,,,,,,,,,,,,,,,,1601,,,1591,2038,,,,,,,,,,,,,5230,0,182,5412,6750,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,19,,,,1387,,,,,496,,,,,900,,,,,,1961,,,,453,,,,,,,,,,5197,2,214,5413,8668,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,1022,,,89894,,8033,,,,,,153892,,28048,,,,,,,,68792,,,,,,,,,,,,,348659,274,9697,358630,615758,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,,989,3596,,86,56,,1377,,,4251,,,,,,,,,,561,,,,,,,,,,,,,10916,1,579,11496,15263,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,,624,,,11,1101,,,,,,,,,,,,,,144,1278,,,,,,,,,,15,,,3173,0,133,3306,4883,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,3396,,1102,,74,,,,,,,,4092,,,,,,,,267,,,,,,,,,,,,,8931,1,405,9337,11267,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,20,46,,779,,2182,,,,,,,,618,,,,,,,,1984,,,,,,,,,,,,,5609,0,347,5956,8437,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,30,61,,,2167,,5020,,,,,,4587,7608,,,,,,,,,727,,,,,,,,,,,,,20109,1,846,20956,30535,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,24,,3627,,,,,,,,,,,,,,,,,,1714,1078,,,,,,,,,,,,,6419,306,231,6956,9620,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,330,,,46888,,5033,2200,,,,,9051,16410,,,,,,,,,34112,,,,,,,,,,,,,113694,106,4627,118427,212807,
24,SAN LUIS POTOSI,36,TAMASOPO,17,40,,,,,,976,,1938,,,,,,,,,2971,,,4464,1357,,,,,2267,,,,,,,,13973,3,661,14637,21169,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,125,,,,,707,7045,,,,,,12827,,,,,,,,12879,5477,,,,,,,,,,,,,38935,10,2904,41849,68202,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,23,3023,1855,,151,1693,,138,,,,,,,,,,,,,1779,,,,,,,,,,,,,8662,0,316,8978,11303,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,,,3111,,,,,3200,,,,,,,,,657,,,,217,,,,,,,,,,,,,7185,0,331,7516,9916,
24,SAN LUIS POTOSI,40,TAMUIN,35,53,,,3059,,,33,,2328,,,1440,,,,,,4403,,,,4517,,,,,,,,,,,,,15780,5,606,16391,25868,
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,,1348,63,,202,2207,,1474,,,714,,,,,,,,,,3644,,,,,,,,,,,,,9652,1,404,10057,12999,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,1565,,2013,,,,,1588,,,,,,,,,1584,,,,714,,,,,,,,,,,,,7464,2,273,7739,10054,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,15,,,1387,,,,,,,,1539,,,,,,1482,,,,114,,,,,,,,,,,,,4522,0,224,4746,7459,
24,SAN LUIS POTOSI,44,VANEGAS,13,14,,,,,2133,,,,144,,,344,,,,,,,,980,,,,,,,,,,,,,,3601,3,115,3719,5301,
24,SAN LUIS POTOSI,45,VENADO,20,25,1421,,,,741,743,2337,,,,,444,,,,,,,,,820,,,,,,,,,1008,,,,7514,3,316,7833,10624,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,,,,,,,,,,,2896,,,,,,2992,,,,1464,,,,,,,,,,,,,7352,2,315,7669,11283,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,,,,,,153,,51,,,,,,,,,5439,,,1912,1879,,,,,,,,,,,,,9434,1,373,9808,12488,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,,,1870,,74,8,,,,,1586,1460,,,,,,,,,,,,,,,,,,,,,,4998,1,197,5196,7560,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,,265,147,,173,163,,1304,,,545,,,,,,,,,,123,,,,,,,,,,,,,2720,3,79,2802,3908,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,52,,,,,,,,,,,,,,,,,9398,,,8874,426,,,,,,,,,,,,,18698,2,903,19603,26890,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,64,435,,9400,,189,7903,,,,,,6595,,,,,,,,,774,,776,,,,,,,,,,,26072,0,1108,27180,35720,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,29,,,,,,,,,,,,,,,,,,5234,,3108,,,,,,,,,,,,,,8342,13,375,8730,11862,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,127,2412,680,,15,,1752,29,,,,,,,,,,,,,155,,,,,,,,,,,,,5170,0,334,5504,8948,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,43,3616,5390,5676,,,70,,391,,,,,,,,,,,,,1081,,,,,,,,,,,,,16224,2,917,17143,23238,
24,SAN LUIS POTOSI,55,XILITLA,47,72,7479,5714,223,,71,,1680,1913,,,,,,,,,,,,,1541,,,,3160,,,,,,,,,21781,3,1458,23242,35131,
24,SAN LUIS POTOSI,56,ZARAGOZA,22,37,,,4026,,,,,,,,151,,,,,4704,,,3304,,430,,,,,,,,,,,,,12615,2,556,13173,18390,
24,SAN LUIS POTOSI,57,EL NARANJO,17,28,,1466,,,,,,,,,,,,,,,,,3615,2573,801,,,,,,1227,,,,,,,9682,1,343,10026,14660,
24,SAN LUIS POTOSI,58,MATLAPA,17,40,,5238,,,,339,,94,,,,,,,,,,,,6807,2159,,,,,,,,,,,,,14637,0,699,15336,21103,
