CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,207,4,269,221,85,27,,,,,152,21,57,140,62,74,38,6,1146,98,1250,2437
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,208,4,335,230,70,21,,,,,136,13,39,151,88,48,47,4,1178,59,1241,2339
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,209,6,358,200,61,28,,,,,222,10,71,146,204,81,75,3,1456,182,1641,3284
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,210,2,155,76,24,16,,,,,43,5,33,35,119,27,40,6,573,82,661,1301
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,211,2,95,88,21,12,,,,,44,11,29,48,64,17,24,4,453,63,520,1096
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,212,3,108,100,52,20,,,,,89,5,38,92,74,35,29,4,642,48,694,1520
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,213,3,102,147,69,24,,,,,130,9,25,93,98,50,38,4,785,68,857,1754
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,214,3,142,152,74,31,,,,,119,9,36,114,116,64,49,3,906,82,991,1989
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,215,3,97,121,47,15,,,,,120,7,30,160,42,42,32,0,713,47,760,1435
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,216,3,166,86,38,25,,,,,75,1,41,79,62,33,24,5,630,89,724,1548
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,217,2,100,42,21,5,,,,,55,5,21,59,51,17,13,19,389,17,425,875
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,218,2,91,47,16,12,,,,,30,5,25,41,52,17,24,2,360,50,412,819
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,231,2,68,72,16,5,,,,,65,6,36,138,43,22,15,2,486,38,526,914
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,232,3,146,97,51,29,,,,,168,15,56,155,90,44,40,1,891,70,962,1758
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,233,2,70,71,27,8,,,,,72,8,38,83,54,21,27,2,479,40,521,976
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,234,2,112,75,14,15,,,,,28,4,22,49,58,20,24,3,421,56,480,984
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,235,1,20,8,3,1,,,,,14,0,1,15,2,4,0,0,68,2,70,362
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,236,1,64,62,5,4,,,,,31,5,13,25,42,11,17,4,279,30,313,585
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,237,2,104,67,30,2,,,,,33,5,32,49,54,21,17,5,414,69,488,1033
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,238,2,74,60,28,7,,,,,28,2,16,28,52,12,17,2,324,59,385,756
