id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN-PNA,PRI,PRI-PVEM,PRI-PVEM-PS,PRI-PS,PRD,PRD-PC-PT,PRD-PC,PRD-PT,PRD-PT2,PRD-PC-PT2,PT,PT-PC,PVEM,CONVERGENCIA,PS,PAC,PP,PLT,PPT,Nulos,Total
29,4/7/2010,12,Ayuntamientos,29,0,564,1,C,Contigua,0,41,PAPALOTLA DE XICOHTENCATL,571,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,54,,134,,,107,,,,,,7,,,11,4,,,,,19,336
29,4/7/2010,12,Ayuntamientos,29,0,568,1,C,Contigua,0,41,PAPALOTLA DE XICOHTENCATL,483,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,50,,57,,,101,,,,,,5,,,2,4,,,,,6,225
29,4/7/2010,12,Ayuntamientos,29,0,569,1,B,Basica,0,41,PAPALOTLA DE XICOHTENCATL,591,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,45,,116,,,99,,,,,,4,,,10,2,,,,,7,283
29,4/7/2010,12,Ayuntamientos,29,0,572,1,C,Contigua,0,42,XICOHTZINCO,709,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,55,,117,,,,,,71,,,,,,26,59,,48,,74,10,460
29,4/7/2010,12,Ayuntamientos,29,0,573,2,C,Contigua,0,42,XICOHTZINCO,614,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,49,,86,,,,,,54,,,,,,17,49,,42,,79,9,385
29,4/7/2010,12,Ayuntamientos,29,0,574,1,B,Basica,0,42,XICOHTZINCO,702,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,36,,102,,,,,,99,,,,,,35,83,,36,,63,8,462
29,4/7/2010,12,Ayuntamientos,29,0,593,1,B,Basica,0,44,ZACATELCO,784,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,152,,170,,,12,,,,,,,25,,,34,,23,,19,8,443
29,4/7/2010,12,Ayuntamientos,29,0,595,1,B,Basica,0,44,ZACATELCO,670,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,101,,154,,,19,,,,,,,28,,,31,,24,,31,8,396
29,4/7/2010,12,Ayuntamientos,29,0,595,2,C,Contigua,0,44,ZACATELCO,670,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,136,,140,,,13,,,,,,,37,,,23,0,25,0,27,15,416
29,4/7/2010,12,Ayuntamientos,29,0,596,1,C,Contigua,0,44,ZACATELCO,594,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,153,,109,,,15,,,,,,,22,,,25,,33,,17,17,391
29,4/7/2010,12,Ayuntamientos,29,0,577,1,B,Basica,0,43,YAUHQUEMEHCAN,549,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,54,201,,,,34,,,,,,30,,27,11,3,21,4,0,0,26,411
29,4/7/2010,12,Ayuntamientos,29,0,580,1,B,Basica,0,43,YAUHQUEMEHCAN,661,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,175,78,,,,36,,,,,,14,,22,12,11,4,3,0,0,17,372
29,4/7/2010,12,Ayuntamientos,29,0,583,1,C,Contigua,0,43,YAUHQUEMEHCAN,711,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,152,77,,,,31,,,,,,3,,24,9,20,14,3,0,0,13,346
29,4/7/2010,12,Ayuntamientos,29,0,583,2,C,Contigua,0,43,YAUHQUEMEHCAN,712,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,147,83,,,,57,,,,,,7,,16,11,9,10,8,0,0,26,374
29,4/7/2010,12,Ayuntamientos,29,0,584,1,B,Basica,0,43,YAUHQUEMEHCAN,820,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,198,120,,,,81,,,,,,27,,14,8,27,29,4,0,0,22,530
