CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0088,2,123,137,,16,26,28,,63,432,31,1,1,0,0,17,4,0,0,,,,,,,,879,0,46,925,1373
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0089,3,193,264,,23,36,29,,128,548,27,5,2,1,0,20,7,0,5,,,,,,,,1288,1,67,1356,2098
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0090,4,207,223,,34,66,63,,148,667,58,9,6,2,0,22,7,1,8,,,,,,,,1521,0,72,1593,2712
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0091,1,79,69,,6,26,11,,19,219,10,0,0,0,0,7,0,0,6,,,,,,,,452,0,13,465,743
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0092,3,185,190,,35,63,25,,91,578,31,6,3,5,1,14,5,1,5,,,,,,,,1238,0,20,1258,1979
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0093,2,131,116,,22,62,44,,40,361,19,3,1,2,0,19,6,0,7,,,,,,,,833,1,20,854,1281
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0094,2,39,120,,12,30,14,,22,341,5,0,0,0,0,16,3,0,4,,,,,,,,606,0,14,620,870
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0095,1,47,67,,10,16,6,,3,101,7,2,2,0,1,0,0,1,0,,,,,,,,263,0,13,276,440
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0096,1,63,80,,8,12,3,,49,117,4,0,1,0,0,3,2,0,3,,,,,,,,345,0,8,353,638
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0097,2,56,115,,11,48,5,,31,220,16,0,0,0,0,21,2,0,4,,,,,,,,529,0,28,557,918
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,006,CALPULALPAN,0098,3,252,228,,24,54,23,,34,247,23,6,5,2,0,14,8,1,7,,,,,,,,928,0,43,971,1635
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,020,SANCTORUM DE LAZARO CARDENAS,0292,2,100,209,,16,40,18,,87,325,27,1,0,1,0,8,1,2,9,,,,,,,,844,0,25,869,1419
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,020,SANCTORUM DE LAZARO CARDENAS,0293,1,13,50,,3,3,1,,3,22,1,1,0,0,0,0,0,0,0,,,,,,,,97,0,1,98,143
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,020,SANCTORUM DE LAZARO CARDENAS,0294,4,132,366,,37,58,28,,113,535,43,3,1,4,2,32,8,2,5,,,,,,,,1369,0,63,1432,2253
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,020,SANCTORUM DE LAZARO CARDENAS,0297,2,148,142,,51,59,19,,26,380,13,1,0,0,0,14,7,0,7,,,,,,,,867,1,21,889,1392
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,020,SANCTORUM DE LAZARO CARDENAS,0298,3,122,138,,49,32,11,,17,412,14,2,3,1,0,8,2,0,3,,,,,,,,814,0,26,840,1337
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0299,4,179,338,,33,99,43,,37,590,27,8,1,2,0,21,5,3,4,,,,,,,,1390,1,68,1459,2671
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0300,2,145,243,,6,46,25,,39,284,21,8,1,3,0,14,1,0,1,,,,,,,,837,0,33,870,1372
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0301,4,188,472,,19,72,34,,42,463,26,9,1,2,2,11,4,0,4,,,,,,,,1349,0,52,1401,2356
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0302,4,156,391,,39,92,38,,37,543,41,5,1,0,0,27,7,0,0,,,,,,,,1377,0,48,1425,2441
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0303,2,74,158,,7,25,6,,15,191,14,1,2,0,0,3,6,1,3,,,,,,,,506,0,25,531,810
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0304,2,81,156,,15,36,17,,17,234,17,1,1,0,0,7,0,0,4,,,,,,,,586,0,11,597,952
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0305,1,50,83,,2,5,5,,10,64,4,3,0,0,0,0,0,0,2,,,,,,,,228,0,13,241,359
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0306,1,19,30,,2,2,3,,0,28,1,0,0,0,0,0,1,0,1,,,,,,,,87,0,2,89,169
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0307,1,37,110,,5,12,6,,35,110,2,4,0,0,0,7,0,0,0,,,,,,,,328,0,0,328,540
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,021,NANACAMILPA DE MARIANO ARISTA,0308,2,151,218,,25,23,18,,48,315,16,9,0,2,0,6,1,0,1,,,,,,,,833,0,32,865,1253
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,060,BENITO JUAREZ,0295,4,138,311,,212,70,23,,68,686,31,0,1,1,0,16,9,0,7,,,,,,,,1573,1,51,1625,2647
,29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,060,BENITO JUAREZ,0296,3,79,184,,99,24,15,,40,458,16,0,2,1,0,7,15,1,4,,,,,,,,945,0,53,998,1633
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0049,1,52,,66,16,17,2,25,7,163,13,0,1,0,1,5,3,0,2,17,38,,,,,,428,46,19,493,704
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0050,1,34,,39,9,5,1,31,3,44,3,0,0,0,0,5,0,0,0,7,10,,,,,,191,49,10,250,348
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0051,1,29,,47,5,6,2,10,3,47,4,0,0,0,0,1,1,0,1,6,6,,,,,,168,43,15,226,321
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0052,1,12,,10,4,6,0,2,0,15,2,0,0,0,0,0,1,0,0,1,14,,,,,,67,16,4,87,101
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0053,2,95,,103,14,48,4,39,7,196,6,2,0,0,0,6,1,0,0,14,56,,,,,,591,96,26,713,1095
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0054,1,23,,33,6,11,3,15,3,56,3,0,0,0,0,0,0,0,2,7,5,,,,,,167,76,15,258,407
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0055,1,35,,19,7,7,3,21,4,42,3,0,2,1,0,2,1,1,0,9,8,,,,,,165,25,12,202,333
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0056,2,65,,59,17,42,11,83,9,175,8,2,2,0,1,6,3,1,3,25,30,,,,,,542,290,44,876,1219
,29,TLAXCALA,02,TLAXCO DE MORELOS,004,ATLANGATEPEC,0057,1,25,,28,3,5,0,26,1,58,2,0,0,1,0,1,2,0,1,9,8,,,,,,170,54,21,245,358
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0409,2,82,,79,22,49,5,33,9,290,18,1,1,0,0,8,8,0,6,36,41,,,,,,688,139,35,862,1365
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0410,2,55,,99,21,48,6,20,6,270,8,0,0,1,0,6,6,2,0,15,22,,,,,,585,175,60,820,1246
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0411,4,216,,124,87,84,24,39,20,576,20,5,6,1,0,12,7,1,4,87,62,,,,,,1375,253,78,1706,2653
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0412,4,166,,172,89,97,17,74,21,714,25,4,1,0,0,14,8,0,7,88,55,,,,,,1552,170,77,1799,2931
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0413,2,56,,96,25,50,5,57,5,319,9,1,0,0,0,8,10,3,0,26,26,,,,,,696,64,45,805,1273
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0414,2,71,,29,13,38,3,11,9,227,10,1,0,0,0,5,2,0,1,20,17,,,,,,457,21,26,504,796
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0415,2,144,,56,26,26,7,26,11,223,6,3,1,0,0,4,2,0,1,23,27,,,,,,586,45,39,670,1060
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0416,2,119,,112,31,46,10,36,12,122,9,5,0,0,0,10,3,0,1,68,12,,,,,,596,80,50,726,1122
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0417,1,32,,35,6,23,1,15,3,36,1,0,0,0,0,2,0,0,1,20,11,,,,,,186,14,10,210,322
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0418,1,29,,29,9,28,1,44,2,94,6,1,1,0,0,0,0,0,2,10,13,,,,,,269,19,11,299,431
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0419,1,27,,97,8,30,9,28,4,114,3,3,0,1,0,5,4,1,0,14,24,,,,,,372,14,17,403,616
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0420,3,163,,58,16,75,11,62,23,354,10,1,1,1,0,11,7,1,5,27,25,,,,,,851,257,84,1192,1900
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0421,3,223,,95,40,64,10,40,33,483,19,3,1,1,0,17,13,0,0,44,27,,,,,,1113,181,94,1388,2215
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0422,5,150,,141,44,95,8,129,15,724,24,2,7,0,0,20,10,1,4,83,42,,,,,,1499,464,149,2112,3565
,29,TLAXCALA,02,TLAXCO DE MORELOS,031,TETLA DE LA SOLIDARIDAD,0423,1,19,,31,10,5,0,7,0,40,0,1,0,0,0,0,0,0,1,2,2,,,,,,118,37,7,162,231
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0058,1,16,,12,0,0,2,6,0,52,0,0,0,0,0,0,0,0,0,14,25,,,,,,127,5,17,149,209
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0470,2,100,,77,14,14,11,81,3,127,12,1,1,0,0,1,2,0,1,68,39,,,,,,552,8,23,583,945
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0471,2,108,,56,16,18,5,61,8,103,8,2,2,1,0,0,1,0,1,224,31,,,,,,645,21,70,736,1337
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0472,2,104,,89,6,18,7,93,9,187,10,2,1,1,0,4,3,1,0,81,74,,,,,,690,6,48,744,1271
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0473,2,113,,85,10,25,7,74,8,156,5,2,1,0,1,0,1,0,31,90,60,,,,,,669,9,28,706,1041
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0474,3,160,,102,25,23,3,226,15,204,3,2,3,0,0,6,1,3,2,112,130,,,,,,1020,41,35,1096,1732
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0475,2,164,,174,14,11,3,51,13,164,5,4,1,1,1,2,1,0,1,101,107,,,,,,818,15,31,864,1261
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0476,4,225,,203,31,38,13,162,23,362,19,3,4,1,1,15,5,0,5,135,337,,,,,,1582,36,72,1690,2768
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0477,2,126,,88,13,13,1,117,7,181,6,2,0,1,0,4,3,1,0,76,94,,,,,,733,14,31,778,1067
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0478,1,40,,35,2,14,9,39,4,89,2,1,0,0,0,4,3,1,1,21,34,,,,,,299,11,4,314,439
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0479,1,18,,22,2,20,0,3,0,60,4,1,0,0,0,2,3,0,1,4,58,,,,,,198,19,11,228,323
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0480,1,39,,12,4,5,5,12,3,35,1,1,0,1,0,0,0,0,1,7,24,,,,,,150,2,9,161,247
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0481,3,250,,153,33,39,5,47,20,249,11,2,8,2,0,5,2,0,3,72,71,,,,,,972,75,59,1106,1938
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0482,3,269,,73,27,34,14,45,9,291,13,2,1,0,0,2,4,0,1,58,82,,,,,,925,104,60,1089,1829
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0483,1,6,,33,4,3,0,6,2,21,0,0,1,0,0,0,1,0,0,11,7,,,,,,95,3,1,99,124
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0484,3,112,,76,19,58,20,30,7,442,18,2,2,0,1,23,13,1,8,33,106,,,,,,971,33,48,1052,1715
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0485,1,44,,22,8,9,4,110,7,138,4,1,0,0,0,5,4,0,1,22,26,,,,,,405,23,10,438,672
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0486,1,65,,33,7,14,3,20,3,149,5,2,0,0,0,3,1,0,0,23,11,,,,,,339,21,16,376,608
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0487,1,10,,4,2,2,2,3,0,14,0,0,0,0,0,0,0,0,0,1,6,,,,,,44,1,1,46,144
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0488,2,127,,36,13,39,15,55,10,199,12,1,5,0,0,9,6,2,2,60,99,,,,,,690,55,43,788,1257
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0489,1,16,,6,3,5,1,1,2,19,1,0,0,0,0,1,0,0,0,7,5,,,,,,67,2,2,71,103
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0490,1,25,,18,2,8,1,15,1,36,0,0,0,0,0,0,0,0,0,5,8,,,,,,119,5,3,127,187
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0491,4,222,,211,205,90,34,170,22,328,10,1,2,0,0,7,1,0,0,52,77,,,,,,1432,23,71,1526,2552
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0492,1,36,,16,5,9,2,18,0,52,1,0,5,0,1,1,0,0,2,9,21,,,,,,178,16,10,204,303
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0493,1,55,,42,9,24,1,28,6,70,4,0,0,0,0,6,0,0,2,17,47,,,,,,311,11,10,332,517
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0494,2,28,,39,6,37,9,26,6,146,7,0,0,0,0,12,5,0,5,32,27,,,,,,385,80,34,499,846
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0495,2,64,,48,44,6,2,27,6,148,1,0,1,2,1,4,1,0,3,10,44,,,,,,412,49,29,490,802
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0496,1,71,,75,25,17,5,32,3,117,3,1,1,1,0,1,0,0,0,18,22,,,,,,392,15,26,433,606
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0497,2,60,,33,16,7,1,27,4,52,1,5,0,0,0,1,0,0,0,12,12,,,,,,231,82,12,325,447
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0498,2,40,,27,16,13,1,5,6,48,1,0,2,0,1,3,2,1,1,30,19,,,,,,216,30,15,261,322
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0499,2,107,,70,7,7,5,98,14,73,1,1,0,0,0,4,2,0,2,103,48,,,,,,542,32,36,610,882
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0500,1,6,,20,4,8,2,12,8,50,3,0,0,0,0,0,0,0,0,20,55,,,,,,188,141,12,341,465
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0501,2,120,,143,27,52,10,46,10,337,13,0,0,1,1,6,9,0,1,30,61,,,,,,867,82,49,998,1358
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0502,1,59,,25,4,7,7,24,3,42,4,0,1,0,0,4,0,1,1,3,9,,,,,,194,22,32,248,326
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0503,1,23,,8,2,5,2,4,1,19,3,0,0,0,0,4,0,0,0,10,5,,,,,,86,9,4,99,139
,29,TLAXCALA,02,TLAXCO DE MORELOS,034,TLAXCO,0504,1,12,,9,5,5,1,15,0,36,1,0,0,0,0,0,0,0,0,8,38,,,,,,130,14,9,153,212
,29,TLAXCALA,03,SAN COSME XALOSTOC,009,CUAXOMULCO,0117,2,181,141,,11,34,44,,18,306,28,3,2,0,0,4,4,0,4,,,70,,,,,850,0,51,901,1314
,29,TLAXCALA,03,SAN COSME XALOSTOC,009,CUAXOMULCO,0118,2,69,195,,12,33,20,,30,242,4,4,1,1,0,5,1,0,1,,,61,,,,,679,0,28,707,1031
,29,TLAXCALA,03,SAN COSME XALOSTOC,009,CUAXOMULCO,0119,1,31,74,,16,50,17,,13,138,8,0,0,0,0,2,0,0,0,,,42,,,,,391,0,19,410,585
,29,TLAXCALA,03,SAN COSME XALOSTOC,009,CUAXOMULCO,0120,1,8,46,,0,3,4,,1,61,2,0,0,0,0,0,1,0,0,,,42,,,,,168,0,8,176,244
,29,TLAXCALA,03,SAN COSME XALOSTOC,009,CUAXOMULCO,0121,2,135,214,,16,41,14,,61,243,8,2,2,0,0,9,3,1,3,,,38,,,,,790,2,27,819,1216
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0398,4,60,445,,17,175,157,,20,518,32,0,1,1,0,31,13,1,2,,,51,,,,,1524,1,65,1590,2352
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0399,3,47,356,,9,125,55,,28,321,17,0,0,0,0,21,4,1,3,,,45,,,,,1032,0,45,1077,1524
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0403,2,55,196,,14,51,134,,10,127,17,0,1,1,0,4,2,2,4,,,35,,,,,653,0,35,688,1165
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0404,4,102,403,,19,133,184,,15,325,31,1,2,3,1,10,7,5,6,,,152,,,,,1399,1,90,1490,2406
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0405,1,17,56,,0,0,16,,0,65,0,0,0,0,0,0,0,0,0,,,23,,,,,177,0,11,188,252
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0406,1,18,85,,7,39,23,,1,113,9,0,0,0,0,0,6,0,0,,,13,,,,,314,0,17,331,449
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0407,1,37,92,,6,61,64,,3,146,9,0,0,0,0,9,3,0,0,,,10,,,,,440,0,24,464,673
,29,TLAXCALA,03,SAN COSME XALOSTOC,030,TERRENATE,0408,2,32,484,,4,50,45,,6,201,9,1,1,0,0,11,4,1,2,,,12,,,,,863,0,33,896,1258
,29,TLAXCALA,03,SAN COSME XALOSTOC,035,TOCATLAN,0505,4,84,351,,35,114,233,,19,528,19,1,0,0,0,16,8,0,4,,,93,,,,,1505,1,54,1560,2395
,29,TLAXCALA,03,SAN COSME XALOSTOC,035,TOCATLAN,0506,2,38,204,,24,87,59,,5,271,9,0,1,0,0,7,9,0,4,,,46,,,,,764,0,27,791,1419
,29,TLAXCALA,03,SAN COSME XALOSTOC,035,TOCATLAN,0507,1,13,90,,7,38,70,,1,155,5,1,0,0,0,3,2,0,0,,,17,,,,,402,0,12,414,625
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0527,6,195,619,,51,215,120,,56,810,62,1,2,1,0,35,15,5,9,,,167,,,,,2363,4,115,2482,4048
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0528,6,173,644,,37,192,104,,44,739,53,2,2,0,0,25,12,1,22,,,84,,,,,2134,3,86,2223,3515
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0529,2,40,253,,13,121,83,,10,305,17,1,0,0,0,18,5,2,0,,,66,,,,,934,0,39,973,1450
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0530,2,37,235,,17,42,73,,9,138,8,0,0,0,0,4,4,0,3,,,54,,,,,624,0,47,671,1134
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0536,1,22,160,,7,25,27,,8,126,4,1,0,0,0,8,1,2,0,,,36,,,,,427,1,21,449,685
,29,TLAXCALA,03,SAN COSME XALOSTOC,038,TZOMPANTEPEC,0537,1,15,62,,4,4,16,,9,25,6,0,0,0,0,0,1,0,0,,,16,,,,,158,1,18,177,246
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0538,3,76,300,,45,61,239,,17,490,30,0,0,0,2,11,10,0,1,,,73,,,,,1355,1,38,1394,2192
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0539,3,50,313,,28,78,463,,12,435,16,0,0,0,0,9,6,1,3,,,73,,,,,1487,0,39,1526,2074
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0540,5,68,379,,39,81,740,,18,543,19,1,2,0,0,23,11,2,6,,,88,,,,,2020,1,59,2080,3194
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0541,4,53,354,,29,87,480,,17,501,13,0,0,0,1,10,3,1,1,,,83,,,,,1633,0,40,1673,2733
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0542,4,37,162,,22,59,634,,13,330,23,1,1,1,2,10,10,0,2,,,144,,,,,1451,0,41,1492,2414
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0543,3,26,200,,28,52,500,,8,421,16,0,0,0,0,5,7,1,3,,,99,,,,,1366,0,49,1415,2062
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0544,1,44,108,,0,0,90,,0,134,0,0,0,0,0,0,0,0,0,,,26,,,,,402,0,22,424,600
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0545,1,17,65,,11,22,84,,1,105,2,1,0,0,0,0,1,0,2,,,32,,,,,343,0,15,358,566
,29,TLAXCALA,03,SAN COSME XALOSTOC,039,XALOZTOC,0546,1,6,117,,11,18,166,,1,135,5,0,0,0,0,0,0,0,2,,,17,,,,,478,0,13,491,733
,29,TLAXCALA,03,SAN COSME XALOSTOC,050,SAN JOSE TEACALCO,0531,2,46,150,,12,43,52,,20,335,24,2,0,2,0,11,6,0,6,,,103,,,,,812,0,25,837,1168
,29,TLAXCALA,03,SAN COSME XALOSTOC,050,SAN JOSE TEACALCO,0532,1,23,137,,9,24,37,,15,169,8,0,1,1,0,6,4,0,1,,,62,,,,,497,0,17,514,741
,29,TLAXCALA,03,SAN COSME XALOSTOC,050,SAN JOSE TEACALCO,0533,1,28,144,,8,21,21,,18,171,6,2,1,0,0,6,4,1,2,,,45,,,,,478,0,9,487,616
