CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,535,2,108,54,25,83,2,5,74,27,19,1,7,0,0,0,405,9,414,823
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,536,2,139,85,56,75,9,4,100,46,15,1,11,0,0,0,541,19,560,1237
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,537,1,66,31,25,46,5,2,51,18,3,2,0,0,0,0,249,11,260,506
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,538,2,86,59,34,48,5,4,84,12,18,0,4,0,0,0,354,5,359,782
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,539,1,74,41,23,46,3,4,58,13,10,0,4,0,0,0,276,19,295,720
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,540,1,41,43,20,110,3,2,30,16,8,1,12,0,0,0,286,8,294,528
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,541,1,58,47,33,81,4,6,38,30,7,4,13,0,0,0,321,11,332,692
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,542,2,52,54,29,81,4,5,69,53,13,2,8,0,1,4,371,15,390,786
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,543,1,89,65,17,122,4,2,54,47,7,1,12,0,0,0,420,13,433,740
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,544,2,73,72,20,115,9,6,56,37,13,2,8,1,0,0,412,17,429,868
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,545,1,63,58,29,94,0,3,54,30,15,5,11,1,0,0,363,14,377,695
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,546,2,85,54,38,116,7,16,80,29,10,10,6,1,0,0,452,9,461,825
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,547,2,79,63,47,90,3,15,77,29,11,3,15,0,0,0,432,19,451,852
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,548,2,115,99,46,153,6,10,79,52,19,2,18,0,0,1,599,18,618,1212
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,549,1,85,42,26,113,8,6,49,27,16,10,2,0,0,0,384,10,394,727
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,550,1,54,51,37,112,4,9,62,32,5,3,4,0,0,1,373,11,385,674
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,551,2,82,66,46,143,8,7,67,42,11,6,15,0,0,1,493,13,507,949
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,552,1,66,84,23,98,5,3,44,21,10,5,12,0,0,0,371,11,382,689
1,23,QUINTANA ROO,3,CANCÚN,1,BENITO JUÁREZ,553,2,86,66,24,111,5,11,75,48,5,4,12,0,0,0,447,21,468,832
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,554,1,78,54,22,73,4,2,57,43,13,1,9,0,0,1,356,13,370,692
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,555,1,42,44,19,84,2,4,35,15,8,5,7,0,0,0,265,3,268,524
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,556,2,88,85,33,165,11,1,60,22,9,5,23,0,0,0,502,16,518,903
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,557,1,50,62,31,65,1,8,41,31,13,1,12,0,0,0,315,12,327,635
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,558,2,76,80,29,124,7,8,53,20,9,2,24,0,0,0,432,25,457,882
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,559,2,90,101,42,103,7,5,62,24,19,6,12,1,0,1,472,14,487,1036
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,560,1,66,50,38,108,5,2,37,19,9,1,6,0,0,0,341,20,361,674
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,561,2,74,38,43,86,9,4,61,36,11,4,6,0,0,0,372,12,384,773
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,562,2,67,79,35,87,4,4,65,30,5,2,15,1,1,0,395,10,405,788
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,563,2,75,68,23,86,6,7,61,23,11,5,15,0,0,0,380,18,398,871
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,564,2,68,85,45,82,8,4,66,27,10,8,17,0,0,2,420,15,437,906
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,565,2,67,84,39,71,3,5,70,25,12,3,19,1,0,0,399,3,402,780
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,566,2,85,91,26,90,3,3,59,21,11,3,4,0,0,0,396,12,408,760
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,567,1,69,63,34,70,2,7,68,75,11,1,12,0,0,0,412,10,422,727
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,568,2,72,102,42,72,7,7,77,36,13,0,8,1,0,2,437,18,457,936
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,569,2,62,72,41,149,8,5,54,17,10,6,13,0,1,0,438,16,454,856
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,570,2,36,50,33,28,3,3,77,22,68,91,0,0,0,0,411,5,416,892
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,571,2,132,142,32,100,6,9,89,35,12,6,22,0,0,0,585,31,616,1249
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,572,1,57,60,22,67,6,5,37,31,6,0,10,0,0,0,301,10,311,649
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,573,2,82,74,22,141,8,1,66,17,11,7,14,0,0,0,443,16,459,849
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,574,1,36,65,25,76,6,1,30,15,4,3,15,0,0,0,276,14,290,522
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,575,2,75,99,16,111,0,6,62,20,10,13,19,0,0,1,431,16,448,868
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,576,1,62,80,15,119,4,3,54,27,5,4,11,0,0,0,384,9,393,699
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,577,1,78,48,25,125,2,2,45,12,2,2,19,0,0,0,360,16,376,677
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,578,34,1557,1555,544,1146,256,114,1443,576,169,50,124,1,4,23,7539,216,7778,23766
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,579,2,76,66,21,98,6,1,59,25,9,0,6,0,0,1,367,7,375,754
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,580,1,31,32,16,86,8,6,39,10,4,2,8,0,0,0,242,9,251,537
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,581,1,29,31,6,77,0,0,34,6,3,1,4,0,0,0,191,3,194,359
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,582,1,26,44,13,79,7,2,34,9,4,1,5,0,0,0,224,5,229,406
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,583,1,18,13,22,41,4,1,22,4,6,0,0,0,0,1,131,5,137,227
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,584,1,15,18,1,43,0,0,10,4,5,0,2,0,0,0,98,0,98,157
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,585,2,71,76,28,135,5,6,63,23,11,5,8,0,0,0,431,13,444,924
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,586,1,27,19,10,57,3,0,17,5,3,3,4,0,0,0,148,1,149,269
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,587,1,27,27,15,57,1,1,23,10,3,1,3,0,0,0,168,5,173,306
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,588,1,10,24,6,40,2,2,17,7,5,1,1,1,0,0,116,1,117,237
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,589,1,35,32,17,41,3,6,38,16,2,2,5,0,0,0,197,9,206,445
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,590,1,29,23,15,55,0,1,24,16,5,2,3,0,0,0,173,3,176,359
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,591,8,368,461,135,513,26,20,336,155,49,24,60,4,1,1,2152,69,2222,5280
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,592,2,108,87,29,153,4,4,92,23,9,5,13,0,0,0,527,6,533,1101
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,593,1,34,29,12,71,3,0,30,7,0,3,10,0,0,0,199,5,204,440
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,594,1,71,41,22,80,4,0,56,17,16,3,3,0,0,1,313,11,325,652
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,595,1,83,78,18,78,6,2,71,13,6,1,3,0,0,0,359,9,368,712
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,596,1,69,50,15,62,3,1,58,11,5,1,5,0,0,0,280,4,284,563
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,597,1,42,27,7,34,4,2,37,11,5,0,2,1,0,0,172,5,177,335
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,598,2,107,98,22,121,8,9,50,18,15,2,8,0,1,0,459,5,464,792
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,599,1,65,48,17,109,2,2,39,17,3,1,9,0,0,1,312,13,326,651
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,600,1,15,25,7,33,3,0,12,2,2,0,3,0,0,0,102,2,104,238
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,601,1,69,54,15,39,5,2,57,17,3,0,8,1,0,3,270,4,277,571
