muni,NOMBRE,seccion,PAN,PRI,PRD,PT,PVEM,CD,PCD,PSN,PARM,PAS,DS,No Reg.,Nulos,Total
9,AMECAMECA,201,250,251,299,26,6,0,3,0,1,2,0,0,18,856
9,AMECAMECA,202,161,216,303,28,12,0,5,0,3,0,4,0,48,780
9,AMECAMECA,203,137,128,165,20,10,0,0,0,0,0,0,0,8,468
9,AMECAMECA,204,179,152,281,10,3,0,1,0,4,1,4,0,22,657
9,AMECAMECA,205,134,169,296,5,23,0,2,2,0,0,6,0,16,653
9,AMECAMECA,206,170,158,277,11,8,1,1,1,1,0,2,0,56,686
9,AMECAMECA,207,270,221,363,17,17,0,6,2,0,1,0,0,20,917
9,AMECAMECA,208,216,259,373,21,45,2,8,3,6,3,6,0,8,950
9,AMECAMECA,209,199,219,288,22,4,1,3,0,2,1,1,0,32,772
9,AMECAMECA,210,260,195,301,28,7,1,5,1,1,1,3,0,28,831
9,AMECAMECA,211,279,197,291,14,11,2,2,0,2,0,4,0,18,820
9,AMECAMECA,212,280,304,507,2,8,0,2,0,5,0,4,0,22,1134
9,AMECAMECA,213,105,265,321,13,19,1,0,1,2,0,3,0,34,764
9,AMECAMECA,214,129,200,222,5,6,0,4,1,1,3,2,2,19,594
9,AMECAMECA,215,97,287,567,16,9,5,1,0,2,2,4,0,94,1084
9,AMECAMECA,216,159,307,166,4,7,0,1,0,2,0,1,0,23,670
9,AMECAMECA,217,66,273,365,10,7,0,5,0,1,1,0,0,20,748
9,AMECAMECA,218,46,211,370,8,5,1,1,1,2,0,1,0,25,671
10,APAXCO,219,490,222,75,1,279,0,0,0,0,0,0,0,29,1096
10,APAXCO,220,590,205,76,6,415,0,0,0,0,0,0,0,27,1319
10,APAXCO,221,659,159,79,4,222,0,0,0,0,0,2,0,13,1138
10,APAXCO,222,661,255,58,2,356,0,0,0,0,0,0,2,31,1365
10,APAXCO,223,466,156,26,1,73,0,0,0,0,0,0,0,23,745
10,APAXCO,224,454,229,57,2,249,0,0,0,0,0,1,1,13,1006
10,APAXCO,225,137,74,10,0,99,0,0,0,0,0,0,0,5,325
10,APAXCO,226,65,226,49,3,125,0,0,0,0,0,0,1,9,478
10,APAXCO,227,111,71,12,0,104,0,0,0,0,0,0,0,4,302
10,APAXCO,228,24,58,8,1,18,0,0,0,0,0,0,0,2,111
10,APAXCO,229,35,30,2,0,12,0,0,0,0,0,0,0,1,80
10,APAXCO,230,130,87,17,0,132,0,0,0,0,0,0,0,10,376
10,APAXCO,231,170,384,19,0,117,0,0,0,0,0,0,0,7,697
10,APAXCO,232,117,414,18,0,83,0,0,0,0,0,0,0,17,649
11,ATENCO,233,261,696,177,5,8,279,0,0,4,71,0,3,31,1535
11,ATENCO,234,254,391,180,28,13,226,0,0,12,97,0,1,31,1233
11,ATENCO,235,132,607,107,11,3,149,0,0,21,39,0,1,17,1087
11,ATENCO,236,129,514,86,15,9,265,0,0,2,85,0,3,19,1127
11,ATENCO,237,250,319,191,32,19,255,0,0,11,68,0,0,33,1178
11,ATENCO,238,135,170,130,30,10,18,0,0,3,9,0,6,12,523
11,ATENCO,239,58,119,106,34,1,25,0,0,2,25,0,1,10,381
11,ATENCO,240,335,266,373,97,3,20,0,0,1,36,0,2,24,1157
11,ATENCO,241,204,124,273,54,4,10,0,0,0,22,0,1,15,707
11,ATENCO,242,254,440,163,31,7,66,0,0,6,289,0,6,29,1291
11,ATENCO,243,236,389,101,35,5,73,0,0,3,233,0,5,32,1112
11,ATENCO,244,91,166,100,5,4,39,0,0,5,83,0,3,18,514
11,ATENCO,245,154,267,162,9,4,76,0,0,5,83,0,3,17,780
11,ATENCO,246,23,51,42,6,0,29,0,0,2,35,0,1,4,193
12,ATIZAPAN,247,181,346,226,3,3,0,0,0,0,0,0,0,17,776
12,ATIZAPAN,248,337,443,239,9,5,0,0,0,0,0,0,0,35,1068
12,ATIZAPAN,249,341,409,161,9,9,0,0,0,0,0,0,3,22,954
13,ATIZAPAN DE ZARAGOZA,250,460,351,150,10,10,4,11,1,4,1,32,0,9,1043
13,ATIZAPAN DE ZARAGOZA,251,402,295,91,7,11,6,6,0,8,1,20,0,16,863
13,ATIZAPAN DE ZARAGOZA,252,483,449,120,22,22,16,15,0,4,2,34,0,20,1187
13,ATIZAPAN DE ZARAGOZA,253,422,356,117,11,17,8,13,0,8,0,27,0,18,997
13,ATIZAPAN DE ZARAGOZA,254,375,300,76,4,11,2,9,0,2,2,21,0,11,813
13,ATIZAPAN DE ZARAGOZA,255,593,436,113,15,17,3,10,1,5,1,44,0,16,1254
13,ATIZAPAN DE ZARAGOZA,256,839,541,132,8,21,1,22,0,5,3,47,0,20,1639
13,ATIZAPAN DE ZARAGOZA,257,502,477,207,10,18,0,12,1,2,9,29,0,30,1297
13,ATIZAPAN DE ZARAGOZA,258,988,484,239,12,26,3,20,0,4,4,34,0,32,1846
13,ATIZAPAN DE ZARAGOZA,259,479,168,134,3,31,0,9,0,0,1,14,0,8,847
13,ATIZAPAN DE ZARAGOZA,260,532,65,50,0,10,2,3,0,2,6,22,0,3,695
13,ATIZAPAN DE ZARAGOZA,261,785,362,213,14,13,70,12,2,4,1,43,0,38,1557
13,ATIZAPAN DE ZARAGOZA,262,790,570,310,22,23,25,19,1,13,2,48,1,37,1861
13,ATIZAPAN DE ZARAGOZA,263,744,329,205,20,32,5,9,0,2,1,52,1,35,1435
13,ATIZAPAN DE ZARAGOZA,264,497,159,139,3,16,4,6,0,1,0,20,0,11,856
13,ATIZAPAN DE ZARAGOZA,265,626,136,90,12,23,2,6,0,2,0,30,0,2,929
13,ATIZAPAN DE ZARAGOZA,266,366,57,58,15,14,1,3,0,1,0,13,0,2,530
13,ATIZAPAN DE ZARAGOZA,267,523,95,89,0,11,4,7,0,2,0,26,0,6,763
13,ATIZAPAN DE ZARAGOZA,268,423,187,77,4,21,1,5,0,1,1,31,0,7,758
13,ATIZAPAN DE ZARAGOZA,269,260,68,32,6,8,0,2,0,0,0,10,0,2,388
13,ATIZAPAN DE ZARAGOZA,270,697,232,155,2,11,1,8,0,2,2,35,0,10,1155
13,ATIZAPAN DE ZARAGOZA,271,632,319,176,20,14,0,15,1,2,3,31,0,46,1259
13,ATIZAPAN DE ZARAGOZA,272,1265,931,350,23,30,13,20,0,5,3,80,0,69,2789
13,ATIZAPAN DE ZARAGOZA,273,346,285,135,9,13,27,3,0,0,3,23,2,24,870
13,ATIZAPAN DE ZARAGOZA,274,338,271,100,9,16,2,4,0,3,12,18,0,0,773
13,ATIZAPAN DE ZARAGOZA,275,521,369,131,6,13,9,3,0,6,4,10,1,16,1089
13,ATIZAPAN DE ZARAGOZA,276,886,480,213,12,28,4,11,3,3,2,50,5,26,1723
13,ATIZAPAN DE ZARAGOZA,277,418,305,87,13,13,0,3,0,7,2,25,0,11,884
13,ATIZAPAN DE ZARAGOZA,278,418,268,135,5,20,4,6,1,8,1,30,0,16,912
13,ATIZAPAN DE ZARAGOZA,279,621,143,39,1,16,2,3,0,1,0,31,0,4,861
13,ATIZAPAN DE ZARAGOZA,280,872,175,41,1,18,0,11,1,0,0,21,0,6,1146
13,ATIZAPAN DE ZARAGOZA,281,1241,248,59,6,41,2,17,1,0,1,43,1,10,1670
13,ATIZAPAN DE ZARAGOZA,282,737,447,124,12,24,3,6,0,6,1,48,0,49,1457
13,ATIZAPAN DE ZARAGOZA,283,654,500,105,7,18,13,16,1,0,1,36,0,18,1369
13,ATIZAPAN DE ZARAGOZA,284,295,191,70,1,10,0,4,0,6,0,16,0,7,600
13,ATIZAPAN DE ZARAGOZA,285,249,90,32,0,4,0,4,0,0,0,11,0,1,391
13,ATIZAPAN DE ZARAGOZA,286,254,130,36,2,5,2,2,1,1,0,18,0,4,455
13,ATIZAPAN DE ZARAGOZA,287,410,390,147,8,9,11,5,0,2,1,48,285,17,1333
13,ATIZAPAN DE ZARAGOZA,288,285,225,114,8,10,25,4,1,3,1,25,0,10,711
13,ATIZAPAN DE ZARAGOZA,289,739,369,139,15,21,2,7,0,4,1,50,0,24,1371
13,ATIZAPAN DE ZARAGOZA,290,707,302,223,15,30,5,15,2,1,2,56,0,17,1375
13,ATIZAPAN DE ZARAGOZA,291,247,59,48,4,5,0,2,0,0,0,12,0,3,380
13,ATIZAPAN DE ZARAGOZA,292,680,112,78,20,14,2,4,0,1,3,29,0,3,946
13,ATIZAPAN DE ZARAGOZA,293,302,64,50,8,4,0,4,0,1,1,12,0,2,448
13,ATIZAPAN DE ZARAGOZA,294,324,228,200,14,12,3,11,0,4,0,20,6,250,1072
13,ATIZAPAN DE ZARAGOZA,295,597,548,254,12,11,3,9,2,3,1,59,0,52,1551
13,ATIZAPAN DE ZARAGOZA,296,463,340,167,6,15,2,7,0,2,0,23,0,12,1037
13,ATIZAPAN DE ZARAGOZA,297,699,380,150,17,22,3,10,1,5,5,58,0,22,1372
13,ATIZAPAN DE ZARAGOZA,298,676,288,149,7,19,1,12,0,4,2,50,0,17,1225
13,ATIZAPAN DE ZARAGOZA,299,613,290,121,9,13,3,4,13,1,0,21,0,15,1103
13,ATIZAPAN DE ZARAGOZA,300,621,299,137,9,14,3,15,1,4,1,30,0,11,1145
13,ATIZAPAN DE ZARAGOZA,301,441,387,106,14,17,25,11,0,6,1,140,0,22,1170
13,ATIZAPAN DE ZARAGOZA,302,429,366,105,4,31,17,5,1,2,1,71,0,26,1058
13,ATIZAPAN DE ZARAGOZA,303,306,191,58,3,5,1,2,0,1,1,25,0,5,598
13,ATIZAPAN DE ZARAGOZA,304,154,96,38,1,10,0,5,0,1,0,5,0,2,312
13,ATIZAPAN DE ZARAGOZA,305,179,94,28,1,5,0,1,0,3,0,5,0,1,317
13,ATIZAPAN DE ZARAGOZA,306,481,329,69,6,15,1,8,1,4,2,18,0,12,946
13,ATIZAPAN DE ZARAGOZA,307,645,466,116,12,18,2,12,1,7,2,28,0,22,1331
13,ATIZAPAN DE ZARAGOZA,308,447,221,54,3,8,0,4,0,1,1,23,0,13,775
13,ATIZAPAN DE ZARAGOZA,309,380,185,53,2,7,1,7,1,1,2,15,0,6,660
13,ATIZAPAN DE ZARAGOZA,310,658,404,116,1,16,2,8,0,6,0,55,44,14,1324
13,ATIZAPAN DE ZARAGOZA,311,446,155,81,5,16,0,5,0,3,1,32,0,12,756
13,ATIZAPAN DE ZARAGOZA,312,807,745,247,23,14,4,13,0,3,0,95,0,37,1988
