CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,B,1,0,B,20,179,3,13,12,137,20,110,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,0,3,501,677,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/28B_A_02_015815.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,C,1,0,C01,10,187,2,4,4,119,24,114,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,0,9,476,676,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/28C1_A_02_022539.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,1,0,C01,32,145,9,5,4,152,20,142,2,5,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,0,8,526,673,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/29C1_A_04_203940.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,B,1,0,B,11,165,4,8,5,134,27,152,2,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,0,5,515,673,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/29B_A_04_130522.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,2,0,C02,9,138,3,9,4,165,27,128,3,1,,2,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,6,499,672,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/29C2_A_04_235013.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,B,1,0,B,15,124,2,7,5,100,8,70,4,2,,,,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,0,2,343,455,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/30B_A_02_003603.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,C,1,0,C01,18,73,1,3,6,120,10,77,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,7,318,454,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/30C1_A_02_034614.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,B,1,0,B,11,131,4,7,6,170,12,91,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,0,11,444,651,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/31B_A_04_203909.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,1,0,C01,2,142,4,12,10,140,119,132,3,2,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,0,9,577,651,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/31C1_A_02_003520.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,2,0,C02,11,133,3,8,4,155,13,109,1,2,0,2,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,18,462,651,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/31C2_A_02_043122.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,3,0,C03,14,130,5,5,4,143,17,120,4,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,6,452,650,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/31C3_A_04_222946.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,32,B,1,0,B,,77,2,9,4,100,1,32,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,7,239,292,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/32B_A_02_015622.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,C,1,0,C01,6,193,4,13,4,118,9,65,4,4,0,1,3,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,1,14,441,649,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/33C1_A_02_042107.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,33,B,1,0,B,2,212,5,9,6,111,8,80,2,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,0,10,446,649,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/33B_A_04_132310.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,B,1,0,B,5,162,3,10,3,154,8,95,2,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,14,458,671,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/34B_A_02_063358.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,C,1,0,C01,13,137,6,7,6,150,11,114,1,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0,18,466,671,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/34C1_A_02_063345.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,C,2,0,C02,17,124,5,8,3,144,26,117,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,0,22,469,671,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/34C2_A_02_063334.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,35,B,1,0,B,13,79,6,8,12,208,6,167,4,3,0,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,0,14,523,674,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/35B_A_04_231533.jpg
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,35,C,1,0,C01,10,99,3,11,5,177,6,147,2,0,1,1,1,5,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,0,14,485,674,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/35C1_A_02_063323.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,B,1,0,B,22,103,38,34,2,20,113,87,2,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,0,5,428,632,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/40B_A_01_233024.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,1,0,C01,16,100,42,24,10,19,108,73,1,2,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,1,6,405,631,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/40C1_A_04_142125.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,2,0,C02,10,100,45,19,5,28,104,78,1,6,0,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,0,15,416,631,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/40C2_A_04_233145.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,3,0,C03,9,110,35,29,4,14,123,72,3,2,0,1,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0,1,405,631,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/40C3_A_01_231931.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,41,B,1,0,B,16,121,29,18,2,18,98,57,0,7,3,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0,15,385,537,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/41B_A_04_233020.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,41,C,1,0,C01,12,103,52,12,3,13,127,44,0,3,1,1,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,0,12,386,537,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/41C1_A_02_034214.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,41,C,2,0,C02,21,110,27,23,2,25,104,37,0,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,0,10,363,537,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/41C2_A_02_034051.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,42,B,1,0,B,21,141,79,22,8,24,136,61,2,6,0,4,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507,0,17,524,746,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/42B_A_02_034254.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,42,C,1,0,C01,30,113,85,35,2,35,123,64,1,6,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,0,14,510,746,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/42C1_A_02_033948.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,42,C,2,0,C02,27,123,53,36,4,32,129,89,1,8,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0,8,512,746,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/42C2_A_02_034035.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,B,1,0,B,24,74,46,25,9,22,132,70,3,4,0,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,0,10,424,629,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/43B_A_02_033901.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,C,1,0,C01,17,108,42,29,3,20,118,82,1,3,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,0,12,439,629,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/43C1_A_02_034329.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,C,2,0,C02,29,93,36,26,6,21,151,80,1,2,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,0,7,456,629,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/43C2_A_01_230043.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,C,3,0,C03,20,73,42,12,1,17,119,87,1,0,6,3,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0,0,384,629,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/43C3_A_02_000609.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,44,B,1,0,B,27,53,25,11,2,21,119,35,0,8,2,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,0,23,330,515,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/44B_A_02_034107.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,45,B,1,0,B,11,48,38,3,2,13,75,27,0,5,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,0,18,244,352,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/45B_A_02_034123.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,46,B,1,0,B,10,74,41,18,3,12,134,16,1,0,3,0,1,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,11,328,457,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/46B_A_02_034233.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,47,B,1,0,B,18,90,47,45,1,21,70,37,0,6,1,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,0,15,356,501,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/47B_A_02_111142.jpg
1,14,JALISCO,1,TEQUILA,5,AMATITAN,47,C,1,0,C01,30,77,70,34,5,23,100,40,1,1,0,1,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,0,6,391,500,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/47C1_A_02_034310.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,94,C,1,0,C01,51,55,,20,0,120,24,94,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0,18,382,571,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/94C1_A_01_235322.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,94,B,1,0,B,57,67,,29,2,128,10,88,1,,,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0,6,390,572,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/94B_A_04_102220.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,94,C,2,0,C02,66,65,,31,5,108,17,78,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0,3,373,571,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/94C2_A_02_004847.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,95,C,1,0,C01,27,45,,24,6,137,19,67,1,,,,,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0,3,333,503,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/95C1_A_02_015353.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,95,C,2,0,C02,49,54,,15,6,102,21,67,0,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,0,13,329,503,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/95C2_A_02_013519.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,95,B,1,0,B,46,49,,16,3,112,34,40,0,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,0,3,304,503,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/95B_A_02_010544.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,96,B,1,0,B,50,86,,13,5,115,20,69,0,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,0,6,365,567,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/96B_A_01_215712.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,96,C,1,0,C01,37,77,,13,5,114,42,75,0,,,,,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,0,13,379,567,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/96C1_A_02_030606.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,97,C,1,0,C01,51,36,,6,12,47,1,98,3,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,0,4,261,386,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/97C1_A_02_032901.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,97,B,1,0,B,55,35,,4,6,76,2,69,2,,,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,0,7,258,386,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/97B_A_02_034339.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,98,B,1,0,B,73,86,,28,1,134,12,52,2,,,,,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,0,11,404,652,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/98B_A_04_110255.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,99,B,1,0,B,11,49,,9,2,83,5,35,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,0,5,199,251,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/99B_A_02_014041.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,100,B,1,0,B,48,122,,10,1,99,1,118,4,,,,,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,0,3,410,548,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/100B_A_04_093009.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,101,C,1,0,C01,32,46,,21,3,92,8,20,0,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,5,228,398,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/101C1_A_02_011905.jpg
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,101,B,1,0,B,38,19,,29,5,98,,33,0,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,0,8,231,399,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/101B_A_02_011609.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,139,B,1,0,B,115,50,,17,2,122,80,12,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,0,11,410,602,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/139B_A_02_025006.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,139,C,1,0,C01,98,56,,9,1,117,105,14,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0,11,411,602,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/139C1_A_02_021845.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,139,C,3,0,C03,96,51,,7,2,139,113,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,,,419,602,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/139C3_A_02_023754.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,139,C,2,0,C02,95,48,,5,7,150,86,12,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,0,6,410,602,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/139C2_A_02_023127.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,139,C,4,0,C04,127,47,,4,3,106,98,9,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,394,602,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/139C4_A_02_030612.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,140,C,1,0,C01,108,69,,13,2,146,102,14,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0,11,467,645,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/140C1_A_01_221505.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,140,C,2,0,C02,99,72,,7,3,106,89,18,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0,12,406,645,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/140C2_A_01_225958.jpg
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,140,C,3,0,C03,117,68,,5,2,135,105,15,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,0,8,457,645,Acta casilla,,,http://imgsrv.iepcjalisco.org.mx/imagenes_sisco/140C3_A_01_231940.jpg
