ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,11,51,1163,8310,395,642,241,3766,328,2224,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17227,,137,4609,33413,
14,JALISCO,47,IXTLAHUACAN DEL RIO,11,26,530,3341,,343,233,4036,210,489,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9220,,3,11501,15159,
14,JALISCO,48,JALOSTOTITLAN,22,45,4177,3874,73,,97,4120,349,426,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13291,17,490,17734,24185,
14,JALISCO,49,JAMAY,12,31,2810,5857,85,1107,85,327,41,773,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11120,2,356,9578,18745,
14,JALISCO,50,JESUS MARIA,14,26,4391,503,,237,94,3414,,94,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8826,4,249,13544,16340,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,10,16,1091,1081,1090,24,,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376,3,299,11422,6460,
14,JALISCO,52,JOCOTEPEC,18,55,1126,4776,166,1770,159,6444,645,2964,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18152,1,327,9154,33165,
14,JALISCO,53,JUANACATLAN,7,21,2197,1657,20,827,74,2778,58,753,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8415,1,89,4466,12853,
14,JALISCO,54,JUCHITLAN,6,10,1491,766,125,585,9,239,,93,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314,7,595,18754,5064,
14,JALISCO,18,LA BARCA,36,93,1292,5955,295,1131,681,5380,5432,5569,1191,,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,,,,,,,27440,3,239,8657,54321,
14,JALISCO,45,LA HUERTA,18,32,516,4428,203,45,108,5071,,1075,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11498,1,77,3392,18148,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,7,128,101,28,1551,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426,36,2025,67615,3265,
14,JALISCO,55,LAGOS DE MORENO,72,212,9984,14095,983,776,589,30420,432,6307,334,,,,,,,,,,,,,747,,,,,,,,,,,,,,887,,,,,,,,,,,,65554,,96,3155,120622,
14,JALISCO,57,MAGDALENA,10,25,1775,3294,179,,104,525,127,1343,75,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,,,,8934,15,231,9180,15218,
14,JALISCO,60,MASCOTA,13,23,830,2303,,37,153,2374,90,1262,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7169,,,1393,11035,
14,JALISCO,61,MAZAMITLA,9,20,84,2069,,3236,47,1453,111,285,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7302,,57,2483,10515,
14,JALISCO,62,MEXTICACAN,7,10,817,658,,,34,536,35,577,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666,187,2,7358,4872,
14,JALISCO,63,MEZQUITIC,7,18,3582,2270,,,,703,33,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6749,,369,7671,10018,
14,JALISCO,64,MIXTLAN,4,7,,1004,,,,1009,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,84,2750,3136,
14,JALISCO,65,OCOTLAN,42,124,8224,4562,563,524,759,16098,1125,9111,408,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42063,1,291,7041,76185,
14,JALISCO,66,OJUELOS DE JALISCO,15,38,678,1854,1119,1525,159,5605,,1805,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843,,35,2343,22271,
14,JALISCO,67,PIHUAMO,12,21,82,344,26,2144,117,401,,2615,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817,12,1153,43228,8988,
14,JALISCO,68,PONCITLAN,20,60,1908,5289,1721,530,472,5737,,3638,266,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,19934,7,516,13366,36552,
14,JALISCO,69,PUERTO VALLARTA,78,331,5427,8215,1022,1720,1866,49269,2105,27818,1178,1333,,,,,,,,,,,,,,,,,1622,,,,1303,,,,,,,,,,,,,,,846,437,104161,4,252,6073,212485,
14,JALISCO,71,QUITUPAN,12,18,458,2015,166,,37,1885,,55,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,1,741,20676,8485,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,705,153,,104,8,273, ,78,2,,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,81,3310,107552,2907,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,7,12,1648,1282,10,381,9,78,3,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485,1,260,6429,5208,
14,JALISCO,24,SAN GABRIEL,10,20,633,2937,1576,59,119,1349,,1048,58, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7779,2,167,4789,11960,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,23,1428,2856,107,,48,2561,180,152,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7361,11,1519,62503,14426,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,34,87,1914,2683,1913,7228,1097,1914,8032,1097,1097, ,,,,,,,,,,,,,,,,795,,,,,,,,,,,,,,,,,,,,,,27770,,81,1991,51379,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,691,891,,268,70,1565,227,1013,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747,5,121,3611,7377,
14,JALISCO,76,SAN JULIAN,9,21,2172,1830,,44,40,3661,44,242,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8041,33,864,28667,12704,
14,JALISCO,77,SAN MARCOS,2,5,83,511,62,,31,1031,292,210,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229,3,225,8269,2978,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,5,7,453,606,,,7,648,,47,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767,,65,2294,2598,
14,JALISCO,79,SAN MARTIN HIDALGO,17,41,374,4573,182,73,313,5103,,1778,120,,,,,,,,,,,,,,,,,,,,,,,,1364,,,,,,,,,,,,,,,13880,,53,1820,24014,
14,JALISCO,80,SAN MIGUEL EL ALTO,17,43,4775,1813,162,1768,318,535,2644,833,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14102,7,408,14295,24743,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,199,737,22408,48381,2617,9019,5884,59302,4107,59985,4814, ,,,7517,,,,,,,17511,,,,6172,,,,,,,,,,,,,,,,,,,,,,,,247717,2,478,14582,472765,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,13,16,20,1310,40,1175,15,808,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,1,100,3509,4628,
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,1105,878,24,,5,160,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,1,59,2263,3276,
14,JALISCO,58,SANTA MARIA DEL ORO,4,5,325,630,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,329,446,16144,2012,
14,JALISCO,83,SAYULA,18,43,569,2709,1378,161,316,1473,335,1877,402,,,,,,,,,,,,,,6149,,,,,,,,,,,,,,,,,,,,,,,,,15369,27,690,30504,26405,
14,JALISCO,84,TALA,31,88,1134,8700,539,1452,609,9576,729,5777,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,,,,,29787,,183,8006,52877,
14,JALISCO,85,TALPA DE ALLENDE,10,21,1791,4143,128,, ,1761,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7823,19,811,19144,11206,
14,JALISCO,86,TAMAZULA DE GORDIANO,35,65,1339,3624,3616,5101,226,1062,1147,2113,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18314,,302,10540,34083,
14,JALISCO,87,TAPALPA,9,25,455,2397,2382,2882,407,949,467,284,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10238,2,279,8416,13919,
14,JALISCO,88,TECALITLAN,16,26,467,2595,603,,87,3462,,886,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8135,1,331,9284,12901,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,55,12,30,856,10,1173,,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,,71,2262,3112,
14,JALISCO,89,TECOLOTLAN,13,26,1281,3718,,81,40,3593,,228,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8952,2,146,4193,13432,
14,JALISCO,91,TENAMAXTLAN,6,13,1996,1721,35,,16,90,24,156,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045,5,756,16030,6266,
14,JALISCO,92,TEOCALTICHE,23,52,5424,4911,214,291,241,635,706,2749,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15269,,165,6142,30433,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,18,3641,1361,37,574,33,185,,138,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5977,37,2074,62405,9438,
14,JALISCO,94,TEPATITLAN DE MORELOS,54,183,19344,4491,293,7071,454,19742,1154,2559,379,,,,,,,,4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60294,5,601,17160,115678,
14,JALISCO,95,TEQUILA,22,55,3090,2796,754,1682,249,989,1008,2540,114,,,,,,,,,,,,,,,,,,,,,,,,,,3332,,,,,,,,,,,,,16554,,116,5560,30803,
14,JALISCO,96,TEUCHITLAN,6,13,37,461,21,757,107,1781,360,1892,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444,2,353,9102,7847,
14,JALISCO,97,TIZAPAN EL ALTO,14,31,1737,5394,,162,180,505,31,713,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8747,250,4354,175000,16686,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,129,518,13347,10379,3087,3532,3134,83223,2272,41358,2992,,,,,,,,,,,,,,,,,,,,,7072,,,,,,,,,,,,,,,,,,170396,525,7478,255720,332408,
14,JALISCO,100,TOLIMAN,7,15,179,2924,98,,,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351,7,109,5467,7671,
14,JALISCO,101,TOMATLAN,17,46,346,3295,2294,669,201,5623,,1741,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14294,112,1079,15485,25466,
14,JALISCO,102,TONALA,81,497,13437,31280,1516,6423,5155,50146,7324,39928,3319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4327,,,,,,,,,,162855,32,3605,166492,333899,
14,JALISCO,103,TONAYA,5,9,,1637,1461,,6,332,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513,,99,3612,5195,
14,JALISCO,104,TONILA,7,12,417,1004,,915,42,1306,297,369,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,,117,4477,5758,
14,JALISCO,105,TOTATICHE,6,9,1178,846,,,14,499,,104,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,,70,2717,3954,
14,JALISCO,106,TOTOTLAN,14,32,949,2848,145,622,71,5477,157,296,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10580,11,310,10901,18009,
14,JALISCO,107,TUXCACUESCO,5,8,942,1354,75,,11,190,,116,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,111,2806,3862,
14,JALISCO,108,TUXCUECA,4,10,879,1363,87,15,16,1013,76,141,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3593,,106,3699,5327,
14,JALISCO,109,TUXPAN,23,48,392,1865,181,,331,2673,4931,2005,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,,,,16186,,556,16742,27191,
14,JALISCO,110,UNION DE SAN ANTONIO,10,24,6725,1999,41,35,49,144,,219,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9255,,268,9523,13778,
14,JALISCO,111,UNION DE TULA,12,21,299,2686,77,30,31,3301,33,366,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833,,265,7098,11588,
14,JALISCO,112,VALLE DE GUADALUPE,7,12,2139,799,,23,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,2,83,3628,5972,
14,JALISCO,113,VALLE DE JUAREZ,5,11,2014,1516,,33,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585,,92,3767,5449,
14,JALISCO,114,VILLA CORONA,10,25,360,596,269,800,306,1407,1547,492,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374,,,,,,8189,18,256,8463,14823,
14,JALISCO,115,VILLA GUERRERO,8,11,1766,1154,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233,,67,3300,4537,
14,JALISCO,116,VILLA HIDALGO,8,26,2541,463,123,,,413,3061,693,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7345,208,476,8029,15092,
14,JALISCO,70,VILLA PURIFICACION,9,18,1413,1456,,,53,2752,,472,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168,1,120,2287,9983,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,38,4185,4669,35,67,117,1374,,1073,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11568,3,481,12052,19506,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,311,4830,86,2128,196,3376,173,2582,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13769,3,405,14177,23029,
14,JALISCO,120,ZAPOPAN,447,1588,92244,65599,6574,16871,10428,257048,8779,109625,11023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578191,431,16901,595523,1018948,
14,JALISCO,121,ZAPOTILTIC,21,43,3436,2172,,1248,164,2891,187,2494,95,,,,,,,,,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14901,2,411,15314,24251,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,11,819,839,180,601,30,896,,87,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,1,126,3592,4986,
14,JALISCO,123,ZAPOTLAN DEL REY,13,27,703,871,389,3411,153,571,,2190,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8413,16,295,8724,14284,
14,JALISCO,23,ZAPOTLAN EL GRANDE,51,135,3513,4493,,703,979,18431,459,13923,580,,,6440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49521,5,1078,26924,84693,
14,JALISCO,124,ZAPOTLANEJO,32,86,1708,4659,293,918,377,13555,,4119,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25841,3,273,7637,52119,
