"Cabecera distrital","Casilla","CI 1","CI 10","CI 11","CI 12","CI 2","CI 3","CI 4","CI 5","CI 6","CI 7","CI 8","Cve. Municipio","Distrito","FXM","Lista Nominal","MC","MORENA","municipality","Municipio","No registrados","Nulos","PAN","PAN-PRD","PAN-PRI","PAN-PRI-PRD","PES","PRD","PRI","PRI-PRD","PT","PT-MORENA","PVEM","Recuento","RSP","Sección","source_file"
"Tacámbaro","B1","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","23","544","3","16","ACUITZIO","Acuitzio","0","8","44",NA,NA,NA,NA,"39","25","2","71","1","2","1",NA,"4","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","12","544","3","17","ACUITZIO","Acuitzio","0","4","36",NA,NA,NA,NA,"34","45","3","80","5","3","1",NA,"4","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","23","650","2","15","ACUITZIO","Acuitzio","0","14","67",NA,NA,NA,NA,"51","13","8","82","5","0","1",NA,"5","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","C1","92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","16","650","4","14","ACUITZIO","Acuitzio","0","18","69",NA,NA,NA,NA,"39","13","4","84","5","1","1",NA,"5","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","7","496","0","4","ACUITZIO","Acuitzio","0","14","46",NA,NA,NA,NA,"25","13","2","69","2","5","1",NA,"6","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","13","636","2","9","ACUITZIO","Acuitzio","0","13","37",NA,NA,NA,NA,"53","27","10","33","2","2","1",NA,"7","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","5","396","4","7","ACUITZIO","Acuitzio","0","6","49",NA,NA,NA,NA,"22","11","2","31","4","1","1",NA,"8","Ayuntamiento_Acuitzio.xlsx"
"Tacámbaro","B1","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","19","14","277","1","18","ACUITZIO","Acuitzio","0","10","50",NA,NA,NA,NA,"16","11","1","14","0","2","1",NA,"9","Ayuntamiento_Acuitzio.xlsx"
NA,NA,"1338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total Acumulado(18) - Suma de votos en casillas","235",NA,"76","227","ACUITZIO",NA,"0","203","899",NA,NA,NA,NA,"671","387","71","1081","56","26",NA,NA,NA,"Ayuntamiento_Acuitzio.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"717","11","66","AGUILILLA","Aguililla","0","8",NA,NA,NA,NA,"6",NA,"46",NA,"13","8","85","0",NA,"11","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"717","14","82","AGUILILLA","Aguililla","0","8",NA,NA,NA,NA,"3",NA,"45",NA,"22","15","93","0",NA,"11","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"716","3","61","AGUILILLA","Aguililla","0","4",NA,NA,NA,NA,"2",NA,"45",NA,"11","21","102","0",NA,"11","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"758","13","72","AGUILILLA","Aguililla","0","8",NA,NA,NA,NA,"2",NA,"46",NA,"15","4","103","0",NA,"12","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"758","13","71","AGUILILLA","Aguililla","1","9",NA,NA,NA,NA,"4",NA,"53",NA,"14","6","122","0",NA,"12","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"677","14","62","AGUILILLA","Aguililla","0","1",NA,NA,NA,NA,"4",NA,"54",NA,"9","12","99","0",NA,"13","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"677","5","90","AGUILILLA","Aguililla","0","7",NA,NA,NA,NA,"4",NA,"33",NA,"6","9","101","0",NA,"13","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"676","8","70","AGUILILLA","Aguililla","0","8",NA,NA,NA,NA,"2",NA,"37",NA,"9","7","106","0",NA,"13","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"582","9","51","AGUILILLA","Aguililla","0","9",NA,NA,NA,NA,"2",NA,"54",NA,"10","7","99","0",NA,"14","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"581","5","44","AGUILILLA","Aguililla","0","8",NA,NA,NA,NA,"2",NA,"58",NA,"9","8","85","0",NA,"14","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"581","9","48","AGUILILLA","Aguililla","0","6",NA,NA,NA,NA,"1",NA,"59",NA,"8","8","98","2",NA,"14","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"500","12","63","AGUILILLA","Aguililla","0","4",NA,NA,NA,NA,"1",NA,"52",NA,"8","7","53","0",NA,"15","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"738","6","42","AGUILILLA","Aguililla","0","6",NA,NA,NA,NA,"1",NA,"17",NA,"3","3","35","0",NA,"16","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"737","5","57","AGUILILLA","Aguililla","0","6",NA,NA,NA,NA,"1",NA,"18",NA,"3","3","30","0",NA,"16","Ayuntamiento_Aguililla.xlsx"
"Colacomán","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"737","15","49","AGUILILLA","Aguililla","0","2",NA,NA,NA,NA,"1",NA,"20",NA,"2","3","25","0",NA,"16","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"507","30","33","AGUILILLA","Aguililla","0","5",NA,NA,NA,NA,"3",NA,"28",NA,"0","0","52","0",NA,"17","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"670","4","60","AGUILILLA","Aguililla","0","7",NA,NA,NA,NA,"5",NA,"24",NA,"9","7","96","0",NA,"18","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"481","5","29","AGUILILLA","Aguililla","0","6",NA,NA,NA,NA,"0",NA,"35",NA,"4","0","200","0",NA,"19","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"207","1","17","AGUILILLA","Aguililla","0","4",NA,NA,NA,NA,"3",NA,"9",NA,"3","0","35","0",NA,"20","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"212","0","17","AGUILILLA","Aguililla","0","3",NA,NA,NA,NA,"0",NA,"24",NA,"1","3","22","0",NA,"22","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"180","2","7","AGUILILLA","Aguililla","0","2",NA,NA,NA,NA,"0",NA,"7",NA,"2","0","20","0",NA,"23","Ayuntamiento_Aguililla.xlsx"
"Colacomán","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","21",NA,"144","0","22","AGUILILLA","Aguililla","0","1",NA,NA,NA,NA,"1",NA,"6",NA,"2","0","8","0",NA,"25","Ayuntamiento_Aguililla.xlsx"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total Acumulado(22) - Suma de votos en casillas",NA,NA,"184","1113","AGUILILLA",NA,"1","122",NA,NA,NA,NA,"48",NA,"770",NA,"163","131","1669",NA,NA,NA,"Ayuntamiento_Aguililla.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","52","588",NA,"3","ALVARO OBREGON","Alvaro Obregon","0","9","2","1",NA,NA,"147","20","103",NA,"1","1","3","0","1","26","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","71","587",NA,"19","ALVARO OBREGON","Alvaro Obregon","0","9","3","0",NA,NA,"118","12","114",NA,"4","0","5","1","0","26","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","62","587",NA,"11","ALVARO OBREGON","Alvaro Obregon","0","6","5","0",NA,NA,"147","15","103",NA,"2","0","1","0","0","26","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","S1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","7","1040",NA,"8","ALVARO OBREGON","Alvaro Obregon","0","1","0","0",NA,NA,"16","4","15",NA,"1","0","2","0","0","26","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","75","678",NA,"7","ALVARO OBREGON","Alvaro Obregon","0","8","0","0",NA,NA,"150","8","125",NA,"5","1","8","0","1","27","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","79","678",NA,"7","ALVARO OBREGON","Alvaro Obregon","0","24","2","0",NA,NA,"131","6","118",NA,"8","1","4","1","5","27","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","69","678",NA,"15","ALVARO OBREGON","Alvaro Obregon","0","9","1","0",NA,NA,"134","6","139",NA,"12","1","5","1","1","27","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","93","757",NA,"14","ALVARO OBREGON","Alvaro Obregon","0","6","2","3",NA,NA,"204","8","125",NA,"1","0","4","0","0","28","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","65","757",NA,"69","ALVARO OBREGON","Alvaro Obregon","0","16","55","0",NA,NA,"131","13","81",NA,"29","2","22","0","1","28","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","83","757",NA,"8","ALVARO OBREGON","Alvaro Obregon","0","15","1","0",NA,NA,"207","10","160",NA,"7","0","3","1","0","28","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","54","561",NA,"14","ALVARO OBREGON","Alvaro Obregon","0","2","1","0",NA,NA,"157","3","88",NA,"4","2","10","0","1","29","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","56","561",NA,"13","ALVARO OBREGON","Alvaro Obregon","0","14","3","0",NA,NA,"117","11","98",NA,"2","0","6","0","1","29","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","43","561",NA,"11","ALVARO OBREGON","Alvaro Obregon","0","8","1","1",NA,NA,"139","21","79",NA,"14","0","7","0","1","30","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","47","561",NA,"5","ALVARO OBREGON","Alvaro Obregon","0","8","0","0",NA,NA,"147","17","86",NA,"9","2","5","0","3","30","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","50","761",NA,"54","ALVARO OBREGON","Alvaro Obregon","1","15","2","1",NA,NA,"96","20","163",NA,"62","11","4","0","1","31","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","40","761",NA,"47","ALVARO OBREGON","Alvaro Obregon","0","9","2","0",NA,NA,"128","25","158",NA,"75","5","4","0","3","31","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","68","678",NA,"9","ALVARO OBREGON","Alvaro Obregon","0","13","3","0",NA,NA,"138","30","112",NA,"7","2","8","0","1","32","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","94","677",NA,"18","ALVARO OBREGON","Alvaro Obregon","0","8","3","0",NA,NA,"134","15","140",NA,"9","0","2","1","2","32","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","84","677",NA,"12","ALVARO OBREGON","Alvaro Obregon","0","13","3","1",NA,NA,"152","21","129",NA,"6","1","3","0","0","32","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","100","661",NA,"26","ALVARO OBREGON","Alvaro Obregon","0","9","5","0",NA,NA,"62","12","182",NA,"8","3","3","0","1","33","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","93","661",NA,"10","ALVARO OBREGON","Alvaro Obregon","0","14","3","0",NA,NA,"57","26","148",NA,"5","3","2","0","2","33","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","59","636",NA,"15","ALVARO OBREGON","Alvaro Obregon","0","10","0","0",NA,NA,"143","13","102",NA,"21","0","1","0","0","34","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","40","635",NA,"31","ALVARO OBREGON","Alvaro Obregon","0","15","1","2",NA,NA,"164","12","97",NA,"15","0","3","0","1","34","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","31","682",NA,"23","ALVARO OBREGON","Alvaro Obregon","0","5","3","2",NA,NA,"195","40","79",NA,"11","2","3","0","3","35","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","19","682",NA,"26","ALVARO OBREGON","Alvaro Obregon","0","13","4","3",NA,NA,"171","48","102",NA,"12","2","2","0","4","35","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","29","755",NA,"22","ALVARO OBREGON","Alvaro Obregon","1","10","3","1",NA,NA,"184","18","137",NA,"16","4","3","0","0","36","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","59","754",NA,"39","ALVARO OBREGON","Alvaro Obregon","0","13","3","0",NA,NA,"145","12","121",NA,"9","2","8","1","3","36","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","39","434",NA,"9","ALVARO OBREGON","Alvaro Obregon","0","2","2","1",NA,NA,"59","1","114",NA,"4","1","1","0","0","37","Ayuntamiento_Alvaro_Obregon.xlsx"
"Tarímbaro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8","32","433",NA,"15","ALVARO OBREGON","Alvaro Obregon","0","2","1","0",NA,NA,"78","7","84",NA,"10","1","1","0","2","37","Ayuntamiento_Alvaro_Obregon.xlsx"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total Acumulado(29) - Suma de votos en casillas","1693",NA,NA,"560","ALVARO OBREGON",NA,"2","286","114","16",NA,NA,"3851","454","3302",NA,"369","47","133",NA,"38",NA,"Ayuntamiento_Alvaro_Obregon.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","103","481",NA,"44","ANGAMACUTIRO","Angamacutiro","0","6","0","3",NA,NA,"18","62","53",NA,"1","0","0","0",NA,"38","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","91","481",NA,"63","ANGAMACUTIRO","Angamacutiro","0","5","1","0",NA,NA,"11","61","74",NA,"3","0","0","0",NA,"38","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","76","470",NA,"68","ANGAMACUTIRO","Angamacutiro","0","4","0","1",NA,NA,"2","43","103",NA,"3","2","0","0",NA,"39","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","65","469",NA,"63","ANGAMACUTIRO","Angamacutiro","0","7","1","1",NA,NA,"9","55","101",NA,"1","0","2","0",NA,"39","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","177","762",NA,"103","ANGAMACUTIRO","Angamacutiro","0","10","2","1",NA,NA,"10","66","91",NA,"1","3","2","0",NA,"40","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","156","761",NA,"81","ANGAMACUTIRO","Angamacutiro","0","10","12","0",NA,NA,"8","89","102",NA,"1","1","0","0",NA,"40","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","153","720",NA,"106","ANGAMACUTIRO","Angamacutiro","0","8","0","2",NA,NA,"17","49","62",NA,"3","2","0","0",NA,"41","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","143","720",NA,"89","ANGAMACUTIRO","Angamacutiro","0","5","2","1",NA,NA,"17","82","54",NA,"4","0","1","0",NA,"41","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","73","416",NA,"59","ANGAMACUTIRO","Angamacutiro","0","5","2","1",NA,NA,"12","22","26",NA,"2","0","3","0",NA,"42","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","71","415",NA,"58","ANGAMACUTIRO","Angamacutiro","0","5","2","0",NA,NA,"8","17","25",NA,"2","0","2","0",NA,"42","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","113","483",NA,"73","ANGAMACUTIRO","Angamacutiro","0","3","2","0",NA,NA,"3","18","30",NA,"2","1","0","0",NA,"43","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","93","483",NA,"95","ANGAMACUTIRO","Angamacutiro","0","2","1","0",NA,NA,"8","17","25",NA,"6","0","0","0",NA,"43","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","133","420",NA,"63","ANGAMACUTIRO","Angamacutiro","0","7","1","0",NA,NA,"6","20","20",NA,"3","0","1","0",NA,"44","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","133","419",NA,"55","ANGAMACUTIRO","Angamacutiro","0","7","0","0",NA,NA,"8","37","18",NA,"4","4","2","0",NA,"44","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","121","613",NA,"104","ANGAMACUTIRO","Angamacutiro","0","6","0","0",NA,NA,"11","58","35",NA,"3","1","1","0",NA,"45","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","103","612",NA,"112","ANGAMACUTIRO","Angamacutiro","0","12","0","0",NA,NA,"15","53","55",NA,"1","1","3","1",NA,"45","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","125","612",NA,"95","ANGAMACUTIRO","Angamacutiro","0","5","0","2",NA,NA,"8","43","26",NA,"2","1","1","0",NA,"45","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","121","612",NA,"98","ANGAMACUTIRO","Angamacutiro","0","2","0","0",NA,NA,"7","45","42",NA,"4","1","0","0",NA,"45","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","139","756",NA,"154","ANGAMACUTIRO","Angamacutiro","0","7","1","3",NA,NA,"3","132","95",NA,"7","0","2","0",NA,"46","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","176","559",NA,"63","ANGAMACUTIRO","Angamacutiro","0","7","1","0",NA,NA,"38","18","25",NA,"5","0","2","0",NA,"48","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","115","479",NA,"73","ANGAMACUTIRO","Angamacutiro","1","3","0","0",NA,NA,"6","29","53",NA,"1","0","5","0",NA,"49","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","113","428",NA,"57","ANGAMACUTIRO","Angamacutiro","0","2","0","0",NA,NA,"5","15","53",NA,"0","0","1","0",NA,"50","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","92","428",NA,"52","ANGAMACUTIRO","Angamacutiro","0","3","0","1",NA,NA,"6","25","50",NA,"0","0","1","0",NA,"50","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","118","540",NA,"57","ANGAMACUTIRO","Angamacutiro","0","8","1","0",NA,NA,"10","26","57",NA,"4","0","2","0",NA,"51","Ayuntamiento_Angamacutiro.xlsx"
"Puruándiro","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","2","149","540",NA,"34","ANGAMACUTIRO","Angamacutiro","0","9","1","0",NA,NA,"2","22","50",NA,"2","1","1","0",NA,"51","Ayuntamiento_Angamacutiro.xlsx"
