ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,72,XOCHISTLAHUACA,15,33,3899,4999,909,265,144,2905,37,281,58,82,15,48,35,0,13677,507,14184,17393,0.8155
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,13,21,2108,1497,205,24,229,25,78,9,60,2,3,14,0,4275,290,4565,6242,0.7313
12,GUERRERO,74,ZIRANDARO,22,33,75,4095,3757,461,45,96,62,586,76,25,3,22,23,0,9326,267,9593,14509,0.6611
12,GUERRERO,75,ZITLALA,20,32,419,3726,2402,174,305,2198,165,163,39,99,657,44,30,2,10421,465,10888,15299,0.7116
12,GUERRERO,76,ACATEPEC,26,45,3196,3628,6459,64,58,117,40,94,23,8,7,15,33,4,13742,399,14145,17231,0.8209
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,17,552,1423,1519,156,27,1099,509,344,832,8,81,2,8,0,6560,418,6978,9125,0.7647
12,GUERRERO,78,ILIATENCO,6,12,46,893,1640,189,488,1194,69,163,14,1,3,13,12,4,4725,195,4924,6512,0.7561
12,GUERRERO,79,COCHOAPA EL GRANDE,16,31,22,2622,3724,1739,154,204,30,91,6,15,149,125,205,1,9086,397,9484,12983,0.7304
12,GUERRERO,80,MARQUELIA,11,19,186,854,2031,482,739,516,66,335,55,18,220,159,151,16,5812,529,6357,9199,0.691
12,GUERRERO,81,JUCHITAN,12,15,759,216,827,126,1083,527,28,160,12,6,4,46,20,0,3814,231,4045,5495,0.7361
