CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PAN_PT,PRD_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5262,3,180,322,57,19,35,25,19,48,26,36,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,777,32,809,1680
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5263,3,243,233,40,28,21,26,29,54,24,34,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,742,22,764,2239
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5264,3,313,244,66,21,32,31,24,86,40,56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918,61,979,1787
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5265,3,224,147,45,12,26,19,23,54,22,26,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,604,33,638,1779
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5307,2,229,204,39,19,22,18,7,36,25,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,641,20,662,1120
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5308,3,211,237,32,16,48,18,14,44,13,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,660,30,691,1090
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5309,5,443,663,110,57,67,87,63,100,67,105,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1781,74,1858,3516
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5310,3,271,403,67,25,53,45,28,86,22,46,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1058,32,1093,2025
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5311,3,159,315,26,20,23,21,14,44,24,22,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,676,34,710,2010
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5312,2,232,180,30,9,40,29,12,49,20,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,30,668,1080
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5313,2,284,222,52,20,41,36,21,42,24,43,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,790,35,826,1441
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5314,3,321,241,43,18,50,17,17,58,30,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,826,47,874,1567
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5315,1,184,125,21,10,32,7,11,25,8,15,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,445,28,476,734
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5316,3,350,318,83,30,93,26,30,67,40,37,8,6,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1106,61,1168,2184
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5317,6,561,680,181,56,92,65,75,130,62,80,7,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,2008,97,2105,4445
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5318,5,428,682,114,49,105,39,53,137,69,69,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,66,1831,3747
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5319,3,299,335,89,32,44,44,29,50,33,51,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,1024,52,1082,2204
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5320,4,411,387,121,26,52,28,41,64,40,48,8,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1233,53,1287,2371
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5321,2,237,284,34,20,42,38,14,61,17,39,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,795,25,827,1472
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5322,3,232,305,62,25,43,30,32,76,30,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,878,39,919,1643
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5323,6,482,628,124,62,81,63,63,123,61,102,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1810,76,1894,3982
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5324,3,218,380,50,42,26,42,41,77,28,49,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,975,44,1023,2129
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5325,3,217,323,47,13,34,44,32,57,26,39,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,845,45,891,1710
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5326,4,265,466,60,27,34,49,26,73,34,55,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1096,38,1147,2328
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5327,2,158,322,47,15,15,41,27,69,31,38,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,774,28,803,1460
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5328,2,203,188,18,12,27,17,16,48,29,36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,596,28,627,987
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5329,4,352,458,95,46,43,35,20,99,46,65,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1270,59,1332,2346
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5330,6,441,678,192,85,133,47,50,116,64,110,10,2,7,0,0,0,0,0,0,0,0,0,0,0,0,8,1935,76,2019,3961
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5331,2,147,213,48,22,56,14,24,25,18,64,4,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,643,24,667,1258
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5332,2,168,222,64,26,44,20,13,25,9,44,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,642,30,673,1229
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5333,3,218,283,82,31,75,19,19,36,21,65,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,865,36,901,1614
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5334,4,315,399,115,51,107,29,40,83,36,72,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1261,56,1318,2450
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5335,7,638,658,166,99,96,88,92,136,83,115,11,1,6,2,3,0,0,0,0,0,0,0,0,0,0,8,2194,124,2326,4818
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5336,4,248,461,77,54,73,38,37,77,30,48,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1153,53,1209,2565
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5337,5,267,533,134,68,65,48,50,96,35,40,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1357,62,1420,3156
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5338,3,194,315,71,36,40,28,18,50,17,43,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,819,30,850,1793
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5339,4,230,413,71,41,44,34,37,88,43,52,7,1,10,1,0,0,0,0,0,0,0,0,0,0,0,6,1072,52,1130,2329
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5340,2,238,159,66,15,28,25,21,62,26,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,45,735,1424
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5341,3,291,212,109,39,59,54,33,74,49,56,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,992,40,1036,1900
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5342,3,292,302,73,36,50,27,17,70,33,45,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,961,50,1013,2065
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5343,4,378,381,70,33,53,27,52,115,48,67,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,64,1308,2767
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5344,2,169,230,55,25,32,22,16,42,36,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,673,23,697,1338
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5345,5,573,545,117,38,64,73,67,119,57,89,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,1758,81,1840,3729
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5346,4,642,351,82,31,49,49,30,84,44,72,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1447,62,1513,2760
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5347,3,330,391,56,30,37,29,35,72,25,67,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1083,68,1153,2195
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5348,4,408,421,92,35,65,30,25,103,24,65,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1278,52,1331,2659
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5349,8,660,831,170,105,89,69,85,148,91,124,15,2,8,1,0,0,0,0,0,0,0,0,0,0,0,2,2398,95,2495,5738
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5350,8,724,938,190,92,110,72,78,183,89,142,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2634,103,2740,5935
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5351,5,496,525,120,24,59,50,38,93,37,57,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1510,42,1553,3158
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5352,2,94,136,29,8,17,22,26,52,14,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,426,13,440,761
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5353,2,151,199,47,8,21,30,31,73,12,23,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,606,38,644,1170
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5419,3,251,377,61,25,38,18,29,43,22,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,895,29,925,1723
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5420,3,221,291,50,25,33,16,20,58,21,42,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,785,37,823,1549
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5421,3,242,320,59,33,35,18,23,44,36,42,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,862,30,893,1603
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5422,3,296,480,91,33,85,31,43,50,40,73,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,65,1296,2181
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5423,4,231,508,135,55,67,18,34,72,35,49,8,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1220,46,1266,2512
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5424,3,162,315,80,36,57,6,26,48,20,37,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,793,46,839,1573
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5425,5,599,623,125,29,94,35,45,60,45,75,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1744,71,1816,3140
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5426,2,112,202,114,10,30,4,11,13,10,29,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,540,17,557,1183
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5427,1,22,113,64,7,12,3,5,4,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242,8,250,440
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5428,3,214,298,201,22,43,11,32,43,15,27,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,918,33,951,2230
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5429,2,145,167,99,20,19,13,26,50,19,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,31,618,1468
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5430,3,202,306,120,26,33,16,16,56,26,44,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,28,882,2029
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5431,4,262,309,196,29,55,22,39,95,13,51,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1080,41,1122,2866
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5432,3,144,212,134,15,27,16,15,43,12,23,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,646,24,672,1541
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5433,5,352,332,282,24,56,33,33,66,22,48,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,53,1310,3337
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5434,5,403,528,98,31,53,48,69,80,41,77,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1440,70,1511,3018
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5435,3,273,307,76,24,39,34,41,77,36,45,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,963,45,1010,1843
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5436,4,327,439,104,36,48,34,71,58,39,78,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1244,46,1292,2633
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5437,5,417,532,118,36,63,24,43,106,37,44,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1432,60,1492,3466
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5438,5,320,451,156,38,54,18,38,86,21,50,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1243,43,1287,3131
5,15,MEXICO,1,TOLUCA,107,TOLUCA,5440,10,596,1240,261,98,103,67,98,180,72,116,13,3,13,2,2,0,0,0,0,0,0,0,0,0,0,1,2864,102,2967,6868
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5169,3,216,371,66,39,53,30,42,59,21,29,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,951,39,993,2028
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5170,3,186,292,55,17,65,23,26,34,23,30,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,757,31,790,2242
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5171,2,228,347,54,19,21,30,29,45,16,30,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,827,23,850,1468
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5172,2,87,218,22,12,20,5,15,21,19,26,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,451,30,482,912
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5173,2,148,338,47,16,18,39,19,33,21,44,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,37,768,1480
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5174,4,464,322,77,25,55,30,34,60,35,42,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1155,41,1198,1771
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5175,3,277,256,69,27,36,42,19,65,31,43,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,878,23,902,1593
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5176,3,379,365,63,20,38,38,21,70,25,60,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1086,43,1132,1898
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5177,3,377,342,81,23,36,32,33,84,38,49,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,57,1161,2029
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5178,3,514,291,53,20,29,37,19,92,35,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1174,61,1239,2205
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5179,3,341,309,70,23,32,38,20,69,37,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,996,33,1030,1828
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5180,2,282,232,49,16,40,31,10,53,20,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,767,29,800,1413
5,15,MEXICO,2,TOLUCA,107,TOLUCA,5181,2,200,197,34,13,53,27,16,36,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614,30,645,1098
