ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,UDC,PAN_UDC_MC,PAN_UDC,PAN_MC,UDC_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,11,GENERAL CEPEDA,16,20,4047,2002,95,43,54,15,24,317,13,9,18,9,6,1,30,20,9,0,15,3,1,6,,,,,,,,,,,6737,1,142,6880,9144,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/GENERAL%20CEPEDA.pdf
5,COAHUILA,12,GUERRERO,5,5,697,579,,1,3,2,25,26,0,1,4,2,3,0,8,6,0,0,1,0,0,0,,,,,,,,,,,1358,0,33,1391,1780,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/GUERRERO.pdf
5,COAHUILA,13,HIDALGO,2,3,,402,,,4,0,47,,,387,,,,,6,6,12,1,,,,,,,,,,,,,,,865,0,11,876,1109,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/HIDALGO.pdf
5,COAHUILA,14,JIMENEZ,10,16,463,2525,,308,77,91,27,347,6,736,51,72,7,22,31,47,5,2,8,14,2,3,,,,,,,,,,,4844,0,167,5011,8129,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/JIMENEZ.pdf
5,COAHUILA,15,JUAREZ,4,4,,410,592,2,4,,2,8,0,,,,,,5,1,1,0,0,0,0,1,,,,,,,,,,,1026,0,23,1049,1334,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/JUAREZ.pdf
5,COAHUILA,16,LAMADRID,2,3,599,612,0,3,1,18,1,49,1,23,5,6,5,0,3,2,2,0,1,0,0,1,,,,,,,,,,,1332,0,28,1360,1568,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/LAMADRID.pdf
5,COAHUILA,17,MATAMOROS,62,137,3280,19770,472,1814,773,395,908,23678,1016,156,12,4,13,4,119,82,29,19,396,161,33,202,,,,,,,,,,,53336,4,901,54241,80559,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/MATAMOROS.pdf
5,COAHUILA,18,MONCLOVA,124,290,38514,29787,4012,1271,670,520,614,11317,316,307,230,111,69,30,280,152,61,8,156,118,11,103,11407,0,5713,907,,,,,,,106684,5,2195,108884,169719,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/MONCLOVA.pdf
5,COAHUILA,19,MORELOS,6,12,1303,2389,54,206,10,35,52,156,23,42,13,4,7,0,24,15,14,1,13,16,0,3,,,,,,,,,,,4380,1,127,4508,6652,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/MORELOS.pdf
5,COAHUILA,20,MUZQUIZ,48,93,3470,12012,478,637,306,1323,343,2940,149,7104,171,142,27,167,85,91,45,8,38,24,1,20,,,,,699,,,,,,30280,6,882,31168,53018,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/MUZQUIZ.pdf
5,COAHUILA,21,NADADORES,8,12,1111,1287,,72,3,40,25,1015,9,13,7,3,5,7,12,11,3,10,9,17,1,3,,,,,,,,,,,3663,0,59,3722,5008,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/NADADORES.pdf
5,COAHUILA,22,NAVA,16,39,4683,5215,,124,300,153,137,1156,70,236,54,29,15,12,64,81,22,2,21,13,1,17,,,,,,342,,,,,12747,12,325,13084,21637,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/NAVA.pdf
5,COAHUILA,23,OCAMPO,13,20,227,2186,,77,16,61,27,1908,26,6,6,0,8,0,25,15,4,0,35,4,0,12,,,,,,,,,,,4643,0,94,4737,7337,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/OCAMPO.pdf
5,COAHUILA,24,PARRAS,34,67,720,4360,1353,2238,2832,146,537,6038,528,72,16,2,8,4,226,210,39,34,227,125,23,105,,,,,,,,,,,19843,3,639,20485,33585,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/PARRAS.pdf
5,COAHUILA,25,PIEDRAS NEGRAS,87,216,8518,20633,465,4615,622,698,633,25013,1994,1311,95,90,60,14,263,256,151,14,693,302,66,324,,,,,,,1405,,,,68235,47,1039,69321,126105,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/PIEDRAS%20NEGRAS.pdf
5,COAHUILA,26,PROGRESO,6,6,34,1696,,12,12,8,21,164,3,10,0,1,1,0,10,17,6,0,2,1,0,0,,,,,,,,,,,1998,0,46,2044,2845,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/PROGRESO.pdf
5,COAHUILA,27,RAMOS ARIZPE,35,108,12133,14680,341,783,392,266,282,5860,337,141,99,24,43,2,113,97,32,5,135,47,4,35,,,,,,,,,,,35851,5,794,36650,63919,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/RAMOS%20ARIZPE.pdf
5,COAHUILA,28,SABINAS,37,88,6026,9696,158,195,272,1278,311,1333,58,8609,299,301,48,112,80,67,18,10,24,16,2,6,,,,,,,,,,,28919,4,608,29531,49283,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SABINAS.pdf
5,COAHUILA,29,SACRAMENTO,2,4,342,716,,6,3,100,33,13,0,332,23,18,9,11,4,5,8,0,0,0,0,0,,,,,,,,,,,1623,0,32,1655,1888,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SACRAMENTO.pdf
5,COAHUILA,30,SALTILLO,377,955,63406,157871,4120,7530,7002,3216,6523,71029,3634,605,376,59,153,53,1795,1032,364,119,1685,547,1048,556,,,,,,,,,4226,6837,343786,952,6976,351714,570465,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SALTILLO.pdf
5,COAHUILA,31,SAN BUENAVENTURA,17,31,2271,4192,,350,188,217,263,3350,148,44,15,3,15,4,62,49,22,2,52,49,3,23,,,,,,,,,,,11322,0,201,11523,17812,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SAN%20BUENAVENTURA.pdf
5,COAHUILA,32,SAN JUAN DE SABINAS,33,63,12900,5507,,115,75,123,99,789,16,85,143,39,63,8,47,56,11,0,17,12,3,5,,,,,,,,594,,,20707,2,436,21145,33112,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SAN%20JUAN%20DE%20SABINAS.pdf
5,COAHUILA,33,SAN PEDRO,75,141,13547,14102,1842,1465,556,1617,729,9715,467,2809,172,141,84,67,136,114,46,13,323,146,21,102,,,,,,,,,,,48214,0,1342,49556,72759,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SAN%20PEDRO.pdf
5,COAHUILA,34,SIERRA MOJADA,5,10,866,885,,29,4,182,1,208,9,62,36,10,11,7,12,9,3,0,14,7,0,3,,,,,,,,,,,2358,0,43,2401,3840,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/SIERRA%20MOJADA.pdf
5,COAHUILA,35,TORREON,367,849,145996,86635,2669,5128,3727,3016,3179,64845,2501,1225,1127,253,357,61,645,1003,156,36,1110,458,61,384,,,,,,,,,,,324572,96,4711,329379,497356,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/TORREON.pdf
5,COAHUILA,36,VIESCA,22,31,1972,4549,250,178,66,110,110,2246,59,32,9,2,5,2,25,19,7,0,27,20,1,24,,,,,,,,,,,9713,1,319,10033,15114,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/VIESCA.pdf
5,COAHUILA,37,VILLA UNION,8,11,1308,838,148,265,10,16,17,474,,63,6,14,5,0,2,4,6,1,,,,,,,,,,,,,,,3177,0,81,3258,5131,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/VILLA%20UNION.pdf
5,COAHUILA,38,ZARAGOZA,13,22,2412,3038,137,81,25,60,29,220,10,230,57,30,20,6,29,15,10,0,9,7,0,3,,,,,,,,,,,6428,3,193,6624,10472,http://www.iec.org.mx/v1/images//procesoElectoral2018/actasComputo/ZARAGOZA.pdf
