Sección,Casilla,Dtto,Cabecera,NMpio,Municipio,PAN,PRI,PRD,PT,PVEM,PCP,No Registrados,Nulos,Total
973,Contigua,1,,1,PUEBLA,115,146,124,13,0,1,0,11,410
974,Básica,1,,1,PUEBLA,80,82,81,6,0,1,0,10,260
974,Contigua,1,,1,PUEBLA,79,103,101,0,0,0,0,0,283
975,Básica,1,,1,PUEBLA,99,172,109,8,0,4,0,17,409
976,Básica,1,,1,PUEBLA,99,161,91,4,0,5,0,0,360
976,Contigua,1,,1,PUEBLA,93,147,84,8,0,3,0,8,343
977,Básica,1,,1,PUEBLA,75,138,61,7,1,1,0,8,291
977,Contigua,1,,1,PUEBLA,103,110,63,5,0,1,0,0,282
977,Contigua2,1,,1,PUEBLA,100,116,56,13,0,1,0,0,286
978,Básica,1,,1,PUEBLA,80,118,85,3,0,0,0,0,286
978,Contigua,1,,1,PUEBLA,76,115,74,2,0,0,0,0,267
979,Básica,1,,1,PUEBLA,59,99,96,7,0,3,0,7,271
979,Contigua,1,,1,PUEBLA,63,109,99,9,0,0,0,0,280
980,Básica,1,,1,PUEBLA,63,101,94,8,0,2,0,9,277
980,Contigua,1,,1,PUEBLA,66,115,84,5,0,1,0,10,281
981,Básica,1,,1,PUEBLA,100,117,88,9,0,2,0,15,331
981,Contigua,1,,1,PUEBLA,97,114,100,10,0,0,0,12,333
982,Básica,1,,1,PUEBLA,176,115,136,4,0,2,0,0,433
982,Contigua,1,,1,PUEBLA,133,119,137,5,0,1,0,7,402
983,Básica,1,,1,PUEBLA,121,142,116,1,0,1,1,7,389
983,Contigua,1,,1,PUEBLA,127,121,129,7,0,2,0,11,397
984,Básica,1,,1,PUEBLA,71,105,79,11,0,3,0,0,269
984,Contigua,1,,1,PUEBLA,89,96,87,8,0,1,0,5,286
985,Básica,1,,1,PUEBLA,86,80,91,2,0,0,0,4,263
985,Contigua,1,,1,PUEBLA,83,66,106,5,0,1,0,6,267
995,Básica,1,,1,PUEBLA,78,87,78,6,0,0,0,0,249
995,Contigua,1,,1,PUEBLA,69,77,107,8,0,0,0,6,267
996,Básica,1,,1,PUEBLA,107,128,138,5,0,0,0,4,382
996,Contigua,1,,1,PUEBLA,143,118,122,4,0,2,0,12,401
997,Básica,1,,1,PUEBLA,133,99,133,3,0,0,0,9,377
998,Básica,1,,1,PUEBLA,105,68,94,4,1,0,0,8,280
998,Contigua,1,,1,PUEBLA,70,69,94,8,0,0,0,0,241
999,Básica,1,,1,PUEBLA,124,147,107,12,0,1,0,7,398
1000,Básica,1,,1,PUEBLA,217,103,39,4,14,3,0,3,383
1000,Contigua,1,,1,PUEBLA,148,106,123,5,0,2,0,5,389
1001,Básica,1,,1,PUEBLA,87,66,65,1,0,1,0,0,220
1001,Contigua,1,,1,PUEBLA,100,85,81,3,0,0,0,5,274
1002,Básica,1,,1,PUEBLA,103,118,138,12,0,1,0,7,379
1002,Contigua,1,,1,PUEBLA,90,126,136,12,0,0,0,9,373
1003,Básica,1,,1,PUEBLA,96,132,89,5,0,2,0,0,324
1003,Contigua,1,,1,PUEBLA,127,119,91,4,0,0,0,0,341
1004,Básica,1,,1,PUEBLA,141,127,87,17,0,2,0,11,385
1004,Contigua,1,,1,PUEBLA,158,146,74,7,0,1,0,12,398
1005,Básica,1,,1,PUEBLA,87,71,69,7,0,0,0,3,237
1005,Contigua,1,,1,PUEBLA,78,75,93,7,0,1,0,3,257
1006,Básica,1,,1,PUEBLA,88,108,69,5,0,0,0,8,278
1006,Contigua,1,,1,PUEBLA,89,95,79,6,0,1,0,6,276
1007,Básica,1,,1,PUEBLA,60,123,80,8,0,0,0,11,282
1007,Contigua,1,,1,PUEBLA,84,108,68,6,0,1,0,4,271
1008,Básica,1,,1,PUEBLA,77,107,59,3,0,3,0,14,263
1008,Contigua,1,,1,PUEBLA,77,132,58,5,0,1,0,6,279
1008,Contigua2,1,,1,PUEBLA,79,110,52,9,0,2,0,14,266
1009,Básica,1,,1,PUEBLA,99,120,91,5,0,1,0,5,321
1009,Contigua,1,,1,PUEBLA,113,100,73,4,0,0,0,12,302
1010,Básica,1,,1,PUEBLA,91,126,84,4,0,1,0,2,308
1010,Contigua,1,,1,PUEBLA,102,110,91,6,0,0,0,1,310
1010,Contigua2,1,,1,PUEBLA,112,105,91,3,0,0,0,0,311
1011,Básica,1,,1,PUEBLA,76,125,81,6,0,3,0,11,302
1011,Contigua,1,,1,PUEBLA,93,106,59,8,0,3,0,5,274
1011,Contigua2,1,,1,PUEBLA,98,129,76,7,0,1,0,0,311
1012,Básica,1,,1,PUEBLA,141,142,103,11,0,3,0,10,410
1013,Básica,1,,1,PUEBLA,222,93,142,7,0,2,0,10,476
1013,Contigua,1,,1,PUEBLA,187,129,131,7,0,3,0,8,465
1014,Básica,1,,1,PUEBLA,141,154,109,9,0,4,0,6,423
1015,Básica,1,,1,PUEBLA,71,97,86,5,0,1,0,9,269
1015,Contigua,1,,1,PUEBLA,91,94,83,6,0,5,0,4,283
1016,Básica,1,,1,PUEBLA,82,66,86,4,0,1,0,0,239
1016,Contigua,1,,1,PUEBLA,87,75,68,1,0,5,0,3,239
1017,Básica,1,,1,PUEBLA,82,80,84,4,0,0,0,0,250
1017,Contigua,1,,1,PUEBLA,79,67,87,0,0,1,0,1,235
1018,Básica,1,,1,PUEBLA,65,92,86,4,0,3,0,14,264
1018,Contigua,1,,1,PUEBLA,89,99,79,2,0,0,0,13,282
1025,Básica,1,,1,PUEBLA,1,1,0,0,0,0,0,0,2
1025,Contigua,1,,1,PUEBLA,139,127,115,10,0,1,0,14,406
1026,Básica,1,,1,PUEBLA,93,124,81,5,0,2,0,7,312
1026,Contigua,1,,1,PUEBLA,104,110,87,11,0,2,0,7,321
1027,Básica,1,,1,PUEBLA,108,88,89,4,0,2,0,0,291
1027,Contigua,1,,1,PUEBLA,100,96,81,5,0,3,0,4,289
1028,Básica,1,,1,PUEBLA,83,135,81,10,0,2,0,4,315
1028,Contigua,1,,1,PUEBLA,87,100,112,5,0,3,0,4,311
1028,Contigua2,1,,1,PUEBLA,81,101,99,7,0,2,0,5,295
1029,Básica,1,,1,PUEBLA,63,101,61,4,0,1,0,8,238
1029,Contigua,1,,1,PUEBLA,54,92,48,5,0,0,0,0,199
1030,Básica,1,,1,PUEBLA,102,102,92,7,0,2,0,0,305
1030,Contigua,1,,1,PUEBLA,121,117,73,7,0,1,0,0,319
1031,Básica,1,,1,PUEBLA,112,136,104,5,1,1,0,15,374
1031,Contigua,1,,1,PUEBLA,102,137,109,8,0,3,0,10,369
1032,Básica,1,,1,PUEBLA,104,100,104,3,0,1,0,0,312
1032,Contigua,1,,1,PUEBLA,100,105,83,1,0,0,0,4,293
1033,Básica,1,,1,PUEBLA,67,106,93,6,0,1,0,5,278
1033,Contigua,1,,1,PUEBLA,86,97,96,7,0,0,0,4,290
1034,Básica,1,,1,PUEBLA,102,108,80,6,0,0,0,4,300
1034,Contigua,1,,1,PUEBLA,91,109,87,4,0,1,0,7,299
1034,Contigua2,1,,1,PUEBLA,80,127,87,5,0,3,0,6,308
1035,Básica,1,,1,PUEBLA,114,93,115,6,0,0,0,0,328
1035,Contigua,1,,1,PUEBLA,97,125,89,12,0,2,0,8,333
1035,Contigua2,1,,1,PUEBLA,132,112,86,4,0,2,0,11,347
1043,Básica,1,,1,PUEBLA,118,130,98,2,0,1,0,2,351
1043,Contigua,1,,1,PUEBLA,81,134,97,5,0,1,0,0,318
1044,Básica,1,,1,PUEBLA,106,100,129,5,0,3,0,0,343
1044,Contigua,1,,1,PUEBLA,83,109,115,5,0,1,0,3,316
1045,Básica,1,,1,PUEBLA,89,105,70,4,0,0,0,23,291
1045,Contigua,1,,1,PUEBLA,85,122,82,4,0,0,0,10,303
1046,Básica,1,,1,PUEBLA,74,161,52,6,0,2,0,5,300
1047,Básica,1,,1,PUEBLA,70,93,147,2,0,1,0,5,318
1047,Contigua,1,,1,PUEBLA,79,108,152,3,0,2,0,6,350
1047,Contigua2,1,,1,PUEBLA,96,104,141,7,0,0,0,9,357
1048,Básica,1,,1,PUEBLA,60,83,43,4,0,0,0,4,194
1049,Básica,1,,1,PUEBLA,80,99,50,6,0,0,0,0,235
1049,Contigua,1,,1,PUEBLA,72,103,56,7,0,2,0,9,249
1049,Contigua2,1,,1,PUEBLA,85,117,59,11,0,1,0,9,282
1050,Básica,1,,1,PUEBLA,95,157,62,3,0,1,0,0,318
1050,Contigua,1,,1,PUEBLA,106,157,85,4,0,0,0,10,362
1051,Básica,1,,1,PUEBLA,77,95,123,1,0,0,0,7,303
1051,Contigua,1,,1,PUEBLA,73,127,98,2,0,1,0,4,305
1051,Contigua2,1,,1,PUEBLA,54,117,115,3,0,0,0,5,294
1052,Básica,1,,1,PUEBLA,74,115,86,7,0,1,0,8,291
1052,Contigua,1,,1,PUEBLA,81,119,92,7,0,1,0,0,300
1053,Básica,1,,1,PUEBLA,57,97,67,3,0,0,0,0,224
1053,Contigua,1,,1,PUEBLA,60,102,91,2,0,1,0,0,256
1054,Básica,1,,1,PUEBLA,95,113,103,2,0,0,0,10,323
1054,Contigua,1,,1,PUEBLA,82,139,84,4,0,1,0,9,319
1055,Básica,1,,1,PUEBLA,90,130,92,5,1,2,2,11,333
1055,Contigua,1,,1,PUEBLA,111,139,94,9,1,1,0,6,361
1055,Contigua2,1,,1,PUEBLA,91,132,120,9,0,1,0,6,359
1056,Básica,1,,1,PUEBLA,63,143,96,5,0,1,0,6,314
1056,Contigua,1,,1,PUEBLA,65,165,88,4,0,1,0,7,330
1057,Básica,1,,1,PUEBLA,50,112,72,4,0,2,0,7,247
1057,Contigua,1,,1,PUEBLA,52,127,64,3,0,1,4,7,258
1058,Básica,1,,1,PUEBLA,98,147,96,3,0,3,0,6,353
1058,Contigua,1,,1,PUEBLA,99,125,105,6,0,0,0,54,389
1058,Contigua2,1,,1,PUEBLA,54,110,62,9,0,1,0,13,249
1059,Básica,1,,1,PUEBLA,117,150,61,6,0,0,0,10,344
1059,Contigua,1,,1,PUEBLA,118,143,80,6,0,2,0,0,349
1060,Básica,1,,1,PUEBLA,135,163,39,9,0,0,0,0,346
1060,Contigua,1,,1,PUEBLA,144,165,21,8,0,1,0,15,354
1061,Básica,1,,1,PUEBLA,94,150,105,3,0,0,0,11,363
1061,Contigua,1,,1,PUEBLA,89,123,123,5,0,0,0,6,346
1062,Básica,1,,1,PUEBLA,54,121,54,7,2,1,0,16,255
1062,Contigua,1,,1,PUEBLA,79,118,55,9,0,2,0,0,263
1062,Contigua2,1,,1,PUEBLA,68,130,53,6,0,1,0,12,270
1063,Básica,1,,1,PUEBLA,77,115,97,6,0,2,0,13,310
1063,Contigua,1,,1,PUEBLA,80,125,90,3,0,4,0,14,316
1065,Básica,1,,1,PUEBLA,84,177,89,0,0,1,0,3,354
1065,Contigua,1,,1,PUEBLA,67,189,89,4,0,1,0,15,365
1065,Contigua2,1,,1,PUEBLA,57,192,96,7,0,1,0,3,356
1065,Contigua3,1,,1,PUEBLA,76,182,77,4,0,2,0,8,349
1065,Contigua4,1,,1,PUEBLA,62,195,105,8,0,2,0,6,378
1066,Básica,1,,1,PUEBLA,63,98,59,5,0,0,0,6,231
1067,Básica,1,,1,PUEBLA,82,147,67,11,0,3,0,0,310
1067,Contigua,1,,1,PUEBLA,71,135,80,6,0,1,0,0,293
1068,Básica,1,,1,PUEBLA,80,130,102,14,0,1,0,4,331
1068,Contigua,1,,1,PUEBLA,88,159,81,8,0,4,0,8,348
1069,Básica,1,,1,PUEBLA,80,110,35,8,0,0,0,0,233
1069,Contigua,1,,1,PUEBLA,79,89,38,6,0,2,0,10,224
1070,Básica,1,,1,PUEBLA,64,116,91,11,0,2,0,13,297
1070,Contigua,1,,1,PUEBLA,85,139,65,8,0,0,0,13,310
1070,Contigua2,1,,1,PUEBLA,71,166,79,6,0,1,0,12,335
1071,Básica,1,,1,PUEBLA,72,102,64,19,0,0,0,0,257
1071,Contigua,1,,1,PUEBLA,72,106,51,16,0,2,0,18,265
1072,Básica,1,,1,PUEBLA,59,105,81,4,0,0,0,0,249
1072,Contigua,1,,1,PUEBLA,66,124,91,11,0,2,0,0,294
1072,Contigua2,1,,1,PUEBLA,62,123,68,9,0,0,0,13,275
1073,Básica,1,,1,PUEBLA,53,110,70,5,0,2,0,1,241
1073,Contigua,1,,1,PUEBLA,57,122,49,6,0,1,0,7,242
1074,Básica,1,,1,PUEBLA,52,99,49,4,0,0,0,0,204
1074,Contigua,1,,1,PUEBLA,50,109,39,6,0,0,0,0,204
1075,Básica,1,,1,PUEBLA,47,127,37,3,0,1,0,9,224
1076,Básica,1,,1,PUEBLA,61,179,51,10,0,0,0,0,301
1076,Contigua,1,,1,PUEBLA,72,197,44,12,0,2,0,8,335
1077,Básica,1,,1,PUEBLA,51,105,36,5,0,2,0,11,210
1077,Contigua,1,,1,PUEBLA,42,111,26,8,0,0,0,0,187
1078,Básica,1,,1,PUEBLA,36,121,31,8,0,2,0,8,206
1078,Contigua,1,,1,PUEBLA,33,140,35,3,0,0,0,0,211
1079,Básica,1,,1,PUEBLA,93,133,50,7,0,1,0,0,284
933,Básica,2,,1,PUEBLA,83,98,80,4,0,1,0,11,277
934,Básica,2,,1,PUEBLA,71,81,87,5,0,1,0,8,253
935,Básica,2,,1,PUEBLA,89,113,107,4,0,0,0,7,320
936,Básica,2,,1,PUEBLA,79,104,81,9,0,4,0,5,282
937,Básica,2,,1,PUEBLA,55,73,56,2,0,1,0,12,199
937,Contigua,2,,1,PUEBLA,55,74,62,4,0,2,0,0,197
938,Básica,2,,1,PUEBLA,64,57,58,3,0,3,0,6,191
939,Básica,2,,1,PUEBLA,91,81,60,3,0,0,0,6,241
961,Básica,2,,1,PUEBLA,154,106,137,10,0,1,0,0,408
961,Contigua,2,,1,PUEBLA,157,123,154,6,0,3,0,10,453
962,Básica,2,,1,PUEBLA,93,118,119,4,0,2,0,6,342
962,Contigua,2,,1,PUEBLA,90,107,126,7,0,3,0,12,345
963,Básica,2,,1,PUEBLA,77,98,62,5,0,1,0,8,251
963,Contigua,2,,1,PUEBLA,87,79,62,4,0,1,0,0,233
964,Básica,2,,1,PUEBLA,120,157,143,10,0,2,0,17,449
965,Básica,2,,1,PUEBLA,105,130,135,10,0,1,0,11,392
966,Básica,2,,1,PUEBLA,50,89,53,8,0,4,0,7,211
967,Básica,2,,1,PUEBLA,79,93,91,0,0,1,0,6,270
968,Básica,2,,1,PUEBLA,69,55,50,4,0,0,0,5,183
968,Contigua,2,,1,PUEBLA,41,72,42,1,0,1,0,9,166
969,Básica,2,,1,PUEBLA,64,110,84,4,0,2,0,8,272
970,Básica,2,,1,PUEBLA,76,69,49,5,0,2,0,4,205
970,Contigua,2,,1,PUEBLA,57,74,43,2,0,0,0,14,190
971,Básica,2,,1,PUEBLA,90,85,76,3,0,0,0,15,269
972,Básica,2,,1,PUEBLA,69,98,113,7,0,0,0,10,297
972,Contigua,2,,1,PUEBLA,85,101,96,6,0,0,0,14,302
986,Básica,2,,1,PUEBLA,63,121,95,7,0,2,0,7,295
986,Contigua,2,,1,PUEBLA,58,131,98,14,0,2,0,11,314
987,Básica,2,,1,PUEBLA,95,114,88,9,0,1,0,8,315
988,Básica,2,,1,PUEBLA,89,122,74,7,0,3,0,0,295
989,Básica,2,,1,PUEBLA,75,91,66,4,0,2,0,4,242
990,Básica,2,,1,PUEBLA,70,96,64,12,0,1,0,7,250
991,Básica,2,,1,PUEBLA,77,127,79,10,0,2,0,4,299
992,Básica,2,,1,PUEBLA,80,139,97,5,0,1,0,15,337
993,Básica,2,,1,PUEBLA,78,104,78,9,0,2,0,0,271
993,Contigua,2,,1,PUEBLA,80,89,84,10,0,2,0,0,265
994,Básica,2,,1,PUEBLA,120,138,128,4,0,0,0,0,390
1019,Básica,2,,1,PUEBLA,62,99,85,5,0,1,0,12,264
1019,Contigua,2,,1,PUEBLA,70,97,79,4,0,4,0,6,260
1020,Básica,2,,1,PUEBLA,70,76,69,11,0,2,0,18,246
1020,Contigua,2,,1,PUEBLA,68,79,57,8,0,2,0,11,225
1021,Básica,2,,1,PUEBLA,107,126,101,7,0,2,0,11,354
1022,Básica,2,,1,PUEBLA,91,77,64,6,0,2,0,7,247
1022,Contigua,2,,1,PUEBLA,72,81,98,1,0,0,0,7,259
1023,Básica,2,,1,PUEBLA,77,76,52,3,0,2,0,8,218
1023,Contigua,2,,1,PUEBLA,80,82,69,2,0,0,0,3,236
1024,Básica,2,,1,PUEBLA,69,79,65,4,0,1,0,8,226
1024,Contigua,2,,1,PUEBLA,52,80,73,1,0,2,0,9,217
1036,Básica,2,,1,PUEBLA,111,126,65,3,0,2,0,10,317
1036,Contigua,2,,1,PUEBLA,125,97,89,5,0,1,0,5,322
1036,Contigua2,2,,1,PUEBLA,76,133,74,7,0,0,0,4,294
1037,Básica,2,,1,PUEBLA,83,94,76,9,0,0,0,8,270
1037,Contigua,2,,1,PUEBLA,85,91,98,5,0,0,0,0,279
1038,Básica,2,,1,PUEBLA,91,95,75,4,0,2,0,7,274
1038,Contigua,2,,1,PUEBLA,113,81,74,2,0,0,0,12,282
1039,Básica,2,,1,PUEBLA,86,118,89,5,0,2,0,8,308
1039,Contigua,2,,1,PUEBLA,82,123,101,4,0,2,0,7,319
1040,Básica,2,,1,PUEBLA,94,145,96,8,0,2,0,16,361
1041,Básica,2,,1,PUEBLA,90,115,83,6,0,1,0,2,297
1041,Contigua,2,,1,PUEBLA,72,94,81,3,0,0,0,15,265
1042,Básica,2,,1,PUEBLA,101,87,82,2,0,1,0,9,282
1042,Contigua,2,,1,PUEBLA,118,99,105,2,0,1,0,4,329
1064,Básica,2,,1,PUEBLA,54,167,70,8,0,3,0,3,305
1064,Contigua,2,,1,PUEBLA,64,165,86,4,0,0,0,5,324
1261,Básica,2,,1,PUEBLA,51,68,53,2,0,0,0,8,182
1262,Básica,2,,1,PUEBLA,74,70,57,3,0,0,0,0,204
1263,Básica,2,,1,PUEBLA,82,129,73,4,0,1,0,7,296
1264,Básica,2,,1,PUEBLA,93,86,95,7,0,1,0,10,292
1265,Básica,2,,1,PUEBLA,97,79,66,3,0,2,0,0,247
1266,Básica,2,,1,PUEBLA,44,37,31,1,0,2,0,4,119
1267,Básica,2,,1,PUEBLA,68,83,55,6,0,0,0,3,215
1267,Contigua,2,,1,PUEBLA,85,84,67,4,0,0,0,7,247
1269,Básica,2,,1,PUEBLA,102,111,97,4,0,2,0,10,326
1270,Básica,2,,1,PUEBLA,88,100,73,7,0,0,0,1,269
1271,Básica,2,,1,PUEBLA,107,77,66,3,0,1,0,8,262
1271,Contigua,2,,1,PUEBLA,94,64,82,4,0,0,0,8,252
1272,Básica,2,,1,PUEBLA,96,85,67,1,0,0,0,4,253
1273,Básica,2,,1,PUEBLA,94,130,96,7,0,2,0,6,335
1274,Básica,2,,1,PUEBLA,132,100,95,5,0,0,0,0,332
1275,Básica,2,,1,PUEBLA,25,40,28,4,0,0,0,2,99
1276,Básica,2,,1,PUEBLA,61,121,54,2,0,1,0,6,245
1276,Contigua,2,,1,PUEBLA,76,109,57,2,0,0,0,11,255
1277,Básica,2,,1,PUEBLA,73,101,48,3,0,1,0,0,226
1281,Básica,2,,1,PUEBLA,103,94,82,7,0,1,0,0,287
1281,Contigua,2,,1,PUEBLA,88,97,71,5,0,1,0,9,271
1282,Básica,2,,1,PUEBLA,108,82,51,4,0,1,0,0,246
1282,Contigua,2,,1,PUEBLA,90,78,63,2,0,1,0,3,237
1283,Básica,2,,1,PUEBLA,93,90,112,5,0,2,11,0,313
1284,Básica,2,,1,PUEBLA,47,67,39,1,0,1,0,2,157
1285,Básica,2,,1,PUEBLA,50,100,57,3,0,1,0,14,225
1286,Básica,2,,1,PUEBLA,53,88,55,4,0,1,0,5,206
1286,Contigua,2,,1,PUEBLA,59,96,61,11,0,0,0,8,235
1287,Básica,2,,1,PUEBLA,133,84,93,6,0,2,0,0,318
1287,Contigua,2,,1,PUEBLA,88,112,104,5,0,3,0,7,319
1288,Básica,2,,1,PUEBLA,104,108,73,5,0,1,0,12,303
1288,Contigua,2,,1,PUEBLA,87,121,68,6,0,4,0,9,295
1289,Básica,2,,1,PUEBLA,96,123,62,3,0,0,1,2,287
1289,Contigua,2,,1,PUEBLA,121,121,74,6,0,1,0,0,323
1292,Básica,2,,1,PUEBLA,105,106,60,8,0,1,0,0,280
1292,Contigua,2,,1,PUEBLA,75,98,95,3,0,2,0,0,273
1292,Contigua2,2,,1,PUEBLA,90,95,91,4,0,1,0,4,285
1293,Básica,2,,1,PUEBLA,118,95,67,4,0,1,0,14,299
1293,Contigua,2,,1,PUEBLA,79,107,70,5,0,1,0,10,272
1294,Básica,2,,1,PUEBLA,96,81,74,4,1,0,0,0,256
1294,Contigua,2,,1,PUEBLA,91,79,81,1,0,1,0,8,261
1295,Básica,2,,1,PUEBLA,123,104,80,11,0,1,0,0,319
1295,Contigua,2,,1,PUEBLA,130,130,81,7,0,0,0,4,352
1296,Básica,2,,1,PUEBLA,127,119,64,6,1,0,0,0,317
1296,Contigua,2,,1,PUEBLA,151,103,66,4,0,1,0,7,332
1297,Básica,2,,1,PUEBLA,67,83,72,9,0,2,1,3,237
1297,Contigua,2,,1,PUEBLA,57,84,73,4,0,2,0,8,228
1298,Básica,2,,1,PUEBLA,95,92,89,7,0,2,0,13,298
1299,Básica,2,,1,PUEBLA,107,118,94,7,0,1,0,16,343
1299,Contigua,2,,1,PUEBLA,108,152,130,9,0,3,0,10,412
1300,Básica,2,,1,PUEBLA,75,96,93,7,0,0,0,8,279
1300,Contigua,2,,1,PUEBLA,75,106,87,6,0,1,0,6,281
1301,Básica,2,,1,PUEBLA,85,77,63,9,0,3,0,6,243
1301,Contigua,2,,1,PUEBLA,83,90,55,5,0,1,0,11,245
1305,Básica,2,,1,PUEBLA,125,119,81,7,0,3,0,11,346
1305,Contigua,2,,1,PUEBLA,111,137,72,4,0,2,2,11,339
1306,Básica,2,,1,PUEBLA,112,111,80,8,1,7,0,14,333
1306,Contigua,2,,1,PUEBLA,98,139,109,6,0,0,0,12,364
1307,Básica,2,,1,PUEBLA,86,98,78,9,0,1,0,13,285
1307,Contigua,2,,1,PUEBLA,87,84,64,9,0,1,0,0,245
1307,Contigua2,2,,1,PUEBLA,83,96,66,7,0,1,0,5,258
1308,Básica,2,,1,PUEBLA,124,101,101,3,0,0,0,0,329
1308,Contigua,2,,1,PUEBLA,112,119,93,7,0,1,0,6,338
1309,Básica,2,,1,PUEBLA,77,113,53,3,0,0,0,0,246
1309,Contigua,2,,1,PUEBLA,72,116,67,10,0,0,0,14,279
1310,Básica,2,,1,PUEBLA,106,121,72,5,0,0,0,0,304
1310,Contigua,2,,1,PUEBLA,102,106,94,5,0,2,0,15,324
1311,Básica,2,,1,PUEBLA,93,85,71,6,0,3,0,8,266
1311,Contigua,2,,1,PUEBLA,92,79,82,3,0,3,0,7,266
1312,Básica,2,,1,PUEBLA,139,91,150,3,0,3,0,0,386
1313,Básica,2,,1,PUEBLA,86,126,104,1,0,2,0,5,324
1313,Contigua,2,,1,PUEBLA,98,107,97,8,0,0,0,9,319
1313,Contigua2,2,,1,PUEBLA,110,106,91,8,0,2,0,8,325
1314,Básica,2,,1,PUEBLA,136,92,135,1,0,0,0,9,373
1314,Contigua,2,,1,PUEBLA,151,114,152,4,0,1,0,3,425
1315,Básica,2,,1,PUEBLA,85,101,84,12,0,3,0,0,285
1315,Contigua,2,,1,PUEBLA,86,101,68,3,0,1,0,0,259
1316,Básica,2,,1,PUEBLA,104,101,58,2,0,2,0,7,274
1316,Contigua,2,,1,PUEBLA,121,99,57,5,0,1,0,7,290
1317,Básica,2,,1,PUEBLA,84,60,55,7,0,2,0,5,213
1317,Contigua,2,,1,PUEBLA,95,77,60,4,0,2,0,0,238
1321,Básica,2,,1,PUEBLA,101,130,76,7,0,2,0,8,324
1321,Contigua,2,,1,PUEBLA,89,109,74,13,0,1,0,0,286
1322,Básica,2,,1,PUEBLA,116,173,111,8,0,0,0,11,419
1322,Contigua,2,,1,PUEBLA,111,182,105,4,0,1,0,0,403
1323,Básica,2,,1,PUEBLA,88,121,98,11,0,1,0,0,319
1323,Contigua,2,,1,PUEBLA,118,133,110,13,0,3,0,8,385
1324,Básica,2,,1,PUEBLA,104,79,140,3,0,1,0,1,328
1324,Contigua,2,,1,PUEBLA,127,81,135,3,0,2,0,9,357
1325,Básica,2,,1,PUEBLA,132,91,112,4,0,0,0,8,347
1325,Contigua,2,,1,PUEBLA,102,99,129,3,1,0,0,8,342
1326,Básica,2,,1,PUEBLA,70,70,77,2,0,1,0,0,220
1326,Contigua,2,,1,PUEBLA,64,79,79,4,0,1,0,2,229
