uniqueid,year,incumbent_party_magar,incumbent_candidate_magar,runnerup_party_magar,runnerup_candidate_magar,margin
29022,1994,PRI,ADOLFO LUNA LUNA,PRD,,0.3591549296
29022,1998,PRI,FERNANDO CUATEPITZI PICHON,PRD,,0.1998631075
29022,2001,PRI,JOSE PEDRO SILBESTRE PEREZ OCAÑA,PRD,,0.0188034188
29022,2004,PT,MARIA DEL SOCORRO AMELIA SANCHEZ,PRD,,0.0131702728
29022,2007,PRD,JOSE CRISTOBAL LUNA,PAN_PAC,,0.0962904499
29022,2010,PRI_PVEM,FERMIN CRISANTO CUATEPITZI,PAN_PNA_PAC,,0.1082251082
29022,2013,MC,ALEJANDRINO ESPINOZA MORALES,PAN,,3.147624e-4
29022,2016,PT_PRD,MARIA CATALINA HERNANDEZ AGUILA,PRI,,0.0099403579
29022,2021,RSP,FERNANDO LUNA MARTINEZ ,PS,,0.0037831021
29023,1991,PRI,CELERATO SARTILLO HERNANDEZ,PRD,,0.9610517991
29023,1994,PRI,MARINO MARTINEZ HERNANDEZ,PT,,0.1953789279
29023,1998,PT,ALFREDO VAZQUEZ JIMENEZ,PRI,,0.1516717816
29023,2001,PRI,ELEUTERIO SERRANO ROMERO,PAN,,0.1046280334
29023,2004,PAN,GUILLERMO CABAÑAS TELLEZ,PRI_PVEM,,0.0760184287
29023,2007,PRD,LEONARDO URIARTE PARRA,PRI_PVEM,,0.0496484125
29023,2010,PT,JAVIER QUIROZ MACIAS,PRI_PVEM,,0.066397617
29023,2013,PRI,CUAUHTEMOC BARRANCO PALACIOS,PAC_PS,,0.0951527725
29023,2016,PAC,OSCAR MURIAS JUAREZ,PRI_PNA,,0.1989945155
29023,2021,PT,CARLOS GARCIA SAMPEDRO ,MC,,0.038837968
29024,1991,PRI,RIGOBERTO CANO,PRD,,0.5078058473
29024,1994,PRI,ALBINO SANCHEZ AQUIAHUATL,PRD,,0.399140546
29024,1998,PRI,EMILIO MINOR MOLINA,PRD,,0.1987103566
29024,2001,PT,MAURILIO PALACIOS MONTALES,PRI,,0.0274024498
29024,2004,PRI_PVEM,ADAN FLORES SANTACRUZ,PRD,,0.0738429537
29024,2007,PRD,JAVIER SANTACRUZ SANCHEZ,PAN_PAC,,0.1415581732
29024,2010,PRI,FREDY MIRANDA PEREZ,PAN_PNA,,0.1300198091
29024,2013,PS,SAUL CANO HERNANDEZ,PRD,,0.0021468825
29024,2016,PRD,EYMARD GRANDE RODRIGUEZ,INDEP,JOSE CORTES PEREZ,0.1098935504
29024,2021,MORENA,FELICITAS VAZQUEZ ISLAS ,PT,,0.0530379564
29025,1991,PRI,MANUEL MARTINEZ DIEGO,PRD,,0.6985235961
29025,1994,PRI,DELFINO JUAREZ CAPILLA,PRD,,0.591798419
29025,1998,PVEM,LEOBARDO FELIX CORONA OTERO,PRI,,0.1686530896
29025,2001,PRI,APOLINAR ISABEL ZAHUTITLA FLORES,PCDT,,0.0849226734
29025,2004,PRD,AGUSTIN ROBERTO RAMOS TLACAMULCO,PT,,0.0881309686
29025,2007,PRD,LAZARO SALVADOR MENDEZ ACAMETITLA,PT,,0.0067683977
29025,2010,PRI_PS1,JOSE HILARIO SALAS GALAN,PRD,,0.0940880695
29025,2013,PRD,JOSE ISABEL MARCELINO ROJAS XAHUANTI,PRI_PVEM,,0.0132650083
29025,2016,PAN,CUTBERTO BENITO CANO COYOTL,PT_PRD,,0.1572565262
29025,2021,PNA,RAUL TOMAS JUAREZ CONTRERAS ,PRI,,0.0339840726
29026,1991,PRI,ANTONIO PEREZ NAVA,PRD,,0.2022362664
29026,1994,PRI,JULIO ANGEL BECERRA HERNANDEZ,PRD,,0.3612201752
29026,1998,PRI,GRIMOALDO MANOATL TETLALMATZI,PAN,,0.0358781811
29026,2001,PRI,GILBERTO HERNANDEZ BAUTISTA,PAN,,0.0710723192
29026,2004,PRI,AGUSTIN PERALTA ROMERO,PAN,,0.0032148598
29026,2007,PAN_PAC,LEONCIO OROPEZA ROSANO,PRI_PVEM,,0.0659609121
29026,2010,PRI_PVEM,ISABEL GABRIELA DEL RAZO BECERRA,PAN_PNA,,0.0950684932
29026,2013,PAN,LAURO MARTIN HERNANDEZ DE LOS ANGELES,PRI,,0.0423121989
29026,2016,INDEP,MIGUEL ANGEL SANABRIA CHAVEZ,PRI,,0.0454597635
29026,2021,MORENA,DAVID MARTINEZ DEL RAZO ,PAC,,0.0639953316
29027,1991,PRI,?,PRD,,0.0599028602
29027,1994,PRI,?,PRD,,0.0840936136
29027,1998,PRD,JOSE INGNACIO GUZMAN LARA,PRI,,0.1567551083
29027,2001,PRI,MATIAS PEDRO PEREZ GUZMAN,PVEM,,0.0515492958
29027,2004,PAN,GERMAN HERNANDEZ TLAHUITZO,PRI,,0.0085038533
29027,2007,PRI_PVEM,HILARIO REYES ROMERO,PAN_PAC,,0.0418360029
29027,2010,PRI_PVEM,?,CONVE,,0.0266517357
29027,2013,MC,JOSE IGNACIO GUZMAN LARA,PRI,,0.1982020548
29027,2016,PAN,DANIEL MARTINEZ SERRANO,PRI_PNA_PS1,,0.0755060729
29027,2021,MORENA,MICAELA GUZMAN GUZMAN ,PRI,,0.0203160271
29028,1991,PRI,GIL JUAREZ JUAREZ,PRD,,0.9967046135
29028,1994,PRI,MIGUEL MELENDEZ MELENDEZ,PRD,,0.2122375832
29028,1998,PRD,RAFAEL ISIDORO ATONAL ATONAL,PRI,,0.1558174336
29028,2001,PRI,MELESIO FLORES AGUILAR,PRD,,0.0688570979
29028,2004,PRD,RUTILO RODRIGUEZ FLORES,PRI_PVEM,,0.0239821528
29028,2007,PRD,PABLO AGUILA REYNA,PAN_PAC,,0.0348589044
29028,2010,PRD,GERMAN TEXIS FLORES,PRI_PVEM,,0.0112798265
29028,2013,PAN_PAC,PEDRO TEPUACACHO RODRIGUEZ,PVEM,,0.0289965662
29028,2016,PRI_PVEM,GELACIO SANCHEZ JUAREZ,PT,,0.0384918205
29028,2021,MORENA,RODRIGO CUAHUTLE SALAZAR,PT,,0.1313115764
29029,1991,PRI,MIGUEL TLALMIS,PAN,,0.9955862069
29029,1994,PRI,MIGUEL FLORES DELGADO,PRD,,0.2437047757
29029,1998,PRI,MIGUEL ANGEL REYES HERNANDEZ,PRD,,0.0822510823
29029,2001,PRD,DANIEL TEHOZOL PEREZ,PRI,,0.0497526913
