ID_ENTIDAD,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
7,14,PMCH,JOSE NAPOLEON GOMEZ GOMEZ,-
7,15,PVEM,VICTOR ALFONSO PEREZ SALDAÑA,-
7,15,PT,RAFAEL INCHONG JUAN,-
7,15,PCHU,ROSA SILVIA  TOVAR COYOY,-
7,15,MORENA,ERICK RAUL ZARATE LOPEZ,-
7,15,PMCH,WENDY JOHANA CHUN ROBLES,-
7,15,RSP,JUAN CARLOS BARRIOS GONZALEZ,-
7,15,PAN_PRI_PRD,GRISELDA CONCEPCION DOMINGUEZ VAZQUEZ,-
7,16,PRI,CLAUDIA LUZ DEL CARMEN CASTILLO ESTRADA,-
7,16,PVEM,JOSE LUIS DAMAS  ORTIZ,-
7,16,PT,LILIAN  BALBOA GONZALEZ,-
7,16,MC,BLANCA CLAUDIA ESTRADA PEREZ,-
7,16,PCHU,LUCERO PECH LOPEZ,-
7,16,MORENA,FRANCISCA  DAMAS  DAMAS,-
7,16,PMCH,AMANDA MARIA  SANCHEZ  SANCHEZ,-
7,16,PES,AIDA ARACELI MANZANILLA HERNANDEZ,-
7,16,RSP,CARMEN VASQUEZ VASQUEZ,-
7,16,FXM,MARLENE MENDEZ CRUZ GORDILLO,-
7,17,PAN,CLAUDIA ROCIO  SARMIENTO GUIZAR,-
7,17,PRI,GEOVANNE GONZALEZ RAMIREZ,-
7,17,PRD,JUAN DE DIOS   AGUILAR VELAZQUEZ ,-
7,17,PVEM,ALEJANDRA ARANDA NIETO,-
7,17,PT,CARLOS ALBERTO TRINIDAD TORRES,-
7,17,MC,JOSE ALBERTO TRINIDAD NUÑEZ,-
7,17,PCHU,GENARO DE JESUS CRUZ SANTOS,-
7,17,MORENA,ERNESTO CRUZ DIAZ,-
7,17,PMCH,EFREN  RODRIGUEZ  XXX,-
7,17,PPCH,DOMINGO ISMAEL RAMOS MEZA,-
7,17,PES,FRANCISCO ALBERTO FLORES  CLEMENTE,-
7,17,RSP,EDUARDO ESPONDA TORRES,-
7,17,FXM,FABIAN ANDRES  HERNANDEZ ANGEL ,-
7,18,PRI,ANDREA HERNANDEZ GOMEZ,-
7,18,PRD,LENIN  PEREZ  MORALES,-
7,18,PVEM,MAGDALENA GOMEZ HERNANDEZ,-
7,18,MC,MAKEYNY BERENICE SANCHEZ PEREZ,-
7,18,PCHU,MARIA DEL CARMEN PATRICIO CRUZ,-
7,18,MORENA,YADIRA  PEREZ PEREZ,-
7,18,RSP,HEIDI JANETH PEREZ ESTRADA,-
7,19,PVEM,JORGE CONSTANTINO KANTER,-
7,19,PT,MARIO ANTONIO GUILLEN DOMINGUEZ,-
7,19,MC,VICTOR  MENDEZ RUIZ,-
7,19,PCHU,EMMANUEL CORDERO SANCHEZ,-
7,19,MORENA,LUCIA DEL CARMEN  ORTIZ  ALBORES,-
7,19,PMCH,JULIO CESAR RUBIO  GOMEZ,-
7,19,PPCH,JULIO GILBERTO OLVERA HERNANDEZ,-
7,19,PES,HUGO ANTONIO ESPINOSA LOPEZ,-
7,19,RSP,ROSA GODELVA CANCINO MEZA,-
7,19,FXM,RAUL FIGUEROA GOMEZ,-
7,19,PAN_PRI_PRD,MARIA ELENA CRUZ CANCINO,-
7,20,PVEM,CANDELARIA LIZET CHANDOMI SOLIS,-
7,20,PT,JUAN CARLOS LOPEZ GOMEZ,-
7,20,MC,YERY GUADALUPE MARTINEZ CONSTANTINO,-
7,20,PCHU,VERONICA DEL CARMEN LARA CAMILO,-
7,20,MORENA,ANDREA DEL CARMEN COUTIÑO PEREZ,-
7,20,PMCH,SAIRA VERONICA VALDIVIES GUILLEN,-
7,20,PPCH,LUCERO ESMERALDA LOPEZ  MAZA,-
7,20,PES,MARLENE GARCIA COUTIÑO,-
7,20,RSP,EMMANUEL DE JESUS CORDOVA GARCIA,-
7,20,FXM,-,-
7,20,PAN_PRI_PRD,VIRIDIANA DEL CARMEN GARCIA CRUZ,-
7,21,PVEM,MARBELLA GUADALUPE HERRERA SANCHEZ,-
7,21,PT,LORENA GALLEGOS AGUILAR,-
7,21,MC,MARIA ANGELITA ESTRADA PEREZ,-
7,21,PCHU,MARIA JOSE GARCIA SANDOVAL,-
7,21,MORENA,CARLOS  CRUZ CRUZ,-
7,21,PES,ELODIA  DIAZ DIAZ,-
7,21,RSP,DEYLI BELEN SALAZ DE LEON,-
7,21,PAN_PRI_PRD,JAVIER ELIECER VAZQUEZ CASTILLEJOS,-
7,22,PAN,NICODEMO  AGUILAR  SANCHEZ,-
7,22,PRI,MATILDE PEREZ LUNA,-
7,22,PRD,MARCELA  DIAZ SANCHEZ,-
7,22,PVEM,BERVALINA GARCIA NUÑEZ,-
7,22,PT,MANUEL GARCIA  NUÑEZ,-
7,22,MC,MARGARITA PEREZ DOMINGUEZ,-
7,22,PCHU,MARIBEL GOMEZ PEREZ,-
7,22,MORENA,GERONIMO LUNA  SANCHEZ,-
7,22,PMCH,DOMINGO  DIAZ PEREZ,-
7,22,RSP,CECILIA MARIBEL GIRON DIAZ,-
7,23,PRI,SEBASTIAN PEREZ SANTIZ,-
7,23,PVEM,MANUEL  GOMEZ LOPEZ,-
7,23,PT,PASCUAL SANCHEZ GOMEZ,-
7,23,PCHU,HILDA CONCEPCION LOPEZ MORALES,-
7,23,MORENA,FACUNDO  HERNANDEZ SANTIZ,-
7,23,PES,FABIOLA ISABEL SANCHEZ GOMEZ,-
7,24,PRI,ROSA GRACIELA GOMEZ GUZMAN,-
7,24,PVEM,ALEJANDRO LOPEZ SANCHEZ,-
7,24,PT,DANIEL  RODRIGUEZ LOPEZ,-
7,24,MC,ELEUTERIO MENDEZ GOMEZ,-
7,24,PCHU,EPITACIO GOMEZ  LOPEZ,-
7,24,MORENA,ESPERANZA GOMEZ HERNANDEZ,-
7,24,PMCH,PEDRO VELASCO ENTZIN,-
7,24,RSP,ALEJANDRO GOMEZ ENTZIN,-
7,25,PRI,MARGARITA RUIZ DIAZ,-
7,25,PRD,MARIA DEL PILAR RUEDA GOMEZ,-
7,25,PVEM,AMANCIO FEDERICO LUCAS HERNANDEZ,-
7,25,PT,ALICIA RUEDA LOPEZ,-
7,25,PCHU,JAVIER DIAZ VELAZQUEZ,-
7,25,MORENA,HEYDI NEYDI DOMINGUEZ PEREZ,-
7,25,PMCH,MARTHA  ALVAREZ NUÑEZ,-
7,25,PPCH,PATROCINIO  VILLAREAL CRUZ,-
7,25,RSP,ALFREDO GOMEZ FUENTES,-
7,26,PRI,ALBERTO  LOPEZ  GONZALEZ ,-
7,26,PVEM,JUAN ERASTO RODRIGUEZ PEREZ,-
7,26,PT,ENRIQUE  PEREZ SANTIZ ,-
7,26,PCHU,MARTHA PATRICIA DIAZ  SOLIS,-
7,26,MORENA,PEDRO GONZALEZ HERNANDEZ,-
7,26,RSP,ROSA  PEREZ PEREZ,-
7,27,PVEM,LIMBANO DOMINGUEZ ROMAN,-
7,27,PT,FABIAN ORANTES ABADIA,-
7,27,MC,JORGE DAVID SOLANO MALDONADO,-
7,27,PCHU,CAROLINA NANGO GONZALEZ,-
7,27,MORENA,ROGER CELERINO NANGUYASMU VICENTE,-
7,27,PMCH,JULIETTE JASIVE MURILLO NAVARRO,-
7,27,PES,NANCY BERENICE NARCIA VIDAL,-
7,27,FXM,YASMIN ALEJANDRA JIMENEZ RODRIGUEZ,-
7,27,PAN_PRI_PRD,CARMEN DE JESUS MARTINEZ SANCHEZ,-
7,28,PVEM,GUSTAVO HERNANDEZ HERNANDEZ,-
7,28,PT,IZAMARI CHACON MAZARIEGOS,-
7,28,MC,DIANA LAURA CAÑAVERAL GUTIERREZ,-
7,28,PCHU,BRENDA GUADALUPE JONAPA HERNANDEZ,-
7,28,MORENA,MARENA MADRIGAL  VILA,-
7,28,PPCH,REYNALDA PEREZ PEREZ,-
7,28,RSP,BERSAIN GOMEZ GOMEZ,-
7,28,PAN_PRI_PRD,MARIA SANCHEZ ARCOS,-
7,29,PVEM,ANDREA ESTEPHANIA SANTOS OVILLA,-
7,29,PT,JORGE HUMBERTO GUTIERREZ VAZQUEZ,-
7,29,PCHU,ALMA ERUBI CASIQUE PEREZ,-
7,29,MORENA,LORENA COLLAZO ESTRADA,-
7,29,PMCH,BERSAIN  GUTIERREZ GONZALEZ,-
7,29,RSP,LEIDER PAUL LOPEZ MUÑOZ,-
7,29,PAN_PRI_PRD,RICARDO CAMACHO  MUÑOZ,-
7,31,PAN,MIGUEL DEMEZA GOMEZ,-
7,31,PRI,JUAN CARLOS VERA LOPEZ,-
7,31,PVEM,RUTH VIRGINIA MORENO GOMEZ,-
7,31,PT,MARIO HERNANDEZ AGUILAR,-
7,31,MC,MARIA DOROTEA  GOMEZ GOMEZ,-
7,31,PCHU,TOMASINA GUZMAN JIMENEZ,-
7,31,MORENA,CARLOS DORIAN JIMENEZ TREJO,-
7,31,PMCH,ADRIANA  SILVANO  GUZMAN,-
7,31,PPCH,MARIA PEREZ GOMEZ,-
7,31,RSP,SEBASTIANA SANCHEZ LOPEZ,-
7,31,FXM,SANDRA BEATRIZ HUBERT ESPINOSA,-
7,32,PVEM,ELVA ROBLERO HERNANDEZ,-
7,32,PT,ADELA MUÑOZ PEREZ,-
7,32,MC,JOSE LUIS CABRALES COUTIÑO,-
7,32,PCHU,JOSE MAGDIEL  LOPEZ GOMEZ,-
7,32,MORENA,CARLOS GONZALEZ MORENO,-
7,32,PMCH,FERNANDO  CRUZ  JABALOIS,-
7,32,PPCH,ARCADIO MIGUEL LOPEZ MORALES,-
7,32,PES,BARTOLOME VELAZQUEZ JAVALOIS,-
7,32,RSP,EVANGELINA TORRES DIAZ,-
7,32,PAN_PRI_PRD,MARIA EDITH LOPEZ LOPEZ,-
7,33,PVEM,GLORIA MORALES HERNANDEZ,-
7,33,PT,ARCIDES  SANCHEZ RAMIREZ,-
7,33,MORENA,MARIA ROSELIA PABLO SANCHEZ,-
7,34,PVEM,ANIBAL ROBLERO CASTILLO,-
7,34,PT,REY DAVID GUTIERREZ VAZQUEZ,-
7,34,MC,ALICIA  LOPEZ MORALES,-
7,34,PCHU,CESAR ALY HERNANDEZ  GUTIERREZ,-
7,34,MORENA,HUMBERTO PORFIRIO ROBLERO LOPEZ,-
7,34,PMCH,ZULMA MADERELI ALFARO PEREZ,-
7,34,PPCH,LILIA AGUILAR MORALES,-
7,34,PES,CYNTHIA ANAHI VAZQUEZ VILLATORO ,-
7,34,RSP,GLADYS LLULENA SANCHEZ SOLIS,-
7,34,FXM,ANA LAURA CARBALLO CRUZ,-
7,34,PAN_PRI_PRD,ARNOLDO  HERNANDEZ  MERIDA,-
7,35,PVEM,ARACELI LOPEZ MORALES,-
7,35,PT,MIREYA OSEGUERA TRINIDAD,-
7,35,MC,ELIAS HERNANDEZ OCHOA,-
7,35,PCHU,EDITH BEATRIZ  DOMINGUEZ LUGO,-
7,35,MORENA,THALIA SELENE HERRERA HERNANDEZ,-
7,35,RSP,JUANA ELIZABETH DE LA CRUZ  MAZARIEGOS ,-
7,35,PAN_PRI_PRD,NOLBERTO BALBOA DE LA CRUZ,-
7,36,PRI,NERY EMMANUEL JUAREZ CARREON,-
7,36,PVEM,OFELIA OCAÑA RAMOS,-
7,36,PT,PAOLA ANTONIA MERIDA HERNANDEZ,-
7,36,MC,FLOR DE MARIA  CASTRO ZENTENO,-
7,36,PCHU,DANIELA  RAMOS  VENTURA,-
7,36,MORENA,JOSE LUIS DIAZ VAZQUEZ,-
7,36,PMCH,JULIO BELAIN RAMIREZ GUTIERREZ,-
7,36,PES,BELINDA YESENIA MEJIA ROBLERO,-
7,36,RSP,JOSE ARMANDO DIAZ PEREZ,-
7,36,FXM,ROSI YAMILETH ROBLES MARTINEZ,-
7,37,PVEM,JOSE MANUEL ANGEL  VILLALOBOS,-
7,37,PT,OSWALDO LOPEZ HERRERA,-
7,37,PCHU,AIMEE ALEJANDRA ARAGON GARCIA,-
7,37,MORENA,NADINA  LOPEZ MORALES,-
7,37,PMCH,YULMA LLANIRA  ROSARIO  NOLASCO,-
7,37,PES,ROSA BEATRIZ  PEREZ ESPINOZA,-
7,37,RSP,SIXTO  LOPEZ PEREZ,-
7,37,FXM,SHEILI NAOMI GARCIA CARDENAS,-
7,37,PAN_PRI_PRD,ALEJANDRO DIAZ CUETO,-
7,38,PVEM,AMBAR CRISTAL MANDUJANO PALACIOS,-
7,38,PT,ZULEYMA YUZMIRA DOMINGUEZ LOPEZ,-
7,38,PCHU,CELESTE JOCELYN SANTIAGO LOPEZ,-
7,38,MORENA,AMALIA DEL CARMEN OCHOA  RAMOS ,-
7,38,PMCH,LAURA ELENA CAMACHO DOMINGUEZ,-
7,38,PES,EULALIA VICTORIA HERNANDEZ FIGUEROA,-
7,38,RSP,SALVADOR TRINIDAD SANTIAGO ROBLEDO,-
7,38,PAN_PRI_PRD,PABLO TIRZON MIJANGOS CANCINO,-
7,39,PVEM,JUANA MARIA JIMENEZ VELASCO,-
7,39,PT,ROMEO DAMIAN HUET ALVAREZ,-
7,39,MC,MARIA ELENA  PALE  MOSHAN,-
7,39,PCHU,LIDIA ROSARIO GOMEZ GOMEZ,-
7,39,MORENA,CANDIDO  MENDEZ PEREZ ,-
7,39,PAN_PRI_PRD,LUCIA  MENDEZ RUIZ,-
7,40,PVEM,REGULO PALOMEQUE  SANCHEZ,-
7,40,PT,JOSE GABRIEL  MARTINEZ  DAMIAN,-
7,40,MC,MARIA GUADALUPE CONCEPCION CASTAÑEDA  DE LA HIGUERA,-
7,40,PCHU,FERNANDO  VAZQUEZ ZAMBRANO,-
7,40,MORENA,GEORGINA  COUTIÑO  VERDUGO,-
7,40,PMCH,HECTOR ENRIQUE  RODRIGUEZ AVILA,-
7,40,PES,MIRELLA COUTIÑO MALDONADO,-
7,40,RSP,ORLANDO SANTIAGO SALAS,-
7,40,PAN_PRI_PRD,OLVITA PALOMEQUE PINEDA,-
7,40,UPC,ULISES PEREZ CRUZ,-
7,41,PVEM,CARLOS  RODRIGUEZ HERNANDEZ,-
7,41,PT,MARIELA LOPEZ LOPEZ,-
7,41,PCHU,REYNA MORENO HERNANDEZ,-
7,41,MORENA,JHONY SEBASTIAN  LOPEZ  LOPEZ ,-
7,41,PMCH,ROSA BELYNA ESCANDON GARCIA,-
7,41,PPCH,ERNESTO GARCIA  GARCIA,-
7,41,RSP,DELINA VELASCO JIMENEZ,-
7,41,PAN_PRI_PRD,MIGUEL ANGEL  VELASCO LOPEZ,-
7,42,PAN,JEANETH  PATRICIO  RUIZ,-
7,42,PRI,VICTORIA LOPEZ HERNANDEZ,-
7,42,PRD,PABLO FAVIAN  LOPEZ  LOPEZ ,-
7,42,PVEM_PT_PCHU_MORENA_PMCH_PPCH_PES_RSP_FXM,MARIA GUADALUPE  LOPEZ  CAMACHO ,-
7,43,PVEM,ANA YELI ZACARIAS VAZQUEZ,-
7,43,PT,LUIS ALBERTO MORENO  ESTRADA,-
7,43,PCHU,MARIA MACLOVIA LORENZO LORENZO,-
7,43,MORENA,MIGUEL ANGEL MORENO PALACIOS,-
7,43,PMCH,ANAKAREN YAMILETH LOPEZ TORRES,-
7,43,RSP,LUIS MIGUEL PEREZ RECINOS,-
7,43,PAN_PRI_PRD,ZAIRA EIRAIS OROZCO OTERO,-
7,44,PRI,TERESA DE JESUS DIAZ PEREZ,-
7,44,PVEM,IRIS ADRIANA AGUILAR PAVON,-
7,44,PT,ROBERTO JORDAN AGUILAR PAVON,-
7,44,MC,ERNESTINA DE JESUS GUILLEN  PEREZ,-
7,44,PCHU,YURIDIA JANETH JULIAN  URBINA,-
7,44,MORENA,RICARDO PEREZ PEREZ,-
7,44,PMCH,GUSTAVO SANCHEZ SANCHEZ,-
7,44,PPCH,SUSANA VIANEY HERNANDEZ CRUZ ,-
7,44,RSP,MARIA ELENA PEREZ  PEREZ,-
7,45,PVEM,SARAI PEREZ HERNANDEZ,-
7,45,PT,GUILLERMINA  CASTELLANOS CASTRO,-
7,45,MC,OLGA LIDIA NUCAMENDI  CERVANTES,-
7,45,PCHU,DEYANIRA SUAREZ BERBER,-
7,45,MORENA,LUCIA  HERNANDEZ HERNANDEZ,-
7,45,RSP,JUAN IGNACIO GONZALEZ GARCIA,-
7,46,PRI,URANIA VALLE LOPEZ,-
7,46,PVEM,CESAR HUGO LAZARO RODRIGUEZ,-
7,46,PT,ALMA BERENICE ZEBADUA CERDA,-
7,46,PCHU,SUSANA MARGARITA LOPEZ CLEMENTE,-
7,46,MORENA,BLANCA YANETH CHIU LOPEZ,-
7,46,PMCH,OSCAR ROMEO GRAJALES ESPINOSA,-
7,46,PES,MARISOL  GALDAMEZ URBINA,-
7,46,RSP,IBETH MARISOL CONSUEGRA PEÑA,-
7,46,FXM,MARIA CRISTINA LARA GARCIA,-
7,47,PAN,RAMIRO  PEREZ  DIAZ ,-
7,47,PRI,YEINY ABIGAIL DIAZ MARTINEZ,-
7,47,PRD,MARIA ROJAS SANCHEZ,-
7,47,PVEM,MARCELO CORONEL PEREZ,-
7,47,PT,JESUS APARICIO SANCHEZ,-
7,47,PCHU,MARIA ADELA HERNANDEZ LOPEZ,-
7,47,MORENA,RODRIGO MENDEZ ZEA,-
7,47,PPCH,CITLALIN GIULIANA GONZALEZ LOPEZ,-
7,47,PES,OCTAVIANA  ROJAS ROJAS,-
7,47,RSP,JOSE GREGORIO PEREZ MOLINA,-
7,48,PRI,MARIA ESDRA GUTIERREZ CASTILLO,-
7,48,PRD,DULCE MARIA ROMERO AZMITIA,-
7,48,PVEM,OSCAR SERRA CANTORAL,-
7,48,PT,ROSA MARIA PAZ CONTRERAS,-
7,48,MC,HERNAN ALVAREZ ALVAREZ,-
7,48,PCHU,OSCAR ALEJANDRO QUEVEDO HERRERO,-
7,48,MORENA,CECILIA GUTIERREZ HERRERA,-
7,48,PMCH,ISIDORO VASCONCELOS ZAVALA,-
7,48,PPCH,ROCIO  JIMENEZ TORRES,-
7,48,PES,JOSE ANTONIO COSSIO LOPEZ,-
7,48,RSP,MIRELBA CASTRO VELASCO,-
7,48,FXM,YASMIN DOMINGUEZ GONZALEZ,-
7,49,PRI,ANDRES RUIZ GOMEZ,-
7,49,PRD,FLORENTINA LOPEZ LOPEZ,-
7,49,MORENA,MARIA MAGDALENA  HERNANDEZ DIAZ,-
7,49,PMCH,JUANA DIAZ DIAZ,-
7,49,RSP,MANUEL NUÑEZ GOMEZ,-
7,50,PT,JOSE JOAQUIN ARCOS OROZCO,-
7,50,PCHU,MAGDALENA  AGUILAR ARCOS,-
7,50,MORENA,MARIA NICANOR  BELTRAN  ZETINA,-
7,50,PMCH,ALEJANDRA PEREZ  AGUIRRE,-
7,50,PES,YULIANA DEL CARMEN DAMIAN MENDOZA,-
7,50,RSP,MARIA AUDELINA MORENO  CRUZ,-
7,50,PAN_PRI_PRD,REINA JISHEL FAVIEL SOLIS,-
7,50,PCL,PORFIRIO  CORREA LOPEZ,-
7,51,PVEM,AMANDO ESPINOSA CRUZ,-
7,51,PT,BELISARIO PUON AGUILAR,-
7,51,MC,JUAN MANUEL DUQUE DOMINGUEZ,-
7,51,PCHU,CONCEPCION MORALES CRUZ,-
7,51,MORENA,ELMER NICOLAS NORIEGA ZAVALA,-
7,51,PMCH,FORTUNATO SANCHEZ  BRAVO,-
7,51,PES,LAURA SAYURI  GOMEZ  TSUZUKI ,-
7,51,RSP,MARTHA ELENA  HERRERA SANCHEZ,-
7,51,FXM,AMERICA ANTONIA HERRERA DE PAZ,-
7,51,PAN_PRI_PRD,OLIBIA  CASTILLEJOZ VAZQUEZ,-
7,52,PVEM,JORGE ARTURO ALVARADO  DOMINGUEZ,-
7,52,PT,GUILLERMO DE JESUS SOLIS LOPEZ,-
7,52,MC,ARNULFO CANO CANCINO,-
7,52,PCHU,LAURA AMADA DIAZ MARTINEZ,-
7,52,MORENA,BLADIMIR HERNANDEZ ALVAREZ,-
7,52,PMCH,FELIX JIMENEZ AGUILAR,-
7,52,PAN_PRI_PRD,FEBE ABIGAIL LOPEZ LOPEZ,-
7,53,PVEM,AURA PIVARAL ORTIZ,-
7,53,PT,FLOREBEL SANCHEZ GONZALEZ,-
7,53,PCHU,WILDER ALBERTO JACOB GUZMAN,-
7,53,MORENA,JOEL CARLOS  LOPEZ  CASTRO ,-
7,53,PPCH,GEREMIAS ELIEL GUTIERREZ VELAZQUEZ,-
7,53,PES,DEIFILIO MARVEL VERDUGO PEREZ,-
7,53,PAN_PRI_PRD,ANELBIN DEL  CARMEN BORRALLAS  ROJAS ,-
7,54,PVEM,LUIS VICENTE JUSTINIANO WONG,-
7,54,PT,PEDRO  DE LA CRUZ VILLALOBOS,-
7,54,MC,SELENE CAMERAS LAU,-
