CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,986,3,39,249,68,37,19,47,10,583,37,18,1,1,0,9,15,5,0,11,1149,0,48,1197,1967
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,987,4,89,265,78,50,34,64,19,911,57,31,5,3,0,1,32,5,0,8,1652,0,63,1715,2822
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,988,10,263,652,187,112,81,178,52,2178,117,98,17,3,3,21,60,11,3,3,4039,4,148,4191,7129
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,989,2,78,125,53,4,20,41,9,380,32,20,5,2,1,0,6,3,1,1,781,1,24,806,1220
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,990,3,110,267,27,30,29,72,27,616,46,39,5,0,1,0,22,5,4,6,1306,3,72,1381,2059
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,991,6,169,435,122,67,53,132,35,1393,138,64,1,0,7,1,57,5,8,12,2699,2,101,2802,4288
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,992,8,229,512,149,72,104,156,48,1829,127,56,7,2,0,13,43,6,2,19,3374,1,78,3453,5430
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,993,3,84,243,109,18,27,100,32,710,44,34,5,1,5,0,20,5,0,11,1448,14,35,1497,2121
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,994,5,154,415,76,47,54,81,35,1060,60,60,6,0,0,1,28,10,1,7,2095,0,75,2170,3271
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,995,12,327,923,209,109,91,187,59,2742,134,99,22,1,1,3,96,22,3,23,5051,6,140,5197,8509
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,996,10,258,922,313,127,101,117,34,2038,135,65,31,1,2,32,90,11,4,10,4291,0,150,4441,7427
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1017,3,82,256,87,62,20,59,12,641,42,29,4,2,1,0,29,8,1,13,1348,8,23,1379,2159
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1018,3,104,252,91,72,31,72,20,634,49,27,6,1,1,0,24,6,2,5,1397,1,50,1448,2236
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1019,4,102,290,83,75,43,149,14,941,46,48,7,2,1,1,39,13,17,12,1883,0,59,1942,2982
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1020,3,74,258,45,87,22,81,14,618,35,36,6,0,1,0,12,13,1,1,1304,0,38,1342,2001
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1021,3,59,217,35,24,19,75,15,482,31,12,4,0,0,1,23,2,3,4,1006,0,31,1037,1608
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1022,3,116,267,50,16,24,69,24,495,29,44,2,1,0,0,14,2,2,4,1159,1,40,1200,1626
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1023,3,96,185,45,19,34,67,23,511,39,31,2,1,2,1,16,1,0,7,1080,2,37,1119,1594
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1024,3,90,238,49,24,26,75,21,550,34,44,4,0,1,0,18,1,2,3,1180,2,32,1214,1695
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1025,5,233,394,108,35,57,147,50,971,80,70,12,0,1,1,23,2,2,7,2193,16,56,2265,3198
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1026,4,149,299,39,10,35,85,18,467,40,35,4,2,2,0,15,2,0,2,1204,1,26,1231,1508
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1027,3,102,185,65,17,38,81,20,498,31,28,7,0,0,0,8,1,0,3,1084,1,24,1109,1646
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1035,4,89,258,57,29,66,55,10,759,40,22,3,0,0,4,31,3,3,1,1430,0,49,1479,2476
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1036,6,153,485,116,78,42,121,22,1129,52,54,6,0,1,0,39,11,2,10,2321,2,91,2414,3965
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1037,6,165,416,106,79,60,104,34,1347,110,57,4,3,0,0,59,12,2,6,2564,2,96,2662,4286
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1038,3,83,194,53,33,24,34,14,716,25,31,9,2,0,0,38,10,4,1,1271,0,51,1322,2149
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1039,5,114,418,85,71,49,95,30,1024,53,39,2,3,6,1,39,8,2,4,2043,0,97,2140,3498
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1040,9,318,634,190,95,129,208,52,1804,120,96,9,1,0,3,74,5,1,9,3748,5,144,3897,6259
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1041,2,106,135,43,17,20,68,29,417,14,30,0,1,0,1,10,1,0,1,893,0,37,930,1267
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1042,4,235,345,80,34,73,93,24,826,42,60,4,3,0,1,25,2,1,4,1852,1,61,1914,2598
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1043,17,578,1178,289,167,195,330,130,3762,192,175,27,3,13,3,98,12,3,22,7177,5,203,7385,12078
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1044,8,287,598,224,78,73,101,50,1589,91,57,21,5,1,1,38,12,1,15,3242,2,128,3372,5463
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1045,2,76,201,85,18,18,33,24,383,15,12,1,3,1,1,8,1,1,2,883,0,35,918,1396
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1046,3,78,283,201,26,23,42,41,556,33,23,3,2,1,4,19,1,0,5,1341,16,29,1386,2225
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1047,5,120,469,88,37,45,148,48,989,67,41,10,1,1,2,27,3,3,3,2102,0,90,2192,3191
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1048,3,83,246,28,22,31,51,23,388,24,19,3,1,1,0,22,1,3,2,948,1,25,974,1573
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1049,4,182,436,73,34,46,98,24,617,48,39,9,2,2,1,31,11,0,8,1661,1,73,1735,2768
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1050,5,213,374,113,69,38,121,33,811,59,27,13,2,5,3,45,4,1,7,1938,0,102,2040,3429
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1051,3,145,249,37,35,20,68,10,428,36,16,9,1,0,0,19,2,0,3,1078,2,34,1114,1800
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1052,15,424,982,229,136,167,249,101,2862,181,157,28,2,15,1,114,14,2,10,5674,2,145,5821,10011
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1053,4,106,308,46,38,20,81,28,799,55,22,3,1,2,3,24,4,1,9,1550,1,50,1601,2397
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1054,19,562,967,297,199,179,251,168,4305,225,161,26,5,4,14,101,10,2,24,7500,6,184,7690,13611
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1055,9,237,491,158,87,90,107,46,2025,116,110,10,1,0,1,48,8,3,12,3550,1,85,3636,6094
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1056,3,87,213,71,25,41,57,12,431,51,11,4,1,0,2,19,5,3,5,1038,0,49,1087,1722
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1057,4,142,286,104,42,25,71,35,451,49,14,14,4,1,10,14,2,4,12,1280,0,50,1330,2313
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1058,3,104,250,76,23,15,66,9,444,32,10,10,0,1,2,18,3,1,5,1069,1,50,1120,1899
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1059,2,99,187,69,31,26,42,16,368,29,13,3,2,0,2,11,4,2,4,908,0,43,951,1473
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1060,4,141,407,174,32,43,67,16,618,53,17,11,2,0,1,21,11,3,8,1625,0,65,1690,2733
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1062,4,107,309,136,41,60,139,36,725,41,16,11,1,1,1,28,3,0,4,1659,1,66,1726,2558
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1063,4,86,280,100,31,27,65,33,835,72,46,4,1,0,1,22,4,5,1,1613,0,29,1642,2648
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1064,4,98,271,132,36,34,61,35,933,63,46,4,0,0,1,37,3,0,2,1756,1,58,1815,2879
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1065,9,206,782,195,95,104,149,48,1889,140,62,24,2,3,6,60,11,5,18,3799,2,146,3947,6266
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1066,2,48,203,48,17,18,60,12,411,29,17,0,0,1,0,13,0,0,1,878,0,30,908,1288
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1067,4,83,424,95,23,18,101,30,681,51,29,4,0,0,0,21,3,2,9,1574,0,57,1631,2551
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1068,3,101,240,149,27,27,72,17,714,36,23,4,2,1,1,18,4,0,1,1437,2,60,1499,2176
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1069,3,85,236,48,23,26,53,18,572,29,26,1,1,2,1,24,1,0,2,1148,0,40,1188,1767
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1070,3,87,204,52,33,39,61,14,693,40,28,4,0,0,1,30,12,3,29,1330,0,47,1377,2032
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1071,3,98,174,56,25,29,54,11,754,43,33,1,0,0,0,11,0,0,2,1291,14,39,1344,2038
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1072,7,183,450,105,67,49,91,32,1440,106,64,8,2,2,1,84,12,6,27,2729,2,111,2842,4741
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1073,6,179,320,175,50,40,130,32,1307,104,55,6,2,1,0,50,8,3,10,2472,0,67,2539,3962
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1074,2,65,163,82,19,26,84,17,340,72,15,2,1,0,4,17,0,4,6,917,19,15,951,1336
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1075,4,65,283,179,31,36,247,38,739,173,18,8,0,1,9,33,3,5,13,1881,0,61,1942,2853
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1076,6,143,379,282,59,51,253,35,962,151,65,8,9,2,7,49,8,4,19,2486,12,72,2570,4030
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1077,3,89,279,81,31,27,42,18,580,52,31,9,0,0,0,15,5,1,9,1269,0,39,1308,1966
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1078,4,87,312,88,44,27,41,33,604,59,24,4,1,1,0,28,4,4,6,1367,1,42,1410,2303
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1079,6,111,453,168,60,43,89,50,1269,123,34,9,1,2,1,65,11,3,16,2508,0,95,2603,3987
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1080,5,148,388,127,32,52,115,25,1054,74,58,11,0,2,2,40,6,1,16,2151,3,66,2220,3541
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,84,TEMAMATLA,4326,4,86,230,22,23,52,160,449,404,27,47,8,3,1,0,5,1,0,4,1522,0,49,1571,2257
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,84,TEMAMATLA,4327,6,130,329,26,40,84,269,889,565,50,108,12,0,1,0,14,1,0,2,2520,0,73,2593,4100
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,84,TEMAMATLA,4328,3,54,225,31,20,25,126,227,632,36,24,1,0,0,0,9,4,3,2,1419,0,40,1459,1930
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,84,TEMAMATLA,4329,2,45,234,7,10,24,86,149,163,13,17,9,0,0,0,5,0,0,1,763,0,11,774,1016
,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,84,TEMAMATLA,4330,1,52,28,4,1,11,27,48,41,9,25,1,0,0,0,1,0,0,0,248,0,9,257,574
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5176,3,341,382,48,30,40,30,75,444,20,53,9,2,1,0,8,2,2,7,1494,2,48,1544,1888
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5177,3,437,314,65,48,48,27,33,570,34,33,7,4,2,0,13,3,0,3,1641,1,41,1683,2194
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5178,4,511,312,33,20,56,26,29,576,24,44,10,1,1,2,5,1,0,3,1654,2,48,1704,2270
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5179,3,383,330,53,20,51,27,29,474,16,50,5,1,0,0,4,0,0,6,1449,0,30,1479,1937
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5201,2,311,258,24,27,43,20,15,374,18,45,5,4,1,0,3,1,0,1,1150,0,34,1184,1500
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5202,2,350,308,21,7,38,19,16,307,8,45,8,0,0,0,6,0,0,2,1135,0,33,1168,1466
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5203,4,504,472,51,54,67,38,35,712,38,80,10,1,0,1,21,3,0,3,2090,4,67,2161,2806
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5204,1,41,50,1,1,1,3,1,27,0,3,1,1,0,0,1,1,0,0,132,0,3,135,171
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5266,5,294,849,85,83,67,42,68,643,46,47,10,2,1,1,34,3,1,7,2283,0,94,2377,3351
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5267,5,207,686,77,77,55,32,37,643,49,56,5,1,1,1,15,10,0,8,1960,4,92,2056,3016
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5268,4,243,661,71,53,52,46,39,604,93,53,9,6,1,0,22,2,0,10,1965,0,93,2058,2930
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5269,7,373,1087,112,92,66,61,113,1043,69,65,9,1,1,1,29,13,8,20,3163,0,135,3298,4688
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5270,5,321,549,95,72,63,56,53,759,63,47,8,4,0,0,35,5,2,10,2142,1,118,2261,3306
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5271,12,917,1314,192,152,163,133,114,2194,132,194,30,13,3,1,41,17,2,16,5628,4,230,5862,7955
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5272,5,545,574,98,48,89,56,51,972,58,95,9,3,0,0,24,2,0,6,2630,3,62,2695,3378
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5277,3,346,301,52,34,42,32,29,563,35,41,3,0,0,0,9,2,0,3,1492,0,38,1530,2087
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5278,6,507,482,106,63,90,68,96,1165,60,85,7,5,4,0,26,2,0,2,2768,0,80,2848,3971
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5279,2,147,223,28,12,25,11,19,382,13,26,3,4,2,0,9,1,0,4,909,0,25,934,1226
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5280,8,968,581,114,86,109,92,62,1649,74,157,15,2,1,1,29,3,2,4,3949,3,96,4048,5980
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5281,5,611,376,74,41,77,39,43,874,51,69,10,0,2,0,21,5,3,1,2297,0,43,2340,3277
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5282,2,141,210,23,18,14,15,13,367,21,20,0,0,0,0,16,2,0,0,860,2,27,889,1173
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5283,4,298,343,46,40,50,26,27,731,45,41,8,2,1,1,33,0,0,3,1695,13,35,1743,2389
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5284,3,423,261,30,15,43,26,24,435,27,29,1,1,0,2,7,2,0,1,1327,0,33,1360,1739
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5289,3,284,222,41,36,41,23,27,493,28,30,6,0,0,0,9,5,1,4,1250,1,47,1298,1770
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5290,2,223,209,29,38,28,20,22,420,24,18,5,1,1,0,7,2,0,3,1050,0,29,1079,1409
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5291,5,404,371,66,53,62,44,39,857,57,75,17,2,1,0,30,2,0,6,2086,0,56,2142,3004
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5292,5,368,411,97,51,67,37,60,995,31,92,8,3,3,0,28,4,3,6,2264,19,53,2336,3227
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5293,3,267,355,60,31,49,33,25,634,39,51,6,2,0,0,12,4,0,5,1573,1,32,1606,2204
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5294,3,286,312,35,25,37,23,27,511,25,37,4,2,0,0,14,3,1,1,1343,0,42,1385,1861
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5295,7,736,652,131,95,83,59,210,1053,67,68,14,4,0,1,31,5,2,21,3232,482,56,3770,4903
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5296,9,1014,826,199,121,128,82,102,1615,88,179,18,5,2,1,38,20,2,13,4453,7,121,4581,6384
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5297,6,661,475,104,60,86,41,45,994,63,58,12,0,0,0,34,4,2,7,2646,6,85,2737,4114
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5298,8,579,688,105,111,107,58,48,1398,92,84,18,3,3,0,38,7,0,8,3347,1,89,3437,5408
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5299,2,205,185,40,7,27,26,13,351,11,30,6,3,2,0,4,1,0,2,913,1,31,945,1162
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5300,3,221,198,37,43,40,22,26,439,29,35,5,4,1,0,12,3,0,4,1119,0,43,1162,1626
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5301,2,216,180,25,27,36,19,9,443,24,27,2,2,0,0,10,0,1,3,1024,0,44,1068,1470
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5308,2,213,205,18,12,21,8,11,227,20,22,2,1,0,0,4,1,0,0,765,0,12,777,1040
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5309,6,547,521,96,78,82,57,51,1038,75,81,15,3,1,1,15,5,0,5,2671,1,85,2757,3752
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5310,3,266,359,59,42,39,25,21,600,26,73,3,0,0,0,7,3,1,4,1528,3,35,1566,2195
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5311,3,252,423,38,43,37,29,26,600,38,42,6,2,1,0,14,3,2,3,1559,0,28,1587,2142
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5323,6,625,522,90,104,116,51,51,1104,51,100,14,3,3,1,20,4,1,8,2868,2,111,2981,4265
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5324,4,284,293,52,34,47,25,25,654,37,45,3,4,0,0,17,6,0,5,1531,0,54,1585,2262
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5325,3,245,269,62,39,39,24,24,549,39,41,6,4,0,0,10,1,0,5,1357,1,48,1406,1881
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5326,4,375,426,76,47,61,28,31,618,30,54,10,2,4,0,23,1,0,5,1791,0,74,1865,2480
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5327,3,192,225,46,34,41,20,15,459,26,47,5,1,1,0,9,5,0,3,1129,0,29,1158,1574
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5363,5,513,443,67,50,50,42,32,778,44,45,12,2,0,1,16,3,0,10,2108,1,53,2162,2981
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5364,5,346,531,60,83,48,30,30,862,45,27,8,3,0,1,26,5,2,11,2118,0,57,2175,3192
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5365,3,294,370,32,59,29,25,19,548,35,29,10,2,1,0,25,6,0,4,1488,0,51,1539,2186
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5367,3,246,294,84,37,22,10,31,409,27,27,20,10,0,0,20,1,1,5,1244,0,45,1289,2000
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5386,3,151,496,60,41,28,25,25,483,33,37,5,0,0,1,19,5,2,2,1413,1,66,1480,2202
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5387,3,161,299,68,32,31,18,14,398,28,29,14,3,0,0,18,3,2,10,1128,2,23,1153,1643
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5388,5,428,601,119,71,61,52,45,831,72,85,5,1,0,1,28,5,1,7,2413,0,114,2527,3668
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5389,6,367,764,91,41,63,48,39,735,56,74,16,8,2,1,36,4,1,10,2356,1,125,2482,3784
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5390,7,647,634,102,111,75,48,106,1089,63,48,5,1,0,0,6,9,0,6,2950,2,69,3021,4388
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5391,4,274,464,50,42,41,21,21,669,21,33,3,2,1,0,7,5,4,4,1662,0,64,1726,2507
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5392,4,278,493,59,62,42,23,14,684,40,37,6,3,0,0,33,5,0,6,1785,0,55,1840,2718
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5393,4,278,385,54,59,31,28,16,821,34,29,11,2,1,0,24,5,0,7,1785,0,48,1833,2683
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5394,5,888,525,73,50,76,37,27,782,39,71,11,8,2,1,28,7,0,6,2631,1,100,2732,3741
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5395,2,111,300,27,23,25,22,19,260,33,26,0,0,4,0,6,1,1,7,865,0,49,914,1258
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5397,5,377,681,95,70,66,20,23,715,44,37,15,11,1,10,23,11,2,4,2205,1,93,2299,3655
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5404,5,380,636,102,101,125,41,48,788,46,32,14,5,4,0,14,11,3,10,2360,0,91,2451,3598
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5405,4,401,398,93,67,46,23,34,718,42,62,17,3,0,0,21,10,2,7,1944,2,89,2035,2876
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5406,4,356,382,81,47,50,24,22,700,43,29,12,3,1,0,31,6,1,12,1800,14,89,1903,2658
,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5407,4,301,433,74,59,42,28,25,754,42,41,4,4,1,0,14,2,10,14,1848,2,59,1909,2708
