ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,34,TOLUCA DE LERDO,152,447,42791,42839,7271,5520,5696,3769,3798,71483,4975,5574,193716,107,6419,200242,273938,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D34.pdf
15,MEXICO,35,METEPEC,113,402,38119,44689,3582,9165,6941,3286,5158,67955,3714,4983,187592,83,5208,192883,260542,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,91,384,31468,36642,5086,6867,7453,2708,3570,63659,3827,2869,164149,689,5808,170646,253276,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ,113,394,15267,28064,6610,5466,4640,2514,3314,75951,4457,4514,,68,5415,,254006,http://www.ieem.org.mx/proceso2018/actas/distrital/CD37_TLALNEPANTLA_JDCL_452_2018.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,134,424,24891,28805,10484,4162,6019,3379,4846,85483,4330,5477,177876,157,6798,184831,268588,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D38.pdf
15,MEXICO,39,ACOLMAN DE NEZAHUALCOYOTL,146,444,23655,49721,7169,7379,7398,2561,3848,79288,3771,6199,190989,133,5616,196738,272235,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D39.pdf
15,MEXICO,40,IXTAPALUCA,159,430,10877,53155,8174,4325,3559,2624,2004,72451,3782,3182,164133,92,5340,169565,258523,http://www.ieem.org.mx/proceso2018/actas/distrital/CD 40_IXTAPALUCA_JI_32_2018.pdf
15,MEXICO,41,NEZAHUALCOYOTL,222,508,9351,25208,52358,4080,4921,2547,2767,74857,3705,1854,181648,83,5640,187371,290097,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,159,378,13449,32686,6251,4145,4743,2142,3034,70768,4202,2194,143614,89,4249,147952,218333,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,172,432,43064,24355,3405,4108,7521,3997,5775,76293,4430,5927,178875,116,4722,183713,261609,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D43.pdf
15,MEXICO,44,NICOLAS ROMERO,100,430,37524,32981,4988,5494,5688,3127,5006,77789,4432,4024,181053,171,5612,186836,284282,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D44.pdf
15,MEXICO,45,ALMOLOYA DE JUAREZ,107,381,19099,31519,6235,9227,8248,5204,9383,57120,3799,4405,154239,28,6729,160996,236180,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D45.pdf
