ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,17,,128,294,29817,9277.5,3870,2612.5,777,4338,1613,13160,2861,4179,0,0,0,0,402,72505,8094,81001,172162,0.4705
9,DISTRITO FEDERAL,18,,140,321,7973,7625,19584,7769,1281,2032,2833,17155,2594,4626,0,0,0,0,163,73472,5412,79047,186081,0.4248
9,DISTRITO FEDERAL,19,,105,254,2865,7747.5,22953,2880.5,1230,1392,1677,17288,2000,4411,0,0,0,0,142,64444,3946,68532,149823,0.4574
9,DISTRITO FEDERAL,20,,107,313,19513,26473,13302,5369,1067,1388,2087,13246,2824,3429,0,0,0,0,174,88698,5150,94022,195196,0.4817
9,DISTRITO FEDERAL,21,,157,314,6850,8313,18651,4020,1596,1926,2075,21817,2038,4845,0,2374,0,0,275,74505,5683,80463,175403,0.4587
9,DISTRITO FEDERAL,22,,125,280,3496,5648,19316,3127,1381,4063,2271,19106,1850,6633,0,0,1467,0,177,68358,4418,72953,164972,0.4422
9,DISTRITO FEDERAL,23,,163,318,21113,9124,10831,4097,1103,2360,2283,15992,2687,4436,0,0,0,0,284,74026,7047,81357,175538,0.4635
9,DISTRITO FEDERAL,24,,146,295,11167,7612,16675,3462,1622,1978,1954,19005,2588,6215,0,0,0,0,221,72278,5679,78178,164704,0.4747
9,DISTRITO FEDERAL,25,,110,282,10366,6711,14881,7393,1861,2903,2050,13354,2406,4212,0,0,0,0,140,66137,5158,71435,168498,0.4240
9,DISTRITO FEDERAL,26,,142,312,19302,10276,12820,3014,1334,3093,1971,18206,2980,4623,0,0,0,0,404,77619,7685,85708,178915,0.4790
9,DISTRITO FEDERAL,27,,110,296,2389,4998,26868,3228,2098,8834,1965,24221,1786,3476,0,0,0,0,408,79863,4887,85158,186484,0.4567
9,DISTRITO FEDERAL,28,,139,316,7343,6632,18564,3857,1841,2988,2050,22489,2704,7103,0,0,0,0,197,75571,5913,81681,188404,0.4335
9,DISTRITO FEDERAL,29,,97,276,2821,4367,25275,3879,2065,1531,1897,21191,1700,3783,0,0,0,0,139,68509,4104,72752,176141,0.4130
9,DISTRITO FEDERAL,30,,130,294,16375,9153,14789,3062,1159,3639,2195,17299,2922,6178,0,0,0,0,349,76771,7118,84238,171333,0.4917
9,DISTRITO FEDERAL,31,,121,285,3729,5437,23329,3164,1731,1826,1797,22506,2433,4745,0,0,0,0,153,70697,4572,75422,173002,0.4360
9,DISTRITO FEDERAL,32,,131,316,8291,8523,22695,2756,1477,4458,2611,21288,2542,4945,0,0,0,0,334,79586,6968,86888,189783,0.4578
9,DISTRITO FEDERAL,33,,147,321,11088,17824,17018,3454,1285,3989,2093,17905,2434,3954,0,0,0,0,203,81044,5966,87213,183311,0.4758
9,DISTRITO FEDERAL,34,,91,285,3286,22981,13316,4127,1676,10612,2169,15174,1803,3854,0,0,0,0,99,78998,4433,83530,179804,0.4646
9,DISTRITO FEDERAL,35,,96,296,3952,6793,9455,4843,979,7311,2640,20241,2077,4257,0,0,0,0,146,62548,4376,67070,182813,0.3669
9,DISTRITO FEDERAL,36,,77,260,4009,7796,8443,4754,2233,7051,1717,17600,1741,3367,0,0,0,0,112,58711,3969,62792,164883,0.3808
9,DISTRITO FEDERAL,37,,110,291,10550,6211,15024,4396,1303,1975,1609,20955,2265,4181,0,0,0,0,251,68469,5726,74446,174855,0.4258
9,DISTRITO FEDERAL,38,,150,301,18516,9585,7449,3302,1477,2327,1733,19978,2708,4666,0,0,0,0,318,71741,7063,79122,168621,0.4692
9,DISTRITO FEDERAL,39,,95,249,7842,7442,6407,4922,1848,4024,1926,17025,2029,4533,0,0,0,0,259,57998,4955,63212,150468,0.4201
9,DISTRITO FEDERAL,40,,94,272,7873,6895,18340,4259,1201,1579,1366,19783,2075,3545,0,0,0,0,135,66916,5237,72288,170392,0.4242
