ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,144,SANTIAGO TUXTLA,38,76,5212,3118,6398,311,426,422,275,9226,180,235,308,34,27,121,146,49,19,56,26563,8,1072,27643,43254,
30,VERACRUZ,145,SAYULA DE ALEMAN,19,45,2866,1729,2188,178,255,254,88,5673,119,65,131,10,5,93,91,27,5,30,13807,2,355,14164,22820,
30,VERACRUZ,147,SOCHIAPA,2,5,757,351,42,86,34,14,33,496,14,18,11,9,0,9,4,2,0,2,1882,0,50,1932,2744,
30,VERACRUZ,146,SOCONUSCO,8,16,1764,283,101,39,125,1195,34,2936,41,23,11,17,9,5,38,12,2,11,6646,0,132,6778,10113,
30,VERACRUZ,148,SOLEDAD ATZOMPA,9,24,1355,1568,1513,191,569,267,228,3934,121,19,56,6,10,28,39,30,5,29,9968,0,662,10630,14026,
30,VERACRUZ,149,SOLEDAD DE DOBLADO,17,40,7530,1359,148,100,159,171,147,4081,107,94,51,32,3,32,88,26,11,23,14162,1,460,14623,21396,
30,VERACRUZ,150,SOTEAPAN,11,45,4879,4086,488,216,531,304,168,5874,212,97,108,14,5,131,132,41,19,43,17348,1,769,18118,23144,
30,VERACRUZ,151,TAMALIN,8,15,1691,2041,37,50,206,1073,39,1060,10,25,10,16,5,46,26,1,0,3,6339,1,76,6416,8470,
30,VERACRUZ,152,TAMIAHUA,21,37,3839,1722,614,1709,211,144,133,2248,66,63,49,11,5,56,32,17,3,17,10939,1,357,11297,16864,
30,VERACRUZ,153,TAMPICO ALTO,19,23,2469,738,53,52,124,83,42,1458,168,29,7,12,1,12,37,16,2,14,5317,1,182,5500,8693,
30,VERACRUZ,154,TANCOCO,7,9,1420,424,108,39,41,41,25,912,16,20,3,2,0,14,9,2,0,3,3079,0,86,3165,4371,
30,VERACRUZ,155,TANTIMA,11,16,3738,1223,52,60,64,64,22,1067,22,27,11,9,2,18,19,5,3,9,6415,1,122,6538,9056,
30,VERACRUZ,156,TANTOYUCA,60,126,23901,7689,781,1587,782,383,300,12247,283,249,149,29,17,332,203,66,7,65,49070,22,1089,50181,68338,
30,VERACRUZ,210,TATAHUICAPAN DE JUAREZ,8,10,702,856,226,78,81,57,48,1416,27,17,29,1,0,39,19,12,3,11,3622,0,172,3794,11032,
30,VERACRUZ,157,TATATILA,4,9,1581,346,39,17,51,279,6,266,8,21,15,20,1,6,2,1,0,1,2660,1,72,2733,3752,
30,VERACRUZ,158,TECOLUTLA,28,43,3869,2100,467,565,240,591,108,3989,94,66,26,27,9,71,79,29,4,37,12371,1,374,12746,18452,
30,VERACRUZ,159,TEHUIPANGO,7,25,3607,2035,319,151,1002,232,143,2406,198,36,43,11,0,60,32,19,8,9,10311,1,685,10997,15559,
30,VERACRUZ,160,TEMPOAL,30,49,6175,1949,515,160,475,280,231,5449,248,73,42,19,1,54,120,42,7,46,15886,1,592,16479,24826,
30,VERACRUZ,161,TENAMPA,3,8,1597,852,61,33,27,27,19,554,26,26,21,4,1,42,9,2,0,5,3306,0,118,3424,4797,
30,VERACRUZ,162,TENOCHTITLAN,6,10,648,173,408,68,36,272,20,886,22,13,13,2,0,5,4,4,0,0,2574,1,66,2641,4004,
30,VERACRUZ,163,TEOCELO,9,22,2574,1262,309,47,297,67,92,2721,78,71,62,13,2,32,55,25,5,16,7728,1,214,7943,12226,
30,VERACRUZ,164,TEPATLAXCO,3,11,2021,1403,231,25,27,72,11,807,16,29,13,3,0,22,9,3,2,7,4701,0,111,4812,6233,
30,VERACRUZ,165,TEPETLAN,6,13,1476,208,1376,40,91,41,33,1303,72,25,65,3,2,6,19,6,4,8,4778,0,137,4915,6973,
30,VERACRUZ,166,TEPETZINTLA,9,19,2829,1060,133,174,109,93,53,2839,47,27,14,2,5,37,44,10,0,8,7484,1,129,7614,10224,
30,VERACRUZ,167,TEQUILA,8,19,2468,1729,220,78,196,95,75,1621,48,30,40,7,2,49,36,11,2,12,6719,2,284,7005,9615,
30,VERACRUZ,169,TEXCATEPEC,5,14,1173,303,174,1704,68,60,34,1394,31,6,11,0,0,38,9,2,1,3,5011,0,129,5140,6803,
30,VERACRUZ,170,TEXHUACAN,4,8,672,473,32,44,110,36,27,971,30,10,14,7,4,11,15,4,0,6,2466,1,114,2581,3839,
30,VERACRUZ,171,TEXISTEPEC,16,31,1580,955,2120,110,191,120,82,3686,71,61,84,8,5,43,81,19,3,17,9236,1,234,9471,14258,
30,VERACRUZ,172,TEZONAPA,35,74,5417,2973,483,1208,659,3641,169,8470,197,273,61,167,38,273,162,67,14,30,24302,0,1140,25442,37897,
30,VERACRUZ,173,TIERRA BLANCA,67,132,13379,4263,714,395,1090,689,479,21066,280,155,99,37,26,159,246,165,21,83,43346,4,1198,44548,73338,
30,VERACRUZ,174,TIHUATLAN,49,114,7873,3399,8215,416,997,375,366,15704,254,423,607,18,31,82,322,143,18,92,39335,17,1385,40737,64785,
30,VERACRUZ,179,TLACHICHILCO,9,15,2208,1656,79,70,116,57,33,1026,66,15,25,0,0,23,13,7,3,3,5400,0,177,5577,7856,
30,VERACRUZ,175,TLACOJALPAN,4,7,877,258,30,10,45,74,10,739,16,15,7,3,0,5,24,20,0,7,2140,0,54,2194,3522,
30,VERACRUZ,176,TLACOLULAN,6,14,2061,670,657,52,132,103,84,1238,50,52,58,5,2,10,18,4,1,5,5202,0,131,5333,7443,
30,VERACRUZ,177,TLACOTALPAN,13,21,2926,557,296,196,86,90,59,2070,45,58,57,14,9,31,14,11,3,10,6532,1,295,6828,10429,
30,VERACRUZ,178,TLACOTEPEC DE MEJIA,2,6,1091,263,22,20,27,15,7,632,23,14,11,5,1,5,6,2,0,3,2147,3,126,2276,3133,
30,VERACRUZ,180,TLALIXCOYAN,27,56,8615,1460,253,225,332,219,131,5472,138,166,97,44,5,58,83,51,11,35,17395,3,533,17931,27695,
30,VERACRUZ,181,TLALNELHUAYOCAN,5,18,2524,1617,94,132,221,86,93,2724,64,59,25,17,0,80,68,22,1,25,7852,0,190,8042,12456,
30,VERACRUZ,25,TLALTETELA,6,21,2851,2242,247,75,105,78,43,1527,42,65,47,16,3,77,34,9,0,16,7477,3,244,7724,11025,
30,VERACRUZ,182,TLAPACOYAN,32,82,5082,5097,924,265,633,390,304,10181,249,110,71,29,12,88,173,68,6,61,23743,5,680,24428,42040,
30,VERACRUZ,183,TLAQUILPA,3,9,749,418,112,39,421,78,43,1235,40,13,19,3,1,15,29,20,5,9,3249,0,171,3420,5173,
30,VERACRUZ,184,TLILAPAN,2,6,989,216,74,16,146,26,15,1017,23,19,17,1,0,3,16,10,5,2,2595,0,63,2658,3691,
30,VERACRUZ,185,TOMATLAN,4,9,975,411,291,27,76,44,48,1481,46,14,17,3,3,4,21,9,0,9,3479,2,104,3585,5206,
30,VERACRUZ,186,TONAYAN,3,7,945,526,93,45,47,75,17,827,12,17,7,6,1,16,13,4,2,4,2657,0,51,2708,4010,
30,VERACRUZ,187,TOTUTLA,10,21,4017,1868,190,290,109,60,91,1511,54,83,41,13,9,100,16,11,2,20,8485,0,274,8759,12140,
30,VERACRUZ,204,TRES VALLES,33,65,5683,3184,401,264,870,387,198,7975,151,79,53,32,7,101,209,128,9,41,19772,1,689,20462,32364,
30,VERACRUZ,188,TUXPAN,75,196,20452,6731,1404,1209,1391,692,707,30608,570,336,227,84,15,207,518,210,18,155,65534,11,1620,67165,109523,
30,VERACRUZ,189,TUXTILLA,2,4,919,132,17,4,12,26,6,336,8,5,5,1,0,1,8,2,0,3,1485,0,22,1507,1944,
30,VERACRUZ,190,URSULO GALVAN,23,47,5661,1659,222,118,302,168,118,6466,115,130,52,22,7,47,100,44,14,33,15278,4,296,15578,23545,
30,VERACRUZ,209,UXPANAPA,17,40,4053,1340,447,94,476,281,184,4080,200,128,57,14,3,36,130,41,8,34,11606,0,434,12040,18973,
30,VERACRUZ,191,VEGA DE ALATORRE,21,32,2052,1319,285,1209,226,145,98,3392,63,10,26,11,2,120,35,20,3,16,9032,0,269,9301,14998,
30,VERACRUZ,192,VERACRUZ,363,800,142511,17587,3374,3378,4396,2528,1924,86727,2006,2988,1550,531,61,782,1690,735,85,447,273300,76,4658,278034,456963,
30,VERACRUZ,193,VILLA ALDAMA,5,12,1715,1032,769,82,76,70,34,1199,40,58,69,5,1,27,18,9,0,11,5215,0,132,5347,7655,
30,VERACRUZ,89,XALAPA,254,636,75185,37893,3640,3041,4522,2525,2794,107755,2075,1434,657,245,38,1100,1924,859,71,526,246284,71,4705,251060,371931,
30,VERACRUZ,194,XICO,19,47,2931,5066,1811,104,247,154,134,6708,132,73,117,6,6,103,81,41,10,41,17765,0,523,18288,26049,
30,VERACRUZ,195,XOXOCOTLA,2,6,1299,356,97,30,76,51,22,751,19,10,14,5,0,5,10,3,2,2,2752,0,117,2869,3763,
30,VERACRUZ,196,YANGA,14,24,2171,1589,140,79,182,127,65,4272,87,34,17,8,7,53,64,23,12,17,8947,0,266,9213,13423,
30,VERACRUZ,197,YECUATLA,10,18,1584,309,1346,325,192,38,19,1549,21,43,95,4,1,42,40,18,0,5,5631,3,140,5774,8380,
30,VERACRUZ,198,ZACUALPAN,6,11,413,278,1672,16,96,84,18,585,36,17,47,0,10,5,9,4,2,3,3295,0,145,3440,4561,
30,VERACRUZ,199,ZARAGOZA,4,13,721,849,556,31,92,45,33,2479,66,16,19,3,1,18,36,10,0,4,4979,0,66,5045,8165,
30,VERACRUZ,200,ZENTLA,9,18,3480,1068,91,131,100,79,48,1389,53,32,23,12,4,30,12,11,2,10,6575,1,185,6761,9617,
30,VERACRUZ,201,ZONGOLICA,28,56,3764,2355,7066,725,483,303,139,4853,195,147,437,17,36,180,93,31,15,32,20871,3,1192,22066,30966,
30,VERACRUZ,202,ZONTECOMATLAN,8,19,3131,900,91,49,186,63,59,1393,51,46,41,11,0,25,22,11,7,9,6095,1,301,6397,8822,
30,VERACRUZ,203,ZOZOCOLCO DE HIDALGO,8,15,3023,871,210,148,118,38,41,1182,37,32,36,3,1,35,22,8,4,2,5811,0,140,5951,8852,
