ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,15,VERACRUZ II,190,406,75889,8974,1551,1890,2176,1219,893,42152,938,1547,798,285,28,416,815,383,48,213,140215,49,2419,142683,231992,
30,VERACRUZ,16,BOCA DEL RIO,186,389,74386,12044,1228,2437,1824,1576,840,35885,980,1366,682,260,21,504,589,258,50,191,135121,34,3013,138168,210308,
30,VERACRUZ,17,MEDELLIN DE BRAVO,137,351,47024,11539,3673,2619,2351,2094,1263,43961,1437,795,443,280,46,461,775,301,44,305,119411,24,3284,122719,190476,
30,VERACRUZ,18,HUATUSCO,119,314,40723,22593,6734,2784,2112,1576,1176,32849,1351,974,771,172,61,863,486,224,46,285,115780,17,4078,119875,177978,
30,VERACRUZ,19,CORDOBA,154,348,33930,16601,1844,1574,3432,1552,1626,66234,1524,641,264,121,44,567,1321,460,66,415,132216,40,3049,135305,198192,
30,VERACRUZ,20,ORIZABA,168,368,37856,11487,2988,2291,3881,2402,1698,69979,1654,908,409,156,41,416,1428,490,51,375,138510,67,3215,141792,204624,
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,301,30439,7676,6395,2373,2753,2967,1304,50136,1519,948,600,180,70,439,1235,438,75,358,109905,49,3767,113721,173420,
30,VERACRUZ,22,ZONGOLICA,133,299,32009,17656,10768,2777,4589,5338,1177,35026,1264,786,826,268,115,810,619,260,72,179,114539,8,5441,119988,169694,
30,VERACRUZ,23,COSAMALOAPAN,193,379,37533,16598,2800,1100,3378,2100,1135,52408,839,535,414,127,54,507,862,534,71,266,121261,9,3485,124755,196612,
30,VERACRUZ,24,SANTIAGO TUXTLA,181,357,39003,12126,9964,2443,2595,1677,1059,41043,855,879,851,174,69,660,758,367,57,261,114841,19,4174,119034,194489,
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,323,35826,9329,4300,2447,2761,1790,1207,42888,1143,1120,659,174,63,432,1192,418,76,281,106106,16,4257,110379,181928,
30,VERACRUZ,26,COSOLEACAQUE,159,390,25597,18411,4774,1064,3122,1466,1139,71889,1405,587,511,77,36,528,1327,446,65,353,132797,16,3435,136248,208399,
30,VERACRUZ,27,ACAYUCAN,151,323,33816,10486,10495,858,2300,2560,858,49215,905,721,734,124,40,355,887,338,44,256,114992,13,3290,118295,182957,
30,VERACRUZ,28,MINATITLAN,151,340,25946,10794,3495,855,2680,1510,1240,61326,998,865,530,100,43,212,1194,388,78,325,112579,16,2714,115309,174248,
30,VERACRUZ,29,COATZACOALCOS I,149,362,25783,9145,1691,606,2111,1120,1212,78568,1381,709,218,96,16,263,2164,471,58,472,126084,40,2243,128367,198507,
30,VERACRUZ,30,COATZACOALCOS II,152,350,19511,11184,3103,642,2886,1392,851,67067,1243,935,307,103,46,298,2343,539,76,472,112998,13,3095,116106,184825,
