municipality,section,PAN,PRI,PRD,PT,PC,PVEM,PANAL,PSD,CC_PRI_PANAL,PRI_PANAL,C_PRI_PANAL,PRD_PT_PC,C_PRD_PT_PC,PRD_PC,C_PRD_PC,PVEM_PANAL,C_PVEM_PANAL,PRI_PVEM,C_PRI_PVEM,Nulos
CUAUTLA,109,404,0,443,32,55,55,0,24,407,,,101,611,,,,,,,98
CUAUTLA,110,273,0,247,33,33,28,0,20,292,,,75,388,,,,,,,48
CUAUTLA,111,301,0,245,37,28,42,0,16,307,,,117,427,,,,,,,27
CUAUTLA,112,266,0,190,20,18,25,0,15,309,,,69,307,,,,,,,46
CUAUTLA,113,390,0,414,25,80,43,0,19,322,,,193,647,,,,,,,67
CUAUTLA,114,395,0,227,37,31,38,0,13,292,,,94,397,,,,,,,71
CUAUTLA,115,199,0,137,15,27,22,0,9,169,,,44,240,,,,,,,29
CUAUTLA,116,219,0,188,19,26,32,0,8,221,,,70,303,,,,,,,38
CUAUTLA,117,218,0,142,21,15,11,0,5,163,,,66,244,,,,,,,36
CUAUTLA,118,325,0,174,33,28,15,0,11,203,,,40,295,,,,,,,27
CUAUTLA*,119,109,0,90,14,7,14,0,7,119,,,27,138,,,,,,,22
CUAUTLA,120,205,0,174,25,21,22,0,15,235,,,55,275,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUAUTLA,121,108,0,82,12,24,16,0,5,83,,,28,156,,,,,,,26
CUAUTLA*,122,94,0,71,6,8,7,0,4,94,,,23,108,,,,,,,10
CUAUTLA,123,351,0,242,31,35,40,0,13,328,,,62,370,,,,,,,51
CUAUTLA,124,224,0,149,13,38,29,0,16,157,,,47,247,,,,,,,15
CUAUTLA,125,445,0,370,41,45,50,0,11,419,,,89,520,,,,,,,66
CUAUTLA,126,390,0,263,34,33,37,0,24,316,,,93,423,,,,,,,58
CUAUTLA,127,275,0,202,21,29,33,0,14,220,,,147,408,,,,,,,46
CUAUTLA,128,215,0,187,20,30,22,0,7,216,,,50,297,,,,,,,48
CUAUTLA,129,199,0,140,18,39,21,0,9,210,,,58,255,,,,,,,35
CUAUTLA,130,474,0,349,34,35,62,0,35,468,,,124,542,,,,,,,84
CUAUTLA,131,277,0,234,23,49,45,0,7,266,,,94,410,,,,,,,21
CUAUTLA,132,167,0,194,21,23,26,0,12,190,,,53,291,,,,,,,19
CUAUTLA,133,53,0,49,5,9,7,0,3,69,,,14,77,,,,,,,10
CUAUTLA,134,273,0,203,24,28,51,0,11,237,,,59,314,,,,,,,37
CUAUTLA,135,484,0,322,47,40,60,0,23,428,,,141,550,,,,,,,93
CUAUTLA,136,147,0,188,9,14,31,0,13,164,,,23,234,,,,,,,27
CUAUTLA,137,170,0,132,13,18,16,0,12,118,,,43,206,,,,,,,20
CUAUTLA,138,316,0,169,20,22,18,0,7,196,,,31,242,,,,,,,25
CUAUTLA,139,157,0,162,19,21,30,0,12,227,,,58,260,,,,,,,29
CUAUTLA,140,77,0,79,6,12,48,0,5,189,,,24,121,,,,,,,11
CUAUTLA,141,128,0,129,10,14,16,0,7,111,,,41,203,,,,,,,26
CUAUTLA*,142,138,0,170,15,21,14,0,13,183,,,57,263,,,,,,,16
CUAUTLA,143,200,0,213,32,29,25,0,17,279,,,79,353,,,,,,,35
CUAUTLA,144,120,0,140,25,16,15,0,8,165,,,42,223,,,,,,,22
CUAUTLA*,145,92,0,71,10,7,9,0,3,77,,,22,110,,,,,,,8
CUAUTLA,146,180,0,186,13,22,21,0,6,182,,,36,257,,,,,,,13
CUAUTLA,147,85,0,126,14,11,14,0,6,128,,,0,151,,,,,,,21
CUAUTLA*,148,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,0
CUAUTLA,149,168,0,95,14,14,14,0,5,118,,,21,144,,,,,,,21
CUAUTLA,150,379,0,337,80,91,71,0,14,334,,,45,553,,,,,,,97
CUAUTLA,151,503,0,503,66,52,94,0,27,583,,,145,770,,,,,,,90
CUAUTLA,152,309,0,164,24,26,40,0,17,259,,,44,258,,,,,,,53
CUAUTLA,153,207,0,146,28,21,23,0,9,131,,,50,245,,,,,,,35
CUAUTLA,154,208,0,138,16,25,20,0,11,164,,,32,211,,,,,,,24
CUAUTLA,155,178,0,184,16,44,19,0,20,200,,,49,293,,,,,,,37
CUAUTLA,156,117,0,178,22,17,29,0,13,130,,,29,246,,,,,,,30
CUAUTLA,157,58,0,175,21,14,12,0,3,124,,,36,246,,,,,,,11
CUAUTLA,158,73,0,56,8,13,10,0,4,98,,,22,99,,,,,,,10
CUAUTLA,159,183,0,250,34,24,41,0,27,296,,,78,386,,,,,,,37
CUAUTLA,160,101,0,98,6,18,19,0,9,123,,,34,156,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUAUTLA,161,77,0,90,13,10,13,0,7,82,,,23,136,,,,,,,14
CUAUTLA,162,156,0,182,17,30,44,0,11,196,,,56,285,,,,,,,26
CUAUTLA,163,42,0,71,16,8,7,0,1,89,,,14,109,,,,,,,7
CUAUTLA,164,64,0,56,13,11,6,0,1,83,,,11,91,,,,,,,6
CUAUTLA,165,146,0,175,6,45,19,0,18,271,,,20,216,,,,,,,29
CUAUTLA,166,154,0,195,20,26,41,0,21,328,,,56,297,,,,,,,41
CUAUTLA,167,82,0,93,14,12,16,0,10,202,,,29,148,,,,,,,18
CUAUTLA,168,123,0,129,16,9,12,0,5,166,,,37,191,,,,,,,15
CUAUTLA,169,167,0,195,21,35,36,0,14,334,,,26,277,,,,,,,33
CUAUTLA,170,114,0,152,23,17,22,0,7,189,,,42,234,,,,,,,18
CUAUTLA,171,50,0,64,15,9,7,0,5,108,,,26,114,,,,,,,8
CUAUTLA,172,122,0,142,27,16,14,0,11,144,,,33,218,,,,,,,22
CUAUTLA,173,219,0,199,37,25,36,0,14,207,,,76,337,,,,,,,28
CUAUTLA,174,149,0,143,20,19,35,0,15,203,,,36,218,,,,,,,19
CUAUTLA,175,180,0,209,29,20,27,0,9,254,,,60,318,,,,,,,48
CUAUTLA,176,126,0,96,9,24,22,0,5,142,,,37,166,,,,,,,30
CUAUTLA,177,321,0,278,41,43,46,0,18,301,,,83,445,,,,,,,92
CUAUTLA,178,510,0,510,54,72,55,0,28,526,,,163,799,,,,,,,101
CUAUTLA,179,254,0,194,29,33,18,0,11,141,,,59,315,,,,,,,44
CUAUTLA,180,229,0,336,53,33,41,0,15,316,,,168,590,,,,,,,76
CUAUTLA*,181,152,0,191,24,15,27,0,3,106,,,51,281,,,,,,,34
CUAUTLA,182,166,0,174,22,15,25,0,12,171,,,50,261,,,,,,,36
CUAUTLA,183,155,0,160,22,25,36,0,9,210,,,81,298,,,,,,,28
CUAUTLA,184,67,0,93,17,8,9,0,6,159,,,30,148,,,,,,,18
CUAUTLA,185,348,0,183,18,30,36,0,25,516,,,70,301,,,,,,,73
CUAUTLA,186,206,0,135,14,29,31,0,14,419,,,56,234,,,,,,,87
CUAUTLA,187,44,0,50,12,6,3,0,2,74,,,19,87,,,,,,,13
CUERNAVACA,188,497,0,391,41,34,94,0,60,478,,,121,587,,,,,81,653,46
CUERNAVACA,189,180,0,176,38,15,48,0,26,225,,,52,281,,,,,43,316,22
CUERNAVACA,190,298,0,406,56,34,56,0,50,526,,,98,594,,,,,108,690,34
CUERNAVACA,191,259,0,259,35,20,40,0,31,327,,,54,368,,,,,59,426,22
CUERNAVACA,192,314,0,308,39,33,37,0,37,417,,,91,471,,,,,65,519,37
CUERNAVACA,193,327,0,456,58,29,69,0,66,574,,,102,645,,,,,90,733,38
CUERNAVACA,194,418,0,485,49,37,64,0,65,614,,,78,649,,,,,72,750,40
CUERNAVACA,195,297,0,328,41,20,56,0,20,391,,,81,470,,,,,83,530,40
CUERNAVACA,196,378,0,348,57,29,77,0,45,441,,,77,511,,,,,62,580,28
CUERNAVACA,197,510,0,547,74,35,71,0,52,585,,,128,784,,,,,46,702,85
CUERNAVACA,198,249,0,339,41,21,63,0,22,388,,,49,450,,,,,27,478,32
CUERNAVACA,199,301,0,410,64,42,67,0,42,429,,,106,619,,,,,68,564,26
CUERNAVACA,200,240,0,255,54,18,38,0,22,275,,,73,400,,,,,34,347,28
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUERNAVACA,201,216,0,223,37,20,44,0,29,209,,,46,326,,,,,42,295,27
CUERNAVACA,202,312,0,317,46,17,42,0,46,343,,,98,478,,,,,64,449,25
CUERNAVACA,203,219,0,262,31,17,41,0,38,245,,,81,391,,,,,48,334,24
CUERNAVACA,204,252,0,312,36,31,56,0,45,364,,,92,471,,,,,69,489,30
CUERNAVACA,205,360,0,411,50,36,48,0,51,389,,,97,594,,,,,57,494,41
CUERNAVACA,206,286,0,212,28,17,28,0,28,331,,,46,303,,,,,43,402,17
CUERNAVACA,207,403,0,244,36,26,67,0,39,471,,,55,361,,,,,81,619,30
CUERNAVACA,208,490,0,273,38,23,42,0,36,395,,,62,396,,,,,62,499,34
CUERNAVACA,209,527,0,414,53,51,62,0,26,533,,,87,605,,,,,70,665,56
CUERNAVACA,210,242,0,222,34,21,25,0,24,254,,,42,319,,,,,27,306,22
CUERNAVACA,211,174,0,145,28,14,25,0,17,234,,,35,222,,,,,35,294,20
CUERNAVACA,212,200,0,196,24,20,29,0,28,287,,,53,293,,,,,49,365,17
CUERNAVACA,213,213,0,227,41,29,31,0,30,392,,,66,363,,,,,59,482,24
CUERNAVACA,214,236,0,275,35,23,50,0,36,414,,,80,413,,,,,83,547,21
CUERNAVACA,215,175,0,133,21,14,45,0,23,268,,,50,268,,,,,51,364,11
CUERNAVACA,216,282,0,190,27,23,42,0,22,294,,,36,276,,,,,39,375,22
CUERNAVACA,217,151,0,111,17,13,25,0,20,161,,,23,164,,,,,23,209,16
CUERNAVACA,218,150,0,127,15,16,23,0,21,144,,,34,192,,,,,29,196,11
CUERNAVACA,219,259,0,242,43,20,44,0,42,293,,,63,388,,,,,45,382,32
CUERNAVACA,220,638,0,733,82,67,136,0,60,757,,,178,1060,,,,,168,1061,64
CUERNAVACA,221,183,0,254,38,11,38,0,34,242,,,64,367,,,,,63,343,17
CUERNAVACA,222,386,0,687,71,51,172,0,70,728,,,214,1023,,,,,171,1071,79
CUERNAVACA,223,106,0,162,21,12,52,0,19,186,,,54,249,,,,,40,278,27
CUERNAVACA,224,102,0,221,37,18,49,0,20,245,,,52,328,,,,,51,345,16
CUERNAVACA,225,138,0,208,29,15,28,0,14,207,,,65,317,,,,,41,276,26
CUERNAVACA,226,105,0,195,27,16,55,0,12,178,,,64,333,,,,,40,273,23
CUERNAVACA,227,189,0,283,47,26,62,0,26,357,,,108,464,,,,,68,491,23
CUERNAVACA,228,172,0,120,18,4,19,0,7,188,,,8,90,,,,,16,323,9
CUERNAVACA,229,153,0,146,11,13,30,0,15,201,,,24,193,,,,,30,261,22
CUERNAVACA,230,340,0,263,37,27,46,0,25,364,,,50,377,,,,,59,469,31
CUERNAVACA,231,133,0,135,13,9,19,0,31,213,,,36,193,,,,,30,262,11
CUERNAVACA,232,286,0,251,41,36,48,0,27,370,,,62,390,,,,,59,467,19
CUERNAVACA,233,137,0,165,27,6,28,0,9,213,,,32,230,,,,,33,274,10
CUERNAVACA,234,184,0,139,23,19,23,0,15,194,,,25,206,,,,,14,231,25
CUERNAVACA,235,52,0,13,1,1,8,0,3,40,,,4,19,,,,,3,51,4
CUERNAVACA,236,129,0,70,13,8,14,0,12,119,,,22,113,,,,,23,156,8
CUERNAVACA,237,176,0,132,24,18,25,0,11,208,,,30,204,,,,,25,258,22
CUERNAVACA,238,142,0,112,17,14,21,0,9,166,,,29,172,,,,,16,203,10
CUERNAVACA,239,1237,0,1106,131,140,177,0,102,1329,,,206,1574,,,,,196,1705,91
CUERNAVACA,240,324,0,322,40,40,37,0,25,411,,,57,459,,,,,53,501,48
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUERNAVACA,241,253,0,225,23,21,46,0,32,333,,,36,218,,,,,41,420,35
CUERNAVACA,242,308,0,133,27,18,31,0,20,245,,,28,206,,,,,28,304,26
CUERNAVACA,243,126,0,180,8,11,24,0,4,157,,,37,186,,,,,19,200,14
CUERNAVACA,244,210,0,157,32,45,31,0,18,218,,,50,284,,,,,33,282,17
CUERNAVACA,245,138,0,118,20,16,32,0,10,171,,,36,190,,,,,29,232,25
CUERNAVACA,246,157,0,180,49,26,39,0,15,272,,,47,302,,,,,57,368,21
CUERNAVACA,247,200,0,179,46,11,30,0,23,259,,,34,270,,,,,48,337,21
CUERNAVACA,248,261,0,239,32,32,40,0,18,338,,,43,346,,,,,54,432,31
CUERNAVACA,249,133,0,60,11,13,20,0,13,115,,,14,98,,,,,8,143,8
CUERNAVACA,250,233,0,165,12,15,34,0,14,294,,,31,223,,,,,30,358,25
CUERNAVACA,251,162,0,101,12,10,29,0,4,214,,,14,137,,,,,11,254,12
CUERNAVACA,252,219,0,185,23,18,36,0,16,215,,,41,267,,,,,26,277,19
CUERNAVACA,253,122,0,195,29,14,30,0,14,189,,,59,297,,,,,13,232,19
CUERNAVACA,254,117,0,235,21,19,41,0,22,242,,,57,332,,,,,31,314,20
CUERNAVACA,255,306,0,267,34,27,67,0,36,329,,,73,401,,,,,50,446,27
CUERNAVACA,256,213,0,288,89,24,32,0,31,365,,,74,475,,,,,30,427,33
CUERNAVACA,257,660,0,796,137,52,121,0,75,857,,,164,1149,,,,,141,1119,66
CUERNAVACA,258,65,0,87,8,5,15,0,7,159,,,24,124,,,,,18,192,5
CUERNAVACA,259,68,0,96,7,6,16,0,14,112,,,26,135,,,,,11,139,19
CUERNAVACA,260,85,0,113,22,7,20,0,26,161,,,28,170,,,,,30,211,19
CUERNAVACA,261,75,0,105,19,10,19,0,19,119,,,32,166,,,,,16,154,8
CUERNAVACA,262,192,0,133,6,12,26,0,5,169,,,32,183,,,,,21,216,18
CUERNAVACA,263,238,0,112,22,16,38,0,7,260,,,14,164,,,,,25,323,19
CUERNAVACA,264,179,0,107,20,4,24,0,8,229,,,13,144,,,,,15,268,17
CUERNAVACA,265,158,0,70,5,9,25,0,7,153,,,16,100,,,,,12,190,15
CUERNAVACA,266,180,0,101,18,13,13,0,9,175,,,17,149,,,,,22,210,10
CUERNAVACA,267,268,0,263,31,29,40,0,14,386,,,58,381,,,,,55,481,25
CUERNAVACA,268,169,0,134,23,9,25,0,29,259,,,54,230,,,,,52,336,19
CUERNAVACA,269,157,0,152,10,8,32,0,29,286,,,36,206,,,,,42,360,27
CUERNAVACA,270,108,0,90,11,13,10,0,12,146,,,13,127,,,,,26,182,12
CUERNAVACA,271,131,0,135,23,15,22,0,11,199,,,37,210,,,,,31,251,21
CUERNAVACA,272,341,0,269,49,25,67,0,28,396,,,92,435,,,,,79,542,61
CUERNAVACA,273,204,0,209,30,24,27,0,14,236,,,50,313,,,,,45,308,37
CUERNAVACA,274,188,0,201,22,16,36,0,27,304,,,76,315,,,,,60,400,19
CUERNAVACA,275,162,0,146,18,27,35,0,10,217,,,28,219,,,,,29,281,23
CUERNAVACA,276,168,0,132,20,14,27,0,11,192,,,45,211,,,,,51,270,13
CUERNAVACA,277,110,0,80,13,9,16,0,16,129,,,17,119,,,,,14,159,9
CUERNAVACA,278,139,0,84,24,14,27,0,13,244,,,23,145,,,,,25,296,8
CUERNAVACA,279,213,0,184,25,11,44,0,19,256,,,46,266,,,,,33,333,30
CUERNAVACA,280,53,0,46,6,4,7,0,6,80,,,11,67,,,,,13,100,8
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CUERNAVACA,281,209,0,119,16,17,32,0,3,225,,,13,165,,,,,14,271,15
CUERNAVACA,282,158,0,252,56,15,50,0,26,339,,,87,410,,,,,54,443,18
CUERNAVACA,283,191,0,239,46,18,25,0,17,334,,,77,379,,,,,33,392,28
CUERNAVACA,284,188,0,282,36,13,37,0,23,442,,,54,390,,,,,80,559,28
CUERNAVACA,285,177,0,189,24,9,30,0,25,299,,,58,280,,,,,53,382,21
CUERNAVACA,286,126,0,215,27,16,32,0,25,293,,,63,321,,,,,23,348,14
CUERNAVACA,287,122,0,220,46,8,129,0,38,142,,,63,337,,,,,46,317,17
CUERNAVACA,288,169,0,223,72,19,30,0,28,319,,,99,473,,,,,52,401,12
CUERNAVACA,289,118,0,104,13,10,18,0,3,128,,,34,161,,,,,22,168,16
CUERNAVACA,290,311,0,293,59,37,44,0,25,399,,,72,361,,,,,58,501,27
CUERNAVACA,291,137,0,118,18,7,25,0,10,183,,,15,158,,,,,6,214,16
CUERNAVACA,292,218,0,248,55,27,52,0,28,351,,,106,436,,,,,65,468,31
CUERNAVACA,293,134,0,78,19,9,8,0,6,84,,,20,126,,,,,16,58,11
CUERNAVACA,294,112,0,125,30,20,27,0,21,234,,,47,222,,,,,33,294,17
CUERNAVACA,295,106,0,76,12,11,29,0,14,182,,,28,127,,,,,33,244,11
CUERNAVACA,296,104,0,107,21,10,24,0,15,206,,,36,174,,,,,35,233,10
CUERNAVACA,297,136,0,118,24,8,29,0,17,166,,,44,194,,,,,31,226,18
CUERNAVACA,298,91,0,119,16,10,28,0,12,166,,,45,190,,,,,36,230,13
CUERNAVACA,299,50,0,54,6,8,12,0,6,108,,,18,86,,,,,25,145,13
CUERNAVACA,300,109,0,107,15,15,21,0,7,191,,,33,170,,,,,39,251,9
CUERNAVACA,301,131,0,169,22,17,26,0,13,236,,,48,256,,,,,30,292,18
CUERNAVACA,302,241,0,295,37,11,58,0,14,411,,,89,432,,,,,119,588,51
CUERNAVACA,303,351,0,338,54,31,61,0,53,477,,,75,498,,,,,85,623,32
CUERNAVACA,304,206,0,173,35,17,30,0,24,338,,,74,299,,,,,55,423,20
CUERNAVACA,305,271,0,322,68,12,56,0,29,401,,,75,477,,,,,39,496,34
CUERNAVACA,306,154,0,231,24,14,35,0,24,268,,,54,323,,,,,41,344,29
