ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,21,PANUCO DE CORONADO,16,25,2867,2956,,506,,37,,,112,145,,,,,,,,8,6623,256,6887,10702,0.6435
10,DURANGO,22,PEÑON BLANCO,14,20,2212,2510,,173,,22,,,250,60,,,,,,,,5,5227,185,5417,8364,0.6477
10,DURANGO,23,POANAS,23,36,4956,,4023,581,114,879,60,190,565,270,,,,,,,,7,11638,317,11962,18741,0.6383
10,DURANGO,24,PUEBLO NUEVO,48,70,6886,6508,,882,,141,,,567,1040,,,,,,,,22,16024,1016,17062,30771,0.5545
10,DURANGO,25,RODEO,23,26,2179,2962,,126,,48,,,621,30,,,,,,,,1,5966,250,6217,9790,0.635
10,DURANGO,26,SAN BERNARDO,12,13,644,935,,37,,4,,,25,2,,,,,,,,0,1647,124,1771,2776,0.638
10,DURANGO,27,SAN DIMAS,38,44,2465,2786,,314,,223,,,1512,218,,,,,,,,2,7518,279,7799,13311,0.5859
10,DURANGO,28,SAN JUAN DE GUADALUPE,16,14,1133,1330,,501,,9,,,93,3,,,,,,,,0,3069,185,3254,4506,0.7221
10,DURANGO,29,SAN JUAN DEL RIO,23,26,1873,3809,,111,,23,,,403,20,,,,,,,,1,6239,257,6497,9828,0.6611
10,DURANGO,30,SAN LUIS DEL CORDERO,4,5,546,,629,12,5,0,5,3,2,4,,,,,,,,0,1206,35,1241,1867,0.6647
10,DURANGO,31,SAN PEDRO DEL GALLO,8,5,265,,473,145,66,0,2,141,7,1,,,,,,,,0,1100,24,1124,1469,0.7651
10,DURANGO,32,SANTA CLARA,9,10,1128,1263,,534,,22,,,436,22,,,,,,,,0,3405,189,3594,5193,0.6921
10,DURANGO,33,SANTIAGO PAPASQUIARO,62,84,8044,,9804,187,162,174,75,582,632,216,,,,,,,,7,19876,638,20521,35587,0.5766
10,DURANGO,34,SUCHIL,11,13,377,,1246,1030,53,34,34,256,175,36,,,,,,,,0,3241,135,3376,5225,0.6461
10,DURANGO,35,TAMAZULA ,31,37,3116,,4896,80,83,2,33,54,20,2,,,,,,,,2,8286,381,8669,15204,0.5702
10,DURANGO,36,TEPEHUANES,27,36,711,,2690,80,368,1184,24,123,168,19,,,,,,,,7,5367,277,5651,9384,0.6022
10,DURANGO,37,TLAHUALILO,26,32,3507,,3782,78,64,60,28,1826,576,97,,,,,,,,1,10018,230,10249,14681,0.6981
10,DURANGO,38,TOPIA,13,16,756,,1747,20,563,3,16,17,42,23,,,,,,,,1,3187,153,3341,5621,0.5944
10,DURANGO,39,VICENTE GUERRERO,17,32,1838,,3307,230,362,357,52,192,1351,1609,,,,,,,,116,9298,355,9769,16415,0.5951
