"NÚMERO","SECCIÓN","CAS.","DIFERENCIA ENTRE 1° Y  2° LUGAR","PAN","PRI","PRD","PVEM","PT","MC","MORENA","RSPD","PAN-PRI-PRD","PAN
PRI","PAN
PRD","PRI
PRD","PVEM-PT-RSPD-MOR","PVEM
PT
MOR","PVEM
PT
RSPD","PVEM
RSPD
MOR","PVEM
PT","PVEM
MOR","PVEM
RSPD","PT
RSPD
MOR","PT
MOR","PT
RSPD","RSPD
MOR","VA POR DURANGO","JUNTOS HACEMOS HISTORIA","CAND.
NO REG.","VOTOS
NULOS","...32","LISTA NOMINAL","...34","...35","...36","...37","municipality","...25","...27","...28","...29","...30","...31","...33","CAND. 
INDEP.","PVEM
RSPD
MOR...21","PVEM
RSPD
MOR...25","...38","PARTIDO ACCIÓN NACIONAL","PARTIDO REVOLUCIONARIO INSTITUCIONAL","PARTIDO VERDE ECOLOGISTA DE MÉXICO","PARTIDO DEL TRABAJO","CANDIDATURA NO REGISTRADA","VOTOS NULOS","...12","...14","...26","PVEM
PT
RSP","PVEM
RSP
MOR","PVEM
RSPD
MOR...20","PVEM
RSPD
MOR...24"
"8",4,"C1",36,123,17,7,117,9,29,43,10,3,10,2,0,1,1,1,1,4,6,0,0,1,1,3,162,198,0,10,399,676,0.590236686390533,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",4,"2",23,247,61,18,233,17,51,90,12,9,16,4,0,1,2,1,2,5,8,0,0,2,1,4,355,378,0,22,806,1353,0.595713229859571,NA,378,355," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5,"B1",37,102,39,6,123,14,21,41,0,1,6,0,0,4,4,0,2,0,3,0,0,0,0,0,154,191,0,6,372,588,0.63265306122449,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",5,"C1",14,114,39,6,116,6,12,42,9,4,3,1,0,0,3,0,1,1,2,0,0,0,0,1,167,181,0,11,371,587,0.632027257240204,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",5,"2",51,216,78,12,239,20,33,83,9,5,9,1,0,4,7,0,3,1,5,0,0,0,0,1,321,372,0,17,743,1175,0.632340425531915,NA,372,321," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",6,"B1",19,89,40,5,103,11,32,30,4,8,5,0,0,0,3,0,1,2,7,3,0,2,0,0,147,166,0,10,355,570,0.62280701754386,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",6,"C1",7,108,29,3,103,3,16,34,3,9,6,2,0,0,2,1,0,0,1,1,0,1,1,0,157,150,0,13,336,569,0.590509666080844,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",6,"C2",21,106,24,3,107,13,23,27,2,3,9,0,0,2,4,0,0,2,7,0,0,1,0,1,145,166,0,9,343,569,0.602811950790861,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",6,"3",33,303,93,11,313,27,71,91,9,20,20,2,0,2,9,1,1,4,15,4,0,4,1,1,449,482,0,32,1034,1708,0.605386416861827,NA,482,449," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",7,"B1",67,147,25,6,171,12,10,52,1,3,6,0,0,1,4,0,1,2,6,1,0,2,1,0,187,254,0,6,457,745,0.613422818791946,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",7,"1",67,147,25,6,171,12,10,52,1,3,6,0,0,1,4,0,1,2,6,1,0,2,1,0,187,254,0,6,457,745,0.613422818791946,NA,254,187," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",8,"B1",97,82,45,2,172,6,5,42,1,4,16,1,0,0,1,1,0,6,11,3,0,1,0,3,150,247,0,16,418,714,0.585434173669468,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",8,"1",97,82,45,2,172,6,5,42,1,4,16,1,0,0,1,1,0,6,11,3,0,1,0,3,150,247,0,16,418,714,0.585434173669468,NA,247,150," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",9,"B1",8,84,80,5,87,7,15,64,5,4,7,0,0,1,2,1,0,0,4,0,0,1,0,0,180,172,0,12,379,662,0.572507552870091,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",9,"1",8,84,80,5,87,7,15,64,5,4,7,0,0,1,2,1,0,0,4,0,0,1,0,0,180,172,0,12,379,662,0.572507552870091,NA,180,172," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",10,"B1",30,36,21,4,20,0,2,20,2,3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,73,43,0,2,120,190,0.631578947368421,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",10,"1",30,36,21,4,20,0,2,20,2,3,3,5,1,0,0,0,1,0,0,0,0,0,0,0,73,43,0,2,120,190,0.631578947368421,NA,73,43," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",12,"B1",6,33,5,0,24,0,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0,3,77,136,0.566176470588235,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",12,"1",6,33,5,0,24,0,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,34,0,3,77,136,0.566176470588235,NA,40,34," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",13,"B1",51,156,36,3,101,9,9,34,2,5,9,2,1,2,0,1,0,4,3,2,0,1,1,1,212,161,0,16,398,686,0.580174927113703,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",13,"1",51,156,36,3,101,9,9,34,2,5,9,2,1,2,0,1,0,4,3,2,0,1,1,1,212,161,0,16,398,686,0.580174927113703,NA,212,161," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",14,"B1",11,69,20,1,62,13,11,31,0,0,11,0,0,0,0,1,0,1,3,1,0,0,0,0,101,112,0,8,232,417,0.556354916067146,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",14,"1",11,69,20,1,62,13,11,31,0,0,11,0,0,0,0,1,0,1,3,1,0,0,0,0,101,112,0,8,232,417,0.556354916067146,NA,112,101," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",15,"B1",67,125,30,6,153,20,11,47,6,0,11,1,0,2,1,0,0,1,5,2,0,1,0,2,173,240,0,15,439,719,0.610570236439499,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",15,"1",67,125,30,6,153,20,11,47,6,0,11,1,0,2,1,0,0,1,5,2,0,1,0,2,173,240,0,15,439,719,0.610570236439499,NA,240,173," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",16,"B1",23,35,3,0,7,1,1,7,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,40,17,0,0,58,107,0.542056074766355,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",16,"E1",12,26,7,0,12,2,0,5,3,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,37,25,0,1,63,134,0.470149253731343,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",16,"E2",12,8,4,0,9,0,1,13,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,25,0,1,40,88,0.454545454545455,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",16,"3",23,69,14,0,28,3,2,25,6,3,4,0,0,1,0,1,0,2,0,0,0,1,0,0,90,67,0,2,161,329,0.48936170212766,NA,90,67," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",17,"B1",37,43,9,0,10,2,5,6,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,56,19,0,2,82,157,0.522292993630573,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",17,"1",37,43,9,0,10,2,5,6,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,56,19,0,2,82,157,0.522292993630573,NA,56,19," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",19,"B1",34,13,9,0,34,1,7,16,2,2,1,0,0,2,0,0,0,1,1,1,1,0,0,0,25,59,0,4,95,153,0.620915032679739,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",19,"1",34,13,9,0,34,1,7,16,2,2,1,0,0,2,0,0,0,1,1,1,1,0,0,0,25,59,0,4,95,153,0.620915032679739,NA,59,25," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",20,"B1",10,32,15,3,38,4,3,13,4,1,3,1,0,0,2,0,1,1,2,0,0,0,0,0,55,65,0,3,126,239,0.527196652719665,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",20,"1",10,32,15,3,38,4,3,13,4,1,3,1,0,0,2,0,1,1,2,0,0,0,0,0,55,65,0,3,126,239,0.527196652719665,NA,65,55," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",21,"B1",1,26,7,0,24,0,4,10,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,36,37,0,5,82,129,0.635658914728682,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",21,"1",1,26,7,0,24,0,4,10,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,36,37,0,5,82,129,0.635658914728682,NA,37,36," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",22,"B1",49,143,17,6,85,6,9,27,1,6,5,0,0,0,2,0,0,1,4,1,0,1,0,0,177,128,0,14,328,510,0.643137254901961,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",22,"C1",22,99,28,5,67,7,13,40,3,8,4,1,0,0,1,1,0,1,1,0,0,0,0,2,145,123,0,13,294,510,0.576470588235294,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",22,"2",71,242,45,11,152,13,22,67,4,14,9,1,0,0,3,1,0,2,5,1,0,1,0,2,322,251,0,27,622,1020,0.609803921568628,NA,322,251," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",23,"B1",29,112,25,0,133,5,28,26,3,5,9,1,0,0,1,0,0,1,9,2,0,1,0,0,152,181,0,14,375,592,0.633445945945946,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",23,"1",29,112,25,0,133,5,28,26,3,5,9,1,0,0,1,0,0,1,9,2,0,1,0,0,152,181,0,14,375,592,0.633445945945946,NA,181,152," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",24,"B1",19,94,11,0,71,4,3,6,0,3,5,0,0,0,1,0,0,4,5,1,1,1,0,0,113,94,0,3,213,322,0.661490683229814,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",24,"1",19,94,11,0,71,4,3,6,0,3,5,0,0,0,1,0,0,4,5,1,1,1,0,0,113,94,0,3,213,322,0.661490683229814,NA,113,94," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",25,"B1",154,250,12,0,89,5,21,24,1,7,10,1,0,0,0,0,0,3,0,2,0,2,0,0,280,126,0,10,437,678,0.644542772861357,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",25,"1",154,250,12,0,89,5,21,24,1,7,10,1,0,0,0,0,0,3,0,2,0,2,0,0,280,126,0,10,437,678,0.644542772861357,NA,280,126," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",26,"B1",47,85,27,6,123,8,8,30,4,9,9,0,0,2,2,0,1,1,7,3,0,2,0,0,136,183,0,12,339,600,0.565,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",26,"C1",13,130,20,3,111,6,3,29,5,8,12,0,1,2,0,0,0,4,3,1,0,0,0,0,174,161,0,14,352,600,0.586666666666667,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",26,"2",34,215,47,9,234,14,11,59,9,17,21,0,1,4,2,0,1,5,10,4,0,2,0,0,310,344,0,26,691,1200,0.575833333333333,NA,344,310," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",27,"B1",23,100,38,1,80,25,7,15,2,4,10,0,0,0,1,1,0,4,1,1,0,0,0,0,153,130,0,9,299,526,0.568441064638783,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",27,"C1",26,94,48,0,80,19,5,23,2,1,20,1,0,0,3,0,0,3,1,1,1,5,0,0,164,138,0,7,314,526,0.596958174904943,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",27,"2",49,194,86,1,160,44,12,38,4,5,30,1,0,0,4,1,0,7,2,2,1,5,0,0,317,268,0,16,613,1052,0.582699619771863,NA,317,268," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",28,"B1",140,58,44,1,182,6,8,38,4,0,4,1,0,1,3,0,0,3,8,2,1,0,0,0,108,248,0,11,375,612,0.612745098039216,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",28,"1",140,58,44,1,182,6,8,38,4,0,4,1,0,1,3,0,0,3,8,2,1,0,0,0,108,248,0,11,375,612,0.612745098039216,NA,248,108," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",29,"B1",134,31,27,4,130,10,11,48,1,1,9,0,0,4,1,1,1,2,6,1,0,1,0,0,72,206,0,8,297,475,0.625263157894737,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",29,"C1",143,28,27,2,140,7,8,38,2,1,6,0,0,2,3,1,0,0,6,6,0,1,0,1,64,207,0,8,287,474,0.605485232067511,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",29,"S1",3,7,7,0,15,2,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,17,20,0,0,37,0,0.0364173228346457,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",29,"3",280,66,61,6,285,19,19,87,3,3,17,0,0,6,4,2,1,2,14,7,0,2,0,1,153,433,0,16,621,949,0.654373024236038,NA,433,153," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",30,"B1",50,100,25,0,112,6,16,51,2,1,4,0,0,2,0,0,1,1,5,0,0,0,0,0,130,180,0,9,335,512,0.654296875,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",30,"C1",53,92,12,3,93,13,18,54,3,2,7,1,0,1,2,0,0,0,4,0,0,0,0,0,117,170,0,7,312,511,0.610567514677104,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",30,"2",103,192,37,3,205,19,34,105,5,3,11,1,0,3,2,0,1,1,9,0,0,0,0,0,247,350,0,16,647,1023,0.632453567937439,NA,350,247," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",31,"B1",50,55,9,3,86,2,12,18,1,1,4,0,0,3,2,0,0,1,6,0,0,3,0,0,72,122,0,7,213,378,0.563492063492063,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",31,"C1",52,70,8,4,102,4,14,25,1,4,5,0,1,1,0,0,0,4,6,0,0,1,0,0,92,144,0,4,254,377,0.673740053050398,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",31,"2",102,125,17,7,188,6,26,43,2,5,9,0,1,4,2,0,0,5,12,0,0,4,0,0,164,266,0,11,467,755,0.618543046357616,NA,266,164," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",32,"B1",14,89,22,3,64,9,5,26,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,117,103,0,8,233,372,0.626344086021505,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUN 01",32,"1",14,89,22,3,64,9,5,26,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,117,103,0,8,233,372,0.626344086021505,NA,117,103," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",33,"B1",46,23,14,0,66,0,2,16,1,5,1,0,0,0,1,1,0,0,2,2,0,0,0,0,43,89,0,3,137,223,0.614349775784753,NA,NA,NA," CANATLAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
