MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD-PT,PVEM,PC,PSN,PAS,PD,VALIDOS,No Registrados,Nulos,TOTAL
DURANGO,129,B,53,90,51,11,1,0,0,5,211,0,7,218
DURANGO,129,C,69,69,49,9,1,0,0,3,200,0,4,204
DURANGO,130,B,54,143,34,6,0,0,0,2,239,0,3,242
DURANGO,130,C,61,111,54,3,3,0,1,1,234,0,8,242
DURANGO,131,B,70,138,58,2,1,0,1,1,271,0,5,276
DURANGO,131,C,84,131,58,4,0,0,0,0,277,0,6,283
DURANGO,132,B,83,136,55,2,0,0,1,2,279,0,3,282
DURANGO,132,C,81,114,35,3,0,0,1,3,237,0,10,247
DURANGO,133,B,43,109,46,3,0,0,1,1,203,0,3,206
DURANGO,133,C,33,86,33,6,1,0,1,2,162,0,5,167
DURANGO,134,B,49,68,42,4,0,0,3,0,166,0,6,172
DURANGO,134,C,48,114,41,4,0,0,0,1,208,0,0,208
DURANGO,135,B,90,121,39,8,1,2,0,0,261,0,6,267
DURANGO,135,C,80,98,40,3,1,0,1,2,225,0,11,236
DURANGO,135,C,95,120,53,8,0,0,0,0,276,0,5,281
DURANGO,136,B,78,96,31,4,1,0,1,1,212,0,0,212
DURANGO,136,C,72,92,37,8,1,0,0,2,212,0,4,216
DURANGO,136,C,79,106,35,6,0,0,0,2,228,0,9,237
DURANGO,137,B,137,108,29,4,2,0,0,1,281,0,3,284
DURANGO,137,C,121,118,46,5,2,0,0,0,292,0,2,294
DURANGO,137,C,121,106,46,6,2,0,0,4,285,1,3,289
DURANGO,138,B,90,82,41,4,0,0,0,0,217,0,2,219
DURANGO,138,C,89,97,35,2,2,0,0,2,227,0,3,230
DURANGO,139,B,114,117,56,5,1,0,0,3,296,0,3,299
DURANGO,139,C,105,96,69,6,0,0,0,2,278,0,3,281
DURANGO,140,B,93,88,47,0,0,0,0,0,228,0,14,242
DURANGO,140,C,100,78,62,2,0,0,0,2,244,0,8,252
DURANGO,141,B,146,138,69,3,1,0,0,1,358,0,6,364
DURANGO,141,C,124,85,74,2,1,0,1,0,287,0,5,292
DURANGO,142,B,213,105,46,3,0,0,0,1,368,0,2,370
DURANGO,142,C,222,113,47,3,1,0,0,0,386,1,0,387
DURANGO,143,B,124,126,59,7,5,0,0,1,322,0,2,324
DURANGO,143,C,127,115,70,10,0,0,0,0,322,0,5,327
DURANGO,144,B,154,174,50,9,1,0,1,1,390,0,1,391
DURANGO,144,C,138,163,63,4,3,0,0,1,372,0,1,373
DURANGO,145,B,118,112,47,5,0,0,1,2,285,0,0,285
DURANGO,145,C,128,110,45,4,0,0,0,1,288,0,3,291
DURANGO,145,C,137,89,40,1,0,0,0,0,267,0,8,275
DURANGO,146,B,169,126,48,8,0,3,0,3,357,0,4,361
DURANGO,146,C,159,127,48,7,1,0,0,2,344,0,5,349
DURANGO,146,C,181,110,60,2,0,0,0,4,357,1,4,362
DURANGO,147,B,123,123,76,4,0,0,0,1,327,0,0,327
DURANGO,147,C,123,132,75,4,0,0,0,1,335,0,3,338
DURANGO,148,B,71,71,51,3,0,0,0,0,196,0,5,201
DURANGO,148,C,94,79,51,5,1,0,0,0,230,0,4,234
DURANGO,149,B,89,77,33,5,2,0,0,3,209,0,1,210
DURANGO,149,C,95,76,36,4,2,0,3,0,216,0,4,220
DURANGO,150,B,68,85,148,2,0,0,0,0,303,0,8,311
DURANGO,150,C,85,103,149,2,0,0,0,1,340,0,8,348
DURANGO,151,B,102,124,41,2,0,0,1,2,272,0,4,276
DURANGO,151,C,133,125,48,2,0,0,0,0,308,0,9,317
DURANGO,152,B,202,116,30,6,1,0,0,0,355,0,3,358
DURANGO,152,C,196,129,46,2,0,0,0,3,376,0,5,381
DURANGO,153,B,153,147,65,2,1,0,0,1,369,0,2,371
DURANGO,154,B,119,119,74,5,0,0,1,0,318,0,8,326
DURANGO,154,C,98,110,75,6,0,0,2,0,291,0,0,291
DURANGO,155,B,87,78,113,5,0,0,4,1,288,0,10,298
DURANGO,155,C,83,105,123,3,0,0,0,1,315,0,7,322
DURANGO,156,B,47,145,32,1,0,0,1,1,227,0,7,234
DURANGO,156,C,45,128,72,1,1,0,6,4,257,0,3,260
DURANGO,157,B,98,100,43,4,3,0,0,3,251,0,10,261
DURANGO,157,C,100,82,40,4,4,0,1,2,233,0,6,239
DURANGO,157,C,91,115,72,5,4,0,0,0,287,0,3,290
DURANGO,158,B,65,69,56,1,1,0,0,2,194,0,5,199
DURANGO,158,C,76,60,45,0,0,0,0,2,183,0,6,189
DURANGO,159,B,88,109,43,3,0,0,0,3,246,0,8,254
DURANGO,159,C,82,93,48,2,0,0,0,2,227,0,6,233
DURANGO,160,B,85,63,57,5,0,0,0,3,213,0,8,221
DURANGO,160,C,74,76,45,6,1,0,1,3,206,0,2,208
DURANGO,161,B,64,108,66,4,1,0,0,9,252,0,3,255
DURANGO,161,C,86,86,44,7,0,0,2,4,229,0,0,229
DURANGO,161,C,69,98,45,9,2,0,0,0,223,0,8,231
DURANGO,162,B,83,114,48,0,0,0,1,3,249,0,4,253
DURANGO,162,C,101,101,50,3,0,0,0,2,257,0,4,261
DURANGO,162,C,90,124,48,2,0,0,1,2,267,0,14,281
DURANGO,163,B,83,120,55,3,1,0,2,3,267,0,8,275
DURANGO,163,C,68,95,46,3,0,0,1,2,215,0,16,231
DURANGO,164,B,43,97,24,2,0,0,2,1,169,0,3,172
DURANGO,164,C,44,82,22,1,0,0,3,0,152,0,3,155
DURANGO,165,B,48,67,37,2,0,0,3,1,158,0,4,162
DURANGO,166,B,52,117,93,1,0,0,2,5,270,0,9,279
DURANGO,167,B,67,90,66,3,0,0,2,3,231,0,0,231
DURANGO,167,C,69,111,74,5,0,0,2,0,261,0,9,270
DURANGO,168,B,95,137,54,10,0,0,0,6,302,0,18,320
DURANGO,168,C,87,148,42,1,1,0,1,5,285,0,3,288
DURANGO,169,B,105,125,71,0,11,0,0,2,314,0,12,326
DURANGO,169,C,130,100,57,6,0,0,0,2,295,0,14,309
DURANGO,170,B,146,121,52,8,0,0,2,1,330,0,4,334
DURANGO,170,C,160,134,55,3,0,0,1,5,358,0,3,361
DURANGO,171,B,71,60,48,9,0,0,1,1,190,1,4,195
DURANGO,171,C,66,92,46,4,1,0,1,1,211,0,0,211
DURANGO,172,B,93,91,63,9,0,0,0,2,258,0,3,261
DURANGO,172,C,92,89,73,4,0,0,1,2,261,0,4,265
DURANGO,173,B,69,78,54,4,0,0,1,0,206,3,5,214
DURANGO,173,C,69,77,51,2,0,0,0,1,200,0,4,204
DURANGO,174,B,134,134,56,2,1,0,0,4,331,0,9,340
DURANGO,175,B,89,65,48,2,0,0,0,1,205,0,4,209
DURANGO,175,C,60,90,36,2,0,0,0,2,190,0,2,192
DURANGO,176,B,48,133,72,2,0,0,3,2,260,0,8,268
DURANGO,176,C,65,142,87,0,0,0,8,0,302,0,6,308
DURANGO,177,B,25,52,124,1,0,0,1,1,204,0,6,210
DURANGO,177,C,40,48,136,7,0,0,0,1,232,0,5,237
DURANGO,178,B,33,63,175,5,1,0,0,1,278,0,13,291
DURANGO,178,C,30,82,168,5,1,0,0,0,286,0,15,301
DURANGO,179,B,40,45,114,1,1,0,0,1,202,0,12,214
DURANGO,179,C,45,88,122,3,0,0,1,1,260,0,10,270
DURANGO,180,B,35,49,114,3,1,0,2,8,212,0,11,223
DURANGO,180,C,46,48,120,1,1,0,0,14,230,0,5,235
DURANGO,181,B,107,91,39,9,0,0,3,4,253,0,2,255
DURANGO,181,C,98,95,38,5,1,0,2,3,242,0,5,247
DURANGO,182,B,66,67,43,0,2,0,0,0,178,0,9,187
DURANGO,182,C,57,90,51,4,1,0,0,0,203,0,7,210
DURANGO,183,B,79,50,41,1,0,0,1,1,173,0,1,174
DURANGO,183,C,76,76,38,1,0,0,0,0,191,0,0,191
DURANGO,184,B,122,93,35,2,0,0,2,0,254,0,8,262
DURANGO,184,C,101,93,44,4,1,0,1,3,247,0,7,254
DURANGO,185,B,134,84,37,1,0,0,3,0,259,0,2,261
DURANGO,185,C,131,83,43,2,1,0,1,0,261,0,6,267
DURANGO,186,B,182,94,37,1,1,0,0,1,316,0,2,318
DURANGO,187,B,85,100,40,8,0,0,1,5,239,0,0,239
DURANGO,187,C,108,82,38,8,0,0,0,10,246,0,5,251
DURANGO,188,B,204,113,48,6,2,0,0,0,373,0,3,376
DURANGO,188,C,200,131,35,3,1,1,0,0,371,0,4,375
DURANGO,189,B,93,65,22,3,1,0,1,1,186,0,2,188
DURANGO,189,C,98,81,26,0,1,0,0,1,207,0,4,211
DURANGO,190,B,88,96,31,2,2,0,0,1,220,0,2,222
DURANGO,190,C,82,87,4,10,2,0,0,3,188,0,11,199
DURANGO,191,B,142,85,24,3,1,0,0,1,256,0,3,259
DURANGO,191,C,119,101,35,3,0,0,0,1,259,0,2,261
DURANGO,192,B,139,94,19,3,0,0,1,1,257,0,4,261
DURANGO,192,C,134,108,23,3,2,0,0,1,271,0,1,272
DURANGO,193,B,142,112,80,3,1,0,0,2,340,0,6,346
DURANGO,194,B,137,102,49,4,0,0,0,2,294,0,9,303
DURANGO,194,C,148,93,39,5,0,0,0,3,288,0,4,292
DURANGO,195,B,156,116,41,6,1,0,1,2,323,1,8,332
DURANGO,195,C,174,111,51,5,0,0,1,3,345,0,3,348
DURANGO,196,B,90,75,40,4,1,0,1,1,212,0,3,215
DURANGO,196,C,78,70,46,1,0,0,0,1,196,0,4,200
DURANGO,197,B,93,68,55,3,0,0,0,2,221,0,0,221
DURANGO,197,C,84,79,88,2,2,0,2,6,263,0,3,266
DURANGO,198,B,50,93,84,6,0,0,0,2,235,0,3,238
DURANGO,198,C,54,87,80,0,0,0,1,1,223,0,9,232
DURANGO,199,B,76,111,34,5,0,0,0,0,226,0,10,236
DURANGO,199,C,81,138,39,1,0,0,0,0,259,0,9,268
DURANGO,200,B,80,341,64,21,1,0,2,4,513,0,15,528
DURANGO,201,B,35,101,50,2,0,0,0,0,188,0,4,192
DURANGO,201,C,29,88,54,6,0,0,0,3,180,0,11,191
DURANGO,202,B,127,97,54,4,1,0,0,0,283,0,7,290
DURANGO,202,C,132,79,52,6,0,0,0,2,271,0,4,275
DURANGO,202,C,111,108,54,3,2,0,2,4,284,0,5,289
DURANGO,203,B,170,97,35,6,2,0,0,4,314,0,3,317
DURANGO,203,C,168,101,33,3,1,0,0,2,308,0,5,313
DURANGO,204,B,38,124,99,3,0,0,0,2,266,0,3,269
DURANGO,204,C,52,106,88,2,0,0,1,2,251,0,9,260
DURANGO,204,C,54,118,77,1,1,0,1,2,254,0,9,263
DURANGO,204,C,44,119,82,0,0,0,0,0,245,0,8,253
DURANGO,205,B,151,81,20,3,0,0,0,2,257,0,3,260
DURANGO,205,C,122,66,28,8,1,0,0,2,227,0,4,231
DURANGO,206,B,310,114,50,2,4,0,0,0,480,0,4,484
DURANGO,207,B,179,113,42,7,1,0,0,0,342,1,10,353
DURANGO,208,B,144,71,29,2,1,0,0,0,247,0,4,251
DURANGO,208,C,135,92,33,5,0,0,0,1,266,0,3,269
DURANGO,209,B,105,76,24,4,1,0,0,3,213,0,5,218
DURANGO,209,C,101,77,20,2,0,0,0,0,200,0,5,205
DURANGO,210,B,122,83,38,1,1,0,0,0,245,0,1,246
DURANGO,210,C,127,91,24,2,1,0,0,2,247,0,2,249
DURANGO,211,B,108,87,21,1,4,0,1,1,223,0,3,226
DURANGO,211,C,126,90,27,3,1,0,0,1,248,0,2,250
DURANGO,212,B,123,86,23,1,4,0,0,0,237,0,2,239
DURANGO,212,C,134,81,18,2,0,0,0,0,235,1,0,236
DURANGO,213,B,111,75,38,8,0,0,0,0,232,0,1,233
DURANGO,213,C,126,88,36,2,2,0,0,0,254,0,1,255
DURANGO,214,B,194,138,44,1,1,0,0,1,379,0,0,379
DURANGO,215,B,125,71,21,0,0,0,0,0,217,0,0,217
DURANGO,215,C,135,67,15,5,1,0,0,0,223,0,6,229
DURANGO,216,B,216,109,22,2,0,0,0,0,349,0,1,350
DURANGO,217,B,130,58,22,2,0,0,0,0,212,0,3,215
DURANGO,217,C,159,81,18,2,0,0,0,1,261,0,3,264
DURANGO,218,B,151,171,69,4,1,0,0,1,397,0,2,399
DURANGO,218,C,128,168,56,1,1,0,2,4,360,0,1,361
DURANGO,219,B,18,28,29,1,0,0,1,0,77,0,0,77
DURANGO,220,B,71,140,53,1,1,0,1,2,269,0,5,274
DURANGO,221,B,56,94,101,3,1,0,0,0,255,0,6,261
DURANGO,222,B,83,109,58,2,2,0,1,1,256,0,11,267
DURANGO,222,C,71,101,65,2,2,0,6,4,251,0,7,258
DURANGO,223,B,104,127,61,4,1,0,2,5,304,0,3,307
DURANGO,223,C,122,110,61,4,0,0,1,8,306,0,6,312
DURANGO,224,B,125,136,42,2,0,0,0,3,308,0,9,317
DURANGO,224,C,178,117,55,4,1,0,0,1,356,1,7,364
DURANGO,225,B,135,104,90,3,0,0,0,1,333,0,10,343
DURANGO,225,C,137,114,88,5,0,0,0,1,345,0,0,345
DURANGO,226,B,194,146,42,7,6,0,1,2,398,0,4,402
DURANGO,227,B,157,98,64,4,1,0,0,0,324,0,7,331
DURANGO,227,C,160,81,56,3,0,0,0,1,301,0,6,307
DURANGO,228,B,165,103,33,1,0,0,2,1,305,0,8,313
DURANGO,228,C,183,98,51,4,1,0,0,0,337,0,4,341
DURANGO,229,B,151,129,42,4,0,0,0,1,327,0,9,336
DURANGO,230,B,182,113,40,1,2,0,0,2,340,0,3,343
DURANGO,231,B,105,59,37,3,0,0,0,1,205,0,4,209
DURANGO,231,C,113,68,33,4,2,0,0,4,224,0,2,226
DURANGO,232,B,147,120,35,1,3,0,2,2,310,0,2,312
DURANGO,233,B,198,153,31,2,0,0,0,0,384,0,4,388
DURANGO,234,B,224,112,25,4,1,0,1,0,367,0,4,371
DURANGO,235,B,180,93,34,6,0,0,0,1,314,0,2,316
DURANGO,236,B,124,67,20,0,0,0,0,1,212,0,2,214
DURANGO,236,C,136,49,24,2,1,0,0,2,214,0,0,214
DURANGO,237,B,161,71,20,0,1,0,0,0,253,0,1,254
DURANGO,237,C,136,89,24,0,0,0,0,1,250,0,0,250
DURANGO,238,B,149,135,42,3,0,0,0,1,330,0,3,333
DURANGO,238,C,186,134,37,6,0,0,2,0,365,0,1,366
DURANGO,239,B,117,93,35,6,0,0,1,0,252,0,5,257
DURANGO,239,C,135,95,24,4,0,0,0,1,259,0,2,261
DURANGO,240,B,139,88,14,1,1,0,0,0,243,0,3,246
DURANGO,240,C,130,83,20,2,0,0,0,2,237,0,3,240
DURANGO,241,B,128,129,54,3,0,0,1,3,318,0,5,323
DURANGO,242,B,96,87,25,4,1,0,0,0,213,0,4,217
DURANGO,242,C,98,95,28,5,1,0,0,1,228,0,3,231
DURANGO,243,B,147,106,35,5,1,0,0,1,295,0,4,299
DURANGO,243,C,140,104,37,2,0,0,0,1,284,0,6,290
DURANGO,244,B,128,113,45,4,1,0,1,0,292,0,8,300
DURANGO,245,B,99,75,30,3,0,0,0,0,207,0,8,215
DURANGO,245,C,96,88,45,3,1,0,1,2,236,0,3,239
DURANGO,246,B,95,86,63,3,0,0,0,1,248,0,3,251
DURANGO,247,B,105,112,56,4,0,0,3,1,281,0,7,288
DURANGO,247,C,107,116,58,6,0,0,1,0,288,0,15,303
DURANGO,248,B,117,110,81,2,0,0,1,9,320,0,4,324
DURANGO,248,C,102,99,92,2,0,0,1,9,305,0,5,310
DURANGO,249,B,98,110,70,4,0,0,0,2,284,0,1,285
DURANGO,249,C,89,126,69,5,0,0,2,1,292,0,3,295
DURANGO,249,C,84,114,70,5,0,0,1,1,275,0,3,278
DURANGO,250,B,27,55,70,2,1,0,1,0,156,0,8,164
DURANGO,250,C,33,70,44,2,1,0,0,1,151,0,2,153
DURANGO,251,B,22,43,91,4,0,0,0,4,164,0,2,166
DURANGO,251,C,35,49,69,6,0,0,0,0,159,0,7,166
DURANGO,252,B,26,90,68,0,1,0,0,1,186,0,5,191
DURANGO,252,C,45,93,82,1,1,0,3,1,226,0,2,228
DURANGO,253,B,64,86,95,3,0,0,0,2,250,0,9,259
DURANGO,254,B,50,88,69,3,0,0,0,2,212,0,4,216
DURANGO,254,C,39,136,81,5,0,0,2,2,265,0,0,265
DURANGO,255,B,81,73,79,4,0,0,2,2,241,0,15,256
DURANGO,255,C,60,96,100,1,1,0,1,1,260,0,8,268
DURANGO,256,B,105,138,62,4,3,0,1,1,314,0,5,319
DURANGO,256,C,105,126,85,2,1,0,0,2,321,0,6,327
DURANGO,257,B,77,79,61,2,1,0,0,0,220,0,0,220
DURANGO,257,C,80,102,51,4,2,0,0,3,242,0,4,246
DURANGO,258,B,129,124,38,4,2,0,1,2,300,0,6,306
DURANGO,258,C,111,120,42,4,5,0,0,1,283,0,3,286
DURANGO,259,B,69,107,42,2,2,0,0,3,225,0,5,230
DURANGO,259,C,80,111,45,1,1,0,0,2,240,0,10,250
DURANGO,260,B,106,100,74,6,1,0,1,1,289,0,6,295
DURANGO,260,C,87,103,56,4,1,0,1,1,253,0,9,262
DURANGO,261,B,107,112,40,3,0,0,0,2,264,0,5,269
DURANGO,261,C,93,110,36,2,0,0,0,0,241,0,2,243
DURANGO,262,B,82,123,110,4,0,0,0,2,321,0,8,329
DURANGO,262,C,98,107,119,1,0,0,0,8,333,0,8,341
DURANGO,263,B,59,101,38,2,0,0,0,3,203,0,3,206
DURANGO,263,C,71,90,33,6,0,0,2,3,205,0,0,205
DURANGO,264,B,66,71,26,0,1,0,1,0,165,0,4,169
DURANGO,264,C,74,77,25,1,1,0,0,1,179,0,4,183
DURANGO,265,B,185,134,37,4,0,0,0,1,361,0,0,361
DURANGO,266,B,92,68,28,3,0,0,0,0,191,0,4,195
DURANGO,266,C,69,77,27,1,0,0,0,2,176,0,9,185
DURANGO,267,B,103,80,33,2,1,0,0,0,219,1,6,226
DURANGO,267,C,116,70,24,4,0,0,0,0,214,0,2,216
DURANGO,268,B,164,130,33,4,0,0,0,2,333,0,7,340
DURANGO,269,B,120,84,53,5,4,0,0,4,270,1,0,271
DURANGO,269,C,130,109,60,3,1,0,0,3,306,0,7,313
DURANGO,270,B,142,148,55,2,1,0,3,2,353,0,7,360
DURANGO,270,C,176,120,47,6,0,0,0,1,350,0,5,355
DURANGO,271,B,194,142,52,3,0,0,1,1,393,0,4,397
DURANGO,271,C,206,104,50,8,1,0,0,2,371,0,4,375
DURANGO,272,B,60,91,42,1,2,0,1,3,200,0,9,209
DURANGO,272,C,93,66,37,2,1,0,0,2,201,0,4,205
DURANGO,273,B,106,76,38,2,1,0,0,1,224,0,3,227
DURANGO,273,C,73,57,50,0,0,0,1,2,183,0,6,189
DURANGO,274,B,62,78,51,2,2,0,0,2,197,0,4,201
DURANGO,274,C,73,81,54,3,4,0,0,1,216,0,5,221
DURANGO,275,B,68,93,64,3,0,0,1,3,232,0,3,235
DURANGO,275,C,70,113,40,4,0,0,0,6,233,0,2,235
DURANGO,276,B,86,110,59,6,0,0,0,1,262,0,3,265
DURANGO,276,C,83,85,61,7,0,0,1,7,244,0,4,248
DURANGO,276,C,86,105,65,3,1,0,0,7,267,0,3,270
DURANGO,276,C,76,105,74,3,0,0,0,3,261,0,5,266
DURANGO,277,B,40,92,53,2,0,0,0,3,190,0,3,193
DURANGO,278,B,15,39,136,1,4,0,1,5,201,0,1,202
DURANGO,278,C,12,49,140,0,1,0,0,0,202,0,8,210
DURANGO,279,B,48,97,127,4,1,0,8,2,287,0,11,298
DURANGO,280,B,74,99,100,2,3,0,3,1,282,0,5,287
DURANGO,281,B,63,92,69,6,5,0,0,1,236,0,1,237
DURANGO,281,C,58,86,67,2,0,0,0,0,213,0,7,220
DURANGO,282,B,46,60,39,2,1,0,0,2,150,0,7,157
DURANGO,283,B,85,113,73,2,1,0,0,1,275,1,4,280
DURANGO,283,C,73,106,72,5,0,0,1,0,257,0,0,257
DURANGO,284,B,44,72,66,3,2,0,0,0,187,0,5,192
DURANGO,284,C,47,80,51,6,1,0,0,2,187,0,6,193
DURANGO,285,B,43,51,62,2,0,0,0,0,158,0,4,162
DURANGO,285,C,30,62,56,0,0,0,0,1,149,0,3,152
DURANGO,286,B,80,69,79,2,1,0,0,6,237,0,4,241
DURANGO,286,C,88,69,70,6,0,0,0,3,236,0,3,239
DURANGO,286,C,71,75,64,3,0,0,0,2,215,0,5,220
DURANGO,287,B,139,107,42,6,1,0,0,4,299,0,5,304
DURANGO,288,B,89,107,41,6,0,0,1,5,249,0,5,254
DURANGO,288,C,93,101,35,2,0,0,0,6,237,0,5,242
DURANGO,289,B,99,74,79,0,0,0,0,0,252,0,7,259
DURANGO,289,C,81,107,62,5,0,0,1,1,257,0,4,261
DURANGO,290,B,85,87,60,4,0,0,0,0,236,0,3,239
DURANGO,290,C,94,97,72,5,0,0,3,1,272,0,4,276
DURANGO,291,B,76,74,41,9,1,0,1,1,203,0,3,206
DURANGO,291,C,71,85,43,3,0,0,1,0,203,0,6,209
DURANGO,292,B,85,101,54,4,0,0,1,2,247,0,4,251
DURANGO,292,C,86,100,64,9,0,0,0,0,259,0,5,264
DURANGO,293,B,121,115,54,5,0,0,0,1,296,0,2,298
DURANGO,293,C,105,107,58,2,0,0,1,2,275,0,5,280
DURANGO,294,B,115,145,47,4,0,0,0,9,320,0,3,323
DURANGO,294,C,122,156,65,6,1,0,0,11,361,0,6,367
DURANGO,295,B,107,117,64,5,1,0,1,0,295,0,5,300
DURANGO,295,C,142,99,76,4,0,0,1,3,325,0,4,329
DURANGO,296,B,132,102,39,3,1,0,1,1,279,1,5,285
DURANGO,296,C,139,82,50,3,1,0,0,1,276,0,2,278
DURANGO,296,C,133,72,62,1,0,0,1,1,270,0,5,275
DURANGO,297,B,84,68,82,1,0,0,0,0,235,0,7,242
DURANGO,297,C,81,83,81,3,0,0,3,2,253,0,4,257
DURANGO,298,B,114,89,40,3,0,0,0,1,247,0,3,250
DURANGO,298,C,101,92,48,2,0,0,1,3,247,0,1,248
DURANGO,299,B,51,72,71,1,0,0,0,1,196,0,4,200
DURANGO,299,C,64,87,54,1,0,0,0,2,208,0,8,216
DURANGO,300,B,26,44,77,0,0,0,0,7,154,0,5,159
DURANGO,300,C,31,61,80,3,0,0,0,7,182,0,7,189
DURANGO,301,B,62,129,110,5,0,0,0,1,307,0,9,316
DURANGO,301,C,64,151,83,2,1,0,1,1,303,0,13,316
DURANGO,301,C,53,127,106,0,3,0,2,2,293,0,10,303
DURANGO,302,B,55,65,96,2,0,0,1,5,224,0,9,233
DURANGO,302,C,64,61,88,5,0,0,0,13,231,0,7,238
DURANGO,302,C,74,66,86,5,0,0,0,3,234,0,5,239
DURANGO,303,B,52,230,39,1,1,0,0,2,325,0,11,336
DURANGO,303,C,48,241,47,10,0,0,1,0,347,0,6,353
DURANGO,304,B,86,72,49,5,0,0,0,0,212,0,1,213
DURANGO,304,C,84,62,65,2,1,0,0,1,215,0,3,218
DURANGO,305,B,92,56,28,9,0,0,0,0,185,0,7,192
DURANGO,305,C,62,59,51,8,1,0,1,1,183,0,5,188
DURANGO,306,B,122,106,69,4,0,0,1,2,304,0,17,321
DURANGO,306,C,116,98,65,3,0,0,1,8,291,0,8,299
DURANGO,307,B,117,89,57,2,0,0,1,1,267,0,3,270
DURANGO,307,C,107,97,46,4,0,0,1,3,258,0,5,263
DURANGO,308,B,135,110,34,1,0,0,0,0,280,0,2,282
DURANGO,308,C,133,98,33,6,2,0,0,0,272,6,0,278
DURANGO,309,B,151,119,55,0,0,0,1,3,329,0,2,331
DURANGO,309,C,146,101,69,2,1,0,1,4,324,0,1,325
DURANGO,310,B,90,125,55,4,0,0,0,3,277,0,4,281
DURANGO,310,C,78,117,44,4,0,0,2,8,253,0,4,257
DURANGO,311,B,109,70,50,6,2,0,0,1,238,0,2,240
DURANGO,311,C,111,78,35,0,2,0,0,2,228,0,3,231
DURANGO,312,B,139,212,69,4,0,0,0,1,425,0,3,428
DURANGO,312,C,131,209,73,5,0,0,0,2,420,0,2,422
DURANGO,313,B,107,122,91,2,0,0,0,0,322,0,13,335
DURANGO,314,B,90,57,47,3,0,0,2,2,201,0,5,206
DURANGO,314,C,77,59,30,2,0,0,0,1,169,0,4,173
DURANGO,315,B,177,150,60,4,0,0,2,5,398,0,0,398
DURANGO,315,C,176,148,61,2,2,0,2,2,393,0,7,400
