Municipio,Seccion,Tipo,PAN-PRD-PC,PRI-PVEM-PANAL-PD,PT,Validos,No Registrados,Nulos,Total,Nominal,,
CANATLAN,20,B ,67,58,13,138,2,5,145,279, ,
CANATLAN,21,B ,41,35,8,84,0,5,89,144, ,
CANATLAN,22,B ,158,116,11,285,0,10,295,484, ,
CANATLAN,22,C ,100,130,14,244,0,20,264,485, ,
CANATLAN,23,B ,131,167,24,322,0,15,337,553, ,
CANATLAN,24,B ,95,132,4,231,0,16,247,406, ,
CANATLAN,25,B ,224,148,9,381,0,22,403,660, ,
CANATLAN,26,B ,183,77,36,296,0,20,316,607, ,
CANATLAN,26,C ,201,97,29,327,0,26,353,608, ,
CANATLAN,27,B ,104,145,14,263,0,19,282,595, ,
CANATLAN,27,C ,108,159,19,286,0,22,308,596, ,
CANATLAN,28,B ,136,216,18,370,0,13,383,598, ,
CANATLAN,29,B ,108,145,29,282,0,18,300,502, ,
CANATLAN,29,C ,138,161,3,302,0,13,315,503, ,
CANATLAN,30,B ,141,148,17,306,0,4,310,494, ,
CANATLAN,30,C ,189,123,16,328,0,14,342,494, ,
CANATLAN,31,B ,179,234,9,422,0,14,436,640, ,
CANATLAN,32,B ,105,74,26,205,0,8,213,388, ,
CANATLAN,33,B ,75,55,3,133,0,2,135,237, ,
CANATLAN,34,B ,31,63,2,96,0,1,97,190, ,
CANATLAN,35,B ,38,80,9,127,0,7,134,246, ,
CANATLAN,36,B ,16,28,1,45,0,1,46,93, ,
CANATLAN,37,B ,112,147,17,276,0,6,282,530, ,
CANATLAN,37,C ,136,167,16,319,0,11,330,530, ,
CANATLAN,38,B ,120,234,11,365,3,21,389,659, ,
CANATLAN,39,B ,39,116,20,175,0,2,177,257, ,
CANATLAN,40,B ,115,134,31,280,0,11,291,461, ,
,,,,,,,,,,,,
CANELAS,42,B ,122,111,,233,0,4,237,415, ,
CANELAS,42,C ,119,147,,266,0,10,276,416, ,
CANELAS,43,B ,65,20,,85,0,0,85,115, ,
CANELAS,44,B ,106,59,,165,0,5,170,244, ,
CANELAS,45,B ,30,18,,48,0,0,48,74, ,
CANELAS,46,B ,32,35,,67,0,2,69,101, ,
CANELAS,47,B ,89,57,,146,0,1,147,224, ,
CANELAS,48,B ,63,101,,164,0,5,169,241, ,
CANELAS,50,B ,90,11,,101,0,1,102,156, ,
CANELAS,51,B ,45,36,,81,0,1,82,133, ,
CANELAS,52,B ,15,85,,100,0,4,104,140, ,
CANELAS,53,B ,49,112,,161,0,2,163,253, ,
CANELAS,54,B ,55,41,,96,0,0,96,135, ,
CANELAS,55,B ,59,52,,111,0,1,112,164, ,
CANELAS,56,B ,77,92,,169,0,9,178,306, ,
,,,,,,,,,,,,
CONETO DE COMONFORT,57,B ,35,139,234,408,0,16,424,692, ,
CONETO DE COMONFORT,58,B ,0,120,60,180,0,0,180,345, ,
CONETO DE COMONFORT,59,B ,1,65,42,108,0,7,115,158, ,
CONETO DE COMONFORT,60,B ,15,76,163,254,0,5,259,490, ,
CONETO DE COMONFORT,61,B ,6,40,45,91,0,1,92,170, ,
CONETO DE COMONFORT,62,B ,13,79,75,167,0,6,173,268, ,
CONETO DE COMONFORT,63,B ,37,157,70,264,0,9,273,430, ,
CONETO DE COMONFORT,63,C ,49,171,62,282,0,5,287,431, ,
CONETO DE COMONFORT,63,X ,23,17,22,62,0,1,63,94, ,
CONETO DE COMONFORT,64,B ,40,47,105,192,0,3,195,290, ,
CONETO DE COMONFORT,65,B ,90,121,107,318,0,11,329,498, ,
,,,,,,,,,,,,
CUENCAME,66,B ,293,158,9,460,1,9,470,747, ,
CUENCAME,66,C ,326,142,19,487,0,11,498,747, ,
CUENCAME,67,B ,222,97,30,349,0,16,365,563, ,
CUENCAME,67,C ,267,66,28,361,1,7,369,563, ,
CUENCAME,68,B ,181,115,13,309,0,1,310,470, ,
CUENCAME,68,C ,189,114,6,309,0,9,318,471, ,
CUENCAME,69,B ,255,133,19,407,0,12,419,652, ,
CUENCAME,69,C 1 ,287,133,22,442,0,10,452,652, ,
CUENCAME,69,C 2 ,276,120,13,409,1,10,420,653, ,
CUENCAME,70,B ,257,78,7,342,0,12,354,493, ,
CUENCAME,70,C ,246,58,11,315,0,10,325,494, ,
CUENCAME,72,B ,66,153,0,219,0,9,228,417, ,
CUENCAME,73,B ,169,184,11,364,0,11,375,644, ,
CUENCAME,73,C ,147,182,21,350,0,17,367,645, ,
CUENCAME,74,B ,87,55,5,147,0,8,155,267, ,
CUENCAME,75,B ,132,38,7,177,0,7,184,384, ,
CUENCAME,75,C ,127,60,8,195,0,4,199,384, ,
CUENCAME,76,B ,168,57,5,230,0,12,242,504, ,
CUENCAME,76,C ,159,69,8,236,0,14,250,505, ,
CUENCAME,77,B ,68,51,4,123,0,2,125,169, ,
CUENCAME,78,B ,165,119,3,287,0,9,296,525, ,
CUENCAME,79,B ,138,73,2,213,0,5,218,355, ,
CUENCAME,80,B ,256,126,5,387,0,27,414,603, ,
CUENCAME,80,C ,236,153,5,394,0,17,411,604, ,
CUENCAME,81,B ,192,16,3,211,0,16,227,281, ,
CUENCAME,82,B ,28,27,5,60,0,1,61,114, ,
CUENCAME,82,X ,31,18,5,54,0,3,57,92, ,
CUENCAME,83,B ,126,69,1,196,0,5,201,307, ,
CUENCAME,84,B ,130,54,15,199,0,14,213,359, ,
CUENCAME,85,B ,79,65,5,149,0,1,150,244, ,
,,,,,,,,,,,,
CUENCAME,86,B ,119,67,6,192,0,6,198,316, ,
CUENCAME,87,B ,350,40,10,400,5,11,416,614, ,
CUENCAME,88,B ,15,21,2,38,0,0,38,77, ,
CUENCAME,89,B ,15,126,12,153,0,2,155,332, ,
CUENCAME,90,B ,7,49,49,105,0,4,109,248, ,
CUENCAME,91,B ,26,91,18,135,0,4,139,279, ,
CUENCAME,92,B ,9,28,14,51,0,1,52,100, ,
CUENCAME,93,B ,8,24,14,46,0,0,46,98, ,
CUENCAME,94,B ,54,87,38,179,0,6,185,379, ,
CUENCAME,94,C ,55,84,40,179,0,0,179,380, ,
CUENCAME,95,B ,68,112,16,196,0,10,206,475, ,
CUENCAME,95,C ,72,104,25,201,0,10,211,476, ,
CUENCAME,96,B ,92,68,36,196,0,13,209,413, ,
CUENCAME,97,B ,68,67,51,186,0,8,194,573, ,
CUENCAME,97,X ,17,25,10,52,0,0,52,89, ,
CUENCAME,99,B ,94,124,22,240,0,15,255,602, ,
CUENCAME,99,C ,110,115,29,254,0,9,263,603, ,
CUENCAME,100,B ,94,140,14,248,0,11,259,580, ,
CUENCAME,100,C ,113,137,18,268,1,10,279,581, ,
CUENCAME,101,B ,86,87,70,243,0,13,256,551, ,
CUENCAME,102,B ,102,93,43,238,0,17,255,553, ,
CUENCAME,103,B ,61,126,102,289,0,11,300,735, ,
CUENCAME,104,B ,35,52,49,136,0,5,141,232, ,
CUENCAME,105,B ,52,77,54,183,0,12,195,415, ,
CUENCAME,105,C ,51,77,35,163,0,0,163,416, ,
CUENCAME,106,B ,115,127,61,303,0,20,323,697, ,
CUENCAME,107,B ,26,42,52,120,0,10,130,227, ,
,,,,,,,,,,,,
DURANGO,108,B ,185,129,106,420,0,8,428,687, ,
DURANGO,108,C 1 ,174,144,115,433,0,7,440,687, ,
DURANGO,108,C 2 ,151,154,95,400,0,6,406,688, ,
DURANGO,108,C 3 ,170,139,94,403,0,11,414,688, ,
DURANGO,108,C 4 ,143,137,97,377,0,5,382,688, ,
DURANGO,108,C 5 ,168,155,83,406,0,10,416,688, ,
DURANGO,109,B ,101,110,112,323,2,7,332,699, ,
DURANGO,109,C 1 ,105,111,106,322,0,3,325,699, ,
DURANGO,109,C 2 ,88,126,106,320,0,0,320,699, ,
DURANGO,110,B ,129,135,116,380,0,6,386,748, ,
DURANGO,110,C 1 ,119,122,96,337,2,6,345,748, ,
DURANGO,110,C 2 ,119,138,99,356,1,5,362,748, ,
DURANGO,110,C 3 ,104,125,118,347,0,4,351,749, ,
DURANGO,110,C 4 ,101,151,97,349,0,8,357,749, ,
DURANGO,110,C 5 ,122,146,102,370,0,6,376,749, ,
DURANGO,110,C 6 ,117,127,106,350,0,3,353,749, ,
DURANGO,110,C 7 ,116,137,118,371,1,8,380,749, ,
DURANGO,110,C 8 ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,110,C 9 ,102,131,116,349,0,2,351,749, ,
DURANGO,110,C 10 ,119,138,105,362,0,4,366,749, ,
DURANGO,110,C 11 ,116,127,118,361,0,8,369,749, ,
DURANGO,110,C 12 ,112,142,120,374,0,6,380,749, ,
DURANGO,110,C 13 ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,110,C 14 ,89,141,122,352,1,10,363,749, ,
DURANGO,110,C 15 ,124,139,104,367,0,10,377,749, ,
DURANGO,110,C 16 ,125,112,114,351,0,6,357,749, ,
DURANGO,110,C 17 ,115,139,106,360,0,5,365,749, ,
DURANGO,110,C 18 ,111,129,116,356,0,3,359,749, ,
DURANGO,110,C 19 ,105,161,89,355,0,7,362,749, ,
DURANGO,111,B ,104,128,136,368,0,4,372,723, ,
,,,,,,,,,,,,
DURANGO,111,C 1 ,120,126,112,358,0,0,358,723, ,
DURANGO,111,C 2 ,109,148,130,387,0,5,392,723, ,
DURANGO,111,C 3 ,125,119,106,350,1,6,357,723, ,
DURANGO,111,C 4 ,112,116,125,353,1,14,368,723, ,
DURANGO,111,C 5 ,118,110,125,353,0,6,359,724, ,
DURANGO,111,C 6 ,114,143,119,376,0,10,386,724, ,
DURANGO,111,C 7 ,120,141,112,373,0,10,383,724, ,
DURANGO,111,C 8 ,95,154,117,366,0,5,371,724, ,
DURANGO,112,B ,111,114,81,306,0,5,311,584, ,
DURANGO,112,C ,110,106,91,307,0,4,311,585, ,
DURANGO,113,B ,86,94,74,254,0,6,260,486, ,
DURANGO,113,C ,85,110,65,260,0,6,266,486, ,
DURANGO,114,B ,112,130,126,368,2,11,381,728, ,
DURANGO,114,C ,95,171,129,395,0,6,401,729, ,
DURANGO,115,B ,82,89,87,258,1,6,265,420, ,
DURANGO,115,C ,92,89,78,259,1,5,265,420, ,
DURANGO,116,B ,74,109,66,249,0,10,259,384, ,
DURANGO,116,C ,68,88,75,231,0,5,236,384, ,
DURANGO,117,B ,104,119,97,320,0,10,330,586, ,
DURANGO,117,C ,121,119,84,324,0,0,324,586, ,
DURANGO,118,B ,110,142,124,376,0,8,384,718, ,
DURANGO,118,C 1 ,110,150,133,393,0,15,408,718, ,
DURANGO,118,C 2 ,84,131,120,335,0,10,345,718, ,
DURANGO,118,C 3 ,113,137,123,373,0,8,381,718, ,
DURANGO,118,C 4 ,94,147,120,361,0,6,367,718, ,
DURANGO,118,C 5 ,91,142,130,363,0,15,378,719, ,
DURANGO,118,C 6 ,121,135,115,371,0,20,391,719, ,
DURANGO,118,C 7 ,112,135,115,362,0,9,371,719, ,
DURANGO,119,B ,56,84,111,251,0,14,265,579, ,
DURANGO,119,C ,46,65,125,236,1,22,259,580, ,
,,,,,,,,,,,,
DURANGO,120,B ,85,94,131,310,0,10,320,671, ,
DURANGO,120,C ,99,96,121,316,0,12,328,672, ,
DURANGO,121,B ,50,56,89,195,0,18,213,430, ,
DURANGO,121,C ,63,67,71,201,0,10,211,430, ,
DURANGO,122,B ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,122,C ,52,58,88,198,0,6,204,378, ,
DURANGO,123,B ,121,87,125,333,0,14,347,688, ,
DURANGO,123,C ,92,92,126,310,1,15,326,688, ,
DURANGO,124,B ,84,82,151,317,0,11,328,707, ,
DURANGO,124,C ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,125,B ,84,111,115,310,2,10,322,601, ,
DURANGO,125,C ,89,101,120,310,0,8,318,601, ,
DURANGO,126,B ,81,128,127,336,1,24,361,667, ,
DURANGO,126,C ,77,110,132,319,0,11,330,667, ,
DURANGO,127,B ,75,168,108,351,0,20,371,706, ,
DURANGO,127,C ,76,186,84,346,1,15,362,706, ,
DURANGO,128,B ,90,169,118,377,0,11,388,693, ,
DURANGO,128,C 1 ,76,188,99,363,0,11,374,693, ,
DURANGO,128,C 2 ,101,181,87,369,0,11,380,693, ,
DURANGO,128,C 3 ,83,167,94,344,0,2,346,694, ,
DURANGO,128,C 4 ,78,175,87,340,0,9,349,694, ,
DURANGO,129,B ,93,161,90,344,1,6,351,691, ,
DURANGO,129,C 1 ,95,147,93,335,1,15,351,692, ,
DURANGO,129,C 2 ,113,145,70,328,0,6,334,692, ,
DURANGO,130,B ,86,139,65,290,0,8,298,604, ,
DURANGO,130,C 1 ,92,137,59,288,0,13,301,605, ,
DURANGO,130,C 2 ,110,133,60,303,0,13,316,605, ,
DURANGO,130,C 3 ,105,133,61,299,0,11,310,605, ,
DURANGO,131,B ,77,93,72,242,0,12,254,567, ,
DURANGO,131,C 1 ,99,93,37,229,0,17,246,567, ,
,,,,,,,,,,,,
DURANGO,131,C 2 ,109,113,69,291,1,10,302,568, ,
DURANGO,132,B ,93,102,95,290,0,15,305,574, ,
DURANGO,132,C 1 ,81,118,73,272,0,14,286,574, ,
DURANGO,132,C 2 ,89,120,80,289,0,17,306,575, ,
DURANGO,133,B ,85,98,56,239,0,14,253,518, ,
DURANGO,133,C 1 ,78,108,55,241,0,12,253,518, ,
DURANGO,133,C 2 ,73,116,58,247,0,11,258,519, ,
DURANGO,134,B ,92,112,69,273,0,12,285,597, ,
DURANGO,134,C ,87,112,65,264,0,12,276,598, ,
DURANGO,135,B ,128,125,102,355,1,14,370,710, ,
DURANGO,135,C 1 ,138,109,83,330,0,12,342,710, ,
DURANGO,135,C 2 ,128,123,88,339,1,10,350,711, ,
DURANGO,136,B ,103,112,79,294,0,16,310,621, ,
DURANGO,136,C 1 ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,136,C 2 ,111,160,81,352,0,10,362,622, ,
DURANGO,137,B ,126,132,81,339,0,14,353,592, ,
DURANGO,137,C 1 ,126,146,88,360,0,8,368,592, ,
DURANGO,137,C 2 ,114,132,92,338,0,9,347,592, ,
DURANGO,137,C 3 ,126,108,82,316,0,17,333,593, ,
DURANGO,138,B ,154,167,112,433,2,16,451,700, ,
DURANGO,138,C ,163,156,130,449,0,10,459,701, ,
DURANGO,139,B ,174,170,134,478,0,13,491,748, ,
DURANGO,139,C ,148,166,147,461,0,12,473,749, ,
DURANGO,140,B ,114,113,106,333,0,20,353,730, ,
DURANGO,140,C ,90,120,112,322,0,18,340,730, ,
DURANGO,141,B ,0,0,0,0,0,0,0,687, ,
DURANGO,141,C ,0,0,0,0,0,0,0,687, ,
DURANGO,142,B ,160,105,50,315,0,5,320,548, ,
DURANGO,142,C 1 ,153,122,64,339,0,8,347,549, ,
DURANGO,142,C 2 ,157,138,59,354,0,7,361,549, ,
,,,,,,,,,,,,
DURANGO,143,B ,136,121,90,347,0,14,361,554, ,
DURANGO,143,C ,130,123,94,347,0,10,357,554, ,
DURANGO,144,B ,185,147,85,417,0,11,428,637, ,
DURANGO,144,C ,142,165,99,406,0,7,413,637, ,
DURANGO,145,B ,97,140,88,325,0,10,335,555, ,
DURANGO,145,C 1 ,105,136,97,338,1,14,353,555, ,
DURANGO,145,C 2 ,105,109,72,286,0,15,301,555, ,
DURANGO,146,B ,157,136,115,408,0,8,416,670, ,
DURANGO,146,C 1 ,120,106,137,363,0,20,383,671, ,
DURANGO,146,C 2 ,134,173,102,409,0,7,416,671, ,
DURANGO,146,C 3 ,148,147,98,393,2,8,403,671, ,
DURANGO,147,B ,128,135,124,387,0,5,392,706, ,
DURANGO,147,C 1 ,129,125,108,362,2,7,371,707, ,
DURANGO,147,C 2 ,145,127,115,387,0,5,392,707, ,
DURANGO,147,C 3 ,133,126,125,384,0,5,389,707, ,
DURANGO,148,B ,136,123,119,378,0,8,386,697, ,
DURANGO,148,C 1 ,110,135,120,365,0,7,372,697, ,
DURANGO,148,C 2 ,103,137,110,350,0,11,361,697, ,
DURANGO,148,C 3 ,128,138,104,370,1,8,379,697, ,
DURANGO,148,C 4 ,124,108,122,354,1,8,363,697, ,
DURANGO,148,C 5 ,115,155,112,382,0,4,386,697, ,
DURANGO,148,C 6 ,127,131,96,354,0,5,359,697, ,
DURANGO,149,B ,125,116,93,334,0,10,344,536, ,
DURANGO,149,C ,109,125,101,335,1,4,340,537, ,
DURANGO,150,B ,73,67,116,256,0,17,273,505, ,
DURANGO,150,C 1 ,85,77,98,260,0,8,268,505, ,
DURANGO,150,C 2 ,57,90,112,259,0,11,270,505, ,
DURANGO,151,B ,130,150,88,368,0,9,377,648, ,
DURANGO,151,C ,135,130,83,348,0,11,359,648, ,
DURANGO,152,B ,184,113,48,345,0,10,355,523, ,
,,,,,,,,,,,,
DURANGO,152,C 1 ,150,132,60,342,0,5,347,523, ,
DURANGO,152,C 2 ,140,125,60,325,0,8,333,524, ,
DURANGO,153,B ,75,96,71,242,1,2,245,394, ,
DURANGO,153,C ,72,101,55,228,0,3,231,395, ,
DURANGO,154,B ,85,82,69,236,0,10,246,515, ,
DURANGO,154,C 1 ,71,76,89,236,0,6,242,515, ,
DURANGO,154,C 2 ,78,84,85,247,0,12,259,516, ,
DURANGO,155,B ,107,98,102,307,0,11,318,595, ,
DURANGO,155,C ,117,98,107,322,0,9,331,596, ,
DURANGO,155,C ,121,99,112,332,0,13,345,596, ,
DURANGO,156,B ,115,135,101,351,0,16,367,729, ,
DURANGO,156,C ,114,126,116,356,0,0,356,729, ,
DURANGO,157,B ,96,116,92,304,0,11,315,573, ,
DURANGO,157,C ,101,109,102,312,0,8,320,573, ,
DURANGO,157,C ,97,118,101,316,0,14,330,573, ,
DURANGO,158,B ,89,95,70,254,0,14,268,454, ,
DURANGO,158,C ,85,78,65,228,0,3,231,455, ,
DURANGO,159,B ,117,107,63,287,0,0,287,565, ,
DURANGO,159,C ,133,100,79,312,0,11,323,566, ,
DURANGO,160,B ,71,82,72,225,0,9,234,449, ,
DURANGO,160,C ,78,101,65,244,0,9,253,450, ,
DURANGO,161,B ,74,145,68,287,0,10,297,568, ,
DURANGO,161,C 1 ,78,138,67,283,0,10,293,569, ,
DURANGO,161,C 2 ,82,156,45,283,0,7,290,569, ,
DURANGO,162,B ,123,131,92,346,0,7,353,622, ,
DURANGO,162,C 1 ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,162,C 2 ,105,129,90,324,0,10,334,622, ,
DURANGO,163,B ,116,141,81,338,0,10,348,678, ,
DURANGO,163,C ,131,142,67,340,0,10,350,679, ,
DURANGO,164,B ,90,132,72,294,0,8,302,606, ,
,,,,,,,,,,,,
DURANGO,164,C ,90,130,66,286,0,11,297,607, ,
DURANGO,165,B ,101,109,62,272,0,8,280,524, ,
DURANGO,165,C ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,166,B ,96,130,104,330,0,16,346,694, ,
DURANGO,166,C ,130,106,91,327,1,20,348,694, ,
DURANGO,167,B ,132,81,85,298,0,8,306,704, ,
DURANGO,167,C ,127,148,50,325,0,13,338,704, ,
DURANGO,168,B ,123,137,97,357,0,11,368,663, ,
DURANGO,168,C ,109,123,93,325,0,11,336,664, ,
DURANGO,169,B ,137,145,93,375,0,17,392,738, ,
DURANGO,169,C ,126,136,90,352,0,9,361,739, ,
DURANGO,170,B ,143,126,122,391,0,8,399,714, ,
DURANGO,170,C ,145,136,102,383,0,18,401,714, ,
DURANGO,171,B ,117,146,96,359,0,8,367,669, ,
DURANGO,171,C ,105,161,105,371,0,17,388,670, ,
DURANGO,172,B ,97,152,108,357,0,12,369,639, ,
DURANGO,172,C ,131,116,117,364,0,6,370,640, ,
DURANGO,173,B ,71,62,71,204,0,4,208,383, ,
DURANGO,173,C ,77,75,79,231,0,2,233,383, ,
DURANGO,174,B ,75,79,65,219,0,7,226,412, ,
DURANGO,174,C ,62,68,69,199,0,8,207,412, ,
DURANGO,175,B ,87,97,72,256,0,3,259,485, ,
DURANGO,175,C ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,176,B ,76,78,67,221,1,9,231,535, ,
DURANGO,176,C 1 ,81,103,52,236,0,10,246,535, ,
DURANGO,176,C 2 ,69,92,62,223,0,8,231,536, ,
DURANGO,177,B ,78,63,142,283,0,14,297,635, ,
DURANGO,177,C ,64,77,113,254,0,33,287,635, ,
DURANGO,178,B ,56,76,113,245,1,17,263,524, ,
DURANGO,178,C 1 ,59,71,108,238,0,10,248,524, ,
,,,,,,,,,,,,
DURANGO,178,C 2 ,59,60,121,240,0,3,243,524, ,
DURANGO,179,B ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,179,C ,83,89,106,278,0,10,288,618, ,
DURANGO,180,B ,54,100,112,266,0,23,289,662, ,
DURANGO,180,C ,72,92,119,283,0,14,297,662, ,
DURANGO,181,B ,142,120,125,387,0,8,395,632, ,
DURANGO,181,C ,118,116,143,377,0,8,385,632, ,
DURANGO,182,B ,60,132,41,233,0,3,236,515, ,
DURANGO,182,C ,85,131,51,267,0,5,272,516, ,
DURANGO,183,B ,89,89,44,222,0,5,227,455, ,
DURANGO,183,C ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,184,B ,126,120,86,332,0,13,345,681, ,
DURANGO,184,C ,125,113,85,323,2,13,338,682, ,
DURANGO,185,B ,,,,,, ,,,ANULADA POR EL TRIBUNAL ELECTORAL DEL PODER JUDICIAL DEL ESTADO ,
DURANGO,185,C ,125,102,84,311,0,7,318,509, ,
DURANGO,186,B ,170,111,64,345,0,7,352,534, ,
DURANGO,187,B ,88,112,75,275,0,2,277,464, ,
DURANGO,187,C ,109,109,50,268,0,8,276,464, ,
DURANGO,188,B ,155,146,101,402,0,8,410,653, ,
DURANGO,188,C ,155,138,93,386,0,11,397,653, ,
DURANGO,189,B ,185,170,92,447,0,9,456,725, ,
DURANGO,190,B ,163,174,107,444,0,10,454,735, ,
DURANGO,191,B ,114,97,43,254,1,5,260,422, ,
DURANGO,191,C ,123,92,51,266,1,2,269,422, ,
DURANGO,192,B ,127,97,58,282,0,13,295,458, ,
DURANGO,192,C ,107,105,66,278,1,6,285,459, ,
DURANGO,193,B ,133,138,66,337,0,9,346,669, ,
DURANGO,194,B ,124,105,90,319,0,3,322,523, ,
DURANGO,194,C ,110,111,79,300,1,11,312,523, ,
DURANGO,195,B ,143,141,92,376,1,4,381,653, ,
,,,,,,,,,,,,
DURANGO,195,C ,153,112,99,364,0,7,371,653, ,
DURANGO,196,B ,77,99,51,227,0,5,232,416, ,
DURANGO,196,C ,90,80,44,214,0,6,220,417, ,
DURANGO,197,B ,134,109,38,281,0,14,295,571, ,
DURANGO,197,C ,108,96,72,276,2,15,293,571, ,
DURANGO,198,B ,114,139,107,360,0,22,382,729, ,
DURANGO,198,C ,96,121,97,314,0,7,321,729, ,
DURANGO,199,B ,108,116,88,312,1,9,322,640, ,
DURANGO,199,C ,111,139,97,347,0,13,360,640, ,
DURANGO,200,B ,75,118,69,262,0,10,272,550, ,
DURANGO,200,C ,78,142,76,296,0,10,306,551, ,
DURANGO,201,B ,83,148,94,325,0,12,337,720, ,
DURANGO,201,C 1 ,105,166,93,364,0,11,375,721, ,
DURANGO,201,C 2 ,104,136,101,341,0,9,350,721, ,
DURANGO,202,B ,133,140,64,337,0,14,351,597, ,
DURANGO,202,C 1 ,139,105,82,326,0,4,330,597, ,
DURANGO,202,C 2 ,119,118,81,318,0,9,327,597, ,
DURANGO,203,B ,129,111,80,320,0,4,324,498, ,
DURANGO,203,C ,122,129,79,330,1,9,340,498, ,
DURANGO,204,B ,101,101,123,325,0,14,339,679, ,
DURANGO,204,C 1 ,99,122,114,335,0,0,335,679, ,
DURANGO,204,C 2 ,89,102,116,307,0,13,320,679, ,
DURANGO,204,C 3 ,69,117,125,311,0,15,326,679, ,
DURANGO,204,C 4 ,106,117,94,317,0,7,324,679, ,
DURANGO,204,C 5 ,99,120,101,320,0,10,330,679, ,
DURANGO,204,C 6 ,79,112,131,322,0,15,337,679, ,
DURANGO,205,B ,109,98,47,254,0,6,260,400, ,
DURANGO,205,C ,100,97,49,246,0,11,257,401, ,
DURANGO,206,B ,243,156,70,469,0,8,477,747, ,
DURANGO,207,B ,140,132,71,343,1,13,357,591, ,
,,,,,,,,,,,,
DURANGO,208,B ,106,91,53,250,0,6,256,447, ,
DURANGO,208,C ,117,96,52,265,0,15,280,448, ,
DURANGO,209,B ,93,73,52,218,0,1,219,391, ,
DURANGO,209,C ,106,74,53,233,0,10,243,392, ,
DURANGO,210,B ,120,104,80,304,0,11,315,570, ,
DURANGO,210,C ,122,127,75,324,0,5,329,571, ,
DURANGO,211,B ,101,99,52,252,1,2,255,410, ,
DURANGO,211,C ,117,78,51,246,0,4,250,411, ,
DURANGO,212,B ,210,151,91,452,1,11,464,738, ,
DURANGO,213,B ,109,79,51,239,4,0,243,404, ,
DURANGO,213,C ,115,83,57,255,2,7,264,405, ,
DURANGO,214,B ,149,163,63,375,1,3,379,600, ,
DURANGO,215,B ,115,80,47,242,0,7,249,394, ,
DURANGO,215,C ,90,81,59,230,0,6,236,395, ,
