DISTRITO,MUNICIPIO ,SECCION,CASILLAS,PAN,PRI,PRD-PT,PVEM,PSN,CPDPPN,PAS,PRS,NO REGISTRADOS,VALIDOS,NULOS,TOTAL,LISTA NOMINAL
I,LA PAZ,152,0152B,18,18,164,57,0,3,0,2,0,262,7,269,603
I,LA PAZ,153,0153B,9,92,81,72,0,1,2,2,0,259,3,262,547
I,LA PAZ,154,0154B,12,42,93,62,0,4,0,3,0,216,3,219,490
I,LA PAZ,154,0154C,25,49,77,66,0,4,2,2,0,225,5,230,491
I,LA PAZ,155,0155B,27,42,105,90,0,4,0,4,0,272,5,277,540
I,LA PAZ,155,0155C,23,50,112,70,0,4,1,2,0,262,5,267,541
I,LA PAZ,156,0156B,15,41,117,68,0,1,1,1,0,244,7,251,581
I,LA PAZ,156,0156C,19,34,145,65,0,5,2,2,0,272,0,272,582
I,LA PAZ,157,0157B,20,37,111,99,0,2,0,0,0,269,8,277,638
I,LA PAZ,158,0158B,53,45,114,95,0,4,1,1,0,313,11,324,692
,,,,,,,,,,,,,,,,
II,LA PAZ,159,0159B,61,65,90,76,0,2,1,3,0,298,5,303,604
II,LA PAZ,160,0160B,34,70,131,81,0,10,1,0,0,327,8,335,696
II,LA PAZ,161,0161B,35,45,79,50,0,3,0,0,0,212,6,218,436
II,LA PAZ,161,0161C,37,45,92,53,0,4,0,1,1,233,6,239,436
II,LA PAZ,162,0162B,38,45,91,60,0,2,0,1,0,237,4,241,526
II,LA PAZ,162,0162C,44,43,79,58,0,0,1,0,0,225,7,232,527
II,LA PAZ,162,0162ESP,8,12,64,43,0,2,1,0,0,130,0,130,
II,LA PAZ,163,0163B,24,69,66,68,0,0,2,0,0,229,8,237,401
II,LA PAZ,163,0163C,32,52,65,57,0,2,0,3,0,211,6,217,401
II,LA PAZ,164,0164B,37,50,92,55,0,4,0,0,0,238,8,246,490
II,LA PAZ,164,0164C,37,63,97,69,0,2,1,0,0,269,6,275,491
II,LA PAZ,165,0165B,31,80,110,72,0,5,2,1,0,301,8,309,510
II,LA PAZ,165,0165C,23,61,105,84,0,3,0,0,0,276,2,278,510
II,LA PAZ,166,0166B,64,43,55,39,0,0,1,0,0,202,2,204,390
II,LA PAZ,166,0166C,68,45,79,25,0,4,0,1,0,222,1,223,391
II,LA PAZ,167,0167B,40,49,152,84,0,2,0,4,0,331,7,338,603
II,LA PAZ,167,0167C,35,70,142,69,0,3,1,6,0,326,10,336,604
II,LA PAZ,168,0168B,25,137,125,95,0,4,2,0,1,389,8,397,531
II,LA PAZ,168,0168C,25,49,130,86,0,4,6,0,0,300,4,304,531
II,LA PAZ,169,0169B,14,53,89,57,0,2,3,2,0,220,6,226,649
II,LA PAZ,169,0169C,14,48,55,59,0,3,5,0,0,184,7,191,650
II,LA PAZ,170,0170B,24,63,156,57,0,3,4,1,0,308,10,318,587
II,LA PAZ,171,0171B,35,55,116,97,0,4,1,1,0,309,3,312,612
II,LA PAZ,172,0172B,16,36,119,56,0,2,3,0,0,232,4,236,402
II,LA PAZ,172,0172C,20,44,103,31,0,1,0,0,0,199,0,199,403
II,LA PAZ,173,0173B,23,64,113,64,0,1,1,6,0,272,8,280,549
II,LA PAZ,173,0173C,41,60,115,54,0,1,3,3,0,277,4,281,550
II,LA PAZ,174,0174B,28,40,107,65,0,3,0,7,0,250,7,257,548
II,LA PAZ,174,0174C,30,43,112,57,0,1,0,1,0,244,6,250,548
II,LA PAZ,175,0175B,20,84,129,68,0,5,0,2,0,308,9,317,609
II,LA PAZ,175,0175C,22,54,149,81,0,4,1,2,0,313,2,315,610
II,LA PAZ,176,0176B,44,40,172,99,0,3,0,2,0,360,8,368,629
II,LA PAZ,177,0177B,35,51,181,72,0,1,2,5,0,347,2,349,636
II,LA PAZ,178,0178B,15,37,123,83,0,4,0,0,0,262,8,270,549
II,LA PAZ,179,0179B,11,36,114,55,0,0,1,0,0,217,2,219,410
II,LA PAZ,179,0179C,23,32,115,51,0,2,0,4,0,227,4,231,411
II,LA PAZ,180,0180B,31,54,143,119,0,3,0,1,0,351,9,360,731
II,LA PAZ,181,0181B,16,47,133,70,0,6,1,1,0,274,10,284,586
II,LA PAZ,181,0181C,41,51,129,78,0,1,1,2,0,303,8,311,586
II,LA PAZ,182,0182B,44,74,114,89,0,1,1,0,1,324,12,336,657
II,LA PAZ,183,0183B,17,80,146,57,0,4,1,3,0,308,12,320,616
,,,,,,,,,,,,,,,,
III,LA PAZ,184,0184B,34,49,122,46,0,4,0,1,0,256,6,262,506
III,LA PAZ,185,0185B,66,55,150,88,0,2,2,0,0,363,11,374,710
III,LA PAZ,186,0186B,51,61,98,60,0,0,1,1,0,272,5,277,486
III,LA PAZ,186,0186C,41,55,99,52,0,0,1,0,0,248,7,255,486
III,LA PAZ,187,0187B,44,70,100,61,0,2,0,0,0,277,4,281,514
III,LA PAZ,187,0187C,27,57,99,61,0,3,2,0,0,249,8,257,515
III,LA PAZ,188,0188B,34,46,111,72,0,4,2,0,0,269,6,275,466
III,LA PAZ,188,0188C,38,52,64,65,0,1,4,0,0,224,11,235,466
III,LA PAZ,189,0189B,55,61,102,60,0,3,3,4,0,288,0,288,530
III,LA PAZ,189,0189C,46,37,122,76,0,4,3,3,0,291,2,293,530
III,LA PAZ,190,0190B,45,41,93,82,0,5,1,1,1,269,6,275,553
III,LA PAZ,190,0190C,44,58,129,80,0,1,4,1,0,317,6,323,553
III,LA PAZ,191,0191B,45,65,100,79,0,2,0,1,0,292,9,301,531
III,LA PAZ,191,0191C,42,49,109,89,0,6,0,2,0,297,3,300,532
III,LA PAZ,192,0192B,64,68,108,87,0,2,3,1,0,333,9,342,673
III,LA PAZ,193,0193B,48,41,82,86,0,10,0,2,0,269,6,275,492
III,LA PAZ,193,0193C,40,39,97,91,0,2,1,3,0,273,4,277,493
III,LA PAZ,194,0194B,51,66,94,81,0,2,1,4,0,299,6,305,558
III,LA PAZ,195,0195B,30,27,71,73,0,0,1,3,0,205,5,210,424
III,LA PAZ,195,0195C,29,23,69,77,0,3,0,0,0,201,9,210,424
III,LA PAZ,196,0196B,30,44,82,75,0,1,1,0,0,233,0,233,462
III,LA PAZ,196,0196C,36,43,76,63,0,1,1,2,0,222,7,229,463
III,LA PAZ,197,0197B,52,26,82,81,0,1,0,3,0,245,0,245,470
III,LA PAZ,197,0197C,63,40,78,53,0,2,1,0,0,237,6,243,470
III,LA PAZ,198,0198B,51,57,168,99,0,6,1,6,0,388,4,392,744
III,LA PAZ,199,0199B,47,57,181,105,0,3,0,1,0,394,8,402,665
III,LA PAZ,200,0200B,30,99,120,107,0,9,3,7,0,375,5,380,734
III,LA PAZ,201,0201B,25,41,111,35,0,0,1,3,0,216,6,222,515
III,LA PAZ,202,0202B,69,41,76,50,0,6,1,1,0,244,2,246,428
III,LA PAZ,202,0202C,59,35,54,59,0,6,0,0,0,213,3,216,428
III,LA PAZ,203,0203B,12,38,85,46,0,0,4,0,0,185,6,191,413
III,LA PAZ,203,0203C,23,26,96,62,0,3,2,1,0,213,2,215,413
III,LA PAZ,204,0204B,32,26,89,41,0,3,3,3,0,197,0,197,403
III,LA PAZ,204,0204C,18,30,71,55,0,5,1,1,0,181,4,185,403
III,LA PAZ,205,0205B,30,38,134,67,0,2,2,22,0,295,17,312,686
III,LA PAZ,206,0206B,27,13,84,60,0,7,1,2,0,194,11,205,426
III,LA PAZ,206,0206C,21,20,92,54,0,3,2,0,0,192,1,193,427
,,,,,,,,,,,,,,,,
IV,LA PAZ,226,0226B,40,42,138,148,0,0,2,0,0,370,3,373,657
IV,LA PAZ,227,0227B,30,47,101,75,0,2,2,1,0,258,3,261,542
IV,LA PAZ,227,0227C,27,29,129,64,0,1,1,2,0,253,6,259,543
IV,LA PAZ,228,0228B,38,57,157,106,0,2,6,2,0,368,4,372,659
IV,LA PAZ,229,0229B,55,58,140,125,0,2,1,0,0,381,3,384,673
IV,LA PAZ,230,0230B,37,45,150,134,0,1,1,4,0,372,3,375,703
IV,LA PAZ,231,0231B,22,30,80,79,0,0,3,2,0,216,4,220,446
IV,LA PAZ,232,0232B,36,65,148,116,0,1,2,1,0,369,1,370,716
IV,LA PAZ,233,0233B,43,31,133,91,0,2,2,0,2,304,5,309,530
IV,LA PAZ,234,0234B,28,41,120,86,0,2,2,0,0,279,0,279,447
IV,LA PAZ,234,0234C,23,51,99,86,0,1,2,0,0,262,6,268,448
IV,LA PAZ,235,0235B,39,41,139,109,0,2,4,0,0,334,7,341,705
IV,LA PAZ,236,0236B,25,36,57,60,0,1,2,0,0,181,2,183,357
IV,LA PAZ,237,0237B,28,14,109,73,0,1,0,0,0,225,5,230,389
IV,LA PAZ,237,0237C,27,24,92,72,0,0,1,0,1,217,2,219,390
IV,LA PAZ,238,0238B,54,47,163,117,0,3,4,0,0,388,4,392,702
IV,LA PAZ,239,0239B,24,11,101,67,0,2,0,0,0,205,4,209,378
IV,LA PAZ,239,0239C,27,23,89,69,0,2,0,3,0,213,2,215,378
IV,LA PAZ,240,0240B,18,35,71,90,0,1,0,0,0,215,2,217,456
IV,LA PAZ,241,0241B,28,15,56,60,0,1,1,0,0,161,4,165,349
IV,LA PAZ,242,0242B,27,60,117,91,0,2,8,0,0,305,3,308,665
IV,LA PAZ,243,0243B,25,32,83,73,0,2,0,1,1,217,1,218,384
IV,LA PAZ,243,0243C,23,41,75,75,0,2,1,3,0,220,2,222,385
IV,LA PAZ,244,0244B,33,53,75,63,0,0,1,2,0,227,2,229,443
IV,LA PAZ,244,0244C,25,36,106,65,0,0,3,0,0,235,2,237,443
IV,LA PAZ,245,0245B,24,64,152,124,0,4,3,1,0,372,3,375,606
IV,LA PAZ,246,0246B,15,30,103,81,0,7,1,1,0,238,9,247,556
IV,LA PAZ,246,0246C,18,21,90,72,0,1,2,1,0,205,5,210,557
IV,LA PAZ,247,0247B,14,27,100,55,0,1,5,2,0,204,7,211,453
IV,LA PAZ,247,0247C,17,19,80,55,0,0,1,0,0,172,4,176,453
IV,LA PAZ,248,0248B,33,68,122,75,0,3,0,2,0,303,3,306,559
IV,LA PAZ,249,0249B,65,51,134,117,0,2,0,4,0,373,3,376,702
IV,LA PAZ,250,0250B,25,33,130,93,0,0,2,1,0,284,3,287,608
IV,LA PAZ,250,0250C,20,30,123,79,0,1,0,2,0,255,5,260,609
IV,LA PAZ,251,0251B,29,35,101,88,0,4,1,4,0,262,8,270,577
IV,LA PAZ,252,0252B,18,49,168,107,0,8,4,0,0,354,3,357,741
IV,LA PAZ,252,0252C,23,41,146,95,0,4,6,0,0,315,0,315,742
IV,LA PAZ,252,0252EX,34,24,91,44,0,2,2,1,0,198,1,199,419
IV,LA PAZ,252,0252EXC1,32,33,74,50,0,4,2,5,0,200,8,208,420
IV,LA PAZ,253,0253B,20,34,125,63,0,1,1,4,0,248,3,251,567
IV,LA PAZ,253,0253C1,25,43,105,60,0,2,2,0,0,237,5,242,568
IV,LA PAZ,253,0253C2,25,36,83,63,0,0,1,3,0,211,9,220,568
IV,LA PAZ,253,0253C3,27,32,101,74,0,1,1,1,0,237,6,243,568
IV,LA PAZ,254,0254B,12,8,101,19,0,0,0,0,0,140,5,145,236
IV,LA PAZ,255,0255B,22,21,250,50,0,0,0,0,0,343,0,343,652
,,,,,,,,,,,,,,,,
V,LA PAZ,207,0207B,37,104,126,75,0,3,1,0,0,346,16,362,594
V,LA PAZ,208,0208B,19,39,94,39,0,1,7,0,0,199,9,208,423
V,LA PAZ,208,0208C,32,32,78,44,0,2,3,1,0,192,4,196,423
V,LA PAZ,209,0209B,45,31,69,41,0,4,1,0,0,191,1,192,395
V,LA PAZ,209,0209C,50,25,65,33,0,1,1,0,0,175,2,177,395
V,LA PAZ,210,0210B,23,32,125,71,0,3,6,3,0,263,6,269,531
V,LA PAZ,210,0210C1,38,33,123,73,0,2,3,1,0,273,6,279,531
V,LA PAZ,210,0210C2,47,23,115,70,0,5,3,2,0,265,3,268,532
V,LA PAZ,211,0211B,25,26,102,61,0,2,2,0,0,218,2,220,458
V,LA PAZ,211,0211C,34,29,99,63,0,2,4,1,0,232,5,237,459
V,LA PAZ,212,0212B,55,43,107,86,0,10,1,0,0,302,4,306,562
V,LA PAZ,213,0213B,55,49,142,84,0,0,1,1,0,332,8,340,694
V,LA PAZ,213,0213C,63,46,145,86,0,6,3,1,0,350,5,355,695
V,LA PAZ,214,0214B,42,37,89,44,0,1,0,0,0,213,5,218,413
V,LA PAZ,214,0214C,31,47,72,49,0,2,2,0,0,203,3,206,414
V,LA PAZ,215,0215B,19,41,91,67,0,1,1,1,0,221,0,221,416
V,LA PAZ,215,0215C,28,31,114,57,0,0,2,1,0,233,4,237,417
V,LA PAZ,216,0216B,23,35,96,56,0,3,1,0,0,214,6,220,453
V,LA PAZ,217,0217B,44,35,145,83,0,8,2,3,0,320,5,325,643
V,LA PAZ,217,0217C1,36,47,122,102,0,2,3,1,0,313,5,318,643
V,LA PAZ,217,0217C2,39,39,110,124,0,4,2,3,0,321,5,326,643
V,LA PAZ,218,0218B,96,27,102,58,0,4,1,2,0,290,4,294,744
V,LA PAZ,219,0219B,36,26,94,67,0,0,0,2,0,225,1,226,453
V,LA PAZ,219,0219C,31,35,100,73,0,5,0,0,0,244,3,247,453
V,LA PAZ,220,0220B,31,45,130,85,0,1,1,0,1,294,6,300,547
V,LA PAZ,220,0220C,31,45,119,83,0,0,7,1,0,286,11,297,548
V,LA PAZ,221,0221B,31,25,81,57,0,3,7,0,0,204,3,207,379
V,LA PAZ,221,0221C,16,27,74,57,0,2,5,0,0,181,1,182,380
V,LA PAZ,222,0222B,63,64,138,98,0,6,3,3,1,376,8,384,673
V,LA PAZ,223,0223B,44,42,111,81,0,8,1,2,0,289,7,296,586
V,LA PAZ,223,0223C,45,40,116,80,0,2,1,2,0,286,1,287,586
V,LA PAZ,224,0224B,40,52,107,92,0,3,1,0,0,295,7,302,585
V,LA PAZ,225,0225B,56,54,96,128,0,3,0,0,0,337,7,344,651
V,LA PAZ,256,0256B,51,51,97,83,0,2,1,0,0,285,10,295,641
V,LA PAZ,256,0256C,56,38,99,74,0,4,4,1,1,277,6,283,641
V,LA PAZ,257,0257B,29,29,104,37,0,0,1,1,0,201,4,205,392
V,LA PAZ,257,0257C,23,30,83,43,0,0,1,1,0,181,0,181,392
V,LA PAZ,258,0258B,10,16,45,48,0,0,0,0,0,119,14,133,258
V,LA PAZ,259,0259B,9,22,13,33,0,0,0,0,0,77,5,82,132
V,LA PAZ,260,0260B,12,16,40,13,0,2,0,0,0,83,1,84,277
V,LA PAZ,261,0261B,29,59,140,84,0,2,0,1,0,315,17,332,487
V,LA PAZ,262,0262B,5,27,40,16,0,1,0,0,3,92,4,96,141
V,LA PAZ,263,0263B,2,11,55,25,0,2,1,0,0,96,9,105,227
V,LA PAZ,264,0264B,0,4,25,2,0,0,0,0,0,31,0,31,62
V,LA PAZ,264,0264EX,2,10,12,1,0,0,0,0,0,25,1,26,73
V,LA PAZ,265,0265B,3,12,23,7,0,0,0,0,0,45,8,53,105
V,LA PAZ,265,0265EX1,0,3,26,3,0,1,0,0,0,33,0,33,68
V,LA PAZ,265,0265EX2,0,12,45,53,0,1,0,0,0,111,9,120,166
V,LA PAZ,266,0266B,13,19,55,14,0,2,0,0,0,103,0,103,151
V,LA PAZ,266,0266EX,22,10,58,9,0,0,0,0,0,99,2,101,165
V,LA PAZ,288,0288B,23,36,92,68,0,0,0,1,0,220,5,225,468
V,LA PAZ,289,0289B,27,40,110,71,0,2,2,2,0,254,11,265,593
V,LA PAZ,348,0348B,17,21,74,52,0,8,2,0,0,174,1,175,357
V,LA PAZ,349,0349B,23,33,94,63,0,10,3,1,0,227,0,227,450
V,LA PAZ,350,0350B,18,16,61,52,0,4,0,0,0,151,0,151,328
,,,,,,,,,,,,,,,,
VI,LA PAZ,267,0267B,6,23,127,16,0,0,0,0,0,172,13,185,394
VI,LA PAZ,267,0267EX,5,8,59,26,0,0,0,1,0,99,7,106,164
VI,LA PAZ,268,0268B,6,6,101,11,0,1,0,1,0,126,8,134,254
VI,LA PAZ,268,0268EX,1,7,29,6,0,0,0,0,0,43,2,45,61
VI,LA PAZ,269,0269B,13,121,174,8,0,3,0,0,0,319,5,324,597
VI,LA PAZ,270,0270B,5,41,184,77,0,0,0,1,0,308,11,319,544
VI,LA PAZ,270,0270C,12,58,134,81,0,1,0,0,0,286,9,295,545
VI,LA PAZ,270,0270EX,15,43,121,22,0,0,0,2,0,203,3,206,332
VI,LA PAZ,271,0271B,7,86,187,57,0,0,7,0,0,344,16,360,556
VI,LA PAZ,272,0272B,14,5,174,4,0,0,0,0,0,197,2,199,281
VI,LA PAZ,273,0273B,2,7,70,35,0,1,0,0,0,115,0,115,168
VI,LA PAZ,274,0274B,7,25,14,24,0,1,0,0,0,71,5,76,155
VI,LA PAZ,274,0274EX1,0,3,12,1,0,0,0,0,0,16,0,16,145
VI,LA PAZ,274,0274EX2,5,14,40,2,0,0,0,0,0,61,2,63,26
VI,LA PAZ,275,0275B,1,1,29,1,0,0,0,0,0,32,1,33,62
VI,LA PAZ,276,0276B,3,48,111,42,0,0,0,0,1,205,14,219,336
VI,LA PAZ,277,0277B,6,47,90,67,0,2,0,1,0,213,10,223,319
VI,LA PAZ,278,0278B,21,49,160,112,0,0,1,1,0,344,17,361,572
VI,LA PAZ,279,0279B,1,0,7,20,0,0,0,0,0,28,1,29,38
VI,LA PAZ,279,0279EXT,1,2,11,12,0,0,0,0,0,26,0,26,54
VI,LA PAZ,280,0280B,9,41,120,147,0,1,0,0,0,318,6,324,487
VI,LA PAZ,280,0280C,13,53,118,113,0,1,0,0,0,298,6,304,488
VI,LA PAZ,280,0280ESP,11,23,73,68,0,1,1,0,0,177,3,180,
VI,LA PAZ,281,0281B,5,49,84,124,0,0,0,0,0,262,9,271,400
VI,LA PAZ,281,0281C,15,40,92,97,0,0,0,0,0,244,8,252,400
VI,LA PAZ,282,0282B,14,23,119,116,0,0,2,0,0,274,8,282,431
VI,LA PAZ,282,0282C,7,27,150,98,0,0,0,0,0,282,9,291,432
VI,LA PAZ,283,0283B,8,15,82,159,0,0,1,0,0,265,6,271,459
VI,LA PAZ,283,0283C,4,14,74,142,0,0,0,2,0,236,4,240,460
VI,LA PAZ,284,0284B,2,12,38,13,0,0,0,0,0,65,0,65,97
VI,LA PAZ,285,0285B,0,3,54,0,0,0,0,0,0,57,1,58,62
VI,LA PAZ,286,0286B,6,6,14,10,0,0,0,0,0,36,0,36,84
VI,LA PAZ,287,0287B,1,4,27,7,0,0,0,0,0,39,3,42,58
VI,LA PAZ,287,0287EXT,11,4,7,5,0,1,0,0,0,28,0,28,36
,,,,,,,,,,,,,,,,
VII,LOS CABOS,290,0290B,113,45,127,14,0,5,23,0,0,327,2,329,680
VII,LOS CABOS,291,0291B,62,111,196,5,0,7,94,0,0,475,8,483,725
VII,LOS CABOS,291,0291C,63,108,199,2,1,13,71,0,0,457,9,466,726
VII,LOS CABOS,292,0292B,37,61,107,2,0,14,25,0,0,246,3,249,403
VII,LOS CABOS,292,0292C,31,70,104,1,0,10,15,0,0,231,4,235,404
VII,LOS CABOS,292,0292ESP.,19,5,33,0,0,4,6,0,0,67,0,67,
VII,LOS CABOS,298,0298B,65,62,166,3,0,15,33,0,0,344,10,354,736
VII,LOS CABOS,298,0298C1,67,53,137,5,2,11,48,0,0,323,6,329,736
VII,LOS CABOS,298,0298C2,71,43,142,7,4,17,29,0,0,313,9,322,736
VII,LOS CABOS,298,0298C3,66,64,134,4,2,12,40,0,0,322,0,322,737
VII,LOS CABOS,298,0298EX,2,2,17,0,0,0,3,0,0,24,0,24,32
VII,LOS CABOS,299,0299B,57,69,214,5,0,6,45,0,0,396,14,410,713
VII,LOS CABOS,300,0300B,40,60,182,3,0,10,27,0,1,323,1,324,557
VII,LOS CABOS,300,0300C1,47,26,163,2,0,18,29,0,0,285,4,289,558
VII,LOS CABOS,300,0300C2,75,27,144,4,1,10,25,0,0,286,6,292,558
VII,LOS CABOS,301,0301B,48,50,167,3,1,11,16,0,0,296,3,299,628
VII,LOS CABOS,301,0301C1,39,35,196,4,1,3,24,0,0,302,8,310,628
VII,LOS CABOS,301,0301C2,47,30,177,3,0,11,15,0,0,283,6,289,629
VII,LOS CABOS,301,0301C3,41,35,150,3,1,6,31,0,0,267,4,271,629
VII,LOS CABOS,301,0301C4,41,36,161,2,0,12,23,0,0,275,5,280,629
VII,LOS CABOS,301,0301C5,46,35,137,3,0,4,31,0,0,256,4,260,629
VII,LOS CABOS,302,0302B,49,34,160,6,0,9,31,0,0,289,3,292,559
VII,LOS CABOS,303,0303B,54,17,94,1,0,4,5,0,0,175,4,179,295
VII,LOS CABOS,303,0303ESP.,15,4,26,0,0,0,0,0,0,45,4,49,
VII,LOS CABOS,304,0304B,140,23,160,0,0,1,1,0,0,325,11,336,455
VII,LOS CABOS,304,0304C,125,23,183,1,0,2,1,0,0,335,7,342,455
VII,LOS CABOS,304,0304EX,9,4,54,0,0,6,1,0,0,74,0,74,121
VII,LOS CABOS,305,0305B,81,19,119,1,0,4,0,0,0,224,12,236,321
VII,LOS CABOS,305,0305EX,20,6,73,1,0,2,1,0,0,103,1,104,137
VII,LOS CABOS,306,0306B,97,27,166,1,1,5,7,0,0,304,9,313,485
VII,LOS CABOS,306,0306C,102,12,208,1,0,1,4,0,0,328,12,340,486
VII,LOS CABOS,306,0306EX,11,2,13,0,0,0,1,0,0,27,0,27,36
VII,LOS CABOS,307,0307B,48,17,47,1,0,1,2,0,0,116,4,120,183
VII,LOS CABOS,307,0307EX,20,0,29,0,0,0,0,0,0,49,3,52,81
VII,LOS CABOS,308,0308B,75,24,293,1,0,4,8,0,0,405,10,415,504
VII,LOS CABOS,308,0308C,68,45,222,1,0,1,21,0,0,358,25,383,505
VII,LOS CABOS,308,0308EX,63,8,69,1,0,0,0,0,0,141,4,145,182
VII,LOS CABOS,309,0309B,31,8,157,2,0,1,7,0,0,206,7,213,262
VII,LOS CABOS,309,0309EX,16,17,60,0,1,0,5,0,0,99,7,106,158
VII,LOS CABOS,310,0310B,50,48,314,0,0,0,5,0,0,417,11,428,569
VII,LOS CABOS,311,0311B,17,49,167,2,1,17,13,0,0,266,5,271,409
VII,LOS CABOS,311,0311EX,7,2,41,1,0,1,9,0,0,61,0,61,90
VII,LOS CABOS,312,0312B,44,45,185,4,0,11,17,0,0,306,12,318,509
VII,LOS CABOS,312,0312C1,20,32,121,2,0,3,14,0,0,192,4,196,510
VII,LOS CABOS,312,0312C2,48,27,167,5,1,2,29,0,0,279,2,281,510
VII,LOS CABOS,312,0312EXT,16,58,106,5,0,1,13,0,0,199,5,204,386
VII,LOS CABOS,312,"0312EXT,C1",44,37,156,2,0,9,17,0,0,265,5,270,387
VII,LOS CABOS,313,0313B,21,52,152,3,0,8,32,0,0,268,5,273,427
VII,LOS CABOS,313,0313C,19,53,148,4,2,10,32,0,0,268,8,276,427
VII,LOS CABOS,314,0314B,37,70,149,0,0,23,19,0,0,298,8,306,547
VII,LOS CABOS,314,0314C1,51,47,121,0,0,46,13,0,0,278,5,283,547
VII,LOS CABOS,315,0315B,21,99,131,2,1,9,7,0,0,270,1,271,382
,,,,,,,,,,,,,,,,
VIII,LOS CABOS,293,0293B,44,75,151,4,0,2,39,0,0,315,9,324,536
VIII,LOS CABOS,293,0293C,57,70,122,10,1,2,38,0,0,300,7,307,537
VIII,LOS CABOS,294,0294B,73,33,127,3,0,4,44,0,0,284,2,286,469
VIII,LOS CABOS,294,0294C,68,40,118,4,2,6,44,0,0,282,5,287,469
VIII,LOS CABOS,295,0295B,74,66,209,1,0,7,44,0,0,401,8,409,727
VIII,LOS CABOS,295,0295C,92,47,171,5,0,8,36,0,0,359,5,364,728
VIII,LOS CABOS,296,0296B,43,37,203,4,1,15,28,0,1,332,7,339,564
VIII,LOS CABOS,296,0296C,68,37,188,11,3,7,22,0,0,336,10,346,565
VIII,LOS CABOS,297,0297B,58,40,208,6,1,13,23,0,0,349,5,354,651
