ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,15,EL PLATEADO,5,5,51,461,611,,3,8,3,,,,,,,,,,,,1137,0,33,1170,1635,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A15MR.jpg
32,ZACATECAS,16,PANFILO NATERA,24,35,472,4636,2900,1065,,159,273,1730,688,,,26,,,,,,,11949,0,530,12479,17285,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A16MR.jpg
32,ZACATECAS,17,GUADALUPE,106,224,5717,21384,1178,4461,2067,1263,1243,34924,1449,3439,671,513,,,,,,,78309,24,2049,80382,126679,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A17MR.jpg
32,ZACATECAS,18,HUANUSCO,13,14,710,774,53,42,69,33,24,544,26,40,,,,,,,,,2315,0,91,2406,3934,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A18MR.jpg
32,ZACATECAS,19,JALPA,34,44,2902,2875,272,492,808,1192,367,1560,624,,141,,,,,,,,11233,2,418,11653,19875,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A19MR.jpg
32,ZACATECAS,20,JEREZ,94,118,9065,8594,415,958,2962,284,589,4976,240,188,183,151,,,,,275,,28880,8,1014,29902,51256,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A20MR.jpg
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,159,810,378,59,11,25,8,708,36,188,,,,,,,,,2382,0,83,2465,3282,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A21MR.jpg
32,ZACATECAS,22,JUAN ALDAMA,23,33,4015,2922,129,1383,32,85,227,342,31,358,6,22,,,286,85,,,9923,0,284,10207,15891,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A22MR.jpg
32,ZACATECAS,23,JUCHIPILA,19,25,2022,881,291,202,111,89,178,2093,99,320,19,,,,,,,,6305,0,208,6513,10883,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A23MR.jpg
32,ZACATECAS,24,LORETO,31,62,1576,3279,619,7898,287,3552,225,2665,30,42,49,46,,,,,,,20238,7,782,21027,33654,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A24MR.jpg
32,ZACATECAS,25,LUIS MOYA,12,17,720,511,246,53,2060,1457,204,704,52,8,7,279,,,,,,,6301,1,203,6505,9211,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A25MR.jpg
32,ZACATECAS,26,MAZAPIL,49,52,64,4216,41,56,60,192,6008,323,13,5,,2,,,,,,,10980,2,501,11483,14626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A26MR.jpg
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,0,255,10,21,,5,949,862,27,,,2,,,,,,,2131,0,38,2169,2499,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A27MR.jpg
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,105,107,846,47,,27,,457,14,0,,,,,,,,,1603,1,44,1648,2360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A28MR.jpg
32,ZACATECAS,29,MIGUEL AUZA,21,33,430,3355,82,1128,,74,,3974,132,160,,54,,,,,,,9389,1,271,9661,16723,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A29MR.jpg
32,ZACATECAS,30,MOMAX,6,7,349,575,9,5,,1,514,32,0,5,,,,,,,,,1490,0,43,1533,2343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A30MR.jpg
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,625,1601,32,108,1150,42,692,183,10,,206,,,,,,,,4649,0,193,4842,7745,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A31MR.jpg
32,ZACATECAS,32,MORELOS,9,18,326,1065,109,129,1263,230,1536,1141,42,519,104,135,,,,,,,6599,1,222,6822,9159,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A32MR.jpg
32,ZACATECAS,33,MOYAHUA,10,11,1194,964,256,18,22,46,,115,4,11,,,,,,,,,2630,0,93,2723,4440,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A33MR.jpg
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,43,58,4062,2264,392,3984,192,492,502,1485,118,,1,2,,,,,,,13494,18,709,14221,24642,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A34MR.jpg
32,ZACATECAS,35,NORIA DE ANGELES,16,23,121,3608,285,559,1086,110,97,573,58,50,1338,21,,,,,,,7906,3,332,8241,11322,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A35MR.jpg
32,ZACATECAS,36,OJOCALIENTE,42,62,2706,5132,279,4198,2973,126,382,1223,138,147,25,150,,,,,,,17479,11,559,18049,29423,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A36MR.jpg
32,ZACATECAS,37,PANUCO,14,25,244,3349,123,810,71,48,3692,368,30,28,2,6,,,,,,,8771,0,427,9198,12354,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A37MR.jpg
32,ZACATECAS,38,PINOS,95,114,1878,15790,3030,1031,685,443,360,7111,217,64,72,1740,,,,,,,32421,23,1260,33704,49548,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A38MR.jpg
32,ZACATECAS,39,RIO GRANDE,63,99,6970,5482,3584,1700,2858,504,966,3525,354,315,585,99,,190,,,,,27132,30,1223,28385,49779,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A39MR.jpg
32,ZACATECAS,40,SAIN ALTO,27,35,589,3422,2854,464,,84,94,3300,91,52,30,,,,,,,,10980,0,383,11363,16473,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A40MR.jpg
32,ZACATECAS,41,EL SALVADOR,6,6,,31,,,1165,20,489,,,,,,,,,,,,1705,0,65,1770,2105,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A41MR.jpg
32,ZACATECAS,42,SOMBRERETE,89,112,4441,7017,1470,830,934,461,594,5688,294,4394,45,66,,,,,,,26234,3,1154,27391,46783,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A42MR.jpg
32,ZACATECAS,43,SUSTICACAN,4,4,73,353,7,33,8,8,43,372,6,,,,,,,,,,903,1,28,932,1289,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A43MR.jpg
32,ZACATECAS,44,TABASCO,21,27,3635,2661,271,81,163,212,35,736,70,,15,,,,,,,,7879,0,279,8158,12535,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A44MR.jpg
32,ZACATECAS,45,TEPECHITLAN,19,21,547,1818,688,258,1,65,79,1092,53,8,,31,,,,,,,4639,0,103,4742,7011,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A45MR.jpg
32,ZACATECAS,46,TEPETONGO,20,20,85,1855,36,18,1648,17,30,99,8,10,,,,,,,,,3806,0,215,4021,6311,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A46MR.jpg
32,ZACATECAS,47,TEUL DE GONZALEZ,11,13,653,1046,27,15,738,15,29,291,9,16,,,,,,,,,2839,0,96,2935,4349,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A47MR.jpg
32,ZACATECAS,48,TLALTENANGO,36,48,5444,4398,254,280,149,115,96,1442,148,92,6,22,,,,,,,12446,3,448,12897,19994,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A48MR.jpg
32,ZACATECAS,49,VALPARAISO,66,74,1292,3688,3739,399,3193,256,174,3619,175,2,131,25,,,,,,,16691,4,566,17261,26866,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A49MR.jpg
32,ZACATECAS,50,VETAGRANDE,8,15,94,1014,32,1205,123,29,1811,1354,52,,55,7,,,,,,,5776,4,156,5936,7667,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A50MR.jpg
32,ZACATECAS,51,VILLA DE COS,47,63,514,5724,1210,1595,1733,185,1339,4197,165,27,19,172,,,,,,,16880,2,593,17475,24913,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A51MR.jpg
32,ZACATECAS,52,VILLA GARCIA,16,25,266,2923,516,300,670,1715,101,2073,81,363,1,13,,,,,,,9553,4,293,9850,12626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A52MR.jpg
32,ZACATECAS,53,VILLA GONZALEZ,12,19,193,2179,2316,107,,70,1309,308,25,,18,9,,,,,,,6534,3,379,6916,9855,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A53MR.jpg
32,ZACATECAS,54,VILLA HIDALGO,24,30,245,4043,3423,124,35,75,139,1493,52,25,34,12,,,,,,,9700,0,354,10054,13389,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A54MR.jpg
32,ZACATECAS,55,VILLANUEVA,50,60,905,4521,5888,381,122,170,664,3409,112,36,20,,,,,,,,16228,5,564,16797,25131,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A55MR.jpg
32,ZACATECAS,56,ZACATECAS,111,201,8624,9992,1204,3507,8618,981,1230,30375,1168,1919,630,481,891,,,,,,69620,101,1881,71602,108518,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A56MR.jpg
32,ZACATECAS,57,TRANCOSO,11,23,183,4448,1299,1274,733,85,101,646,66,117,26,11,,,,,,,8989,0,297,9286,12919,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A57MR.jpg
32,ZACATECAS,58,SANTA MARIA,7,7,704,566,75,12,,9,,129,5,2,,7,,,,,,,1509,0,39,1548,2338,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A58MR.jpg
