CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD,PRI_PVEM,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,535,3,236,56,,40,,350,43,,,2,,17,,,,,0,744,5,749,1134
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,536,3,383,58,,42,,549,130,,,7,,22,,,,,0,1191,17,1208,1856
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,537,1,129,52,,24,,165,34,,,10,,13,,,,,0,427,7,434,690
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,538,2,287,85,,38,,304,47,,,20,,21,,,,,0,802,16,818,1230
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,539,3,184,83,,58,,263,294,,,24,,14,,,,,0,920,23,943,1473
1,14,JALISCO,1,COLOTLÁN,37,ETZATLÁN,540,1,14,27,,30,,66,11,,,2,,1,,,,,0,151,2,153,254
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1549,2,111,182,293,0,,3,,,,0,,,,,,,0,589,18,607,888
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1550,1,46,107,121,1,,1,,,,0,,,,,,,0,276,7,283,402
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1551,1,59,164,120,5,,11,,,,0,,,,,,,0,359,8,367,551
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1552,2,136,262,252,2,,8,,,,1,,,,,,,0,661,24,685,975
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1553,3,206,439,256,47,,1,,,,0,,,,,,,0,949,14,963,1378
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1554,1,31,113,82,7,,0,,,,0,,,,,,,0,233,3,236,380
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1556,1,14,86,99,1,,0,,,,0,,,,,,,0,200,0,200,253
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1557,1,35,76,41,1,,0,,,,0,,,,,,,0,153,6,159,221
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1558,2,117,235,179,9,,0,,,,0,,,,,,,0,540,6,546,767
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1559,1,38,70,85,3,,0,,,,0,,,,,,,0,196,4,200,295
1,14,JALISCO,1,COLOTLÁN,42,HOSTOTIPAQUILLO,1560,1,71,178,138,11,,4,,,,1,,,,,,,0,403,7,410,728
1,14,JALISCO,1,COLOTLÁN,43,HUEJÚCAR,1561,2,246,319,12,,,247,,2,,,,,,,,,0,826,3,829,1149
1,14,JALISCO,1,COLOTLÁN,43,HUEJÚCAR,1562,2,300,449,7,,,226,,3,,,,,,,,,0,985,10,995,1396
1,14,JALISCO,1,COLOTLÁN,43,HUEJÚCAR,1563,2,136,297,6,,,159,,2,,,,,,,,,0,600,5,605,883
1,14,JALISCO,1,COLOTLÁN,43,HUEJÚCAR,1564,2,231,160,6,,,139,,0,,,,,,,,,0,536,17,553,924
1,14,JALISCO,1,COLOTLÁN,43,HUEJÚCAR,1565,2,111,249,6,,,160,,8,,,,,,,,,0,534,9,543,885
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1566,2,518,409,,,,100,,,,,,,,,,,0,1027,11,1038,1509
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1567,3,660,415,,,,184,,,,,,,,,,,0,1259,22,1281,1927
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1568,2,543,251,,,,139,,,,,,,,,,,0,933,22,955,1468
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1569,2,153,124,,,,72,,,,,,,,,,,0,349,8,357,544
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1570,1,105,38,,,,34,,,,,,,,,,,0,177,0,177,280
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1571,1,48,49,,,,9,,,,,,,,,,,0,106,0,106,175
1,14,JALISCO,1,COLOTLÁN,44,HUEJUQUILLA EL ALTO,1572,3,230,350,,,,217,,,,,,,,,,,0,797,26,823,1134
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1602,3,82,289,48,45,366,321,,,,,,,,,,,0,1151,26,1177,1911
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1603,2,64,194,38,20,290,146,,,,,,,,,,,0,752,8,760,1265
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1604,3,70,361,29,33,396,172,,,,,,,,,,,1,1061,26,1088,1910
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1605,3,114,484,15,46,305,148,,,,,,,,,,,0,1112,15,1127,1826
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1606,2,37,111,10,11,168,132,,,,,,,,,,,0,469,13,482,872
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1607,2,14,127,19,17,400,142,,,,,,,,,,,0,719,24,743,1321
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1608,2,18,176,45,9,251,144,,,,,,,,,,,0,643,7,650,1076
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1609,3,64,354,36,32,440,203,,,,,,,,,,,0,1129,19,1148,2029
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1610,2,29,174,22,24,238,71,,,,,,,,,,,0,558,9,567,1010
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1611,2,6,139,16,7,190,85,,,,,,,,,,,0,443,8,451,857
1,14,JALISCO,1,COLOTLÁN,47,IXTLAHUACÁN DEL RIO,1612,2,5,159,21,10,189,99,,,,,,,,,,,0,483,7,490,880
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1782,2,267,224,50,19,,226,10,0,,,,,,,,,0,796,14,810,1371
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1783,3,297,381,130,21,,191,14,0,,,,,,,,,0,1034,14,1048,1747
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1784,5,553,711,190,66,,366,43,0,,,,,,,,,1,1929,32,1962,3538
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1785,3,271,382,45,16,,188,21,0,,,,,,,,,0,923,14,937,1773
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1786,2,171,218,67,4,,113,20,1,,,,,,,,,0,594,8,602,1070
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1787,3,260,400,43,14,,183,20,0,,,,,,,,,2,920,9,931,1598
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1788,2,141,225,33,7,,179,19,0,,,,,,,,,0,604,14,618,1074
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1789,2,153,114,41,7,,267,6,2,,,,,,,,,0,590,7,597,1037
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1790,1,123,184,30,11,,56,64,2,,,,,,,,,0,470,5,475,734
1,14,JALISCO,1,COLOTLÁN,57,MAGDALENA,1791,2,335,237,17,9,,110,28,2,,,,,,,,,0,738,9,747,1211
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1831,2,296,263,6,,,47,,77,,,,,,,,,0,689,17,706,1165
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1832,2,226,264,1,,,69,,74,,,,,,,,,0,634,10,644,973
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1833,1,58,42,0,,,5,,5,,,,,,,,,0,110,5,115,191
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1834,1,136,91,1,,,19,,47,,,,,,,,,0,294,10,304,525
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1835,1,150,83,1,,,12,,44,,,,,,,,,0,290,8,298,468
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1837,5,642,1242,9,,,608,,5,,,,,,,,,10,2506,85,2601,3159
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1838,4,343,536,21,,,475,,11,,,,,,,,,0,1386,111,1497,2150
1,14,JALISCO,1,COLOTLÁN,63,MEZQUITIC,1839,7,1377,1295,27,,,521,,18,,,,,,,,,0,3238,87,3325,4339
1,14,JALISCO,1,COLOTLÁN,73,SAN CRISTOBAL DE LA BARRANCA,2050,2,443,334,16,,,,,3,,,,,,,,,0,796,14,810,1260
1,14,JALISCO,1,COLOTLÁN,73,SAN CRISTOBAL DE LA BARRANCA,2051,1,146,67,6,,,,,0,,,,,,,,,0,219,2,221,380
1,14,JALISCO,1,COLOTLÁN,73,SAN CRISTOBAL DE LA BARRANCA,2052,2,298,226,17,,,,,2,,,,,,,,,0,543,13,556,799
1,14,JALISCO,1,COLOTLÁN,73,SAN CRISTOBAL DE LA BARRANCA,2053,1,71,69,10,,,,,0,,,,,,,,,0,150,4,154,294
1,14,JALISCO,1,COLOTLÁN,73,SAN CRISTOBAL DE LA BARRANCA,2054,1,84,98,4,,,,,0,,,,,,,,,0,186,4,190,314
1,14,JALISCO,1,COLOTLÁN,77,SAN MARCOS,2107,2,234,314,24,,,342,99,,,,25,,,,,,0,1038,12,1050,1389
1,14,JALISCO,1,COLOTLÁN,77,SAN MARCOS,2108,3,232,427,37,,,380,120,,,,21,,,,,,1,1217,11,1229,1629
1,14,JALISCO,1,COLOTLÁN,78,SAN MARTÍN DE BOLAÑOS,2110,2,279,288,,,,58,,5,,,,,,,,,0,630,3,633,906
1,14,JALISCO,1,COLOTLÁN,78,SAN MARTÍN DE BOLAÑOS,2111,2,427,355,,,,59,,2,,,,,,,,,0,843,14,857,1197
1,14,JALISCO,1,COLOTLÁN,78,SAN MARTÍN DE BOLAÑOS,2112,1,105,63,,,,9,,1,,,,,,,,,0,178,4,182,288
1,14,JALISCO,1,COLOTLÁN,78,SAN MARTÍN DE BOLAÑOS,2113,1,40,35,,,,6,,0,,,,,,,,,0,81,3,84,137
1,14,JALISCO,1,COLOTLÁN,78,SAN MARTÍN DE BOLAÑOS,2114,1,39,48,,,,1,,0,,,,,,,,,0,88,1,89,125
1,14,JALISCO,1,COLOTLÁN,82,SANTA MARIA DE LOS ÁNGELES,2157,1,118,161,,,,33,,0,,,,,,,,,0,312,4,316,455
1,14,JALISCO,1,COLOTLÁN,82,SANTA MARIA DE LOS ÁNGELES,2158,2,359,250,,,,38,,6,,,,,,,,,0,653,8,661,950
1,14,JALISCO,1,COLOTLÁN,82,SANTA MARIA DE LOS ÁNGELES,2159,1,145,130,,,,40,,1,,,,,,,,,0,316,3,319,443
1,14,JALISCO,1,COLOTLÁN,82,SANTA MARIA DE LOS ÁNGELES,2160,2,152,272,,,,173,,0,,,,,,,,,0,597,2,599,905
1,14,JALISCO,1,COLOTLÁN,82,SANTA MARIA DE LOS ÁNGELES,2161,1,115,112,,,,99,,1,,,,,,,,,0,327,7,334,502
1,14,JALISCO,1,COLOTLÁN,84,TALA,2181,4,282,332,32,37,,409,32,134,1,43,6,15,,,,,0,1323,31,1354,2426
1,14,JALISCO,1,COLOTLÁN,84,TALA,2182,5,342,533,56,79,,496,47,217,13,106,29,33,,,,,0,1951,38,1989,3796
1,14,JALISCO,1,COLOTLÁN,84,TALA,2183,2,84,116,16,21,,140,21,46,4,15,1,6,,,,,0,470,8,478,850
1,14,JALISCO,1,COLOTLÁN,84,TALA,2184,2,92,162,15,24,,208,10,53,4,24,6,6,,,,,0,604,10,614,1045
1,14,JALISCO,1,COLOTLÁN,84,TALA,2185,3,181,225,22,43,,324,28,112,10,49,15,13,,,,,2,1022,14,1038,1796
1,14,JALISCO,1,COLOTLÁN,84,TALA,2186,2,111,146,12,20,,173,8,44,4,26,16,18,,,,,0,578,25,603,1145
1,14,JALISCO,1,COLOTLÁN,84,TALA,2187,3,125,191,26,16,,363,23,101,5,45,98,120,,,,,0,1113,17,1130,2137
1,14,JALISCO,1,COLOTLÁN,84,TALA,2188,2,136,184,29,31,,70,72,42,24,17,17,7,,,,,6,629,13,648,1164
1,14,JALISCO,1,COLOTLÁN,84,TALA,2189,3,282,226,42,35,,253,29,99,14,74,22,11,,,,,0,1087,9,1096,2056
1,14,JALISCO,1,COLOTLÁN,84,TALA,2190,2,184,183,21,16,,138,8,102,5,48,10,8,,,,,0,723,7,730,1383
1,14,JALISCO,1,COLOTLÁN,84,TALA,2191,2,183,130,41,20,,189,11,53,4,17,13,8,,,,,0,669,9,678,1151
1,14,JALISCO,1,COLOTLÁN,84,TALA,2192,1,75,86,14,30,,117,9,32,3,25,9,6,,,,,0,406,2,408,728
1,14,JALISCO,1,COLOTLÁN,84,TALA,2193,2,172,220,16,36,,203,27,59,4,28,11,14,,,,,0,790,12,802,1265
1,14,JALISCO,1,COLOTLÁN,84,TALA,2194,3,142,282,22,32,,272,20,84,6,60,4,14,,,,,0,938,8,946,1635
1,14,JALISCO,1,COLOTLÁN,84,TALA,2195,2,82,185,8,11,,185,14,32,1,19,5,5,,,,,0,547,5,552,849
1,14,JALISCO,1,COLOTLÁN,84,TALA,2196,2,135,189,12,30,,241,34,101,3,79,6,11,,,,,0,841,10,851,1493
1,14,JALISCO,1,COLOTLÁN,84,TALA,2197,2,154,190,16,24,,111,6,61,5,35,23,12,,,,,0,637,9,646,1257
1,14,JALISCO,1,COLOTLÁN,84,TALA,2198,4,244,500,28,43,,377,32,102,4,39,9,28,,,,,0,1406,25,1431,2367
1,14,JALISCO,1,COLOTLÁN,84,TALA,2199,2,150,222,13,10,,206,14,49,5,35,5,9,,,,,0,718,15,733,1149
1,14,JALISCO,1,COLOTLÁN,84,TALA,2200,2,187,181,17,10,,111,11,61,2,32,11,12,,,,,0,635,8,643,1028
1,14,JALISCO,1,COLOTLÁN,84,TALA,2201,2,86,149,24,10,,220,18,12,4,6,4,5,,,,,0,538,23,561,1043
1,14,JALISCO,1,COLOTLÁN,84,TALA,2202,2,37,110,11,16,,262,9,10,5,8,1,5,,,,,0,474,7,481,884
1,14,JALISCO,1,COLOTLÁN,84,TALA,2203,6,348,337,37,39,,472,26,143,22,37,14,8,,,,,0,1483,26,1509,4256
1,14,JALISCO,1,COLOTLÁN,84,TALA,2204,2,160,169,22,37,,289,18,48,10,61,10,5,,,,,0,829,6,835,1248
1,14,JALISCO,1,COLOTLÁN,84,TALA,2205,3,266,300,20,3,,235,23,46,9,42,9,9,,,,,0,962,21,983,1705
1,14,JALISCO,1,COLOTLÁN,84,TALA,2206,3,277,414,35,7,,96,18,37,8,66,17,10,,,,,0,985,18,1003,1625
1,14,JALISCO,1,COLOTLÁN,84,TALA,2207,2,232,342,20,12,,88,25,61,12,128,14,5,,,,,0,939,19,958,1529
1,14,JALISCO,1,COLOTLÁN,84,TALA,2208,3,150,246,14,24,,259,5,32,3,17,10,19,,,,,0,779,14,793,1580
1,14,JALISCO,1,COLOTLÁN,84,TALA,2209,2,86,188,15,15,,182,11,7,4,15,0,7,,,,,0,530,13,543,1056
1,14,JALISCO,1,COLOTLÁN,84,TALA,2210,5,248,451,67,23,,641,13,8,23,42,34,19,,,,,0,1569,62,1631,3619
1,14,JALISCO,1,COLOTLÁN,84,TALA,2211,1,14,77,15,8,,91,3,1,18,9,1,0,,,,,0,237,5,242,508
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2396,4,390,543,285,63,,252,42,12,,,,11,,,,,0,1598,22,1620,2854
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2397,3,120,179,89,27,,69,13,10,,,,9,,,,,0,516,5,521,858
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2398,2,142,197,121,24,,83,23,8,,,,7,,,,,1,605,12,618,1052
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2399,2,176,154,95,16,,69,19,16,,,,3,,,,,0,548,15,563,1012
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2400,5,473,514,488,29,,182,34,23,,,,7,,,,,0,1750,31,1781,3328
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2401,3,262,363,211,27,,92,33,9,,,,8,,,,,0,1005,13,1018,1726
1,14,JALISCO,1,COLOTLÁN,95,TEQUILA,2402,2,175,206,81,20,,108,12,12,,,,7,,,,,1,621,9,631,1047
