CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1216,4,36,655,374,31,22,112,22,89,8,11,11,10,14,0,1395,37,1432,1898
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1217,3,23,419,225,22,15,67,11,61,5,12,11,3,16,0,890,53,943,2069
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1219,2,10,297,188,10,4,34,7,26,11,10,16,4,7,0,624,51,675,1393
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1220,3,20,332,200,17,7,56,11,30,13,9,6,7,3,0,711,33,744,1503
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1221,4,22,460,281,23,18,53,17,27,23,1,16,10,10,0,961,41,1002,2457
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1222,4,42,433,277,22,28,43,14,31,10,3,7,12,21,0,943,35,978,2388
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1223,2,16,254,125,19,12,64,29,41,10,7,5,16,8,0,606,39,645,1299
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1224,2,13,193,106,7,12,37,6,17,2,2,10,4,4,0,413,19,432,884
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1225,3,19,532,356,23,22,77,7,77,8,5,7,15,9,1,1157,42,1200,984
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1226,3,16,316,211,11,4,58,8,69,4,5,5,12,9,0,728,31,759,1567
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1231,2,14,273,106,11,7,32,3,31,4,5,3,3,3,0,495,36,531,871
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1232,3,32,372,270,17,12,50,18,38,13,9,8,10,15,0,864,54,918,2115
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1233,2,8,143,98,9,5,25,2,7,4,7,6,6,4,0,324,10,334,778
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1234,3,9,346,187,22,10,41,7,12,6,4,10,5,8,0,667,35,702,1774
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1235,2,19,305,161,12,10,35,7,22,9,9,20,9,7,0,625,36,661,1378
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1236,2,16,232,138,13,7,33,11,16,3,8,12,4,0,0,493,37,530,1267
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1237,4,39,809,376,27,24,97,14,77,6,10,19,18,8,0,1524,70,1594,1745
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1238,3,24,360,186,14,13,58,12,39,6,10,8,8,4,0,742,28,770,1647
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1252,3,21,368,269,13,8,43,7,31,8,9,10,20,20,1,827,43,871,2079
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1259,6,30,671,506,21,16,91,18,47,19,6,21,21,20,0,1487,86,1573,3853
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1260,3,24,351,209,20,13,50,26,59,9,12,12,6,10,0,801,32,833,1993
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1264,3,10,359,273,18,17,41,18,28,6,10,16,22,12,2,830,44,876,2142
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1265,5,20,510,410,42,34,108,30,57,26,7,29,23,29,0,1325,100,1425,3504
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1266,4,24,421,344,20,20,56,17,67,19,19,17,14,26,0,1064,52,1116,2765
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1273,2,5,241,81,8,6,13,5,4,2,1,1,4,12,0,383,17,400,886
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1274,1,3,150,72,0,0,9,1,1,1,0,0,0,0,0,237,6,243,325
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1275,1,0,54,16,0,1,0,2,0,0,0,0,0,0,0,73,7,80,208
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1276,2,7,264,52,16,16,3,3,7,2,1,3,0,0,0,374,44,418,1068
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1277,1,0,57,12,8,0,5,0,0,4,0,0,3,2,0,91,4,95,197
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1282,2,4,383,65,6,7,7,1,5,4,0,0,6,2,0,490,20,510,880
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1283,2,1,296,79,12,6,5,2,2,0,1,1,6,7,1,418,29,448,823
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1284,1,3,82,113,7,6,4,1,1,1,0,0,3,1,0,222,18,240,376
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1292,1,2,162,94,9,8,13,5,3,0,0,0,2,2,0,300,11,311,698
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1293,1,1,173,15,5,0,0,0,2,3,0,0,3,0,0,202,13,215,412
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1294,2,7,276,131,8,5,7,3,0,7,0,2,4,2,0,452,20,472,759
4,12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1298,1,0,89,58,0,0,0,0,0,0,0,0,0,0,0,147,4,151,209
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1207,3,18,406,247,28,13,26,5,24,8,4,8,16,19,0,822,35,857,1979
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1208,4,44,480,333,31,21,52,26,50,20,12,14,143,114,0,1340,79,1419,2960
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1218,3,18,272,192,20,34,30,11,18,1,13,9,10,10,0,638,39,677,1723
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1227,3,26,444,250,19,10,61,14,54,12,12,1,16,18,0,937,58,995,2069
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1228,3,9,384,183,30,11,51,16,25,9,9,10,15,9,2,761,31,794,1838
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1229,3,18,367,173,16,18,46,18,34,10,10,5,10,17,0,742,38,780,1638
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1230,2,19,341,148,7,8,40,3,25,4,3,8,11,1,2,618,31,651,1206
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1239,2,22,210,118,6,7,38,3,33,3,5,2,2,11,0,460,34,494,975
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1240,2,24,295,214,4,8,40,10,37,4,4,3,12,12,0,667,38,705,1385
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1241,2,9,294,182,17,5,34,4,25,3,10,0,8,6,0,597,25,622,1225
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1242,3,12,339,244,22,17,60,9,65,9,6,5,20,13,2,821,46,869,1761
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1243,4,14,380,267,20,22,71,6,44,7,6,15,15,16,2,883,50,935,2261
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1244,3,16,366,204,20,17,47,10,37,10,16,10,17,13,1,783,54,838,1857
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1245,3,10,282,158,6,8,56,6,33,6,14,5,146,101,0,831,50,881,2036
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1246,2,10,156,140,3,2,29,10,48,4,5,3,4,9,1,423,19,443,925
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1247,2,17,279,168,12,7,54,11,41,5,4,7,6,7,1,618,39,658,1320
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1248,2,15,275,181,4,6,47,10,38,8,16,8,4,3,0,615,48,663,1329
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1249,2,14,216,149,15,20,37,9,33,5,8,8,2,5,0,521,39,560,1129
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1250,2,14,260,178,10,2,45,12,30,3,3,8,7,7,0,579,28,607,1259
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1251,3,26,356,186,21,4,67,9,31,2,10,0,6,6,0,724,19,743,1526
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1254,3,23,388,178,13,6,54,10,43,6,3,7,11,9,0,751,34,785,1520
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1255,2,9,260,153,17,11,39,13,40,3,7,9,4,5,0,570,40,610,1185
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1256,2,5,218,141,15,17,31,13,37,1,5,4,9,8,0,504,28,532,1047
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1257,5,42,753,501,32,17,119,26,113,22,15,27,23,16,0,1706,96,1802,3635
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1258,3,13,360,278,16,11,54,10,82,12,35,16,11,13,0,911,49,960,1827
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1261,3,15,416,256,14,14,57,13,46,8,10,8,13,17,1,887,55,943,1782
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1262,2,8,229,155,7,14,31,8,40,6,15,3,4,10,1,530,29,560,1048
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1263,4,23,571,353,33,17,51,9,70,9,11,10,5,11,0,1173,49,1222,2406
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1267,10,67,1479,937,68,54,179,43,161,17,28,39,28,42,1,3142,136,3279,6558
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1268,2,15,392,158,4,13,41,5,26,5,4,4,11,5,1,683,26,710,1246
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1269,3,29,457,208,11,32,59,13,57,3,10,5,8,8,1,900,33,934,1601
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1270,3,32,475,289,23,14,87,18,66,4,12,3,10,23,2,1056,62,1120,2243
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1271,4,38,443,270,23,15,70,8,88,6,8,12,184,96,0,1261,66,1327,2964
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1278,2,1,169,120,0,9,20,25,26,1,7,2,7,1,0,388,29,417,987
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1279,4,17,550,243,35,26,59,8,97,13,17,14,15,22,0,1116,61,1177,2832
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1280,2,2,293,145,12,13,66,12,51,3,0,11,9,10,0,627,46,673,1441
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1281,4,21,534,340,10,11,75,12,68,8,11,10,8,9,1,1117,62,1180,2432
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1285,1,2,111,87,5,9,21,2,1,2,0,1,4,2,0,247,10,257,506
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1286,3,2,243,301,9,3,18,5,3,4,0,4,1,16,0,609,34,643,1572
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1287,2,6,175,223,12,7,23,4,12,9,1,7,10,25,0,514,22,536,1290
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1288,3,1,307,226,21,19,7,18,11,1,7,8,13,12,0,651,39,690,1602
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1289,3,7,538,232,15,65,46,11,23,10,4,33,7,4,7,995,27,1029,2044
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1290,1,0,68,13,0,0,0,1,0,0,0,0,0,0,0,82,1,83,186
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1291,1,0,78,78,3,3,5,0,1,1,2,0,3,0,0,174,6,180,358
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1295,2,8,376,128,8,4,3,3,3,0,1,2,7,3,0,546,25,571,1220
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1296,2,4,284,155,13,21,52,2,9,2,5,8,11,4,0,570,21,591,1001
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1297,1,2,114,118,2,2,6,2,1,1,0,2,9,5,0,264,9,273,492
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1299,1,4,118,101,5,3,14,3,1,3,0,3,2,8,0,265,16,281,537
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1300,2,3,222,128,22,12,13,7,8,2,2,4,8,7,2,438,22,462,934
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1301,3,4,232,206,27,21,55,2,14,2,1,1,12,15,0,592,29,621,1586
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1302,4,7,268,150,20,16,55,8,15,3,0,4,6,0,4,552,174,730,1891
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1303,3,10,270,135,15,11,50,1,9,1,0,5,9,5,0,521,30,551,1699
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1304,3,12,259,91,11,17,27,5,14,0,0,8,11,3,1,458,37,496,1530
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1305,2,6,192,114,14,6,14,24,9,0,0,4,8,10,1,401,17,419,1322
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1306,2,0,122,113,0,1,9,0,0,0,0,0,0,0,0,245,6,251,417
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1307,3,12,401,174,33,17,188,8,18,4,4,28,4,7,0,898,80,978,1856
4,12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,29,CHILPANCINGO DE LOS BRAVO,1308,2,6,206,79,7,8,27,1,0,3,0,0,1,0,0,338,13,351,681
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,2,60,180,141,0,4,59,7,20,4,4,3,3,2,1,487,22,510,1026
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,56,2,39,199,129,9,14,63,10,21,5,8,4,6,7,0,514,38,552,1481
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,57,2,36,229,112,10,7,77,11,16,3,11,3,6,2,0,523,29,552,1144
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,58,1,13,103,74,1,5,35,1,22,2,3,0,0,3,0,262,12,274,492
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,59,2,29,142,85,9,15,66,7,9,2,4,3,8,4,0,383,22,405,803
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,60,2,20,79,66,4,7,42,1,6,1,3,2,1,3,0,235,12,247,1033
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,61,2,40,173,137,9,1,63,9,20,4,6,5,4,5,0,476,26,502,1130
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,62,1,19,115,61,0,9,41,3,9,1,3,1,2,4,0,268,11,279,558
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,63,1,12,90,65,4,8,25,7,13,1,2,4,5,7,0,243,18,261,685
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,76,2,44,421,91,10,15,66,7,20,3,3,4,2,5,0,691,27,718,695
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,77,2,34,158,123,7,8,62,8,20,3,8,5,7,5,0,448,24,472,1014
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,78,1,10,40,31,2,5,11,0,1,0,2,1,3,0,0,106,2,108,240
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,79,1,33,103,64,6,5,33,2,9,3,1,2,4,3,0,268,28,296,679
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,80,2,47,235,161,17,19,88,7,20,3,16,4,6,8,0,631,34,665,1362
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,81,3,75,361,142,8,16,82,9,31,1,9,2,6,5,0,747,25,772,1041
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,84,1,33,51,43,2,8,16,4,19,3,1,0,2,2,0,184,3,187,492
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,95,1,18,112,57,13,7,21,2,4,3,4,0,4,3,0,248,20,268,520
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,97,2,40,231,143,5,18,33,5,13,1,3,1,7,3,1,503,17,521,1039
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,198,4,79,384,207,22,33,52,17,45,2,11,7,12,13,0,884,31,915,2377
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,216,3,67,242,183,13,49,58,15,18,2,8,4,9,11,1,679,49,729,1729
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,217,3,55,344,192,15,40,116,12,37,7,10,12,7,6,0,853,50,903,2167
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,218,2,43,167,149,4,16,51,11,19,6,4,4,1,4,0,479,36,515,1089
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,219,3,53,216,216,11,21,59,21,11,0,12,4,93,77,0,794,44,838,1642
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,220,2,54,199,161,18,12,44,13,14,3,6,8,2,11,0,545,28,573,1238
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,237,2,64,184,125,8,8,39,5,18,3,5,1,4,1,0,465,16,481,957
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,238,2,34,138,82,6,10,41,9,17,5,2,4,5,4,0,357,21,378,821
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,239,2,17,88,86,0,0,26,5,6,2,0,2,0,0,0,232,10,242,1211
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,240,2,65,194,109,10,31,48,23,18,0,3,5,6,3,0,515,19,534,1117
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,241,2,31,151,144,6,14,21,3,17,1,8,3,7,14,0,420,20,440,1068
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,242,2,45,193,106,8,8,24,6,12,2,0,2,9,11,1,426,18,445,930
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,243,4,88,375,357,29,28,74,10,44,2,11,11,8,10,0,1047,53,1100,2452
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,244,3,48,328,218,22,14,60,12,15,2,15,5,12,12,0,763,47,810,1741
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,248,2,28,88,40,5,5,90,4,9,0,0,1,97,71,0,438,18,456,945
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,249,2,31,118,126,26,7,44,12,16,2,1,4,2,8,1,397,12,410,848
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,250,2,41,141,125,5,11,42,8,12,4,1,0,3,6,1,399,22,422,893
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,253,2,44,177,128,1,7,46,3,14,6,5,4,0,0,0,435,27,462,919
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,254,3,56,303,208,18,17,92,19,39,4,7,4,2,2,0,771,35,806,1647
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,255,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1591
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,256,7,182,772,343,41,49,218,33,97,13,24,25,37,19,1,1853,112,1966,4734
