CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,110,2,91,29,0,5,45,2,1,3,1,4,0,0,181,6,187,255
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,111,1,108,75,2,1,3,8,1,0,1,2,0,0,201,4,205,301
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,112,1,185,106,6,3,15,15,0,4,1,3,0,0,338,12,350,529
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,113,1,131,76,4,3,2,5,3,2,1,1,0,0,228,13,241,419
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,114,2,269,175,16,1,10,10,4,1,0,0,0,0,486,9,495,785
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,115,1,54,47,2,1,7,3,0,1,1,0,0,0,116,1,117,152
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,116,2,439,193,9,10,44,24,2,1,6,0,0,0,728,16,744,1126
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,117,2,151,77,6,3,9,1,2,2,2,4,0,0,257,17,274,409
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,118,2,96,92,8,0,2,0,0,4,3,0,0,0,205,7,212,378
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,119,1,106,45,41,4,7,5,1,0,0,0,0,0,209,10,219,275
1,3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,2,MULEGE,120,1,375,45,3,3,2,4,3,1,1,2,0,0,439,5,444,631
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,290,2,418,135,51,10,4,33,2,1,0,0,13,2,669,17,686,1498
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,291,4,500,512,253,15,10,131,9,11,1,0,27,2,1471,58,1529,1998
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,292,1,138,132,64,6,1,16,3,5,3,0,4,0,372,5,377,673
