CIRCUNSCRIPCION,﻿ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1510,1,27,67,46,1,2,0,2,4,0,0,0,149,5,154,296
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1511,1,41,196,94,0,7,0,0,40,1,1,0,380,7,387,718
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1512,2,42,253,150,0,6,1,3,9,4,3,0,471,21,492,925
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1513,1,16,65,190,0,2,1,0,13,0,0,0,287,5,292,615
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1514,1,16,133,123,3,4,0,1,5,2,2,0,289,6,295,561
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1515,1,14,50,139,5,1,0,1,11,1,0,0,222,0,222,483
5,16,MICHOACAN,1,LA PIEDAD,68,PENJAMILLO,1516,1,3,111,133,0,3,0,2,8,1,0,0,261,9,270,518
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1529,4,355,489,128,26,18,4,26,28,15,10,0,1099,51,1150,2330
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1530,6,484,693,191,49,47,12,57,78,12,15,0,1638,68,1706,3899
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1531,5,447,718,188,46,33,6,52,68,5,13,1,1576,45,1622,3325
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1532,3,330,292,81,8,27,6,20,21,4,6,0,795,31,826,1807
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1533,3,282,350,80,7,20,2,25,26,9,12,0,813,34,847,2074
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1534,2,192,256,66,8,12,6,28,25,4,5,0,602,3,605,1315
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1535,3,232,277,79,10,20,5,25,19,12,3,0,682,29,711,1752
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1536,2,142,193,52,11,9,1,10,15,3,2,0,438,15,453,971
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1537,2,189,273,74,6,18,7,17,21,6,4,1,615,23,639,1391
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1538,2,123,162,82,7,10,1,6,10,1,6,0,408,14,422,863
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1539,2,99,163,28,12,10,2,12,17,4,1,1,348,7,356,901
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1540,2,165,193,83,6,9,4,6,18,7,2,0,493,26,519,992
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1541,3,246,390,180,20,30,9,43,40,5,12,0,975,39,1014,1759
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1542,3,166,300,94,6,22,0,13,26,9,3,0,639,16,655,1754
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1543,4,437,708,172,20,41,13,38,40,15,16,2,1500,25,1527,2986
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1544,2,217,311,64,12,17,6,22,23,11,5,0,688,23,711,1319
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1545,3,337,302,135,12,12,15,14,38,6,3,1,874,34,909,1286
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1546,2,148,192,43,9,13,6,9,19,3,3,0,445,7,452,884
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1547,1,119,181,30,8,5,1,14,13,4,6,0,381,11,392,713
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1548,1,112,140,32,3,9,2,23,12,4,2,0,339,9,348,655
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1549,1,98,108,14,1,4,1,9,5,1,2,1,243,11,255,393
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1550,1,118,118,26,2,2,1,6,2,3,5,0,283,6,289,505
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1551,1,97,123,25,4,5,2,6,6,2,3,0,273,13,286,493
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1552,2,174,187,53,7,6,5,10,10,6,5,0,463,24,487,959
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1553,2,121,149,36,4,17,4,18,25,2,5,0,381,14,395,823
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1554,2,99,134,27,5,14,1,21,20,1,3,0,325,6,331,776
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1555,2,148,185,59,5,12,1,10,7,1,6,1,434,6,441,812
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1556,2,141,172,59,10,18,3,22,17,5,3,0,450,12,462,876
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1557,2,93,140,66,7,7,6,6,15,0,4,0,344,10,354,804
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1558,1,60,119,15,6,3,3,10,13,2,1,0,232,3,235,569
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1559,1,97,126,42,3,7,1,6,2,1,5,0,290,0,290,698
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1560,1,104,149,54,2,6,1,5,11,2,5,0,339,12,351,669
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1561,2,109,173,30,7,6,5,12,9,2,2,0,355,18,373,761
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1562,1,153,128,28,9,3,0,11,14,7,3,1,356,17,374,669
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1563,2,192,211,50,5,5,10,18,11,6,2,0,510,3,513,947
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1564,1,93,169,47,6,10,5,6,5,1,7,0,349,6,355,659
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1565,2,91,258,58,6,5,2,13,8,4,4,0,449,23,472,797
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1566,2,181,282,64,9,11,4,10,19,4,7,0,591,52,643,1370
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1567,2,169,336,82,8,11,4,17,34,4,8,2,673,31,706,1456
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1568,4,310,464,113,13,23,3,34,25,6,3,0,994,18,1012,2525
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1569,2,105,163,35,1,3,8,10,7,3,1,0,336,10,346,879
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1570,2,98,216,41,2,8,3,11,5,1,2,1,387,10,398,960
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1571,5,381,624,177,17,45,10,37,66,18,6,0,1381,40,1421,3615
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1572,5,426,577,203,26,16,8,36,37,7,7,0,1343,38,1381,3229
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1573,3,340,320,63,7,17,2,17,11,4,1,0,782,28,810,1791
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1574,1,57,109,9,3,3,2,2,6,0,1,0,192,10,202,356
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1575,1,24,52,39,4,4,0,2,4,1,1,0,131,3,134,386
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1576,1,155,103,50,2,13,1,14,0,2,2,0,342,13,355,728
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1577,2,93,322,105,9,16,4,7,9,4,3,0,572,5,577,1087
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1578,1,86,64,64,4,4,0,2,2,0,2,0,228,24,252,513
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1579,1,77,110,55,0,0,0,2,3,0,0,0,247,11,258,574
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1580,2,121,169,64,2,8,1,11,11,3,0,0,390,13,403,787
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1581,1,50,75,27,2,2,0,1,0,1,0,0,158,7,165,274
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1582,1,39,120,10,0,3,0,1,1,0,0,0,174,2,176,293
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1583,3,308,420,102,13,28,1,22,17,11,7,0,929,60,989,2134
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1584,3,118,184,64,9,10,5,5,7,3,5,0,410,12,422,1672
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1585,1,16,85,41,2,3,0,1,5,0,0,0,153,15,168,357
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1586,2,37,101,119,4,7,2,1,13,0,1,0,285,7,292,809
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1587,3,132,174,137,12,7,3,12,24,4,1,0,506,31,537,1577
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1588,1,20,59,32,7,3,1,0,8,1,1,0,132,3,135,276
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1589,2,77,180,125,4,19,5,22,59,4,1,0,496,17,513,1343
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,3,230,313,341,11,12,5,6,23,3,0,0,944,37,981,1879
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1940,1,101,89,122,3,5,2,3,11,4,1,0,341,15,356,646
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1941,2,203,137,128,4,7,1,1,9,0,0,0,490,9,499,908
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,2,269,208,218,4,15,2,6,11,4,6,0,743,34,777,1491
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1943,2,147,124,170,8,13,2,4,9,2,0,0,479,17,496,866
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,3,162,189,254,8,12,4,4,22,2,3,0,660,8,668,1312
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1945,2,54,164,215,4,13,3,6,26,2,0,0,487,40,527,1112
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1946,2,167,132,139,2,7,3,2,1,1,3,0,457,17,474,906
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1947,2,24,173,327,1,4,1,0,10,2,1,0,543,11,554,1034
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1948,1,48,114,59,10,7,2,1,3,1,1,0,246,29,275,621
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1949,1,72,41,35,0,6,2,1,3,0,1,0,161,4,165,356
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2370,2,93,190,44,4,13,7,15,165,6,4,0,541,11,552,873
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2371,2,67,178,45,11,9,5,5,182,6,3,0,511,21,532,770
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2372,1,65,147,46,1,8,2,5,134,5,0,0,413,11,424,692
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2373,2,110,204,139,4,3,7,7,229,16,3,16,722,411,1149,1267
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2374,2,77,208,90,3,13,9,15,380,4,4,0,803,34,837,1337
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2375,2,94,251,109,9,18,4,7,299,12,5,0,808,33,841,1343
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2376,1,67,159,32,6,6,3,2,156,2,4,0,437,6,443,659
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2377,2,103,193,48,5,18,8,6,183,4,2,0,570,0,570,873
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2378,2,50,264,167,5,4,4,4,191,0,2,0,691,12,703,1111
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2379,3,123,276,289,22,24,10,14,347,9,6,0,1120,38,1158,1923
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2380,6,189,576,680,24,41,8,21,615,14,7,0,2175,81,2256,3993
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2381,2,100,165,315,10,10,7,7,85,4,1,0,704,11,715,1286
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2382,1,13,29,36,0,0,1,3,54,0,0,0,136,2,138,234
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2383,2,10,86,187,6,4,2,6,78,3,1,0,383,5,388,965
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2384,2,34,180,211,9,6,4,6,116,5,0,0,571,28,599,966
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2385,2,46,146,132,12,12,6,10,180,8,7,0,559,14,573,916
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2386,2,13,166,173,13,4,2,5,104,4,2,0,486,39,525,891
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2387,1,4,55,43,4,3,0,1,1,1,0,0,112,5,117,376
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2388,1,23,33,70,10,2,4,11,99,3,1,0,256,8,264,609
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2531,1,106,147,99,0,4,0,1,4,1,0,0,362,0,362,599
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2532,1,81,219,126,8,2,0,0,5,0,0,0,441,16,457,721
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2533,1,62,131,86,0,0,1,0,1,2,2,0,285,12,297,499
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2534,1,4,40,129,0,0,0,0,0,0,0,0,173,3,176,249
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2535,1,13,71,68,1,0,0,0,2,0,0,0,155,3,158,304
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2536,1,37,126,104,2,0,0,0,3,0,1,0,273,7,280,450
5,16,MICHOACAN,1,LA PIEDAD,110,ZINÁPARO,2537,1,42,143,167,3,2,0,0,8,0,0,0,365,9,374,637
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,2,38,280,258,12,4,0,1,11,0,0,1,604,13,618,882
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,2,26,313,232,4,3,0,7,12,0,5,0,602,14,616,844
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,2,61,318,435,22,13,0,3,15,0,3,1,870,21,892,1300
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,2,27,240,486,36,8,0,3,15,0,0,1,815,24,840,1290
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,2,29,108,294,5,0,0,0,0,0,4,0,440,11,451,769
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,2,33,114,354,35,4,0,1,6,0,2,0,549,12,561,938
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,44,1,28,81,348,20,0,0,3,4,0,2,0,486,10,496,688
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,45,3,27,393,856,27,10,0,3,10,0,0,0,1326,36,1362,2221
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,46,1,6,131,322,28,4,0,0,3,0,1,0,495,11,506,663
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,47,1,7,18,29,5,0,0,0,2,0,0,0,61,1,62,106
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,48,1,4,91,156,12,1,0,0,16,0,3,0,283,2,285,398
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,49,1,5,87,113,90,2,0,2,10,0,0,0,309,17,326,485
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,51,2,17,175,331,18,6,0,3,5,0,1,0,556,24,580,972
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,299,2,124,181,102,114,4,0,5,30,0,2,0,562,22,584,970
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,300,2,182,136,130,122,13,0,8,26,0,0,1,617,23,641,960
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,301,2,282,211,117,158,8,0,19,13,0,7,0,815,51,866,1398
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,302,2,172,206,130,194,7,0,5,16,0,5,0,735,41,776,1256
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,303,2,99,124,328,282,11,0,11,27,0,10,0,892,27,919,1253
5,16,MICHOACAN,2,PURUÁNDIRO,18,COPÁNDARO,304,2,156,234,226,98,7,0,8,18,0,5,0,752,21,773,1232
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,405,2,122,163,167,9,7,0,4,2,0,1,0,475,15,490,784
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,406,2,72,149,190,2,5,0,1,12,0,4,0,435,21,456,791
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,407,2,63,143,269,2,12,0,2,13,0,1,0,505,39,544,937
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,408,2,7,136,215,5,4,0,2,54,0,2,0,425,33,458,666
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,409,2,55,250,199,3,9,0,4,28,0,1,0,549,23,572,1233
5,16,MICHOACAN,2,PURUÁNDIRO,27,CHUCÁNDIRO,410,1,4,45,214,2,2,0,1,0,0,0,0,268,3,271,475
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,580,2,180,105,291,7,40,0,9,10,0,3,3,645,34,682,1090
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,581,2,145,103,217,6,40,0,10,9,0,2,0,532,36,568,885
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,582,1,67,96,79,5,22,0,5,10,0,8,0,292,19,311,515
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,583,2,122,96,125,10,40,0,8,20,0,11,0,432,42,474,756
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,584,2,210,125,255,20,42,0,17,28,0,14,0,711,53,764,1193
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,585,1,105,79,106,7,22,0,5,7,0,3,0,334,11,345,554
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,586,2,205,178,208,14,69,0,13,14,0,10,0,711,32,743,1196
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,587,1,98,91,73,0,16,0,3,2,0,0,2,283,18,303,610
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,588,2,181,122,406,4,27,0,9,7,0,5,0,761,36,797,1144
5,16,MICHOACAN,2,PURUÁNDIRO,36,HUANDACAREO,589,3,276,200,385,13,73,0,12,18,0,15,0,992,54,1046,1551
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,756,2,51,116,285,185,16,0,134,23,0,32,0,842,46,888,1197
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,757,1,37,84,196,90,14,0,65,9,0,23,0,518,26,544,732
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,758,3,54,228,505,319,29,0,205,33,0,83,0,1456,55,1511,2068
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,759,2,44,143,160,193,15,0,95,16,0,53,0,719,31,750,1074
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,760,3,62,412,363,243,26,0,141,22,0,51,0,1320,38,1358,1915
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,761,2,12,151,404,99,15,0,110,16,0,5,1,812,34,847,1345
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,762,2,19,268,327,128,8,0,45,9,0,10,0,814,34,848,1316
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,763,2,10,228,145,101,6,0,14,27,0,10,0,541,23,564,825
5,16,MICHOACAN,2,PURUÁNDIRO,46,JOSÉ SIXTO VERDUZCO,764,3,14,379,291,207,13,0,45,12,0,16,3,977,21,1001,1539
