MUNICIPIO,CASILLA,TCAS,PAN,PRI,PRD,PT-Convergencia-PAS-PSN,PVEM,PDS,PCD,PARM,DSPPN,NULOS,TOTAL,OBSERVACIONES
Campeche,68,,90,109,31,9,3,0,0,1,4,8,255,
Campeche,68,C,110,99,21,12,6,0,1,2,4,4,259,
Campeche,69,,114,136,39,10,3,0,2,7,2,7,320,
Campeche,69,C,127,128,28,17,1,0,1,4,1,13,320,
Campeche,70,,137,162,35,11,0,1,0,3,2,10,361,
Campeche,70,C,164,130,42,13,2,0,0,3,6,0,360,
Campeche,71,,131,128,48,14,4,4,0,8,3,21,361,
Campeche,71,C,136,159,34,22,7,1,0,4,4,16,383,
Campeche,72,,145,230,30,29,8,1,8,8,5,15,479,
Campeche,72,C,127,243,32,29,7,0,12,13,2,16,481,
Campeche,73,,100,211,26,12,4,1,0,2,3,4,363,
Campeche,73,C,103,225,17,17,2,2,5,2,3,27,403,
Campeche,73,E,21,27,15,6,0,0,0,1,1,1,72,
Campeche,74,,177,190,41,25,4,7,3,21,4,19,491,
Campeche,74,C,169,226,30,32,4,3,4,15,4,13,500,
Campeche,75,,161,147,30,19,5,3,4,7,6,14,396,
Campeche,75,C,146,161,43,47,3,2,0,3,3,15,423,
Campeche,76,,104,130,62,27,2,4,1,4,3,11,348,
Campeche,76,C,114,147,56,23,3,0,1,7,1,10,362,
Campeche,77,,99,153,43,10,3,0,0,7,5,11,331,
Campeche,77,C,129,134,37,16,4,1,1,4,2,7,335,
Campeche,78,,106,121,32,10,4,0,0,5,0,13,291,
Campeche,78,C,130,103,31,10,6,1,0,5,1,8,295,
Campeche,79,,116,128,40,15,2,0,2,2,3,22,330,
Campeche,79,C,111,139,33,13,6,2,4,3,3,9,323,
Campeche,80,,117,126,21,8,3,0,0,3,1,7,286,
Campeche,80,C,124,122,22,19,4,2,2,3,5,7,310,
Campeche,81,,159,166,46,25,8,1,2,4,7,8,426,
Campeche,81,C1,195,183,47,15,8,0,2,6,7,7,470,
Campeche,81,C2,141,147,35,16,9,0,1,7,3,6,365,
Campeche,81,C3,222,179,34,20,5,4,2,5,8,6,485,
Campeche,82,,76,144,18,10,3,0,0,0,3,13,267,
Campeche,82,C,103,148,22,20,3,0,1,3,3,6,309,
Campeche,83,,141,177,31,15,3,2,3,4,8,13,397,
Campeche,83,C1,147,185,31,11,5,3,1,2,3,0,388,
Campeche,83,C2,159,187,24,14,2,0,3,3,4,22,418,
Campeche,84,,159,171,23,22,0,8,4,3,2,18,410,
Campeche,85,,118,107,31,11,7,0,3,5,2,12,296,
Campeche,85,C,105,119,23,16,4,0,1,1,2,10,281,
Campeche,86,,129,170,37,11,6,0,3,2,6,7,371,
Campeche,86,C,119,170,39,23,5,0,0,12,5,4,377,
Campeche,87,,108,122,45,27,3,4,3,19,6,4,341,
Campeche,87,C,118,124,33,20,5,2,1,12,3,12,330,
Campeche,88,,144,271,21,43,15,0,0,5,4,7,510,
Campeche,89,,102,240,10,17,2,0,1,6,9,3,390,
Campeche,89,C,111,198,16,31,5,0,5,14,7,0,387,
Campeche,90,,139,189,48,28,3,0,3,3,8,18,439,
Campeche,90,C,142,184,54,33,3,0,3,3,3,11,436,
Campeche,91,,140,124,48,24,3,0,4,4,3,20,370,
Campeche,91,C,114,134,53,25,4,0,4,2,3,6,345,
Campeche,92,,152,301,51,22,6,0,1,5,7,4,549,
Campeche,93,,182,235,56,27,9,4,6,6,4,0,529,
Campeche,94,,119,135,30,20,4,3,7,6,3,9,336,
Campeche,94,C,117,116,33,22,7,0,3,5,4,9,316,
Campeche,95,,149,150,47,25,4,0,1,3,5,0,384,
Campeche,96,,90,128,22,4,1,0,0,0,2,18,265,
Campeche,96,C,118,96,27,2,5,1,0,2,2,11,264,
Campeche,97,,95,104,29,10,7,0,0,4,0,17,266,
Campeche,97,C,105,104,42,11,2,0,0,2,1,8,275,
Campeche,98,,157,271,49,24,8,1,1,11,4,12,538,
Campeche,99,,127,98,43,10,1,1,1,3,2,47,333,
Campeche,99,C,117,112,52,13,7,0,0,4,0,12,317,
Campeche,100,,127,142,21,14,3,0,2,6,2,17,334,
Campeche,100,C1,109,172,25,8,3,0,5,1,0,10,333,
Campeche,100,C2,108,164,15,10,0,3,1,3,3,0,307,
Campeche,101,,121,170,18,12,2,0,2,5,1,8,339,
Campeche,101,C1,115,193,12,2,4,0,1,8,1,15,351,
Campeche,101,C2,106,181,25,9,6,1,3,1,1,0,333,
Campeche,102,,91,126,56,8,3,0,2,2,2,10,300,
Campeche,102,C,108,146,27,9,4,0,2,6,5,14,321,
Campeche,103,,93,137,48,10,0,1,0,3,0,17,309,
Campeche,103,C,92,135,38,10,0,0,0,3,1,19,298,
Campeche,104,,210,197,56,10,5,0,0,16,9,12,515,
Campeche,105,,166,192,40,7,4,0,0,6,1,12,428,
Campeche,105,C1,167,170,54,16,6,1,1,5,5,22,447,
Campeche,105,C2,165,184,33,22,5,3,2,0,6,19,439,
Campeche,106,,124,130,29,14,3,0,2,1,1,12,316,
Campeche,106,C,148,135,22,10,2,0,0,3,4,14,338,
Campeche,107,,100,106,40,13,3,2,1,3,2,21,291,
Campeche,107,C,105,78,48,19,3,2,1,8,2,11,277,
Campeche,108,,89,138,28,11,1,0,0,4,1,21,293,
Campeche,108,C1,96,148,27,14,3,0,2,2,0,12,304,
Campeche,108,C2,99,130,25,6,3,0,0,3,2,12,280,
Campeche,109,,97,182,31,11,2,0,0,9,1,13,346,
Campeche,109,C,109,196,23,8,2,1,2,7,2,0,350,
Campeche,110,,114,122,24,28,1,1,3,19,2,19,333,
Campeche,110,C,108,109,22,27,3,1,0,17,3,13,303,
Campeche,111,,131,152,23,22,3,0,0,4,4,17,356,
Campeche,111,C,126,170,21,21,1,3,4,7,6,13,372,
Campeche,112,,117,162,41,24,4,2,1,4,2,13,370,
Campeche,112,C,119,155,43,15,3,2,2,2,3,12,356,
Campeche,113,,135,123,29,15,1,1,4,5,3,38,354,
Campeche,113,C,110,142,20,22,1,0,1,7,1,19,323,
Campeche,114,,132,102,25,14,4,0,2,12,1,33,325,
Campeche,114,C,145,104,28,16,4,0,0,9,3,32,341,
Campeche,115,,71,127,14,18,1,0,0,4,0,20,255,
Campeche,115,C,64,121,10,26,1,1,2,4,0,25,254,
Campeche,116,,77,158,20,16,1,1,3,4,2,13,295,
Campeche,116,C,81,185,17,10,1,1,0,1,4,11,311,
Campeche,117,,88,202,22,29,1,2,3,6,0,12,365,
Campeche,117,C,25,43,7,12,2,2,0,2,0,16,109,
Campeche,118,,57,246,32,40,13,0,1,3,0,38,430,
Campeche,119,,18,138,4,9,4,1,1,0,0,3,178,
Campeche,120,,12,234,22,30,2,0,1,2,0,12,315,
Campeche,121,,75,152,26,46,5,0,0,4,0,0,308,
Campeche,122,,69,246,35,13,2,5,2,4,2,5,383,
Campeche,123,,51,132,61,41,1,0,0,2,0,34,322,
Campeche,124,,83,297,29,16,2,0,0,3,1,33,464,
Campeche,125,,99,152,28,6,3,1,2,0,0,10,301,
Campeche,125,C,118,157,15,6,0,3,0,1,2,18,320,
Campeche,126,,97,196,38,10,1,0,2,5,0,41,390,
Campeche,126,C,85,178,49,12,2,0,1,4,2,3,336,
Campeche,127,,78,228,37,15,1,2,0,1,2,19,383,
Campeche,128,,5,56,10,0,0,0,2,1,0,1,75,
Campeche,129,,80,214,21,35,1,0,0,0,1,11,363,
Campeche,129,C,69,209,11,36,0,0,1,3,1,20,350,
Campeche,130,,37,105,36,26,2,0,2,1,0,10,219,
Campeche,131,,21,79,10,5,0,0,0,0,0,1,116,
Campeche,132,,33,42,12,3,0,0,1,2,0,6,99,
Campeche,133,,34,183,11,10,2,3,1,1,0,18,263,
Campeche,134,,12,106,8,2,0,0,1,1,0,24,154,
Campeche,135,,67,208,66,12,0,11,0,2,0,19,385,
Campeche,136,,27,59,6,5,0,0,0,0,0,6,103,
Campeche,137,,8,47,10,3,0,0,1,0,1,4,74,
Campeche,138,,28,204,14,4,1,0,0,1,0,10,262,
Campeche,139,,44,203,87,10,1,1,0,0,0,27,373,
Campeche,139,C,48,197,76,16,2,1,2,2,1,23,368,
Campeche,140,,30,113,32,36,2,0,2,4,1,4,224,
Campeche,140,C,41,113,24,22,0,0,2,1,0,11,214,
Campeche,141,,64,229,50,46,0,0,11,0,0,22,422,
Campeche,142,,18,243,156,5,0,0,0,0,1,12,435,
Campeche,142,C,26,200,202,16,0,0,0,3,2,11,460,
Campeche,143,,11,92,20,18,0,1,0,3,0,4,149,
Campeche,144,,4,74,19,4,0,0,2,0,1,4,108,
Campeche,145,,42,189,70,28,1,2,3,9,0,0,344,
Campeche,146,,17,74,80,15,0,0,4,3,0,20,213,
Calkiní,147,,91,210,7,1,0,0,1,0,4,14,328,
Calkiní,147,C,113,200,7,2,0,1,1,2,9,11,346,
Calkiní,148,,118,153,5,0,0,1,1,4,6,6,294,
Calkiní,148,C,157,131,6,0,0,1,1,1,4,6,307,
Calkiní,149,,170,123,7,5,0,0,2,2,0,7,316,
Calkiní,149,C,195,107,2,8,0,0,1,0,1,15,329,
Calkiní,150,,196,297,14,2,0,0,2,2,10,7,530,
Calkiní,151,,185,236,12,6,0,0,0,1,8,27,475,
Calkiní,151,E,8,8,0,0,0,0,0,0,1,1,18,
Calkiní,152,,128,151,12,2,0,1,0,4,18,11,327,
Calkiní,152,C,113,174,10,0,0,1,1,1,12,8,320,
Calkiní,153,,133,146,6,10,0,0,0,0,12,15,322,
Calkiní,153,C,142,142,4,10,0,0,3,5,14,21,341,
Calkiní,154,,147,163,2,24,0,1,1,3,15,12,368,
Calkiní,154,C,165,153,4,12,0,0,4,4,12,25,379,
Calkiní,155,,128,151,16,7,0,0,0,6,32,20,360,
Calkiní,155,C,111,156,20,10,0,0,2,11,24,21,355,
Calkiní,156,,148,156,13,12,0,0,2,6,15,21,373,
Calkiní,157,,31,352,3,4,0,0,1,1,3,5,400,
Calkiní,158,,91,213,31,4,0,1,2,1,61,36,440,
Calkiní,159,,180,244,2,0,0,0,0,0,0,5,431,
Calkiní,160,,239,266,3,2,0,0,0,0,5,7,522,
Calkiní,161,,201,260,7,1,0,3,0,0,1,8,481,
Calkiní,162,,219,185,4,1,0,0,1,0,21,13,444,
Calkiní,163,,249,163,6,0,0,0,0,0,17,9,444,
Calkiní,164,,213,258,14,0,0,1,0,0,8,16,510,
Calkiní,165,,6,133,0,0,0,1,1,0,16,5,162,
Calkiní,166,,84,348,72,13,0,0,1,1,1,33,553,
Calkiní,166,C,136,346,49,20,0,0,0,1,0,25,577,
Calkiní,167,,81,207,35,5,0,0,0,2,0,15,345,
Calkiní,167,C,46,179,55,13,0,0,0,3,0,21,317,
Calkiní,168,,75,201,37,4,0,0,0,6,1,24,348,
Calkiní,168,C,64,215,29,11,0,0,0,3,3,29,354,
Calkiní,169,,152,224,15,0,0,0,1,0,0,7,399,
Calkiní,169,C,129,167,29,6,0,0,0,1,3,2,337,
Calkiní,170,,117,212,56,5,0,17,3,3,21,48,482,
Calkiní,171,,80,218,14,1,0,0,0,3,13,26,355,
Calkiní,172,,70,134,15,0,0,0,0,3,33,23,278,
Calkiní,172,C,42,150,7,1,0,0,0,8,30,13,251,
Calkiní,173,,58,185,27,62,0,0,0,4,2,17,355,
Calkiní,173,C,70,192,30,38,0,0,0,0,0,18,348,
Calkiní,174,,77,171,14,17,0,0,0,1,1,10,291,
Calkiní,174,C,78,156,15,21,0,0,1,1,1,7,280,
Calkiní,175,,62,196,42,44,0,0,1,1,1,49,396,
Calkiní,175,C,72,224,52,61,1,0,1,5,3,25,444,
Calkiní,176,,73,206,45,46,0,0,0,0,2,25,397,
Calkiní,176,C,72,189,53,34,0,0,0,0,0,20,368,
Calkiní,177,,62,191,29,56,0,1,0,1,0,14,354,
Calkiní,177,C,110,178,21,46,0,0,0,0,1,19,375,
Calkiní,178,,38,82,6,16,0,0,0,2,22,14,180,
Calkiní,179,,64,175,4,12,0,0,0,2,14,24,295,
Calkiní,179,C,79,161,6,18,0,0,0,1,8,25,298,
Calkiní,180,,41,348,13,8,0,3,1,3,3,16,436,
Calkiní,180,C,64,261,35,5,0,0,7,0,2,6,380,
Calkiní,181,,2,103,1,0,0,0,2,0,25,3,136,
Calkiní,181,X,0,47,0,1,0,0,0,0,1,1,50,
Calkiní,182,,10,45,9,0,0,0,0,0,16,10,90,
Carmen,183,,145,66,13,9,10,0,0,1,4,4,252,
Carmen,184,,213,93,24,9,0,0,0,2,5,4,350,
Carmen,184,C1,215,83,24,11,1,0,0,1,4,1,340,
Carmen,184,C2,190,102,24,10,0,0,0,1,2,3,332,
Carmen,185,,179,159,35,7,2,1,0,1,0,0,384,
Carmen,185,C,179,162,152,0,0,0,0,0,0,0,493,
Carmen,186,,123,75,16,7,0,1,0,1,0,9,232,
Carmen,186,C,144,79,17,7,3,2,0,1,0,4,257,
Carmen,187,,167,113,37,10,2,0,0,0,2,12,343,
Carmen,187,C,203,99,24,14,4,0,0,2,1,0,347,
Carmen,188,,202,112,21,7,2,0,0,2,3,8,357,
Carmen,188,C,189,126,18,12,0,0,0,0,2,7,354,
Carmen,189,,198,107,15,17,7,4,0,1,4,11,364,
Carmen,189,C,212,100,13,11,4,1,0,0,3,3,347,
Carmen,190,,134,93,17,8,0,1,0,0,0,5,258,
Carmen,190,C,166,77,26,14,3,5,0,2,1,8,302,
Carmen,191,,138,95,18,6,2,2,0,1,1,6,269,
Carmen,191,C,123,94,17,8,1,1,2,0,0,5,251,
Carmen,192,,137,62,35,4,0,0,0,0,0,11,249,
Carmen,192,C,115,82,37,2,0,1,0,1,1,8,247,
Carmen,193,,152,109,27,6,3,0,0,1,0,34,332,
Carmen,194,,160,62,8,9,2,0,0,0,0,0,241,
Carmen,194,C,150,68,13,13,0,0,0,0,1,5,250,
Carmen,195,,152,93,22,15,3,3,0,0,1,0,289,
Carmen,195,C,139,109,18,12,2,2,0,0,2,8,292,
Carmen,196,,140,114,28,17,1,6,0,0,1,10,317,
Carmen,196,C,161,130,15,14,0,3,0,0,1,10,334,
Carmen,197,,170,91,17,7,3,0,0,0,0,5,293,
Carmen,197,C,165,110,11,8,4,0,1,0,1,2,302,
Carmen,197,E,4,1,1,1,0,0,0,0,0,93,100,
Carmen,198,,23,12,2,7,0,0,0,0,0,2,46,
Carmen,199,,161,104,22,12,2,0,0,0,1,9,311,
Carmen,199,C1,171,93,26,5,1,0,0,0,6,0,302,
Carmen,199,C2,172,83,17,18,3,0,0,1,2,7,303,
Carmen,200,,167,95,13,12,2,0,0,0,2,10,301,
Carmen,200,C,141,126,18,7,5,0,0,0,2,6,305,
Carmen,201,,132,77,15,9,1,0,0,0,2,5,241,
Carmen,201,C,111,70,21,8,0,0,0,0,2,0,212,
Carmen,202,,263,160,14,13,1,0,0,0,2,11,464,
Carmen,202,C,276,136,19,18,0,0,1,1,3,7,461,
Carmen,203,,210,93,13,16,1,1,0,0,1,13,348,
Carmen,203,C,205,93,18,8,1,2,0,0,0,7,334,
Carmen,204,,218,89,19,9,2,2,0,1,2,8,350,
Carmen,205,,182,135,32,14,3,0,0,0,1,12,379,
Carmen,205,C1,177,114,34,13,2,8,0,1,0,13,362,
Carmen,205,C2,195,141,45,9,0,6,0,0,0,13,409,
Carmen,206,,214,85,15,6,0,0,0,1,2,0,323,
Carmen,206,C,209,92,20,10,3,0,0,0,0,5,339,
Carmen,207,,121,74,24,16,0,0,0,1,1,11,248,
Carmen,207,C,123,81,27,1,1,1,0,0,1,10,245,
Carmen,208,,245,107,29,8,2,1,0,0,1,10,403,
Carmen,208,C,226,107,16,8,4,3,0,1,0,23,388,
Carmen,209,,223,171,13,16,7,0,3,1,6,14,454,
Carmen,209,C,259,132,22,15,2,1,0,0,0,15,446,
Carmen,210,,258,123,20,11,1,1,0,0,3,10,427,
Carmen,210,C,232,145,25,11,2,0,2,1,9,15,442,
Carmen,211,,296,125,24,15,3,0,0,0,3,0,466,
Carmen,211,C,302,122,14,8,2,0,0,0,2,20,470,
Carmen,212,,288,124,36,19,2,0,0,0,5,0,474,
Carmen,213,,182,62,21,11,1,1,0,1,1,3,283,
Carmen,213,C,183,68,18,12,0,0,0,3,3,7,294,
Carmen,214,,255,90,22,14,1,0,0,1,2,4,389,
Carmen,214,C,233,115,11,13,1,0,0,0,3,2,378,
Carmen,215,,173,51,11,13,0,0,0,0,3,3,254,
Carmen,216,,191,90,17,7,1,0,0,0,2,12,320,
Carmen,216,C,191,94,11,11,0,1,0,0,1,5,314,
Carmen,217,,193,122,23,8,2,0,0,0,5,6,359,
Carmen,217,C,229,116,15,5,0,0,0,0,4,10,379,
Carmen,218,,236,123,25,17,1,0,0,1,1,15,419,
Carmen,218,C,209,123,33,18,2,0,0,3,3,10,401,
Carmen,219,,190,86,21,5,0,0,0,1,0,4,307,
Carmen,220,,240,139,15,10,4,2,0,1,2,5,418,
Carmen,221,,180,58,9,13,1,0,0,0,0,6,267,
Carmen,221,C,177,36,13,3,4,0,0,1,1,4,239,
Carmen,222,,261,97,7,4,2,1,1,0,2,0,375,
Carmen,223,,177,64,14,6,0,0,0,0,3,5,269,
Carmen,223,C,174,65,17,5,1,0,0,0,1,2,265,
Carmen,224,,228,104,27,14,3,0,0,0,3,0,379,
Carmen,224,C,210,83,26,8,3,0,0,0,3,6,339,
Carmen,225,,191,93,13,7,6,0,1,0,2,10,323,
Carmen,225,C,192,89,19,7,9,1,0,1,0,8,326,
Carmen,226,,191,68,20,3,0,1,0,0,0,10,293,
Carmen,226,C,168,55,20,20,1,1,0,0,0,0,265,
Carmen,227,,211,88,27,10,8,0,0,0,1,4,349,
Carmen,227,C,182,98,24,15,3,1,0,1,3,8,335,
Carmen,228,,118,63,10,5,1,0,0,0,1,2,200,
Carmen,228,C,117,60,15,5,1,0,0,0,2,2,202,
Carmen,228,E,29,26,10,1,0,0,0,0,0,2,68,
Carmen,229,,141,181,38,21,3,0,0,0,1,14,399,
Carmen,229,C1,156,158,30,24,1,0,0,0,2,7,378,
Carmen,229,C2,170,145,32,16,0,0,0,0,2,11,376,
Carmen,229,C3,159,143,24,22,0,0,0,0,3,9,360,
Carmen,230,,206,154,22,7,1,0,0,0,1,10,401,
Carmen,230,C1,185,116,28,7,3,2,0,0,1,11,353,
Carmen,230,C2,197,107,28,9,2,1,0,2,0,14,360,
Carmen,230,C3,187,119,29,14,3,0,0,2,0,11,365,
Carmen,230,C4,209,119,30,14,2,0,0,0,1,9,384,
Carmen,231,,130,153,34,5,0,0,0,0,0,0,322,
Carmen,231,C,103,87,48,8,0,0,1,3,2,13,265,
Carmen,232,,216,111,23,13,0,0,0,1,3,11,378,
Carmen,232,C,196,109,37,12,2,0,0,0,0,6,362,
Carmen,233,,209,146,26,20,3,3,1,0,0,14,422,
Carmen,233,C,200,145,39,23,0,1,0,1,2,7,418,
Carmen,234,,195,145,23,13,3,0,0,0,1,20,400,
Carmen,234,C,194,153,22,28,5,4,0,1,0,15,422,
Carmen,235,,151,98,16,12,3,0,0,1,2,4,287,
Carmen,235,C,162,88,18,4,6,0,0,0,1,4,283,
Carmen,236,,163,76,26,5,2,2,0,0,2,5,281,
Carmen,236,C,161,87,11,5,1,0,1,0,0,7,273,
Carmen,237,,174,85,17,6,1,0,0,1,1,9,294,
Carmen,237,C,182,96,12,4,1,1,0,0,0,13,309,
Carmen,238,,44,28,1,1,0,0,0,0,0,0,74,
Carmen,239,,190,62,6,3,1,0,0,0,0,10,272,
Carmen,239,C,191,48,9,7,0,0,0,0,0,0,255,
Carmen,240,,142,80,13,5,0,0,0,0,0,0,240,
Carmen,240,C,135,77,16,13,2,0,0,0,0,9,252,
Carmen,240,E,24,20,9,1,0,1,0,0,3,0,58,
Carmen,241,,139,86,21,4,3,0,0,1,1,9,264,
Carmen,241,C,144,86,27,12,1,0,0,1,0,10,281,
Carmen,242,,136,89,22,7,3,0,0,0,0,13,270,
Carmen,242,C,149,104,20,2,0,0,1,0,2,8,286,
Carmen,243,,153,107,21,15,1,1,0,0,3,8,309,
Carmen,243,C,165,108,22,21,2,0,0,0,1,8,327,
