CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,B,131,116,17,5,7,2,0,278,7,285,532,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1017B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,C01,120,122,19,3,6,7,0,277,9,286,532,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,C02,125,139,11,6,10,8,0,299,10,309,531,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1017C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1017,SMR01,278,224,20,17,23,13,0,575,16,591,0,Acta casilla,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1018,B,223,133,4,7,7,5,0,379,9,388,657,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1018B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1018,C01,217,146,4,3,10,9,0,389,8,397,657,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1018C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1019,B,179,142,13,8,14,3,0,359,16,375,652,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1019B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1019,C01,188,152,7,8,10,7,0,372,6,378,652,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1019C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1019,C02,135,155,12,0,9,5,0,316,11,327,651,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1019C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1020,B,224,174,4,9,4,3,0,418,6,424,687,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1020B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1020,C01,189,183,5,7,4,1,0,389,2,391,687,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1020C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1021,B,220,142,5,17,11,8,0,403,6,409,725,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1021B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1021,C01,237,145,9,2,8,6,0,407,8,415,724,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1021C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1022,B,142,108,7,8,6,0,0,271,11,282,464,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1022B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1022,C01,157,126,4,5,3,6,0,301,8,309,463,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1022C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1023,B,181,136,8,7,11,5,1,348,4,353,597,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1023B.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1023,C01,197,99,11,12,4,7,1,330,11,342,597,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1023C1.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1023,C02,171,122,7,6,10,5,0,321,9,330,597,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1023C2.pdf
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1024,B,176,177,5,7,7,3,0,375,5,380,624,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1024,C01,159,164,12,5,5,8,1,353,5,359,623,Grupo de Recuento,,,
1,10,DURANGO,6,PUEBLO NUEVO,24,PUEBLO NUEVO,1024,C02,166,147,7,8,13,7,0,348,9,357,623,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/PUEBLO NUEVO/GOBERNADOR/ACTAS DE ESCRUTINIO/PUEBLONUEVO_AEC_GOB_1024C2.pdf
