ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,19,EL ARENAL,11,22,2411,4349,861,56,82,390,451,10,4,10,2,2,8626,206,8834,13006,0.6792
13,HIDALGO,20,ELOXOCHITLÁN,8,7,52,435,663,540,301,27,14,3,5,1,1,0,2042,22,2064,2489,0.8292
13,HIDALGO,21,EMILIANO ZAPATA,8,18,2263,2260,299,164,103,200,426,21,12,4,0,9,5752,209,5970,10495,0.6667
13,HIDALGO,22,EPAZOYUCAN,11,21,3168,1836,380,73,172,177,326,10,2,2,1,10,6147,231,6388,11062,0.6242
13,HIDALGO,23,FRANCISCO I. MADERO,17,44,3310,4142,4280,109,198,1124,1613,17,5,20,1,4,14819,466,15289,26069,0.6154
13,HIDALGO,24,HUASCA DE OCAMPO,19,28,2673,2354,2822,50,98,126,223,23,4,11,2,8,8386,210,8604,13418,0.6623
13,HIDALGO,25,HUAUTLA,26,33,610,3249,1307,308,1219,1614,1147,69,13,62,17,28,9615,1127,10770,15628,0.7641
13,HIDALGO,26,HUAZALINGO,10,18,187,1438,1562,37,51,1069,1418,1,1,18,2,0,5784,273,6057,8523,0.7106
13,HIDALGO,27,HUEHUETLA,16,31,1224,4062,680,2675,106,848,1008,31,32,64,20,17,10750,352,11119,16353,0.7387
13,HIDALGO,28,HUEJUTLA DE REYES,53,146,13389,22482,5696,929,932,2547,2345,179,73,107,30,148,48709,5642,54499,85499,0.6633
13,HIDALGO,29,HUICHAPAN,37,62,4927,5917,946,2134,223,1355,1923,11,32,11,4,54,17483,929,18466,33125,0.5875
13,HIDALGO,30,IXMIQUILPAN,61,127,18089,13545,2039,267,387,1582,2311,62,30,55,6,21,38373,1026,39420,68991,0.6134
13,HIDALGO,31,JACALA DE LEDEZMA,22,24,273,2534,3060,40,37,80,130,185,7,4,0,5,6350,242,6597,9762,0.7044
13,HIDALGO,32,JALTOCAN,12,16,339,2218,2172,31,318,168,43,9,3,6,2,10,5309,172,5491,7753,0.772
13,HIDALGO,33,JUAREZ HIDALGO,4,5,39,998,870,3,7,35,70,0,0,0,0,0,2022,33,2055,2533,0.8112
13,HIDALGO,34,LA MISION,11,16,47,1936,3257,13,26,17,19,3,0,4,1,0,5323,167,5490,7871,0.7417
13,HIDALGO,35,LOLOTLA,8,14,1997,2253,275,47,52,136,141,7,4,0,0,6,4912,351,5269,6828,0.7716
13,HIDALGO,36,METEPEC,9,17,1277,1276,871,111,117,1272,187,76,2,61,9,7,5259,212,5478,8872,0.7387
13,HIDALGO,37,METZTITLAN,26,37,779,5571,3916,136,154,300,288,44,16,11,2,10,11217,684,11911,16481,0.7227
13,HIDALGO,38,MINERAL DEL CHICO,13,14,903,1670,1768,35,62,50,205,14,3,2,0,2,4712,98,4812,6500,0.7403
13,HIDALGO,39,MINERAL DEL MONTE,12,21,1799,1332,632,232,87,522,418,165,5,5,3,23,5200,132,5355,10982,0.6978
13,HIDALGO,40,MINERAL DE LA REFORMA,76,169,21224,12860,5615,419,1113,1041,4158,116,38,25,7,166,46616,1336,48118,101786,0.5098
13,HIDALGO,41,MIXQUIAHUALA DE JUÁREZ,22,53,4149,5554,1756,1300,1982,980,1476,33,36,24,15,20,17305,489,17814,30917,0.5971
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,611,2613,1235,105,112,402,405,40,10,26,2,4,5561,402,5967,7939,0.7516
13,HIDALGO,43,NICOLAS FLORES,22,21,1975,1174,363,12,18,41,51,4,1,4,0,4,3643,103,3750,5126,0.7315
13,HIDALGO,44,NOPALA DE VILLAGRÁN,10,20,1992,2336,337,1786,80,128,540,5,15,3,4,7,7226,132,7365,11187,0.6821
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,856,1473,429,691,114,264,135,9,15,6,7,1,3999,123,4123,6846,0.6581
13,HIDALGO,46,PACULA ,10,11,1382,1175,63,3,4,17,2,4,1,6,0,1,2657,41,2699,4229,0.7051
13,HIDALGO,47,PACHUCA DE SOTO,129,353,41515,26970,12373,943,2471,2335,8661,722,334,288,64,268,96676,3234,100178,215981,0.3015
13,HIDALGO,48,PISAFLORES,20,27,2967,3778,431,23,20,1100,57,10,7,13,5,2,8411,301,8714,11954,0.7289
13,HIDALGO,49,PROGRESO DE OBREGON,12,28,2879,4395,1554,106,291,431,1044,9,12,11,4,27,10736,405,11168,17524,0.6372
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,14,18,2155,2376,389,52,207,183,107,10,0,4,2,6,5485,201,5692,7545,0.7544
13,HIDALGO,51,SAN AGUSTÍN TLAXIACA,18,40,3386,4384,1380,193,247,392,820,27,8,6,3,32,10846,573,11451,22534,0.6177
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC ,17,28,479,4139,3436,62,47,349,74,137,24,83,3,1,8833,350,9184,12553,0.7739
13,HIDALGO,53,SAN FELIPE ORIZATLÁN,24,50,7397,7168,644,135,115,757,281,14,9,26,5,11,16551,871,17433,26886,0.6951
13,HIDALGO,54,SAN SALVADOR ,24,45,1888,5142,4340,218,154,1009,1470,113,22,73,11,18,14440,653,15111,24650,0.6385
13,HIDALGO,55,SANTIAGO DE ANAYA,19,27,1441,3672,967,133,59,926,616,10,4,16,10,14,7854,407,8275,12477,0.6632
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,37,4437,4082,2138,115,152,344,481,19,13,6,3,3,11790,334,12127,23797,0.5853
13,HIDALGO,57,SINGUILUCAN,11,20,1562,2454,708,127,686,1352,323,85,9,61,3,2,7370,315,7687,11900,0.6459
13,HIDALGO,58,TASQUILLO ,20,28,665,2176,2756,125,208,443,669,44,11,30,3,6,7130,368,7504,14327,0.5237
13,HIDALGO,59,TECOZAUTLA,25,47,8685,3667,675,1241,86,294,409,64,46,14,8,11,15189,379,15579,26014,0.5988
13,HIDALGO,60,TENANGO DE DORIA ,14,25,542,2581,1977,155,63,1566,385,93,9,37,5,2,7413,516,7931,11942,0.6972
13,HIDALGO,61,TEPEAPULCO,38,76,5440,6713,1350,424,357,1073,1912,33,11,18,7,59,17338,632,18029,42119,0.5031
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,43,475,7663,2922,53,75,1356,70,11,12,32,3,7,12672,620,13299,18332,0.7254
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,97,9311,5838,2476,552,449,3849,4650,19,16,24,11,42,27195,807,28044,57809,0.5242
13,HIDALGO,64,TEPETITLAN,8,16,2452,1725,392,102,24,261,299,7,3,1,2,1,5268,96,5365,7687,0.6979
13,HIDALGO,65,TETEPANGO ,7,15,489,1579,2055,75,609,242,403,30,9,21,1,14,5513,266,5793,8376,0.7391
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,23,54,6656,8248,1987,556,351,533,2413,76,19,16,8,34,20863,912,21809,34580,0.6877
13,HIDALGO,67,TIANGUISTENGO,16,22,933,2814,1296,183,172,606,323,11,6,14,3,21,6361,982,7364,10278,0.7484
13,HIDALGO,68,TIZAYUCA,40,134,5582,12896,2049,522,657,1622,3172,300,30,27,3,76,26860,853,27789,79352,0.3866
13,HIDALGO,69,TLAHUELILPAN,9,20,1317,2108,1240,94,709,371,1147,147,1,1,0,4,7135,233,7372,12542,0.6188
13,HIDALGO,70,TLAHUILTEPA,17,20,220,2390,648,26,31,2112,63,9,0,30,4,1,5533,170,5704,7439,0.7667
13,HIDALGO,71,TLANALAPA,8,15,1473,1529,587,50,354,249,386,29,2,18,1,15,4678,170,4863,8244,0.668
13,HIDALGO,72,TLANCHINOL,26,46,5613,6373,795,250,238,474,844,30,9,19,6,8,14651,1596,16255,23852,0.7411
13,HIDALGO,73,TLAXCOAPAN ,12,33,4286,2779,1674,126,158,508,1396,28,4,15,4,10,10978,447,11435,20293,0.6036
13,HIDALGO,74,TOLCAYUCA,8,18,2142,1673,1062,366,84,900,401,8,8,4,3,4,6651,189,6844,10564,0.6478
13,HIDALGO,75,TULA DE ALLENDE,53,137,8644,9199,7479,485,623,797,5077,24,22,8,7,62,32365,991,33418,81551,0.448
13,HIDALGO,76,TULANCINGO DE BRAVO,54,190,20123,17963,3609,824,1396,1970,4398,230,117,65,16,181,50711,2832,53724,118375,0.4909
13,HIDALGO,77,VILLA DE TEZONTEPEC,7,15,1482,1693,511,137,106,564,324,29,11,18,0,7,4875,246,5128,8382,0.6117
13,HIDALGO,78,XOCHIATIPAN,13,24,3051,3426,1898,61,102,160,281,7,1,5,2,22,8994,1054,10070,12126,0.857
13,HIDALGO,79,XOCHICOATLAN,9,10,387,1566,697,100,1333,221,140,2,0,3,1,2,4450,308,4760,5534,0.8601
13,HIDALGO,80,YAHUALICA ,15,29,1857,4340,2630,150,347,1013,347,5,3,8,8,36,10708,2186,12930,15944,0.8285
13,HIDALGO,81,ZACUALTIPAN DE ANGELES,19,44,3868,5004,2171,965,522,928,1086,21,18,5,3,29,14591,791,15411,24643,0.6253
13,HIDALGO,82,ZAPOTLAN DE JUAREZ,8,23,1689,2982,2065,88,141,367,225,25,14,11,0,5,7607,155,7767,13758,0.6619
13,HIDALGO,83,ZEMPOALA,17,49,3515,7440,1080,267,247,3634,1001,22,14,40,11,20,17271,416,17707,29098,0.6085
13,HIDALGO,84,ZIMAPAN,62,75,4793,5496,3381,154,167,452,632,153,11,11,3,7,15253,663,15923,29870,0.5562
